Comment,Number
Merci à NordVPN ! 73% de réduction sur un abonnement 2 ans + 4 mois gratuits sur https://nordvpn.com/pierrecroce et rentrez le code : PIERRECROCE !,5
Pas mérite,1
Jaimaos bien cette concept,4
"Bonjour,",4
Je m'étonne et m'agace toujours quand les influenceurs mettent en avant l'argument des VPN de contournement de la chronologie des médias.,3
"En France, si le cinéma se porte si bien par rapport au reste du monde, c'est grâce à cette chronologie.",3
"De plus c'est illégal... comme le piratage, c'est facile, c'est possible, mais c'est du vol et illégal.",1
"Super vidéo ! Mais ""Charrette"" a se dit depuis hyper longtemps",5
Fan de Jocelyne 🥰🥰🥰,5
11:57 la première fois qu’on dit a plus vieux que sois tu comprendras plus tard 😂😂😂,1
Tout le monde voudrait une mamie comme Joceline ❤,5
"""Une aiguille dans une botte de tchoin""",1
Non de foin,1
Non de tchoin 😅😅😂😂😂😂,1
Je pensais qu’il rigolait quand il disait sa😂,2
Gérard le goat,3
j'aurais aimer faire un trcu comme ça avec ma mamie qu'elle repose en paix depuis là où elle est,5
"Ils sont tellement mignons, un petit bisou pour ma grand-mère, Je t'aime mamitas 😘😘😘",4
Je commente jamais même si je regarde toutes tes vidéos mdrr mais je suis choquée tu viens de Longwy !! ❤️ 54400,1
<3,3
Ah bah pierre vient à Metz je vie la bas avec ma copine,3
Les grands parents sont vraiment trop mignons !!! Touchants attachants rigolo j’ai vraiment apprécié la vidéo merci beaucoup Pierre!!,2
J'adore! On veut plus de grands parents dans les vidéos :),5
Cousin et cousine stp,5
J'adore le concept sinon (un peu de positivité qd mm),3
"0:21 J'aime bien comment ""accès"" est devenu un verbe l'air de rien",1
Autre point linguistique : pas trop d'accord pour dire que s'encanailler correspond à s'enjailler,3
Jocelyne est trop choupi <3,3
Mais djomb ça veut pas dire plutôt je sui dégoûté? Genre jss djomb,2
Pierre croce ❤❤,5
le petit fils qui fait deux fois la taille de sa mamie mmmddrr,5
My favorite vidéo ! J'adore,5
Avec Parrains marraines,4
Super la vidéo,5
Que. Tu.  Ve. Qu'ont. Se. Voi,2
Les parents et les enfants stp,5
"Très bonne vidéo en famille. Tous trop mignons mais Laura... Girl power, je te veux dans mon équipe au bière-pong tous les soirs!!!",5
Trop mignonne Jocelyne,2
"18:10 ""Un booster ça doit être une astuce pour tuer plus de pokémon"" ça me termine xD",3
« Bas je me jette par la fenêtre maintenant alors » 😭 c’était pas drole personne a rigoler mes cetais justement drole,1
Je te kiffe pierre,1
Marie France ça fait plaisir de te revoir toujours en forme.,5
Épinle moi stp,5
Merci pierre les.grands parents sont trop.mignons,5
Trop mignonnes les mamies😻😻,2
"J'en ai eu les larmes aux yeux. C'est tellement magnifique, beau, touchant. Y a dl'amour dans l'air et c'est ça qu'on veut ! Que je veux ! Merci pour cette vidéo pleine de positivité. Les grands-parents étaient juste trop cute.",2
Jocelyne et Gérard 🧡💙🧡💙,4
"j'ai 23 ans et à l'épreuve ""Michou"" je connaissais plus les mots des ""vieux""... j'ai honte",1
sayer les pubs c’est trop frr,2
Moi j'ai un overboard,3
"Je regarde cette vidéo avec 8 mois de retard, désolé, lol,",1
Superbe vidéo !!,5
Super moment !!,5
"C'est familial, c'est génial,",5
PS: 150e c'est léger 😉,3
Le prochain pourais  être appropot des amitiés,3
Qu’est-ce qu’ils sont attachants!! 😍😍😍 Marie France mon coup de cœur !,5
J’adore cette vidéo 🥰 merci Pierre pour ces moments 🙏🏽😻❤️❤️,5
tu as dit un million de fois Nord VPN😂,1
