Comment,Number
Pardon j’ai ri à Pornâme 🤦🏻‍♀️🤦🏻‍♀️,1
"Pour le fait de coucher/entretenir une relation avec quelqu’un en couple/marié c’est autre chose que le principe de réciprocité. Ce n’est pas « je ne fais pas ce que je ne veux pas qu’on me fasse » mais plutôt « je ne fais pas ce qui peut nuire autrui ». Or, cette action nuit à autrui (la personne trompée). Par conséquent je suis une merde si je le fais",4
"Dire que c'est bientôt notre anniversaire n'est je pense pas une manipulation si c'est vrai, peut on s'empêcher de le dire a cause de certains ? pas vraiment",3
"11:00 Oui Cyrus, sauf que le spectre commun de la majorité des individus du ""On ne fait pas ce que l'on ne veut pas que l'on nous fasse"" est ce qui définie et rentre dans les normes puis deviennent des lois (et ""coucher avec une personne en couple"" pourrait hypothétiquement rentrer dans ce spectre commun). Si l'on part de ton principe, ai-je le droit de venir et de te frapper sans raison en plein visage ? Et La réponse DOIT évidemment être non car l'ECRASANTE majorité n'aimerait pas cela",3
"Dans certaines sociétés anciennes, des codes juridiques (comme certaines lois religieuses) punissaient non seulement l'époux infidèle, mais aussi le complice de l'adultère, qu'il soit marié ou non. Depuis les choses ont changés et pas uniquement pour le complice mais également pour la personne infidèle qui n'est plus punie depuis 1965.",2
"Dans le temps la société accordait d'importance et de valeur à ces principes et engagements. Et si ce n'est plus autant le cas aujourd'hui on ne peut pas trouver impensable l'idée qu'il reste toujours une part importante de la société, qui, attribue l'acte comme étant de la responsabilité des deux personnes (Et une part très importante je pense qui n'aimerait pas que ça lui arrive)",4
Une loi n'est peut-être plus nécessaire pour sanctionner car les mœurs ont changés mais la question de la responsabilité du complice peut selon moi être réellement posée,3
"D'ailleurs tes vidéos sont toujours un réel plaisir à regarder et tes pensées toujours très intéressantes, un maximum de soutien et de force !",5
De toute façon l'âme n'existe pas alors il a bien le droit d'en faire sa propre définition,1
"Je suis désolé mais selon moi le sexe et toutes les hormones qui vont avec ce n'est pas de l'amour, c'est juste un subterfuge que l'on peut appeler de passion par exemple",2
"Moi j'ai bien aimé ""pornâme"" 😂",4
"Pour la vaisselle c'est excellent. Je l'ai deja fait pour mon cousin qui vivais avec moi. Et je regrette pas et il a compris, s'est exuser et l'a fait.  J'hésiterais pas a recommencer",5
C’est marrant pourquoi c’est un fond vert le décor avec la bibliothèque 😂c’est quoi le vrai décor,3
Je ne me lasserai jamais de la vanne « Cyrus North VPN ». Voilà c’est dit.,5
"""Gaugée"" il vient de Franche-Comté lui !!  😂😂",3
"Quel courage, merci et bravo Judith. Bravo également à la journaliste, elle montre l’exemple.",5
Putain les veines de ton crâne 😱😱,5
bjr a vs bises,3
11:25  putain de son sortit de nul part et qui m'a foutu les chocottes x),1
"2:10 oui merde, tu savais qu’elle était mariée (même si elle est + en tort que toi)",2
14:20 putaclic,1
19:12 oui ~ c’est pas propre de mettre ça sur le lit,1
"27:06 oui clairement, tu profites de la faiblesse des gars",3
l’âme c une chanteuse,5
"Pour le principe de réciprocité, dire que c'est un principe trop complexe à suivre sachant que tout le monde aimerait être traité de façons différentes...Je pense qu'on peut quand même s'accorder sur le fait qu'une lourde majorité de gens aimerait que les autres ne participent pas à une tromperie avec leurs partenaires. Après, question, si on inverse ce rapport de réciprocité : ""est-ce que (moi qui est couple) si je me met à la place de quelqu'un qui tombe fou amoureux de mon/ma partenaire, je ne pourrais pas comprendre qu'il ou elle cède à son désir ?"" Après... comprendre n'est pas pardonner donc je sais pas si mon exemple est très pertinent. Je pense qu'une bonne nuance pourrait-être de dire par exemple ""Il est immoral d'entretenir le désir de quelqu'un qui est en couple si cette personne cherche à ne pas tromper son/sa partenaire. Si cette personne cède, on peut la suivre, mais si elle cherche, même un tant soit peu, à ne pas tromper, nous ne devrions rien favoriser pour une éventuelle tromperie"".",3
"Pour l'histoire de l'actrice morte. Le principe de la vidéo et de la photo c'est de capturer des moments qui seront ""morts"" dans le futur. C'est le principe de rendre éternel ces moments, faire que ces moments restent vivants. Donc la personne n'est pas une merde. Comme tu le dis, nombreux sont les films où nous voyons des acteurs qui sont maintenant morts, ce qui les rend en quelques sortes éternels. Ca ne retire pas l'admiration que nous pouvons avoir pour eux ou comme c'est le cas du gars le plaisir en voyant la vidéo.",4
Wesh il y a moyen d'avoir les infos pour recevoir des trucs de ma wishlist ? <3,3
"Hello, pourais-tu faire un format “les connards sont-ils des merdes? “ En réponse a cette intéressante emission de Salomé Saqué 😅",1
Donnez nous la recette de la nana avec la wishlist ! 😂,5
Salut Cyrus très bonne vidéo continue grosse force à toi !,5
"Le truc de la vaisselle doit être un truc répendu en je crois. Je l'ai moi même fait un jour. En gros, moi et ma soeur on avais genre 15 et 17 ans, mes parents étaient en vacances 2 semaines. On a bien profité de la maison, on a mis un bon bordel et on s'est réparti les tâches quelque jours avant le retour des parents. Le dernier jour, ma soeur, qui devait faire la vaisselle en retard,  préféré sortir faire la fête plutot que de prendre une heure pour faire cela et évité que mes parents ne pètent un cable a nôtre retour le lendemain. Evident on se serait fais engueuler tous les deux alors qu'on avait défini que c'était le boulot de ma frangine.",2
"Doonnnc, pendant qu'elle était a la fête, j'au vu la vaisselle et j'ai pêter un plomb, j'ai tout mis sur son lit. quelle belle surprise elle a eu quand elle est rentré a 2 ou 3 heures du mat.",1
"C'est trop facile c'est quoi la différence entre laissé la merde dans l'espace commun et son propre espace c'est juste que tu repousse la merde aux autres sous prétexte que tu n'a pas de temps ou autre donc les autres doivent utiliser leurs temps à eux ! mettre les choses dans ton espace t'obligera à partager la tache et te servira peut être de leçon donc pour moi, soit les 2 sont des merdes (et c'est plus mon avis) soit le mec qui se ""venge"" n'est pas une merde.",3
"De plus ton collègue dit qu'il y a un contrat mais obliger les autres a vivre avec tes déchets et subir tes corvées pour moi c'est un manque de respect sans pour autant un contrat signé et j'ai l'impression que plus ont t'a servi enfant plus tout est normal et un ""du"" ensuite.",2
"j'ajouterai grossièrement que tu ne dois obligé volontairement ou involontairement personne a te servir, ni de bonniche, ni de chauffeur . tu as qu'a demander a ton colloque de faire ta vaisselle régulièrement pour y mettre plus de franchise et ont va voir si tu te sent pas honteux ! comme une ****",1
Disclaimer ont est tous des ***** a un moment de toute manière. moi j'aurais fait comme ton colloque ou je me serait cassé.,5
Ça serait trop cool comme concept en live pour discuter sur les situations et faire évoluer la réflexion à plusieurs ! Super concept 🔥,3
"Moi je vote Cyrus méritait ca vaisselle sale sur son lit lol Si tu veux dégueulasser tu le fais dans ton espèce pas dans l'espace commun. Perso, je suis un peu une dégueu mais par contre, ma merde est dans ma chambre, jamais je ne vais faire subir cela aux autres. Si tu ne veux pas faire ta vaisselle, mets la dans ta chambre, sur ton bureau, comme ca personne n'est impacté",3
"Salut Cyrus, je vois ce que tu veux dire sur le principe de réciprocité, et tu as même faillis me convaincre.",5
"(je suis de ceux qui pensent qu'on devrait pouvoir vivre tous sous ce même principe... pas seulement en se l'appliquant personnellement mais comme tu dis, le voir global et ""juger"" l'autre sur ça...",3
"mais non en fait, ya pas lieu de ""juger"" l'autre, puisqu'il ne ferait pas...",2
trop idéal? ok.,3
Ben c'est ici où alors que tu m'avais convaincu et que je suis revenu sur ma position initiale.,5
"On a des spectres, culturels, sociaux, sociétaux, etc, différents, ce qui ferait que quelqu'un pourrait tolérer, ou non, ce que nous on ne tolérerait pas, ou oui...",2
"sur le papier ça se tient en vrai, j'avoue.",3
"Mais en réalité, quoi donc?",3
"Qu'est-ce donc que quelqu'un voudrait bien qu'on lui fasse, et pas à un autre? (à moins que ça ne soit justifié par une quelconque raison, exceptionnelle, qui relève d'un facteur particulier.)",2
???,1
"Pour la dernière histoire la réponse est dans la question : ""suis-je une merde pour avoir PROFITER de la MISERE sexuelle.",2
profiter de la misère d'autrui c'est vraiment mesquin.,5
"Après je n'irais pas jusqu'à dire qu'elle fut été une merde l'avoir fait a l'époque, mais c'était merdique de le faire.",2
Pour la dernière : Beh oui t'es une merde d profiter de ces simp 😂. Sans déconner comment elle sait reteouver sur un serveur aussi désespéré cette gentille fille de famille aisé 😅.,3
Et eux sont encore plus des bouses bien évidement xD,5
"20:50 ""Quel drôle de personnage !"" 😂😂😂",1
"10:30 Je suis d'accord sur le principe mais on est d'accord que PERSONNE NE SOUHAITE ÊTRE TROMPÉ, non ? C'est universel 😆",3
Dernière histoire oui.,1
C’est trop facile de coucher avec quelqu’un et après venir vers elle pour lui dire :c c’est pas bien mais merci pour la p*pe .,3
Faut arrêter ça dur presque 1 ans le truc il savait tres bien qu’elle était en couple . Il couchait même sur le lieux de travail c’est littéralement de la provocation.,2
Et la réponse au mec qui doit juste être dépité de voir la mère de ces enfants coucher avec un jeune c’est juste horrible.,1
Normal que tu es envies de pourrir du moins sur le coup la personnes qui te vole ce que tu aimes d’une facon aussi irrespectueuse .,3
Il ose en plus le menace d’une confrontation en face a face pour au final se pisser dessus et se cacher deriere son patron ? ^^’ fin désolé mais c’est un peu ridicule l’histoire est un clishé total .,3
Donc non oui tu es une merde . L’amour et le respect sont universels et personne dans se monde na envie de se faire tromper et se faire autant manquer de respect autant par la personne dont il a donné son coeur que par un petit gamin qui pense avec sa kekette et participe avec joie a tout ca .,1
"Si vous voulez aller voir ailleurs parlez en . Si vous n’aimez plus quelqu’un , faites une rupture .",3
Mais faut arrêter de justifier tout les vices des gens.,3
"De nombreux hommes sont venues vers moi en étant marié ou en couple pour avoir des relations sexuelles avec moi . Ta beau faire le gentil tout mignon , etre un mannequin louis vitton et avoir un charme légendaire désolé je me respect je participe pas a ça .",2
"Tu attires ce que tu es, si elle/il couche avec toi en etant couple pour finir avec toi .",5
Dans 3 mois elle/il te fera pareil :D.,2
on a peu etre pas tous les mêmes valeurs mais on est tous conscient du mal que l’on peu faire aux autres et c’est mentir de dire qu’il n’etait pas conscient de ca .,3
2 -,5
Suis je une Kakou pour profiter des personnes en misère sexuel en sachant pertinemment que je ne leur donnerai rien et les frustrerait encore plus pour avoir des petits cadeaux hihi . Ta réponse est dans ta propre question.,5
Sûrement Auguste Ames pour la deuxième histoire. De rien.,3
"Si on prends en compte touts les états passé ou futur des personnes lorsqu’on se Lebron James, on est tous un peu pédophiles et ça pas ouf ça :(",3
