Comment,Number
Old thread sont mes videos favorites,5
"11:20 autre anecdote du genre, le gouvernement de De Gaulles qui a fait circuler des faux billets de francs guinéens suite au refus de Sékou Touré d'intégrer la Françafrique ... Jusqu'à présent le franc guinéen ne s'en est toujours pas remis complètement ...",1
La France a aussi balancer des faux billets en guinée Conakry pour emmerdé sekou toure après l’indépendance de ce pays,5
C'est tout con mais je pense que personne n'a réussis parcequ'ils ont changé quelque chose dans la fabrication des billets plus récents,2
C même pas ton ambre😂😂😂,1
Comment ils coupaient les billets en deux @all,1
"Bonjour je me suis abonné, j'aime bcp ton travail Tu gere ,",5
Je pense qu’ils ont séparé le billet à l’aide de cire chaude et d’un nuancier...👀,3
Parfois le hasard fait bien les choses.,3
Et oui on a envie de dire le karma...,5
"Perso, des mecs comme ça, je ne les juge pas tant ils sont intelligents. Il n'y a pas mort d'homme et c'était pas le but. Une goutte d'eau dans la mer de ce qui est ponctionné par le gouvernement.",3
J'ai découvert ta chaîne... Je dort moins bête depuis 2 jours ❤,2
"Incroyable, j'adore tes old threads, c'est très intéressant et on sent la recherche qu'il y a derrière",5
cool.,5
"Merci pour ton travail, toujours incroyable, 🙏🇧🇪",5
Passionnant !,5
Merci,5
Waoouuhh quelle histoire!!!!,5
c'est incroyable comme histoire omg,5
Histoire passionnante comme d’habitude 👍 et super bien racontée 😊,5
10:14 qui a remarquer la bougie a droite?,1
merci infiniment,5
En 2006 ils ont volé du papier fiducier de la banque d'Algerie pour réaliser une prousse en matiere d'impression de vrais faux billets dans un atelier clandestin à Marseille derriere le réseau le MOSSAD ...,1
Si l'on remonte l'histoire on retrouve les camps de concentration nazis qui ont fournit aux SS les meilleurs faussaires de l'histoire qui ont réussi à fabriquer de vrais livres sterling ...,3
"J’ai passé un très bon moment à vous écouter, je m’abonne et je vais de ce pas ( en vrai je ne bouge pas puisque je ne peux pas bouger^^) regarder une autre de vos vidéos :)",5
Ils ont la même taille les $ ?,2
Vous racontez bien les histoires :),4
Les faussaires existent encore et continuent à ravager une économie : La Banque Nationale d'Amérique.,1
"La planche à billet fonctionne à plein tube et fout en l'air sa propre économie ... Mais là c'est pas pareil, c'est légal et c'est infiniment plus grave et plus catastrophique à terme pour tous les Américains.",2
Pour le couper en deux un rabot japonais ? Avec une lame bien aiguisé c sur ca passe 😂😂,2
