Comment,Number
C'était le moment idéal pour débarquer sur Arrakis et faire un carnage !,5
J'vous ai déjà dit que vous pouviez liker si vous avez kiffé ? J'me souviens plus.,2
"Et si vous voulez essayer NordVPN, ça se passe ici : https://nordvpn.com/math (satisfait ou remboursé pendant 30 jours)",1
Le jeu du crocodile 😂😂😂,5
Wllh tu as hagra oscar isaac là,5
Là barbe est infâme 😂😂😂,1
"Le mec devait crier car visiblement, les micros n'existent pas dans ce monde. C'est un peu énervant, mais je peux comprendre pourquoi il le fait.",2
Sympa les costumes dans cette vidéo! J'adore celui de Duncan. Il a de la classe et une belle petite barbe 🥰,5
J'ai rien commpris du film alors je regarde des résumés mais je commprend toujours rien 🤣🤣,1
"J'ai ri, je me suis abonnée ! Voilà ! Merci !",1
"Math, le seul youtubeur dont le moment le plus revisionné est la collaboration commerciale !!!!",4
👍🇨🇵,5
LA BELGIQUE 🇧🇪🇧🇪🇧🇪 ! ah c'était une blague...😢,5
Tu peux fermer dans la comédie musicale s'il te plaît s'il te plaît s'il te plaît,2
Le jeu du croco 😂,5
"Oula j'ai pas vu le film, et j'ai toujours rien compris à l'histoire 🤣 d'habitude te regarder éclaire tout, mais là 🤯",2
"J'aime bien tes vidéos, mais elles devraient commencer par une alerte ""Attention! Ne visionnez pas ceci en buvant votre café en même temps. Risque de recrachage par le nez.""",3
"Excellent, le travail réalisé est vraiment incroyable avec les costumes de ouf 🎉🎉😂",5
Sympa,4
une épisode sur la série fallout serais bien non??🙂,1
Trop bonne vidéo hâte du 2 😁😁,5
Fais une parodie de la demoiselle et le dragon stp,5
incroyable comme d'habitude j'espère que tu feras la suite,5
' tu peux faire Kung Fu Panda 4,5
J'ai malheuresement rien compris du film mais les vannes sont toujours aussi droles,2
"Mais quel humour de beauf ... Sérieusement, les abonnés sont achetés ?",2
la partie 2 peut-être bientôt...,3
Svp t'es trop en retard sur fave nights a'ts freddy's le film ❤😊😢,3
je kiffe continue comme ça :D,5
Le skatepark de Verdun en 1999! C'est là où j'ai créé mon premier fils !,5
Doooooonne moi ce verre 😂😂,5
""" ce n'est que le commencement "" la suite ma terminer 😭😭😭🤣🤣🤣🤣",3
Cette vidéo est vraiment incroyable après revisionnage !,5
Merci pour cette vidéo ! ☺💐,5
"""J'étais pourtant très claire"" j'en rigole encore",2
Je l'ai regardé juste avant de voir la deuxième partie.,5
Mais comme j'ai ri!!! Tout le long!,3
"""La Belgique!!""",5
"""L'épice d'Arrakis"".",4
"""J'ai mal à la chose"" m'a terminée.",3
"Excellente vidéo, j'ai hâte de voir celle sur la deuxième partie de Dune.",5
Plutôt deux fois d’une.,3
La pose de la surconfiance 😂,4
J'ai tellement ris 😂 sur ce souillage ! 'Salakis au bon lait de brebissss' 'LA belgique' en tant dautres 😅,5
La barbe est exceptionnelle 🤣🤣🤣🤣,5
"S'il te plaît, fait une vidéo sur jurassique World : le monde d'après !🥺A pars ça, j'adore tes vidéos ! Bravo 👍🏻👏🏻",5
"Quand tu regardes un film et que tu imagines à chaque scène une vanne potentielle que Math pourrait faire, c'est que tu aimes et regardes un peu trop ses vidéos...! 😅",3
😂😂😂!!! merci bcq,5
Quelle horreur les versions francaises.,1
Comment ça je découvre cette chaine que maintenant ????!!!,5
T'es un tueur mec je met un bavoir et je bouffe ta chaîne direct 🤤🤤🤤,1
un épisode sur RoadHouse ?,3
Je n'ai meme pas compris le but du film xD,2
J'ai mal à la chose,2
MDR le top,5
"""J'espère que vous viendrez jamais manger à la maison"" 😂",1
ptn la vf est terrible mais super vidéo,3
Moi je propose Eli ! le film avec le petit garçon,5
l'épice d'arakis,5
T'es un génie🤣🤣,1
"Un mystérieux costume mandalorien pour les soldats, j'ai l'impression qu'un nouveau MSF spécial série s'approche ! J'ai déjà hâte",5
"Le recyclage de l'armure de Mando, je meurs XDD ""This is the way to Arrakis""",3
Slt math tu pourrais faire le film sur marc zuckerberg : Social network,3
fais coraline!!,5
"Le kopi luwak est le café le plus cher du monde(une tasse vaut juqu'à 80$ aux US), préparé à partir de grains de café partiellement digérés puis expulsées par la civette, une petite créature de la taille d'un chat 🤣",1
"masterclass encore !! quel kiffe, je m'hilare à voix haute devant mon pc",5
ce serait trop bien de faire le MSF de miss peregrin et les enfants particuliers !,4
tu peux react sur valkyrie apocalypse,5
stp,5
imaginer Math en lama,5
Dune 2. Jai le seum. Ca a flop c mon avis 💀,5
Attends c'est tu me dis que capitaine Marvel est pas en France mais au Canada oui?,3
Damsel prochaine épisode,3
Tu peux faire le film Paul 👽 s'il te plaît ?,3
"Je viens de voir ""La demoiselle et le dragon"" 😅 y'a de quoi faire !!!",5
j'ai hâte de voir la vidéo de la deuxième party du film DUNE ^^,4
Incroyable comme d'habitude ! Je suis sûr que tu pourrais faire une dinguerie avec nos jours heureux !😂 Merci pour toutes tes vidéos !,5
Exceptionnel celui ci ! Bravo MATH,5
on fait comment pour voter?,3
"du chocolaaaaat          (c'est vrai que c'est bon pour la santé mentale tout ça, une belle vidéo ça aide a digérer, proverbe arkonen)",4
Tu sait faire dune2,5
LA BELGIQUE OUAI,5
arakis au bon lait de brebis,4
"Stp Math si tu peux faire une vidéo sur le film ""argylle""",3
Bonjour pourriez vous faire une vidéo sur le film chucky ?? J'espère que cela vous semblera être une bonne idée bonne continuation,3
Dincan ! 😂,5
"J'ai tellement envie de voir la Belle et le Clochard souillé x) J'ai pas encore vu Dune sinon. Je voulais acheter les livres d'abord, mais il parait qu'ils sont pas géniaux... du coup je suis un peu embêtée ^^'",5
Masterclass ça fait plaisir,5
"everything everywhere all at one, celui là serait incroyable au vu de l’absurdité de la chose!",1
Oui les fremen sont des junkies en manque qui se balade en permanence avec leur excréments et urines sur eux afin de les recycler et les re...boire.,2
".......Pas sur que j'aurais été aussi sensible au charme de Shani, du coup.",3
14:28 c'est tellement vrai 😂😂😂,5
jai passé un bon moment merci 🤣,4
Il y a un manque de virilité dans ce film 😂😂😂,3
jai oublier un momen fau tu fase sonic 2,5
la belle et le clochar,5
Espérons,5
Qui veut une vidéo sur Wonka ??,1
"Je sais que c'était pas bien noté dans ton sondage mais le peuple doit connaître ""Pearl"" version Math! 😭🙏",3
Ça me fume le «  la Belgique,1
Les humain sont des animaux je mrecise,1
"J'adore tes analyses ! Malgré les années, tu fais d'excellentes vidéos, de nouvelles blagues, de super costumes,... Ne change pas et continues ton talent : parodier ces (grands?) films",5
"13:12 ""g mal à la chose""🤨🤣",1
Je peux avoir du chocolat ? Je viens de m'abonner. 😅 Merci j'ai beaucoup rit 👍🏻,2
Arrakis et le bon lait de brebis.,5
Désolé.,2
ÉDIT : 12:00 ah il a fait la blague aussi 😂😂😂,1
Tu peux faire les villes vocal s'il te plaît😊,3
J'ai jamais blairer cet univers :/ suis-je le seul ?,1
"Un quoi 😳🥴 ""un hallucinogène"" c'est ce que je pensais je comprends les yeux bleus 😂😂",3
"""Sans vouloir être misogyne"" mais le docteur se fait ""tirer les cheveux comme une fifille"" 😬",3
Superbe vidéo  tu me redene sourire  et pour sa merci à toi math 😊❤❤❤❤,5
Je me suis endormie au cinéma devant le film et là il m’arrive pareil devant la vidéo je crois ce n’est vraiment pas fait pour moi DUNE mdr,1
"""Sur la planète des salakis , au bon lait brebis."" stop STOOP 🤣🤣",5
Fait wonka stp,3
Ont à toujours pas eu nos chocolats...,1
En vrai j'ai pas encore vu la deuxième partie mais j'espère qu'ils vont faire du ride sur les vers 😂,3
Tu voulais des suggestions ? Kill bill volume 2 serait facile à souiller monsieur Math!,2
C'est vrai que par moment dans ce film on se croirait plus au moyen âge avec les sceau tamponné et autres petites choses.,3
"Allez Math, la belle et le clochard vont avaler leurs spaghettis de travers !",5
Dune 2,5
Tu es très fort !,5
7:42 dons leur substance à eu est rouge et au lieu d'avoir les yeux défoncés il sont bleu ??,1
Franchement la VF de dune est vraiment pas ouf 😢je l’ai vu en VO c’est 1000x mieux,1
J'aimerais bien que tu fasse Monnwalker ou Retour vers le futur 2 s'il te plait 😢merci 😊,3
Tu peut faire Twilight 5 stp,3
t'es drole le frérot,1
"Le film a l'air giga nul mais je suis content de voir ta vidéo, qui elle est intéressante",2
Le seul youtuber dont je regarde les placements de produits !,5
"Tu nous fais quand des Tortues Ninja, Godzilla 2, Kong Skull Island?",3
Dune 2,5
Belle et le clochard,5
"Merci pour le meilleur récap possible, je suis dans la salle pour le second !",5
Peu tu faire un épisode de Dune partie 2,3
tu pourrais faire starship trooper?,3
Le banger du prêtre,5
le crocodile xD ❤❤❤,5
"""l'épice de Salakhis au bon lait de brebis"" 🤣🤣🤣 encore un résumé hilarant !",5
pas mal l'humour !,4
Bonneee vidéo Math comme toujours un boss prochain film seven!!,5
"J'adooore tellement, ""j'ai mal à la chose 😂😂😂"" moi j'aimerai tellement Alice aux pays des merveilles mais le dessin animé 😂",5
Ici la voix 🤣🤣,5
"« Bon sang, c’est qui qui fait tous ce boucan là ! » 😭😭😭😂😂😂 on a bien ris !!! 😂😂😂",5
jadore ton contenu continue comme ça,5
"je m'suis abonné, ça m'a fait du bien 😂",4
Purée je viens de comprendre que à cheval sur le verre c'est l'arbitre 😂,5
Une épice... Du paprika 😂😂😂,5
trop drole j adore,5
J'ai pas trop accroché à ce film. Il paraît que le 2 est bien mais le premier ne m'a pas trop donné envie d'aller le voir,3
mon film pref,5
le passage de « voilà ce qu’on dit » je m’y attendais pas j’ai explosé de rire 😂😂,1
YEAH FAIS LE 2,5
Je n irai jamais regarder un film où le hero est un trav qui ne merite sa cariere qu uniquement sur le faite qu il porte des robes !!!!,2
Get woke go broke !!!,1
"au fait c'est 10191 années APRÉS GUILDE, et dans univers, la guilde est formée vers l'année 10000, donc cela fait 18 000 années de différence",3
On pourra faire Twilight 5 ?,3
Anatomie d'une chute ?,1
"En fait on a un abregefrere depuis + de 10 ans sur YouTube version cinéma, c'est Math hein 😂😂",1
Team bambi,5
Super vidéo hâte de voir la suite de tes projet 😉😉,5
Voilà c'qu'on dit 😂😂,5
C’est incroyable qu’il arrive vraiment à faire rire comme sa 😭😭😭,5
Une crotte d'oeil ça s'appelle une chassie. Voilà c'est bon je casse,1
je prefere la video qu'au film :),4
"J’ai encore bien rigolé,beau boulot !",5
"Il est en forme, Math xD",5
Tjrs un plaisir ! Fais du rétro peu être The Mask ou Jumanji,5
Dune c'est genre un Star Wars 2.0 que personne n'a demandé,5
Tu pourras faire d une 2 stp,3
Pile avant d’aller voir le 2,1
Pour l'avenir le numéro 2 ?😅,3
Très bonne vidéo,5
"Tu peux faire ""Drive""?",1
tu es incroyable Math,5
J'ai reçu la notif juste avant d'aller le voir au ciné. Il faisait une soirée Dune le 1 et le 2 à la suite.Du coup j'ai attendu avant de regarder.... Je regrette de fou parce que si j'avais regardé avant je n'aurai pas perdu mon temps ni mon argent!!!!,1
"""Ici la Voix"" 😭😭",1
"Je l'ai vu 2 fois, j'ai rien capté. Je ne comprends donc pas cette hype sur ce film, donc le 2... Wtf. Je vais me le refaire une 3eme pour être sûre xD",1
Hate de voir si il fera le film five nights at freddy's,3
Fait Interstélare ❤,4
L'epice d'arrakis 😂😂😂,5
10:00 J'en ai d'autres du même gout ?,2
LA BELJIKKèèè !,5
"Merci pour ton travail, c’est vraiment très amusant et super créatif ! J’ai adoré le, j’ai fait des rêves… perso suis pas fan de D’une… 🙏🇧🇪",5
Toujours aussi bon !,5
la video est excellente x) en vrai hate de voir ce qu'il va faire avec le Dune 2 ^^,5
Tu pourrais faire Dune partie 2 stp,3
"pour la voix de vieille leader, je ne regrette pas d'avoir maté la VO, sa voix ne fait pas du tout peur en vf. mdr",3
"""l'epice d'Arakis"" le nouveau parfum de Paco Rabanne",5
Le film est aussi nul qu'il en a l'air? J'avais bien aimé les bouquins.,1
7:24 clairement le meilleur passage,5
"J’adore ce format de vidéo, j’aimerais beaucoup que tu continues à nous montrer tes pépites !",5
"Purée je suis obligée de mettre des pauses pour rigoler toutes les 30 secondes, c'est pas possible 😂😂😂",2
Baki ou Dumbe?,2
Mince j'étais prêt a matter la vidéo mais une critique sur Dune ... Ça n'passe pas camarades.,2
On ne peux pas critiquer un Banger cinématographique ^^ mais px être la prochaine je regarderai 00 !,3
L'épice ....d'arakis 😭😭😂😂😂,5
"Ses vidéos sont toujours sympas mais faire un placement de produits sur toutes alors qu'elles sont pas ultra coûteuses jtrouve ça assez limite, même un placement de produit toutes les 3-4 vidéos ce serait pas gênant et il coffrerait bien quand même mdr. En plus les placements ont jamais de rapport c'est même pas une bonne occasion d'en faire.",3
Matt essaie de ns faire la Matrix trilogie,5
J'ai rien capté au film mais le résumé est une pépite. Ca donne envie de sniffer cet épice.,4
Salut tu pourrais faire À contre sens une fois merci ❤( je suis abonné),5
Trop drôle !!,1
Je voudrais vour un film français,1
Ce film à l'air bien nul mais tu m'as fais super rire 😂,1
"Salakis au bon lait de brebis, je suis ko",4
😂😂😂,5
"uiiii Zendaya la fraude là !!! j'étais venu pour la voir aussi, elle est là moins de 2 minutes",1
💕,5
"Arrakis, au bon lait de brebiss",4
ça c'est quoi 8.000 ?,1
-personne normal: huit mille pourquoi?,1
-Math: oui mille,3
😘,5
"T'as oublié de mentionner que la mère est enceinte, même si franchement avec toutes les roulades qu'ils ont du faire pour survivre pas sur que le foetus soit vivant, mais après la logique des films est différente de la réalité",3
Tu peux faire le Hobbit 2 stp,5
Hello Mathieu j'aimerai pour le prochain prochain msf tu fasse les Croods j'adore ce film et je pense que tu pourrai le parodié très bien (#erreurdanschaquemots),5
"Superbe vidéo comme d'habitude ! un souillage en règle 🤩 mais une petite question : quand on utilise le vpn pour se localiser aux USA pour regarder the Marvels, le film ne sera pas disponible en français ? si ?",5
j'ai regarder hier et je comprend rien du tt ils se battent pour du mais c sa ???,1
rah la VF elle pique quand même...,2
C’était excellent merci 😂,5
"ça se voit que youtube ne te laisses plus utiliser aussi librement les films qu'au début de la chaine (extraits plus courts, son modifié, sans musique, étalonnage différent) mais ton humour est tellement fin dans l'analyse que ça en devient une ptn de vidéo d'expert super intéressante en plus d'être grv drôle ! En plus les petites techniques pour esquiver les règles de protection des gros studios et de leur lobying chez youtube c'est super drôle à voir bref l'une des seules chaînes qui a fait que du bon sur du bon continuellement merciii Math",5
Ma vie pour Azur et Asmar,5
dune on sait tellement fais CHI**** nul ce dune xD,1
"J'avais déjà détesté Dune sorti en 1984 alors je ne pense pas aller voir celui de 2024. J'ai bien ri pendant 15 mn, j'en ai les larmes aux yeux. Quel travail ! Félicitations et, continuez !👍",2
excellente review pour ce sacré film 😂,5
J'ai mieux compris le film dans cette vidéo que dans le film 😂,3
Ha mais quel bg ce Timothée,3
Fait la partie 2 stp,4
en réalité ça se passe environ en 20.000 après JC et l’Épice sert à calculer un chemin sûr pour voyager dans l'espace (donc on peut faire sans (ce que l'Humanité faisait avant de découvrir Arrakis) mais c'est chaud),3
(je sais: c'est pas dit dans le film -_-'),2
Salut Math 😊,5
Ça fait très longtemps que je regarde tes vidéos et je les adore toujours autant ! Tu as un humour incroyable et tes vidéos sont toujours bien travaillées❤,5
Comme tu avais fait un msf sur the witcher et un sur squid game je me demandais si tu pouvais souiller la Casa de papel et le charisme effrayant de ce cher Berlin et du prof ❤😂,5
Continue comme ça ❤Bientôt les 2 millions 🎉,5
11:31 « ici la voix » mdrr 😂,1
Personne:,1
Les abonnés de math: connaissent les avantages de Nord vpn par cœur,5
Quoi maintenant tête de gigot,3
"La date de Dune est basée sur le Jihad Butlérien, pas sur la naissance de JC ;)",3
"Mais, on retrouve la terre dans les préquelles ;)",3
"L'épice n'est pas une déjection, juste un des stades de la reproduction des vers.",3
"Ca donne quand meme l'impression que tu n'as pas beaucoup aimé, je te recommande de lire les bouquins, en vrai c'est vraiment une chouette histoire (et le vrai héros ce sera Leto 2, le fils de Paul) ;)",4
Pour le référencement,4
Tout ce que tu touches deviens or..... tu es génial.,5
Je comprends perso rien au film la,5
Le cosplay mandalorian 😂 beau recyclage 😂,5
"Bon, finalement. Il y avait un peu de matière avec ce film ...",3
un petit kingsman ?,3
Quand est-ce que la Souille s'attaque aux grandes saga souillées comme Fast&Furious ou Resident Evil ?,3
Hilarant !!! 😂,5
"c'est un vieux dessin animé, mais je me demande ce que ca donnerait Math sur ""Le roi et l'oiseau""",3
Le second Mathieu qui interagit avec celui assis sur le canapé me donne des gros flashbacks de SLG,3
Merci de spoil 🖕🏿,5
Il faudrait tellement que tu fasses le film Donjon et Dragon ! Tu aurais trop matière à faire une bonne souille des familles avec tous ses personnages 😂😂😂,3
"""Soumet toi, fait ma chambre""😂😂😂😂 je kifff à chaque video❤",5
"Dans Kin Dza Dza, ce sont des allumettes mais quand on s'inspire de Gogol, c'est plus drôle qu'Elvis Gratton. ;)",3
Une vidéo sur Hellreiser je dis oui,4
"Pour info, l'an 10191 dans Dune, correspond au calendrier impérial, il s'agit en fait de 10191 après la guilde qui marque l'an zéro (création de la guilde spatial). L'an zéro de notre calendrier correspond à -16130 sur le calendrier impérial.",3
Nous sommes donc autour de -14100 et 24300 ans environ nous sépare des évènements et non environ 8200.,3
"Comme dans le film de Lynch, çà n'est pas dit en intro donc confusion il y à.",3
https://fr.wikipedia.org/wiki/Calendrier_imp%C3%A9rial,5
Définitivement un de mes épisodes préféré. C'est vraiment un superbe travail d'auto référencement.,5
Super MSF hâte de voir le deuxième 😊,5
Prochains Wonka stp,5
"12:10 : ""On arrive bientôt à la fin, et je n'ai pas encore vu une seconde la tronche de Zendaya""",3
Exactement ma réaction durant mon visionnage du film 😭,5
"Pour ceux qui ont vu Dune, est ce qu objectivement le film est si incroyable que ca ? J'ai l'impression que sans ses acteurs hyper connus, bah le film est bien mais sans plus",3
Fast And Furious 2 SVP😻,5
Tellement de plaisir cet épisode :D,5
""" Ce n'est que le commencement _ Oui, pour toi, moi j'ai déjà deux heures et demi de film dans les pattes, elle est marrante celle là"" 😂 encore une tres chouette vidéo !",5
Peut tu fair michael myers stp c mon préféré ❤,5
Super comme d'habitude !,5
14:22 j'ai explosé de rire 😂😂,1
"""Un jardinier en bonne sœur"" 🤣 ils ont de sacrés mélanges là-bas",5
On veut voir les royaumes des abysses ! Un chef d'oeuvre sur lequel tu auras beaucoup à dire c'est sur !,5
tellement hâte que tu fasses le 2 !! incroyable vidéo merci,5
"""j'ai mal a la chose"" moi j'ai mal au bide maintenant 🤣🤣",2
Depuis que j'ai vu la version de David Lynch je n'arrive pas a m'accrocher à Dune aller savoir pourquoi ? :/,2
Pour le prochene épisode comme sugjestion (godzilla minus one),3
T'inquiètes la blague du salakis ..même moi j'en ai marre de m'entendre,1
Je m'étais fait la même remarque sur Zendaya 😂,3
"Bonjour, un épisode sur la neuvième porte? merci pour votre travail c'est trop top",3
Alors ça parle de moi à 12:00 ...,1
Tu peux nous faire vermine stp ?,1
T une machine de guerre j'adore,5
Timing parfait,5
😂,5
"Toujours aussi marrant, le menu comme film ca serai pas mal !",5
Hello le film the rock.. un peu vieux mais j’imagine que tu ferais quelque chose de bien 👍,4
Bonne continuation,4
Un episode sur le film d'animation : Robots (2005) ?,3
Ce serait incroyable que tu fasses le film de Fnaf !,5
"""j'ai mal à la chose""",2
inattendu et exquis,1
j'ai PPUNCHé le pouce arc-en-ciel continue comme ça et j'ai deja du dunutella donc pas besoin de chauuucolat mais un tiakola et toute les reste je veux bien peaace cheese pouce vers le haut et par vers le bas .cordialement et merci d'avance clind'oeil clin d'oeil signe de la victoire peace mouahhh sur ta joue.,5
J'ai regardé ce film car j’étais intriguée et surtout parce qu'il y avait Oscar Isaac mais encore une fois son perso est mort 😢😅,4
encore un film que je ne verrai pas,5
"""la belgique!!""",5
pas mal celui la etai drôle,3
Tu pourrais faire Will hunting ?,3
on chosi ou le prochain film ?,2
Merci. Je voulais déja pas regarder et maintenant je n’ai plus besoin de le faire.,5
"-Non s'il-vous-plaît, j'ai une dignité",1
-Alors rejoignez-là,1
J'adore quand les blagues de Math rejoignent les phrases du film mais là c'était du grand Art,5
J'ai toujours pas compris le film des années après 😅,2
"je suis désolée math mais je peux pas regarder cette vidéo vu que c'est en vf, c'est juste cringe",2
On ne peut pas réparer les cheveux… On peut combler avec de l’après shampooing mais un cheveu est mort et il est plutôt difficile de réparer quelque chose de mort !,2
Et pourquoi pas des MSF sur des films de série B style Sharknado ?,2
Benjamin Clémentine  qui gueule lol,5
🤣,5
team Bambi.,5
JUSTE IMCROYABLE ❤❤❤,1
Si il y a bien un film que j’aimerai te voir souiller c’est les 3 mousquetaires en collants épée en plastique et flingues d’époques le rêve en plus en Milady avec les mous d’Eva Green … ❤,3
Un msf sur fnaf se serait cool,4
Toujours Un regale😂😂,5
La Belgique je le prend mal 😭😭😭🤡,3
Dune c’est de la merde genre de la vraie merde pendant 2h j’étais excédée,1
10:41 il quitte se monde en en se fesant tirer les cheveux comme une fifille. Le mot fille est encore une fois ridicule. J'espère qu'on va arrêter de banaliser le sexisme à travers des mots quotidien,1
Ca serait trop  cool un retour aux films culte comme au début de ta chaine !,5
Suggestion pour un futur MSF : INDIANA JONES,4
Le aller sort ta bite m'a fumé 😂😂😂,1
« La Belgique 🇧🇪✊  »,5
Le film the Marvels est nul à chier,1
"Je viens de finir le premier film aujourd'hui, et ce n'est qu'en voyant ta parodie que je me suis dit ""Oui, on va aller voir le 2 demain !"".",5
"Merci de m'avoir expliqué le film, je le regardais sans déplaisir, mais je ne comprenais vraiment pas tout. A défaut de le prendre au sérieux, maintenant, le 1, je le comprends ! 🤣",3
C’est pas un peu de la merde ce film 🥲🤣,4
