Comment,Number
"J’ai essayé de lui échapper, mais c’est mission impossible.",1
Par contre j’lui ai fait une clé de bras bien comme il faut ! 😂,3
"Si vous voulez essayer NordVPN, ça se passe ici : https://nordvpn.com/math (satisfait ou remboursé pendant 30 jours)",1
il fait bien sarko quand meme 🤣🤣🤣,3
"Mon dieu, comme je kiff les vidéos de ce jeune souillons !",5
"Personnages simple sur fond vert, mais efficace et tellement clean !!!",4
En un mot ... mot.,3
"En deux mots, mot mot.",2
"Les anglaise passent le pont, je répète les ponts se passent des anglaises.",1
J'ajoute 2 chemises et retire 1 pot de chambre.,5
Kamoulox.,4
Bravo.,5
Merci.,5
Au revoir.,5
Ca reste un film trop long ✨️😏,2
Tu es genial. Continu. MDR.,5
"3:42 mdr ""Giovanniiii"" 🤣🤣!! (3:53)",3
Pas mal ce film sa m'intéresse pas 😊😊hyper drôle avec math se fait des films 😊😊,3
Le coup des pantoufles sa m'a terminé 😂,5
Très fun le mi OPPENHEIMER mi Sarko xD,5
J'ai ris à gorge déployée,2
Morale du film:,3
"""Ne faites pas l'amour avec nimporte q...."", heu nn plutot:",2
"""1+1=11""🤣🤣🤣",1
Juste c moi ou robert downey junior joue dedant?,3
"Juste, la bombe H il me semble c une bombe thermonucléaire...voila petite parenthese.",3
Ps: je regarde TOUTES tes videos😅😅😅,5
Ici le bar et la bas le futur casino,5
NON MAIS VOUS ÊTES FOUS,1
Donc le parc aquatique c non?,2
C NON,1
Ah...et pour la,5
NON,1
J’allez dire bombe patron,5
EUH D’ACCORD ALLEZ Y ROBERT,5
hummmmm les dialogues ! et la cuisson du steack finalement ?,1
Tellement bon 😁👌👍,5
Je sais pas comment tu as fait mais tu as réussi à ruiner un film avec des scènes super badass,2
14:28 mais jpp-,3
Bouuuuuuuh,3
"Excellent résumé de ce film assommant meme la musique est insupportable;je me doutais que comme la plupart des biopics ce serait un film ennuyeux,et la tete de cet acteur est malaisante,toujours figée en toutes circonstances,peu importe ses roles!",5
alors on en parle qu'ils ont regrouper Thomas Shelby iron man et l'autre Shelby,3
"Je trouve cette critique, soit disant humoristique, vulgaire et lamentable … on va dire qu’on a pas le même type d’humour.",1
"Merci pour ton travail, j’attends toujours mes chocolats 🇧🇪🙏",5
Respect pour t'être retapé ces trois heures de blabla monotone 😂 j'aurais préféré qu'Oppenheimer et le militaire se sautent dessus pendant la derniere demie heure,1
La tronche que t'as avec les lunettes grossissantes ça ma tuée 😂,1
"""Toc toi-même fils de ****"" 😂😂😂😂 j'en peux plus, tu me fais trop rire, merci !!",1
🤍💛♥️💙,5
"premier vidéo que je regarde de math depuis 3 an, il est bon le con.",4
"Je suis un voxophile convaincu mais ce film là, j'arrive pas à le voir autrement qu'en VO 😂",3
Apres y'a que Nolan pour faire un score pareil au box office avec un tel sujet.,3
Good Job 👍🏻,4
Pourquoi voir Oppenheimer si j'ai le remix de matt ? 🔥,1
3h en 17 minutes. Ça me va je regarde et j’aime,1
Donc en fait pour imiter Oppenheimer faut imiter Sarkozy? D'accord X) Bon a savoir XD,3
jadore ton contenue ! tellement décadent jadore !,5
"Et bien merci, ce résumé m'a confirmé que je ne voulais pas voir ce film. 👍",4
La musique ❤,5
15:18,3
Youtube ne met jamais en avant tes vidéos. Je dois vraiment creuser pour les trouver.,1
C'est vraiment dommage et on sent que tu ne rentre plus dans l'esprit de la plateforme selon Youtube (du feat et fun et du storytelling on me propose surtout ca).,2
"conclusion: ""je suis devenu la mort ..... le destructeur des mondes.""",5
-Août,3
- Juillet,3
- je veux bien faire des efforts mais la construction des jetons prend un temps fou 😝,3
- me dites pas que vous êtes encore sur CE PTN DE CASINO 😂😂😂,1
Masterclass,5
16:43 ÉVIDEMMENT,1
