Comment,Number
4 mois offerts sur les abonnements de 2 ans pour NordVPN avec ce lien ! : https://nordvpn.com/poissonfecond,1
Mon père a raté son avion qui c'est craché quelque temps après .,1
Moins vingt !! C’est rien au Québec on a des moins 35😂,1
🤣 J'adore la prononciation de Srebska Kamenice !,5
"Mon close call, comme on dit : le 10 mai de cette année, je me rends au boulot à vélo. Je prends une longue rue en descente à grosse vitesse, j'arrive à un croisement, je mets pied à terre, je décide de prendre la piste cyclable d'en face, je saisis mon guidon, et... mon vélo se disloque dans mes mains, le cadre ayant cassé net sous le guidon, 20 cm plus bas. Si vous pouvez envoyer un message de gratitude éternelle à mon ange gardien, ça serait cool !",1
est-ce que en moins les parents était content quand ils l'ont retrouver car ils avait l'aire d'en avoir rien à foutre de leurs gosses,3
Ayant échapper plus de 3-4 fois à la mort j’aurais dû être dans la vidéo je pense 😂,1
"Désolé d'être vulgaire, mais ""kamenice"" en tchèque ça veut dire ormeau, ce coquillage qui ressemble fortement à un sexe féminin. Donc là, notre héroïne serbe, tombée à Srpska Kamenice, s'est crachée à ""chatte serbe"", en quelque sorte. Tirez-en les conclusions que vous voudrez.",2
J’avoue que je préfère ce format . Merci Chris 👍🏼,3
😂😂😂le placement de produit Nord VPN j'étais pas près,1
"Perso j'adore la couleur, ça révèle totalement ton charme",5
La bonne fréquence cardiaque pour un adulte 80 bpm ????,3
Pour les plus sédentaires peut-être 😂 mais c’est clairement pas bon nan,2
L’intro est formidable !,5
"Le fait de faire entrer un hacker puis de le virer toi même comme ça j'ai tellement rie c'est une super idée félicitations😂. Et bien sûr comme d'habitude la vidéo et super intéressante. Excellent travail a vous tous messieurs, dames. (Dames et messieurs).. 👍💪",5
0:52 qui pose cette question en 2022?🤣,1
Elisa,5
Je suis tomber dans le lac a 4 ans . Mon oncle est arriver à temps . Merci la vie,2
"je devais avoir 3-4 ans, je suis parti tout seul en direction du lieu de travail de ma mère (3km de mon village), heureusement que des gendarmes m'ont ratrappé à la sortie du village... je me rappelle encore que j'avais essayé de les fuir ^^""",1
"J'avais 18 ans je marchais dans la rue et d'un coup mon instinct a paniqué. J'ai fais volte-face sans raison et je suis tombée nez à nez avec un mec qui me fixait. Après plusieurs tests, j'ai vu qu'il me suivait bien pendant que je tournait en rond dans les rues en paniquant. On appelle tous les deux quelqu'un.",2
"Je vois 5 minutes plus tard une voiture que je connais pas s'arrêter à ma hauteur, avec des mecs à l'intérieur qui ont l'air de vouloir me choper.",2
