Comment,Number
Qui est la en 2024,5
Gustave a vraiment prié avant de touché l'eau pour le dernier plat😂😂😂,5
Ta chaîne est incroyable. On peut apprendre des choses sans que ce soit un docu un peu chiant. Merci beaucoup ❤,5
"@10:50 3 ans plus tard, le record du monde Dods est de 41,7m 😳",5
Tu sais la manière dont tu parles à Gustave c’est la façon dont fait un pervers narcissique ^^,1
"PoV le record du monde de death dive est de 41,7 m aujourd’hui",5
"J'ai déjà fais un plat de 3m en essayant de faire un salto , ça fais mal",2
Moi je ferai qu'un saut de 2 M voir un mètre 50 ça suffit largement mets quelqu'un me rassure faut pas avoir peur😮😮😮😮😮 c'est incroyable les blessures ça peut créer,5
en 2020 javais fait un plat de 7mettre savait couper ma respiration est jarivais plus a bougé on a appelais les pompiers est voila est depuis je nause plus aller dans leau😅,1
et sur le dos,2
C'est rigolo de regardé cette vidéo maintenant que le record en death diving est 40m...,1
En gros Gustave a juste goûté aux retours d'inertie sa c'est cadeau 🎉😂 @gustave16,3
Il est mort 😢😢😢,1
"actuellement, le record de dods est de 40,5 mètres",3
Sa se fait pas,1
J'ai fait un plat de 1m à l'époque quant on apprenait à nager debut collège ça m'a suffisamment traumatisé pour ne plus jamais sauté dans l'eau depuis.,2
😅😅😅. RIP Gustave,5
actuelle record de death jump est de 36metre PAR UN FRANCAIS ( come),1
J'aurais une question est-ce que réitérer cette expérience mais avec de l'éthanol à la place de l'eau donnerai les mêmes résultats?,3
"J'habite à côté du pont d'un canal. Il y a plusieurs années, le jeu des jeunes en été était de se défier à grimper sur le dessus de l'arche en béton du pont pour plonger dans le canal. Tous les voisins avaient peur qu'un jour il arrive un accident... Un jour, un jeune a fait un plat et est décédé car ses poumons se sont décollés. Il a fallu qu'un drame arrive pour qu'enfin ce ""jeu"" s'arrête...",5
"Le record death jumps ou døds c'est 34,25 maintenant et c'est un français Côme Girardot",5
merci,5
J'ai deja fait un plat de 5 metre,2
Come girardo qui regarde la video 😐🫥,5
"0:15 wh 78,24% des gens ont rigoler a cause de sa j'suis sur vous avez rigoler si oui liker svppp JIA JAMAIS UE DE LIKE 😢😢",1
11:03 le records est maintenant de 34 mettre et c'est un français,1
Ça fait mal... Ouai ça fait très mal,2
Ça fait quoi de dormir 1 mois,5
"Le record de death jumps ou ""døds"" est maintenant détenu par un français et est de plus de 30metre",1
"Ouïe, désolé Gustave, en tout cas... Super bon mes œufs aux plats, ils ont un goût exquis devant cette vidéo :o",5
"Le record du death jump qui s’appelle normalement le døds, a été battu par un français originaire de Bordeaux qui a fait un saut de 38,11 mètres.",5
pourquoi 11.56 m stp,1
"le nouveau record de Døds (le døds est un synonyme du death jump, enfin pas vraiment mais je vous laisserai regarder ça un peu plus en détails si ça vous intéresse) est maintenant détenu par le français Côme Girardot, ≈34 mètres et il l’a fait en gainer!!",5
« Et si il n’y avait plus d’arbres sur terre ? »,2
Excellente vidéo mais on devrait avoir Chris pour cobaye 🎉❤😅😊🎉,4
"Tu peux faire ""un bébé dans 10 manège d'affilié: ÇA FAIT QUOI?",1
"J’étais sûr que Gustave allait mourrir mais je pensais que le choc provoquerait une commotion cérébrale, ou la nuque brisée, ce genre de chose, enfin en tout cas Gustave est un cobaye courageux",4
Mets Chris pourquoi choisi cette hauteur précisément,5
dit Chris Poisson Fécamp c'est déconseillé au moins de quel âge,1
La grande question est à 3min50 qui a fait le cris car ça ma fait vraiment rire,5
