Comment,Number
J'adore regarder des anciens vidéos je savais pas qu'ils étaient deux types de hacker je crois que je vais m'inscrire à Nantes VPN même si ton promo a été expiré il est trop tard mais tant pis j'ai un grand besoin🎉🎉😂 IME tout le monde mettait un bonnet sur l'ordinateur,5
Merci pour ce vidéo je savais pas,3
"Mais le post-it sur la webcam, c’est pareil sur téléphone ou c’est que sur ordi ? Franchement, je me vois en mettre un sur mon ordi, mais sur mon tel… Un peu moins 😅",3
ARE PEOPLE WATCHING US THROUGH OUR WEBCAMS? True or False #84,2
bon le truc en gras c'est une blague,3
mais tu avait bien fait de flouter ta carte bancaire *parce que je voulait te voler de l'argent*,2
* = c'est une blague,1
Grand fan de ta chaîne !! ❤,5
J’adore cette vidéo! Toujours un régal 👌🏾,5
8'35 c'est pas plutôt Noblesse ?j'ai un doute sur le mot Nobilite 🤣🤣,3
"Pour le post-it sur la cam, je faisais ça avant.",3
"Maintenant avec les caméras sous l'écran des smartphones, ça n'a plus d'intérêt.",2
"Je fais juste un maximum de temps la débile quand je surfe. J'espére qu'à force d'être pris pour des cons, ils laissent tomber.",2
"Heu, jusqu'à présent, c'est pas hyper efficace, on va dire. 🤷🏼‍♀️",2
Mais je suis hyper déterminée dans ma résignation à ne rien changer à mon comportement.,3
"C'est plutôt une sorte de guerre des nerfs actuellement. Mon côté casse couilles, n'a d'égal que mon côté tête de mule.",3
"C'qui est pas très juste c'est que moi, j'suis toute seule ! Hein ? Zavez pas honte? Bordel de merde. 🤬",2
Bisous Loulous 🥰,2
IC 🖖,5
vrai ou faux les datacenter peuvent se faire hacker?,1
"salut doc' merci pour ce que tu fait, mais dis moi, j'ai un question... A quoi sert un VPN quand ceux qui en utilise un balance en générale, toute leur vie sur facebook et font leur recherche sur google ect... ça ne revient pas à mettre sa main devant son visage en prétendant être caché? en tout cas, merci pour tes vidéos, j'ai cru comprendre que tu faisais quand même pas mal de recherche pour les sujet que tu ne métrise pas trop et je trouve ça super,  merci de mettre autant de cœur dans ton travail 👍",3
"Étonnant qu'il n'y ai pas eu de ""cette vidéo est sponsorisée par Nord VPN"" vu le thème mdr",3
Je retire ce que j'aurais dit🤣 j'étais juste pas encore arrivé à 6:53,1
Merci beaucoup j'ai installer un VPN,5
"""on peut débattre de ce qui fait la nobilité d'une chose""",3
LA NOBILITE??,2
Plusieurs personnes ont déjà construites des avions DIY #VraiOuFaux,1
"Vrai ou faux, les avions on quatre force, la trainer, poid propultion et la portance:)",5
10:39 commencaire 😆,5
J aime trop tes vidéos.😃,5
La nobilité ?!! Mais ça passe crème...Aux alentours des 9mn Doc.,2
L'histoire de Kévin Mitnick dure plus longtemps que ma vie.,5
