Comment,Number
"Alors comment c’était ? Le ou là premier/ère qui me réponds « Top... Gun » j’enfile mes baskets, j’débarque devant chez lui, j’enfile une bonne paire de gants… et je lui sert la pince enchanté moi c’est math. C’est clair ou pas ? Punchez moi ce pouce bleu si vous avez kiffé la vidéo évidemment, et si après tout ce temps, vous n’avez pas encore tester NordVPN, régalez-vous utilisez mon lien https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).",1
Excellent film ❤🛫🛫,5
"0:38 Le porte-clé c'est pas un F-18, c'est un F-14 💀😭",1
A quand Top Gun 1 plssss?? 😊,1
"""Quelqu'un veut voir mon slip?!"" Tu m'as tué 😂😂😂",1
L'apparition d'Hélèna est génial 😂 enfin si c'est comme ça qu'elle s'appelle jme souviens plus 👀,5
Juste le porte clef au début c'est un F-14 pas un F-18 bisous,2
"Exceptionnel cet épisode, j'ai beaucoup ris 😂",5
"0:38 ""Mon porte clé F18"" pov : le porte clé F14 Tomcat TvTT",1
Super intercention d'Helena 🤣🤣🤣🤣😍😍😍😍,5
13:20 Si ! Tom Cruise meurt dans le film [ATTENTION SPOILER] Walkyries !,1
"13:21 ah si,  dans Valkyrie il est mort et ratamort pour le coup, une vrai passoire.",1
"Tom Cruise ""ne meurs jamais dans ses films"" ? Faut revoir le script lol même si j'adore ce que tu fais là tu t'es planté...",3
Ce film est tellement une daube 😂,5
😂,5
vraiment top ta chaine youtube !,5
"Voir le film deux fois, et rigoler une deuxième fois a ce souillage, fait !",1
8:35 p’tit côté ASMR,1
"Pour mettre une chose au clair, les plans types pubs c'est plutôt pour remettre dans l'ambiance Top Gun avec plein de refs.",3
C'est un porte clé f14 pas f18,1
11:21 mec tu joues trop bien,5
c'est un porte clef f14 et pas f18,1
Le porte clés c'est un F-14 et pas un F-18,3
😂 j'adore quand on fait du placement de produit en critiquant les placements de produits dans les films.,5
9:02 des barres 🤣🤣,1
Helena😂😂😂😂😂,5
"Après toutes ces années t'es toujours aussi bon, imaginatif et divertissant.",5
C'est du grand art👌👍,5
"Je viens de re re re voir cet épisode , je pleure de rire à chaque fois 😂😂😂",5
best Pub Nord VPN,5
Par contre avec Woody faut pas faire des trucs comme ça je suis ko maintenant 😂😂😂😂,3
"C'est un F14 le porte clef, pas un F18",1
Vu le prix d'un P51 en vente.. plus une Kawasaki H2 90' et H2 moderne.. Je comprends un peux le principe de la garçonnière dans le Hangar ;'),5
"Petite erreur, à 0:38 il s'agit d'un F-14 et non d'un F/A-18",1
Je pense que personne ne verra ce commentaire mais Tom Cruise meurt dans Barry seal,3
Toujours un régal,5
"""Ce genre de regard ?"" J'en ai recracher ma gorgé d'eau 👏",2
"J'adore le caméo d'Helena, et je suis d'accord avec elle il y a rien a jeter",5
tu es trop fort,2
J'ai chialé de rire,1
Math ne me lance pas ce regard. 🤭🤭🤭,1
😂 mais tu es tellement drôle 🤣,2
t'as oublié le passage pathétique à la fin du film lorsque Maverick apprend à son protégé à faire de la mécanique...,3
sur le porte clef ce ne pas un f18 mais un f14 sinon le videograme est super bien,4
C’est pas un porte clé f18 mais f14,3
PORTE CLE F14 !!!!!!!!!!!!!!!!!!!!!!!!! gros rageur que je suis,5
Porte clé F-18 ou F-14,4
Absoluement TOUUUT est à  mourrir de rire 😂 l'intervention d'Helena était top😂😂,1
Merci je n ai jamais beaucoup aimé Cruise 'mais cette fois je n ai fait que rii j adore!,5
"HOOO MAMA, ça fait 1an que je n'avais pas revu tes vidéos. BORDEL un banger toujours incroyable MERCI",5
Je suis désolé poto mais les dessin animé tu m'as fait mal. T as perdu ton humour et de ta superbe mais faut rebondir. Courage à toi t es capable de me faire rire encore ciao ❤❤❤😊,3
il m'a plu,2
0:36 C'est un F-14 Tomcat Aille aille aille! 🙃,1
Math c'est pas pour t'e dire des méchancetés mais est ce que tu va faire de la musculation,3
Ce regard...,5
A 8min30 😂😂😂,5
"Le ""salut pétasse"" m'a tuée sur place 🤣🤣🤣",1
C'est vrai que c'est la voix de Woody de Toy Story ! 😵😂,5
Bon bas après j’attends top gun 2,3
le woody m'a achevé ^^ superbe vidéo,5
C'est pas roster mais rooster,3
"Alors juste pour info, Penny sort pas de nulle part. En réalité, c'est la fille de l'amiral dont on parle dans le premier film 😁",1
T'est tellement beau gosse que l'on pourrait te confondre avec Tom Criuz,5
Porte clef f-14 svp,5
Petit Porte clé F14 ducoup pas F18,2
Je viens de te découvrir mais t'es trop fort mec !!😂,3
0:39 c’est un F-14 tomcat mais je sais je suis rabat-joie,1
9:17 elle avait été mentionnée discrètement dans le premier film,3
Cheesecake et Montre a gousset...,5
Je veux pas faire chier mais il meurt dans collatéral 😅,3
Porte clé F14*,4
"J'adore, vraiment tu me fais mourir de rire! 🤣😂🤣😂🤣😂",5
la daronne a kiffer a taime mon reuf,1
il y a que moi qui pense que Bob ressemble a Matt,3
"Ça fait longtemps que je n’avais pas ri comme ça, merci pour LES fous rires, que de moments épiques 😂🙌🙏",5
Le Woody 🤣,4
"Fais Avatar 2, il est trop bien!🙏😋",5
Top...Gun,5
roster c'est sheshounet xD,5
C’était incroyable j’étais plié en deux 😂,1
"Salut petasse, non, penny, penny 😆😀😁😂🤣😃😄😅",1
C’était Top… Gun,5
C'était Top Gun les mecs c'est ça qu'on voulais dire. Nan par contre le ''tu parles de ce regard penny'' 😭,5
"Même moi qui ne m'y connait pas trop en aviation, mach 10 sur un expérimental et plus de 3 sur de l'avion de chasse US ça m'a choqué, ou alors y'a eu un problème de traduction de la VO 😵",2
J’ai enfin pu regarder cette vidéo parce que j’ai enfin vu le film et c’est si drôle vrmt !!!!!!!!!!!!!!!!! Merci 🤩,5
c un porte clef f-14,4
Et Maverick vole un vieux f14 au lieu d'un su 57 super maneuvrable,5
dommage c'etais un porte clé f14 et non 18 sinon super cool la video comme d'hab,3
Le porte clé c'est pas un F/A18 C'est un F-14 SUPERTOMCAT,1
super vidéo,5
Tu pourrait fait un épisode sur Fury le film de char merci,3
T'aurais pu parler du fait que le SU-57 n'arrive pas à vaincre un F-14 alors qu'irl c'est instant kill. Sinon bonne vidéo bien fun,1
"T'es drôle toi, c'est la première fois que je te vois et je me suis fendue la poire tout du long avec tes conneries",1
Oh le CSC sur les pubs,5
Non mais le PNG de Woddy magnifique !!!! J'avais jamais capté avant et c'est la scène sur un bateau où j'ai tilté xD et après je ne voyais que Woody c'était déstabilisant de voir une poupée en coton pilote mdr et la scène où il montre Woody c'est excatement ce que je me suis dis en regardant le film,3
Un genie lol,5
Et la scene avec son ancien rivale muet/malade excellente !,5
l'arrivée de Justhéléna est INCROYABLE,5
11:02 je pleure 😭😭,5
trop trop top !!! Merci !!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
S'était TOP,5
"4:40 je t’en pris Si jamais tu décides à tout hasard de te débarrasser du bonnet (ce que j’espère pas car j’adore, comme beaucoup de monde à mon avis, ce personnage) informe moi sur Insta et donne le moi please !",5
Le porte clefs c'est un F14 TOMCAT pas un f18 ( oui je râle pour rien ),1
Quelqu'un connaît le setup de Math ? Quelle caméra il utilise pour ses vidéos ? Merci d'avance !,3
Merci pour tes vidéos depuis tout ce temps!,5
team zootopie,4
La scène à 10:31 je suis mort 😂,1
Dragons 2,4
Team zootopie,4
"0:38 Aïe, la faute de goût...",1
"Ce n'est pas un F18, mais un F14 Tomcat, l'avion emblématique de ""Top Gun"" premier du nom.",4
"Comment ? Oui, on s'en f..., je sais.",1
"Oui, je suis un grand fan de Top Gun et un peu geek sur les bords à propos d'aviation. J'avoue. J'assume.",3
Math je t'aime.,3
dragon 2 stp !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Temps zootopie,3
Tu pourrais parodier John wick ? :),1
"Putain mais pourquoi je découvres cette chaine qu'aujourd'hui ?? Je suis vraiment une pauvre merde infame. C'est sublime, super taf !!",3
"Par contre les gens qui se permettent de regarder ce genre de masterclass sans mettre de pouce bleu, vous méritez de brûler sous les bombes d'un F18.",3
J’me suis tapé d’énorme barre de rire merci pour tout,5
Vent moi ce .....  La bonne ref,3
désabonne on n'a toujours pas ue le chocolat,1
Top…Gun,5
Bsr Math tu pourrait passé le genre de film comme MIB : international ou Spider-Man new génération. (continue comme ça tu gère !),3
10:20 Oh? Mais que vois-je?😆,1
La prochaine fois tu peut faire la tour monparnass infernal,1
"Math : tom cruse ne meurs jamais dans ses films, Edge of tomorrow be like :",4
