Comment,Number
"Hello Fabien on adore ces vidéos. Pourrais tu faire une confrontation entre le témoignage de yann moix sur sa famille, avec celui de son frère ? pour comparer les 2 et voir le non verbal. ça serait intéressant. Parce que tout le monde prend parti pour le frère, mais je soupçonne que ce soit plus par effet anti Yann Moix que parce que le frère dit la vérité. j'aimerais avoir ton avis, merci",5
"Pffff, comment perdre 15 minutes de son temps, et ben voilà !!",1
svp analyser Cindy Phan,4
Zemmour face à Baba la prochaine qu'on veut,5
C'est pas un signe de soumission c'est qu'il n'aime pas être dans la confrontation Yann.,2
Un Pitt pull nain face à un labrador conciliant,5
Un peu partout je remarque que Yann essaye toujours de trouver des points d'ententes avec ses interlocuteurs.,3
Contrairement à Zemmour qui cherche des désaccords,3
"Avec le recul du youtube game de ces 2 dernières années, meilleure pub Nordvpn jamais vue. lol",5
Si tu pourrais éviter de perdre du temps avec tes conneries de comédie la juste pour avoir plus de vues je trouve ça pathétique rentre dans.le.vif du sujets tu es.dune lourdeur ça m'a soulé quand tu joue avec tes jouets la je m'arrête là c'est chiant pour moi dsl!😤😤😤😤😤,1
"Z. est un rhétoriste mais il raconte n'importe quoi. Il n'énonce pas des faits, mais ses opinions, il dit d'ailleurs ""je pense"" quasi systématiquement. C'est de cette façon qu'il construit une pensée xénophobe, basée sur des fantasmes et non des faits.",1
"Tu ne crois pas que Moix laisse la parole plus par politesse (ne pas couper) que pas ""défaite""",2
A quand l'analyse Lucifer VS Satan XD ???,1
"Une analyse de qualité , merci beaucoup .",5
"Salut, on voudrait une analyse non verbale s'emmerder melonchon svp",1
Ce placement de produit était trop mignon je l'ai pas skippé,2
(oui je regarde ça plus d'un an en retard),2
Oooooohh j'ai le même casque haha,1
"Moi et Zemmour, intelligents... On va pas aller jusque là...",5
Zemmour un greffon comme on les aime ... Moix une mauvaise souche à évacuer ...,1
Zemmour est vraiment trop fort haha,2
Meilleure pub vpn de tout les temps avec sa meilleure intro,5
Vous devriez normalisez ces publicités car y’en a pas mal qui sont relou,3
Très aguerri  oh oui!!! Un manipulateur horrible la guêpe zézé. Berk quand il ouvre la bouche.,1
Merci Fabien pour vos contenus . 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
Fait une analyse de Marck zukerberg quand il était au séna américain,4
Pourquoi le gars derriere la camera a la voix de mister jday,1
"Zemmour est très intelligeant et en plus les fais sur l'immigration lui donne raison, donc débat avec, c'est très bien, c'est ça la démocratie et la liberté de pensée, mais vous être sur de perdre",4
Yep,3
zemmour point faible trop fort,2
2:40....musique de tension..... Bah non enfaîte c'est pas tf1,1
"Je veux une vidéo d'1h30 sur un débat de ton choix, avec les personnes de ton choix.",5
"Entrons en profondeur dans les ""croyances"" !",5
ça serai bien aussi des analyses verbales (bon pas forcement en même temps que les non-verbales parce que ça ferai long ) parce que même si le non-verbale est intéressant et important dans une conversation le verbale l'est tout autant car la manière dont ce qu'on dit influence ce que ça véhicule dans la tête des autre est quand même vachement important,3
il se fait un drole de délire Dany Boon,1
le Z : point faible : trop fort,3
Analyser Zemmour c vraiment un coup d'épée  dans l'eau,1
Yann moix le mec qui a fini chez hanouna.🤣🤣🤣🤣🤣,5
"Votre analyse est hyper intéressante, même si j'ai rien compris",5
Compte tu faire un analyse sur le discours d’Emmanuel macron de ce soir ?,3
C'est quoi le lien du débats ?,3
"Ce n' est que de la mise en scène ,yann parle, Zemmour le défonce. Et si Zemmour aurais commencé le dialogue et yann argumente ou dément . se serait il passé pareil?",2
Il faudrais des versions longues !!!,3
"Moix était en dessous sur ce débat. Soumis. A certains moments, on avait l'impression qu'il allait pleurer.",2
"C'est sympa ce que tu fais, mais au secours l homme sandwich que tu es c'est tellement pénible ta pub pour ton sponsor...",2
"faut lui reconnaitre ça, il est très fort le Zemmour",3
Analyse Poutine stp,4
Ouiiiii on veut voir plus !😂,3
Meilleur pub pour Nord vpn du siècle merci Play mobil 😂👌🏼,5
"""TINTINTINTIIIIIN, Je suis NordVPN!"" Je ne sais pas pourquoi mais la façon dont c'est dit m'a fait rire, je dois être fatigué.",1
Oh ce placement de produit 😆 magnifique,5
"Pour moi, lorsque Yann Moix parle de ""migrants exhilés"", c'est de la surprise qu'on voit sur le visage de Zemmour, avant de voir un certains dédain/mépris quand il se redresse.",3
"On sait que c’est l’émission « de zemmour », et que par conséquent, des le départ il a le « lead », mais ce serait intéressant de voir à quel moment et comment Yann Moix peut reprendre le dessus ou non.",3
"ce qui serait super c'est de faire des analyses des youtoubers qui essayent d'arnaquer ou ont essayé voir réussi.. leur communauté et puis ca nous apprendrait a reconnaître un arnaqueur ^^, y'a de quoi faire quelques vidéo",5
Très intéressant,5
Son racisme devrait être sanctionné il montre du doigt une communauté mais n'a aucune solution qui fonctionne pour cesser la violence qui n'est pas du au origine elle a augmenté parce la police fait plus son travail.,1
"j'avais envie de voir la vidéo mais les pubs pour les réseaux (cas)sociaux et nord vpn dès le début....ça serait sympa de penser à ceux qui ,comme moi ,ne supporte pas la pub!!",2
j'ai pas adblock pour me prendre 5pubs en 3s....pas content!!!!,1
Oé le sourire c'est qui réagi et ce dis qu'ils arrivent à se qui veux.,5
"Aaah! Il violente les moucherons... assassin ! Rebellons nous mes frères pour arrêter ce genocide, vive l’insecte libre !",5
Une analyse par Fabien quand Fabien fait la promo de NordVPN ça serait intéressant 😁 Fabien comprend t il ce qu il explique..  est ce que il y croit ? 👍 En tout cas merci pour tes vidéos,3
Zemmour est trop fort dans son domaine c’est hard.,2
Une analyse de sibeth Ndiaye serait pas mal pour voir si tu observes qu'elle pense ce qu'elle dit ou pas. 😉,3
"Salut Fabien,",5
Tu fais tes montages vidéos avec quel logiciel stp ?,1
Est ce que tu pourras faire une analyse du non verbale des fréres bogdanoff? quand ils parlent nottament de leur transformation.,3
si tu fait cette analyse voici 2 vidéo que je te recommande:,5
"-la vérité sur le visage des Bogdanoff!!! (Youtube, premier resultat a la recherche, les fréres bogdanov (ou bogdanoff)",5
"- notre histoire au rayon X etais bidon et a été reprise par les médias (ils été sur le,plateau de morandini live, et le présantateur et rvenu sur cette histoire qu'ils avaient raconter quelque jour plutot dans tpmp. Je n'est pas le titre exact mais ont la trouve facilement sur google)",5
T qui toi c lie to me,1
Très éclairant ! Zemmour est vraiment fort...,5
"je regarde aussi souvent que je peux ""Face à l'Info"", hélas on a plus de"" Face à Face"", Zemmour est toujours clair sur ses mimiques on sait à l'avance ce qu'il pense de ce que disent les autres personnes! Il est clair sur ses opinions, et il est souvent d'accord avec Marc Mennant! J'aime cette émission car ils parlent de pleins de thèmes et aussi de l'Histoire de France!",3
Le lien vers la vidéo CNews du débat serait cool,3
Pourrais-tu faire une analyse d’une interview de Michael Jackson ça serai cool 😁😁😁👌🏼👍🏼👍🏼👍🏼👍🏼,5
"Ce concept est génial ! Hyper interessant, on en veut plus. Tu pourrais analyser des chanteurs, y’a le même type d’attitude non verbales, en live, en studio et même en playback !!  On use d’ailleurs d’attitudes en studio par exemple pour transmettre des émotions diverses , c’est ce qu’on appelle « l’interprétation » !!!",5
En fait Yann Moix est trop respectueux pour un débat avec le contradicteur professionnel Zemmour,3
il a dit Yann moix et intelligent dans la même phrase,5
Il est génial Zemour mais il surpasse à mort yan moix😅,4
Analyse Yassin  bellatar et zemour.. stppppppppp,4
Faut faire une vidéo sur zemour,3
pire placement produit mdr,1
"analyser Raoult, Appoline Malherbe ... C'est possible ? On a l'ITW avec Juan Branco / Malherbe aussi ... Mais cette femme, franchement, besoin de comprendre.",2
"Bonjour Fabien , j'aimerai pas cracher sur ton travail mais je pense qu'il faudrait faire un peu + attention a ce que tu dis, ou que tu mettes un message avant ce genre de vidéo du style "" Ce que je vais dire n'est pas sûr a 100% mais c'est mon avis"" - Par exemple a 3:16 tu sors un rire de chacal en donnant l'air que tu es sûr que Yann Moix aime être "" complimenté "" par ce que tu as cru que c'etait un sourire qu'il a voulu controlé. Moi j'vois dès le début qu'il a un peu la pression, qu'il sait pas encore quelle position il va prendre, un écartement des bras + un mouvement de la bouche du style "" ouais si tu veux """,3
"Mais moi j'ai pas fait tes études , mais je pense que chacun agit différement en fonction du contexte, de son vécut, ses experiences, ce qu'il en a tiré.",3
"Ce qui est applicable a l'un, ne l'est pas forcément pour l'autre.",3
"excellente vidéo trop courte: je préfère les vidéos d'analyse de débat à 2 personnes plutôt que les vidéos sur une personne (macron entre autre), faites en + !",5
zemmour est trop fort!!! en revanche avec Onfray c'était un débat passionnant!!!,2
La meilleure vidéo pédagogique sur le fonctionnement d'un VPN !!!,5
oupa... :D,1
"Mouais, analyser un débat via l'analyse non-verbale me laisse tout de même perplexe, malgré votre démonstration. Je pense que les enjeux et les temps forts d'un duel dans l'espace public résident dans la parole des acteurs. J'invite les gens à aller voir le travail et la chaîne Youtube de Victor Ferry, Docteur en Science politique et rhétorique qui, à mon sens, se montre bien plus pertinent pour analyser et faire une synthèse de débat.",2
la pub nord vpn... t'es mon héros,5
"La miniature disait : ""double anal..."" j'ai cliqué tout de suite, je comprends pas ce qui s'est passé.",2
Encore Cnew ... il faut se detendre du string 🤣🤣🤣🤣🤣,3
Monsieur burns vs Moe,5
"Salut Fabien, ce que j'aime ta simplicité, j'te trouve sain, c'est plaisant ! Oui je sais, étrange comme compliment. Dis, tu voudrais pas faire une analyse sur les propos de Stephane Bourgoin ? Je suis assez fan de ce bonhomme et depuis quelques semaines mon mythe s'effondre car il se pourrait qu'il ai mythoné toute sa vie... Il est passé dans un tas d'émissions donc pas difficile de trouver des vidéos de ses interviews. Merci très beaucoup à toute l'équipe, et continuez surtout !",5
Zemmour est le mâle alpha,5
"Ce que je trouve dommage avec cette vidéo, c'est le manque de continuité. Comme tu le dis Fabien, on retrouve ici 2 grosses têtes en face à face, ils manipulent les mots avec d'une telle manière que je trouve réducteur d'analyser seulement leur non-verbal, d'autant plus qu'ici, les intervenants sont assez expressifs (donc il est plus évident pour nous de décrypter ce non-verbal).",3
"En effet, il serait bien que tu fasses une vidéo un peu plus longue mais en te penchant sur le sujet (sans forcément donner ton opinion), ce qui permettrait sûrement une meilleure analyse du non-verbal.",3
J’adore ce type de vidéo d’analyse qui m’a permis de vraiment mieux voir certains pièges volontaire ou non mit en place par de grande chaîne de télévision qui représente l’une des façons les plus influentes de transmettre de l’informations et qui se déclare sans partie prit.,5
"Ce qui est gênant, c'est ton cadreur mdr mais tqt je vais pas arrêter de te suivre",2
"en même temps Zemmour c'est ""The Master"" niveau débat ;-)",5
Imagine zemmour ´´ nan Yann déjà tu na plus de grand mère....’’ 😂😂,5
"Il y a quelques semaines je proposait un projet assez intéressant pour le collège devant me cpe et tous les autres délégués, et ils étaient tous comme zemmour a reculer mon temps de parole",2
J'avais les mêmes expressions que Yann mais fois 1000000,1
Go la partie 2 🙏🙏,3
"Très belle analyse qui montre la supériorité de Zemmour sur ses contradicteurs ! A part quelques égalités avec des gens comme Michel Onfray c'est impressionnant de voir une personne dominer autant les autres ! On comprend que les vaincus utilisent la méthodes des faibles et lui crachent dessus avec calomnie, insultes etc...",5
"J’aime bien tes vidéos. Par contre vraiment, que le cameraman ferme sa ...... 😂",4
J'avais vu cette video qui m'avait interpellée:,1
Deux grands anciens inquisiteurs de l'émission de  Laurent Ruquier et Catherine Barma se re-retrouvent.,4
"Moix et Zemmour se sont toujours bagarrés quand chacun présentait un livre mais cette fois ci j'ai vu un Moix avec une certaine forme d'obséquiosité devant celui qu'il combattait comme un gladiateur jadis, serait-ce à cause de la polémique sur son dernier livre et à sa disgrâce médiatique qui le poussent à une certaine retenue?",2
Tout cela pour dire que effectivement il y avait plein à raconter sur son attitude corporelle ce soir là...je l'ai ressenti sans toutefois pouvoir l'exprimer ainsi.,3
Zemmour est incroyable !!,5
Sujet: les extra terrestre existent ils?,2
Zémour Wins,3
"Zemmour est fort, il maîtrise parfaitement son jeu. C'est pour ça qu'il met des dérouillées à tout le monde. Qu'il ai raison ou tord n'y change rien.",5
"Je vois ce débat comme un contrat tacite. D'un côté, Yann Moix (Dis, tu veux bien être mon ami?) retrouve une plateforme à grande écoute qui accepte de le recevoir pour un débat intellectuel (avec un Juif en plus c'est tout bénéf pour une réhabilitation), de l'autre, notre ami Zemmour trouve une victime de choix, au palmarès imposant, et va pouvoir dérouler comme Roger à Wimbledon en 2005. Et bam... va chercher la baballe... bien Yann, très bien.",5
