Comment,Number
Vous noterez la qualité sans précédents des costumes de cette vidéo ! haha,4
N'hésitez pas à liker si la vidéo vous à fait marrer !,2
"Et l'offre des -75% sur NordVPN est toujours valable sur @t ou avec le code ""math""",5
"(2,62€/mois + 1 mois gratuit)",1
toujours aussi incroyable,5
*LE syndrome de la petite sirène*Tu t’ai trompé 😅😅,1
popopopp les bzezs a,3
"""Ma voix pour aller voter ?"" mdr bien vu",1
"À 10:00,j'avais mis les sous-titres et quand ça a joué d'la flûte (version MATH,mdr) ça à mis : (musique horrible) 😂😂",1
Purée je suis dégouté moi j'ai grandi avec le comte original où elle meurt à la fin.,2
😂 Merci Math,5
"""Apres faut dire que j'allais vite"" 😂😂😂😂",3
Ariel c'est une mauvaise mère et elle a mal éduqué son fils Iago.,2
"Tu aurais dû doubler Ariel en 2023, sérieux 🤣 🥺 😊",5
""" Comment il a survecue celui la "" 😂😂😂",1
👍😁🎥🧜🏻‍♀️,5
👍🎥🤩🏰,5
LA syndrome? Dans le titre😂😂,2
10:00 quel morceau incroyable à la flûte,5
"7:17 ""pour aller voter""",5
Surtout qu'effectivement ça a bien l'air de s'agir d'une démocratie aussi bien dans le monde marin dans le royaume de Triton que sur terre dans le royaume d'Éric🤣,5
"7:17 ""pour aller voter"" mdrr",1
4:55 incroyable😂😂,4
La tenue normale que tu utilises pour faire la narration ressemble beaucoup à la tenue du prince Éric,3
Le costume du goéland restera toujours un des costumes les plus iconiques de la chaîne 👌😂,5
J'adore la petite sirène avec ariel et Éric et ursula avec math se fait des films et quatrième princesse 😊😊,5
3:49 Anne-Sophie de la Coquillette ?,3
Qui a vu le live action ???,3
J'adore la petite sirene et marh😊,5
J'adore le costume du goélands 👍👍👍👍,5
le costume du prince on dirait Hauru de le chateau ambulant,3
Moment le plus triste de la vidéo T^T 10:00,1
y,5
"Malgré la souille , j'avais oublié à quel point ce film est un chef d'oeuvre . Je pense qu'il est plus dûr à comprendre pour un enfant de 5 ans qu'un adulte XD . je crois que je vais le revoir après au moins 20 25 ans .",4
J'adore ursula et Éric et ariel disney la petite sirene avec math,5
Elle ne connaît pas les fourchettes...... ELLE MANGE AVEC QUOI ???????,2
