Comment,Number
"Bonsoir, on espère que la vidéo vous plaît ! Rdv sur https://nordvpn.com/mcflyetcarlito",5
"pour obtenir un abonnement de 2 ans + un cadeau bonus, le tout avec une énorme réduction.",5
C’est sans risque car satisfait ou remboursé pendant les 30 premiers jours.,5
7:45 RRRrrrr !!!,1
Ça me manque ce format de vidéos 🥺,2
7:46 RRRRrrrrr référence 😊,5
7:34  bad maintenant oui 😂😂😂😂,1
à 10:04 c'est un concept finalement réalisé 😂,4
Un des meilleurs placements de produits DU MONDE NON CE N'EST PAS DE L'ABUS,5
"Dites moi que je suis pas le seul a avoir eu la ref du film ""RRRrrrr""",1
Franchement top 👍,5
Cette vidéo me stress le passage de mcfly et Carlito me stress je trouve ça trop gringe,2
5:03 José dans la vidéo d’Inoxtag 😮😂,5
2:25 😅,1
C est vraiment lama fâché?,1
Nickel😂🎉,5
Pour moi cette vidéo est la meilleure de toute la chaîne,5
Le référence a Rrrrrrrr incroyable !! 7:45,5
Wsh mais Amixem est VRAIMENT BG sur cette vidéo 😮,3
"Je reconnait très bien le petit sourire d'amixem, je suis sur qu'il se dit ""je donne la replique à jean-paul rouve, ma vie n'a aucun sens BORDEL"" 😂",4
On veux un 2,3
La ptite photo à 10:36 qui passe discrètement 😂😂😂,1
Dans la description y’a écrit livreur Chanel alors que c’était un livreur Prada et ça m’angoisse 😂😂😂,5
"10:04 : ""boire de l'eau"", effectivement, c'est fait",1
7:56 Magique🤣,5
Hahahaahha,1
4:56 ptn j'avais pas fait le lien,1
"Boire de l'eau ou de l'alcool, 2 ans plus tard c'est ce que fait McFly et Carlito. 😂",5
Gui,3
3:26 paulok = mcfly et carlito ??,3
7:47 le référence à Rrrr,3
7:38 la bonne ref à rrrrrrrrrrh 😂,5
à 5:02 c'est josé le goat ❤😂,1
7:43 suis-je le seul à avoir reconnu la référence au film GRRrrr ?,1
Att mais c'était nul nan ?,1
Michou a un second degré exceptionnel,5
internet est un con haha❤😂,5
le non😂😂de vous vous valider le disagne😂😂,5
michou joue si bien,5
Mais c'est génial 🎉😂😂,5
C'était vrmt lama faché ou c'est un gag ?,1
1:32 le daron mahfouf qui vape tranquille mdrr,1
La ref a Rrrrrrrrrrrr avec le « Guy » merci pour ça,5
Oligard il est mentaliste ou medium😂😂😂😂,1
Je suis Doug 🤚🏼,5
incroyable la ref a RRRrrrr!,5
Je suis la seul a trouver que cest amixem😅❤,3
J'HABITE À MONCEAU LES MINES,5
en 2024 cette video me fume toujours x),1
le second dégrée de michou génial,5
Le créateur de lama fâché chui un plus grand fan de ton contenu 🤩🤩🤩,5
"7:36 le coup de David ""Ah non ça s’est moi""😂",5
9:58 c'est pas ce qu'on voit dans ses vidéos 😂,1
4:53   celui de Groland 🤣,4
Et tu regarde amixem ce pinté la guele avec thomas en 100 verre 😂😂,5
9:48 mdrrr ducoup il a changer d’avis,1
MorganVS incroyable 😂😂,5
"Vidéo de qualité, j'adore!!!!!",5
Fabien olicar me tue,1
Quatrième fois que je regarde j’adore le concept,5
Ya 2 ans il l'écrivait pour une vanne et 2 ans plus tard ils boivent vraiment de l'eau sur internet 😅,5
"Putain, je viens de découvrir la vidéo... C'est énorme, j'adore 😃👌",5
"Que  des sans talents,",1
