Comment,Number
"Profitez d'une offre exceptionnelle sur les abo de 2 ans de NordVPN:  4 mois offerts + une carte-cadeau Amazon.fr de 10€, 20€ ou 30€ selon l'abonnement de 2 ans choisi en suivant notre lien nordvpn.com/joueur",5
2:05,2
"Seb et Fred ont atteint le niveau des Simpsons, ils peuvent anticiper l'avenir!",5
J'ai eu une pub pour SC !,5
La trend à 2:05 est réelle 😭,5
02:05 mon dieu,5
2:05 vive le Québec stupide.... euh... libre...,1
Dingue caje regarde la vidéo de lusty et effectivement c'était vrai,3
2:05 MAIS C'EST DEVENU VRAI EN PLUS 😭😭,3
Bonjour Lusty ! 👋,5
2:03 Ce niveau de prédiction putain.... c'est devenu un challenge....,5
"Ce jeudi 12 décembre 2024 la réalité a rattrapé la fiction,  devisser les pneu est un vrai challenge sur tiktok :p",5
"jpp, dire que JDG avait prédit le défis de la vidéo de lusty🤣",1
So toi aussi tu viens après la vidéo de lusti su les defi a la con,3
2:05 youtube : watch?v=BcIJQ7SBiTA Un dangereux défi sur TikTok sème l’inquiétude chez des automobilistes,1
"Vous aussi, vous êtes là grâce à Lusty ?",5
Trend humoristique qui est devenue réalité à 2:04 malheureusement.,3
l'orable JDG avait raison.... 2:05,1
Bon lusty a sortie une vidéo...,5
"Tu a prédit ce defi tiktok, car il est devenue réel 2:05",2
"Le "" dévisse la roue challenge "" existe bien au canada",4
"Un pneu ça ne se dévisse pas, c'est la roue qu'il faut dire",5
20:44 et aussi Buzzy 3Dddddddddd😱,5
"21:21 Je suis sûrement pas le seul à l’avoir remarqué, mais bon je ne l’irai pas 5000 commentaires. La VO parle de Détroit, alors que les sous titres mentionnés le Bronx 😂",3
"Donc si je comprends bien... si TITUS n'avait pas fait faillite, on aurait pas Fallout New Vegas. Merci TITUS !",3
Si seulement ça pouvait être vrai lol 😀,3
Vraiment les SEULES pubs que je ne passe pas sur youtube c’est les votres 😂❤️,5
Je suis sûre que le costume de Robocop est le costume le plus lourd et inconfortable que  Frédéric n'ait jamais eu à porter.,3
"Incroyable, merci de vendre du rêve !",5
Il existe une version non censuré ? Je veux voir du sang,1
"wow . ces Jeux Robocop sur Nes  ,  on dirait des jeux colordreams ..",5
"Quasiment un an plus tard, on voit apparaitre le challenge où les fans de JUL trempe leur doigt dans de l'alcool pour y mettre le feu et faire le signe de JUL avec les doigts enflammé ... vivement le j'avalelajavelchallenge dans 1 an !",1
Bon bah on a pas encore le ToutBrulerChalleng mais on a le ImmoleToiChalleng maintenant,4
La parodie est juste topissimme ! ❤😂,5
Violence policière ? C'est quoi cette chaîne de gaucho,1
"J'imagine qu'ils ont retravaillé la musique pour pouvoir faire la vidéo, et en vrai je préfère leur version 😌",3
Mort de rire de bout en bout ^^,1
10:28 Seuls les vrais ont reconnu le clin d'oeil à un célèbre clown anglais.,1
Le costume est génial !,5
Ah c'est jdg numéro 2 😮,1
8:49 c'est pas un ATARI ST ! Mais un Mega ST ! Je me désabonne ! 😅,1
"Non, pardonné à cause de l'intro !",1
"Toujours pareil avec les fans de consoles, ils connaissent rien aux VRAI machines 😊",5
il a de l'essence mais y'as quand meme besoin d'une prise 4:29,3
"Qu'est ce que j'aime Pierre Grenier et Alexandra Magin, toujours un plaisir de les voir",5
20:36,1
11mois plus tard ils reviennent pour FINIR LE JEU 😂,3
PUSH YOUR HANDS UP FOR DETROIT,5
La doléance du livreur c'est vraiment celle de Guethenoc😅,1
Au top ❤,5
A jamais le meilleur,5
Fore er thé best,5
"je vous suis depuis le début, toujours aussi bon, je dirais même toujours meilleur. A quand quelque chose sur Wolfenstein ou les nazis dans le jeu vidéo ? en plus vous aimez l'uchronie, alors New Order c'est parfait )",5
"Un autre chef d’œuvre, bravo",5
Le schéma je m'attendais pas du tout à ça quand tu finis le trait😂😂😂😂😂😂,3
Il fonctionne à l'essence et a l'électricité.,5
Robocop prius,5
Le jeu de sociétés me rappel celui des inconnu avec les parties politique,3
J'avais jamais fait gaffe mais JDG est gaucher!,3
Détroit lunes,5
robotcock c'est mieux,2
"""Montre moi ta bite enfoiré"" 😭💀",1
Cette introduction du FUTUUUUUUUUR 🎉,5
Fred qui dessine des bites... C'est un gamin 😂😂,5
exellent !,5
C'est chiant le début,2
En terme de mise en scene c'est l'une des meilleurs vidéos que JDG a fait !,5
"Commentaire, tjrs au top.",5
Le nouveau jeu RoboCop Rogue City est franchement très sympa à jouer.,4
Ca aurait été la cerise sur le gateau que Monsieur Shinigami lui chie sur le costume noir en s'envolant.,2
"10:40 Robocop 2 est sorti en 1990, non en 1988  21:24 erreur de la vf : c'est Neo-Détroit, pas le Bronx. Le Bronx est un arrondissement de New York",1
"Vraiment ma vidéo favorite de JDG, je ne peux pas m'empêcher de la reregarder !",5
3:41,3
Le mec qui pète une durite tout seul (lol)!,5
"Cette intro m'a tué, vive robocop !",5
Insane l'armure de JDG 👌🏻 bravo,5
"J'en rigole encore (secteur, il y a des civil dans votre robocop) 😂",3
j'ai genre 3 nerf et ce sniper en fait partie,5
Pourquoi tu ne parles jamais des versions Amiga sur tes vidéos?,1
Maintenant que j’y pense. Pourquoi l’offre Nord VPN ne ce limitait que à la France et à la Belgique?! Vous avez quoi contre les québécois?!,5
T'es sponsor son incroyable 😂😂😂,5
Dunkerque city on est la :'),5
mdr elle est incroyable cette intro.,5
Rien avoir mais en regardant la vidéo je me suis rendu compte que DaftPunk(Thomas) s’était inspiré surement de RoboCop,3
11:50 elle a écourter la discussion d’une violence 😂😂😂😂,1
"I was there since the beginnig. By accident, youtube algorithme i would say. The Great War was for my University time. And by the end of ww2, i now have  found a job and i am married. I would like to express my profound respect for you Indy and the crew for making the greatest piece of history content i have ever witness. Those lines feels so poorly as a thanks for all your hard work. What you have achieved is truly monumental. You have inspired me. You made possible what seems impossible. All i have to say is : i will remeber you Indy Neidell and so one day will my children too. Good luck for your next project and good bye.",4
"On se souciait pas des ""rating"" des films et dessins animés à l'époque :p.",2
"Sinon, Robocop sur Amstrad CPC était génial.",3
Hahaga trop bien !!,5
Ça ne se devisse pas un pneu !,1
"6:02 ""Il lui a bien pacifié sa gueule""",3
😂😂,5
"Du super boulot, vidéo incroyable !",5
"""offre limitée à la France et à la Belgique""... Mais si on use d'un VPN pour y accéder? ^^",3
"Mais plus sérieusement, ça sert surtout à ça, les VPN : accéder à du contenu censuré chez soi... parce que niveau sécurité, c'est pipeau et mollo font du sky. Sans parler de l'empreinte carbone.",2
L'INTRO LA PLUS LONGUE QUE J'AI JAMAIS VU !,5
Mais quel philosophe ce Yann Malcolm 🤣🤣🤣🥰 i love jurassic Park,5
on dirait des (al) capotes mdr vous avez le jeu de mot avec al kapote,1
"arhf, je suis un abonné de jdg depuis de nombreuses années et je trouve que le niveau intellectuel des vidéos a grandement baissé. Sérieusemnte? Un urètre et un pet en 10 minutes? C'est sensé être drôle? Allons, je préfère retourner regarder bruhmynameisdylan et des vidéos de wall dwellers qui twerkent. Allez au revoir",2
L'intro est monumentale. Je vous conseil de la revoir et de mettre au ralenti pour pouvoir lire les SMS.... Meilleure blague de l'annéee x'D,5
