Comment,Number
Merci à NordVPN d’avoir sponsorisé la vidéo ! Vous avez 4 mois offerts sur tous les abonnements de 2 ans en passant par mon lien : https://nordvpn.com/squeezie,5
50:50 on en parle du tracnard préparé ?,1
13:45 un bonjour si innocent et gentil 🤣,5
locklear insupportable avec baghera,1
"""Alfred viens jouez avec moi"", ""Non j'ai pas le droit"" épique mdr. Tu sens qu'alfred il voudrait jouer x)",3
Leçon de vie : ne jamais donner un gun à Joyca,5
Ok on ship Max et Djilsi maintenant 😂,4
Le peuple reclame un episode 3 😔,5
Cetais magnifique j’espère qu’il y’en aura dautre,5
On attend tous la troisième partie !!,5
Yo squeezie j’espère que tu vas bien j’aimerais trop une partie 3 mais si c’est possible on inviter les mm gens merci d’avance 😊❤,3
faut refaire 1 an après !,3
😂😂😂👍👍👍👍👍 j'aime beaucoup le jeux,5
Billy et Squeezie masterclass,5
J’espère que Billy et Squeezie ne deviendront jamais meurtrier 😅,5
"""Décrypte-ca Hugo"" j'ai adoré",5
vraiment le meilleur concept !!!,5
ON VEUT UN AUTRE EPISODE,3
Est ce que tu pourrais faire une version abonnés stp ❤ (PS: j'adore ce que tu fais t le goat,5
Baguera est trop forte en murder c est une dinguerie,1
Un autre murder pls,1
"C’est trop nul en vrais que t’es couper la vidéo en 2 pour gratter des vue et du watchtime, t’aurais du la laisser en 1 seule vidéo ça aurais été tellement plus efficace, la je suis plus du tout dans l’ambiance et encore moins avec une intro comme ça…",1
"""on va l'attirer avec des infos"" mdrrr je suis morte🤣🤣",3
la pauvre baghera omg la mysoginie c trop grave,1
oooh oooh c le chant des sirènes,5
Stp Squeezie refais ce concept genre dans la forêt ou un truc comme ça c est incroyable,1
"Le duo Maxime djilsi, incroyable !",5
j'ai trop envie de faire le jeu,3
Squeezie s’il te plaît refait une partie 3 sais trop amusent à regarder !,2
Un épisode 3 stpppppppp,1
40:00 et 50:50 Billy en mode MALVEILLANCE MAX!!! 😆😈,1
☠️💀☠️,5
Il faudrait que vous m’étiez le nombre de personnes restent,3
Gg,5
Ce serait cool de refaire une vidéo avec gotaga et doigby,4
Sais le mm2 mé dans la vrais vie,5
"« Décrypte ça, Hugo » la phrase de BG de Locklear",1
partie 3 svp,5
Svp une partit 3 c’est juste incroyable vrm,5
Le maître du jeu sur Tf1 est  tourné dans le même château 😅,5
"""les hommes ça rend fou"" elle l'a dit accueillant quand je l'ai pense",3
"Je ne suis pas d'accord sauf s'il y a des imposteurs qui ne veulent pas gagner, parce que c'est drôle, mais dans un concept comme ça il faut jouer le rôle de son rôle ^^",2
Très divertissant cela dit,5
je t adore mec ne change pas 🤣💕,5
Masterclass,5
Mais pourquoi personne la croit Bagheraaaaaaaaa laaaaaaaa,1
#3 j'espère,5
Moi de basse je suis pas trop Squezzi mais la comme je joue a murder 2 sur roblox dcp je me suis abonnez SEST TROPPPPP VIEN merci tu me remonte le morale❤🎉,2
"40:45 ""ON"" non que toi lock que toi",1
"Holà là il est pénible le cambrioleur , heureusement que tu as y’a gourde air up et nord vpn 😂",2
Le manoir il est extensible mdrr,4
Oui j’arrive 10000 ans après mais vraiment l’acharnement contre Baghera est abusé de fou et ils ont perdus l’avant dernière game parce que personne l’a écoutée,2
Locklear est exceptionnel,5
la première game c une putain de masterclass mais 13:09 à 17:03 banger,2
J’espère ils refont let’s go like pour le budget,3
C'EST SUPER RAGEANT QU'ILS NE CROIENT PAS BAGHERA DANS LA TROISIÈME PARTIE XJQJXJSHXS,5
24:56 et 26:58 ce qui cherche le moment le plus drôle mdrr,1
