Comment,Number
"Bonne vidéo à tous ✌️ Elle est sponsorisée par NORDVPN, pour soutenir ce contenu vous pouvez vous abonner grâce à mon deal exclusif ici : https://nordvpn.com/amixem 👌 merci à ceux qui prendront le temps de checker 🤌",4
La prochaine vidéo pourrait être un manoir 🤷🏻‍♀️,3
J’espère qu’il n’a pas vraiment dormis dans le château gonflable ! 😭,2
En big 2024 cette séquence elle me fumera toujours autant de rire 36:24 avec Thomas,5
thomas a 36.25min il a redescendue l'ascenseur émotionnel de etienne en 2sec 🤣,1
J'adore vos vidéos et votre humour 😅 😊 Je kiffff surtout quand vous fouter le bordel ( biz de la Belgique),5
amixem il fout le seum avec ses caprices,5
Si c'est humain,1
JE RALE DANS LES COMMENTAIRES 39:40,2
J'aime beaucoup les incultes qui commentent le plaid et la vue sans se rendre compte qu'il y a un Cézanne dans la chambre.,4
10:15 le son ??,1
phantom rabbids shadow,5
"La miniature, le titre, les autres toujours présent. Amixem y’a zéro subtilité dans ton copié collé de MrBeast",4
jai vu quelque chose au niveau du costume du mec en bas du mec a 52:22,2
"48:22 et pour les personnes ""émotion less"" vous faite comment ?",3
23:06  Et quand pence t-il Napoléon,1
6:50 clairement meilleure vanne de la vidéo 😂,5
Oublie pas le défi des 10million d’abonnés sur la vidéo,1
L’es PIRE guerre entre voisins(ils sont très peu courtois)(voire violent),1
Actuellement le plus like c’est,5
"""Fais toi ""tatouer attention des tortues carnivores""en langage des signes 👋🤙🤲""",1
Merci pour l'info sur Marie Antoinette je savais pas que elle etait nee ds les annees 2000😂😂😂❤,3
26:00 La tête flippante de Thomas!,1
Hop dans le château,5
😂,5
Les gars le palais est dans une série Netflix « agent immobilier de lux »,4
J’espère amixem tu le verras je t’adores tout comme tes vidéos 🤩,5
Vivre dans le sud c'est un talent même si la température en été atteint les 30°,4
"37:02 Thomas : ""juste mettez bien vos portables en mode montgolfière !""  Monsieur Deseur, je vous tire mon chapeau pour cette vanne...",3
Ce palais vient de passer dans un reportage d’M6 car les proprios l’auraient construit sans permis et complètement illégalement 😅,1
🤩,5
Moi je trouve que dans le Gers on s'en sort  pas trop mal.,3
12:42 pq ya une voix de meuf ?,1
On en parle pas assez mais Yvan est vraiment beau et stylé 🫠,3
23:24 on finit par s'y habituer mon petit maxime😅🔥,5
25:57 jpp,1
"Â 20 minutes 23, qu'est je entendu, Säkkrijärven Polkaa, ce chef-d'œuvre parmi les musiques folkloriques",5
Et dire que se lieu est fondée sans autorisation mais pg on s’en fou sa reste incroyablement beau 😂😂😂,5
Oh le reve !! LE REVE !!! 😅😅😂😂😂😂 MA TUÉ CE PASSAGE,5
Le tétanos ne viens pas de la rouille merci,1
Patrick DITER est un chef d'entreprise Français né en 1957 à Montreuil 🏢,4
Il est accusé par ses voisins d'avoir construit Sa Villa à GRASSE 🥑 dans les Alpes-Maritimes sans permis de la mairie. Elle devait être démolie dans un délai de dix-huit mois à compter du 8 décembre 2020 ... 🥥2024 toujours la ! 🍌 République Bananière 🍍,1
"Le tour de magie avec la bague, je suis sûr que c'était avec des aimants",3
Imaginez une giga teuf à 500 voir 1000 personnes la,1
Ce qui me termine c'est que c'est un palais construit illégalement ptdrr la cour d'appel d'Aix en Provence a demandé la destruction de ce bien en 2019....,1
Vous me tuez de rire 😂 Merci d’égayer mes journées vraiment Pour moi cette bande de potes c’est le futur de YouTube pas de prise de tête que de la rigolade que demander de mieux vraiment ? 😁😍,5
je rale,3
ohlala je râle,2
morgane VS a fait le meme visite dans une vidéos,3
Le happening d'étienne était incroyable !,5
et on dit quoi les enfants? RIP ETIEN!!🥲😂,5
je n'ai toujours rien pour le tour de magie (on vit 24H dans un PALAIS à 60MILLIONS d'Euros ! (+ un cache cache de riches)),1
C’est inhumain mais on vie avec 😂❤,3
le mec il fait souffrir ses employés mais dés que ses employés le gène un peu il les menaces de les virées nan mais franchement,3
la magie c est que des aiment sous les table,5
"45:04 et 48:37 Thomas est hilarant 😂 J’adore ce concept ! Mais honnement, tout le domaine est magnifique mais l’intérieur 😣",5
Rooo les fragilus,1
Pour ce qui sont en France pour les locations de structure gonflable ya ( jumble) ils ont  beaucoup de choix ils sont très bien❤,4
Des ruines avec une odeur duruine 😂,2
Ça doit être cool d'être connard professionnel hein Thomas x),4
Woop woop,3
"Énorme, je viens de tomber sur une vidéo du propriétaire du château qui est en guerre contre ses voisins et la justice et il risque de raser le château. Je regarde tellement toutes les vidéos que j'ai direct reconnu 😅",5
"27:15 Thomas, tu l'aimes vraiment ce film ? :/",5
Comme d’habitude… excellent 😂😂😂👍🏻,5
Une folies,5
tout simplement adoré,5
tu devrais louer un bateau de croisière,3
pas la meilleur idee la montgolfiere,2
PS: pour le son,3
Mdr,3
c’est pas la villa d’etter ?,1
17:15 c’est porteur je pense Étienne,1
On en parle que Maxime est au moins 10 cm plus petit que les gars😂,2
Il me tarde d'avoir de nouveau villa de riche ou autre chose !,3
C'est long parceque ce format est tellement classe j'adore,5
hâte de voir la suite,5
J’ai adorer quand thomas a pique le vin de maxime,5
C'est un peu le concept de Pierre croce non,3
"La c'est du : "" Palais en carton "" façon grosse douille.",2
45:41 on voit qu'il prends la bouteille de vin sous sa veste 🫣 il est trop fort c'est smooth de fou,2
L'hélicoptère cest pas écologique alors que la montgolfière elle crame du fossile aussi quoi,2
C'est pas la baraque qui devait être démoli ? Car pas de permis de construire..,2
Un ranch ultra luxueux un peu comme celui de Chuck Norris,4
Le flag c'est l Roumanie 🇷🇴,5
un autre episode,3
vous avez mi dans le titre 60 millions et dans la vidéo vous dites 58 millions,1
0:44 : les deux valises prennent de la 'avance sur le tour du propriétaire visiblement,1
"1:03 : ah non, j'ai rien dis",1
ont est tous d'accord que Yvan a tricher au pic pirate?,1
"Incroyable les magiciens, vous devriez faire des happening comme ça plus souvent. Je ne m'attendais qu'à une vidéo légère pour faire le ménage, et finalement j'ai été captivé !",5
"L'autre truc que j'adore ce sont les fins, quand il n'y a plus d'enjeu de tournage et que vous êtes un peu bourrés, et que je vous commencez à parler de vous de façon plus authentique. :)",4
je râle XD,3
thomas tu transpire un peu non 🤣🤣🤣,3
Pk j'ai envie de lire le livre de Mr. Deseur N°2 😂,4
Un vrai lieu luxueux réellement chargé d'histoire ca pourrait etre sympa aussi non?,5
ccomme d'habitude la vidéo est très drôle,3
"J'ais 2 fois votre age,mais j'adore vos vidéo.j' me tape des barres de rire.Merci les gars👍",5
Merci pour vos vidéo trop Ouf continue comme ça tu enbelie mais journée avec tes potes un grand merci,5
34:09,1
J'ai bien aimé à la fin de la vidéo Où il était au naturel et comme Assez Bleu san avec les deux magicien👌,3
Maxime!! Le chateau passe a la tele et enft il a ete construi illegalement 😂,5
"P'tite note pour Amixem, c'est juste pour info mais si personnes n'a jamais fait de ""shi fu mi"" a 4, c'est peut être parce que ça peut paraître "" complètement débile et sans intérêt....",2
"il a jamais dis que le château devais être a l'extérieur, tu aurais pu dormir a l’intérieur d'un château dans un palais.",2
"10:09 : J'espère que c'est une reproduction, le Baiser de Klimt !",1
Yvan est insupportable ou c'est moi ?,1
Hpi hpi hpi Quratz 😂,5
Le spectacle des magiciens était incroyable.,5
Je viens d'apprendre que le palais doit être démoli car il n'y avais pas de permis de construire c vraiment dommage je pense,2
6:16 l'armoirie n'est même pas au milieu !,1
mdr thomas il devait être bien après le tournage,3
Je râle en commentaire,3
Bon j'ai compris le tour de quand ils touchent les épaules mais c'est trop marrant simple et efficace comme idée,3
J'vais retenter en soirée xD,5
Ça serait quand même bien un épisode 5,3
Dommage que le cache soit truqué pour pas que le patron dorme dehor 😅,3
"Je viens de me revoir la vidéo vous avez été sur le trounage d'un épisode de ""le prix de la vérité"" avec Mimie Mathy",3
c'est cayo perico,1
Franchement a vous 4 vous faite une sacrée équipe 🤣😭😂 vous donner le smile ✌️,5
L'humour décalé j'adore bravo les mecs.,5
Bisous à vous 4.,1
3:44...Petite innov de ma part...😅,5
moi je dit yvan plaza,3
35:32 pff franchement le patron qui n’accepte pas d’avoir perdu fait genre il est généreux,1
Cette vidéo est incroyable merci !,5
C’est quand le prochain ?,3
"Prochaine étape, un GIGA penthouse !",5
"*Belle villa et bonne rigolade - mais pour la déco, comment dire ... lui donner un côté faux/vieux/ancien et en plus avec des leds ... c'est ultra méga nuuul !! je sais pas qui a eut cette idée de déco mais c'est horrible !!!*",3
je tiens a dire trop mimi solene de la prod,3
42:12 😂,1
48:43 😂,4
52:39 😂,4
Les transitions avec tomas sont incroyables j’investis dedans,5
Je vie a cagnes sur mer vien quand tu veux 72 avenue des tuiliere bâtiment b,3
"Franchement, la température est parfaite Maxime tu te plains pour rien 😂",5
Henri Dès for ever,5
"Nous sommes donc 2 trentenaires (bien avancé pour moi) à chanter régulièrement ""au marché, au marché, tu peux tu peux tout trouver ... et l'sam'di du pissenlit pour faire joliiiii"" 🎶",5
je t'adore t'es video sont les meilleur merci pour cet incroyable contenue,5
"Je crois que la précision sur l’abus d’alcool après 2 video ""100 boissons"" n’était pas nécessaire -",2
"13:00 une mouche passe devant le lit, pour un palais a 60 Millions d'euros c'est inacceptable... 0 étoiles",1
"""Oh le rêve, le REVE !""",5
"""J'ai un peux honte.."" j'ai juste eu la sensation moi et oh c'était pas nul nul hein",1
Elle est pas menacer de démolition car pas de pas de construction ?,2
je rale dans les commentaires 🤣,3
43:58-46:17,3
47:30-50:27,3
51:15-52:33,4
Si jamais mrbeast il a dit que c'est mieux de sourire que d'ouvrir la bouche dans les miniatures,3
Ce serait top que vous puissiez posé des questions a vos intervenants,5
Chui le seul à avoir vue une cachette secrète dans la cheminée au début 😂😂😂,3
"Hey enfait dans cette vidéo vers la fin j'ai remarqué ta belle calvas Maxime , je comprend mieu la roue en foir avec Thomas. Bon chance",5
😅😂😂😂😂,5
"45:41 on le vois attraper la bouteille sous sa veste, pas mal en vrai",3
😂😂 Maxime trouve toujours un moyen d'avoir la meilleur chambre c'est fou bahahaha,5
c'est le palais diter a grasse il devait pas être détruit ?,1
14:51  Ohhh~~ 😏😏,1
Quelqu’un sait si c’est en Provence ?,1
Je suis désolé mais je crois toujours que à l’intro dans le palais c’est Thomas qui chante,3
maxime la cdm de rugby alors qu on vient de perdre c est pour me tuer,5
Le cache cache est tellement scripté ee...amixem je le vois comme un enfant capricieux,1
"Amixem , le Master Beast français",5
jaime bien quand je vois que jai la même imprimante chez moi 😂,3
Trop trop cool cette série de vidéo,5
"15:20, 46:20, 48:40",3
Amixem je t’aime,5
Bonjour l’équipe ! J’avais adoré la vidéo et elle m’avait fait bien rire à sa sortie😂,5
Je voulais vous prévenir car je viens de tomber sur 90’ enquêtes qui parle justement de ce château (château Diter si je ne me trompe pas) tout ça est illégal. Enfin ce château l’est … il a été construit sans permis de construire. Bref faites attention que ça ne vous retombe pas dessus 😵‍💫,1
Ps : j’adore ce que vous faite vous êtes incroyable 🫶🏻,5
"cette villa vient juste de passer sur tmc car elle a été construite illégalement, sans permis de construire 😂😂",1
Les magiciens sont excellents !,5
"pour la bague, je pense  que c'est le matériaux utilisé qui doit etre vla",3
Que ce soit Etienne qui ce tape le château gonflage c'est dur à vivre,1
Spoil maxime dort dans le châteaux le mini,4
C’est Thomas qui chante au début ou c’est moi?😅🤣,3
J’essaye de me convaincre de ne pas céder à un apéro ce soir et toute votre fin de vidéo m’incite au contraire… 😅🍷🥂 WTF.,5
le problème de ce palais cest que il a été fait dans illégalité,1
Le paon empaillé est juste horible mais le palais trop trop beau✌👍,2
MASTERCLASS la fin avec le spectacle incroyable,5
Troooooooop drôle 😂❤,1
"Solution magie ... ÉLECTRO AIMANT au niveau de la montre, ma théorie 😅",5
😂,5
Mr beast 😅,5
Merci beaucoup à vous quatre !,5
J’ai passé un très bon moment !,5
"Petite pensée de 5ème revisionnage: pour le cache-cache, on est d'accord que quelqu'un aurait complètement pu partir dans le château gonflable en mode full audace, puis argumenter que techniquement, c'est en intérieur, car actuellement considéré comme une chambre du lieu? 🙃",3
C'est dure la richesse,5
Sinon le ballon ont peut vraiment en parler...😂,3
J'attends mon virement mimix 😂,3
Ce château a été construit sans permis de construction,1
Je vien de refaire dead island 2 et ce lieu ressemble enormement au premier manoir que t'explore c'est dingue,5
23:28 alors pour répondre à ta question oui très bien car j’ai la Clim 😂,5
Faire ça dans un penthouse a New York serait tellement ouf,5
"Bon je n'aurais jamais cette réponse, mais quelqu'un sais ou trouver le t-shirt que porte Maxime? Merci au cas ou :)",3
je répète ( le nombres de pays pillés qui s'affiche a l'écran aller on sarrète la )  😁,1
"Merci pour le conseil du livre ""Dérapage incontrolé"" on a adoré !",5
"je trouvais ça un peu bof bof, mais ptin contruit apres 2000, ça rend le lieu étonnant :D",3
"pas ""d'histoire"" mais un lieu qui a son charme :D",3
qui savait que Woop Woop c'etait une vrai ville grace a mario kart 🙋,5
Mais cette villa elle devait être détruite non ? C’est la même que MORGAN VS,2
À partir du moment où la fenêtre est fermée et toi « dehors » c’est de la triche 🤦🏻‍♂️ vieux mec,1
Je supporte plus yvan il fait tout pour se faire remarquer et en plus il triche 🤦🏻‍♂️,5
"Je veux pas embêter tout le monde ni rien , super vidéo et tout mais à 52:21 on voit le mécanisme passer sous sa veste , voilà j'avais besoin d'extérioriser cette info 😅😂",1
Le croquet m'a régalé merci 🤣,5
"Seule déception pour moi c'est la mini-triche d'Yvan au cache-cache qui ne méritait pas qu'on lui donne la master suite, il aurait pu être amusant si lui et Thomas ainsi qu'Etienne auraient en quelque sorte pris plus au sérieux le jeu",3
La team Amixem c'est comme les bretons,5
"A la fin, ils finissent toujours beurrés",3
Je râle dans les commentaires j'attend ta réponse maxime 😂😂,3
squeezie firt jtm tro fai plus de video stp (sur just cause),1
❤,5
"Etienne mec respect, jespere que t'as pas vraiment ete dedans, mais respect",4
C'est clairement une des meilleures séries. Et en plus ça dure une heure ! Ahw 😊,5
Prochain épisode 24h dans un chateau,4
les tours de magies ???,3
Concernant le tour de magie avec la table j ai peut être une idée. Il est possible que ce soit deux aimants 🧲 qui change de polarisation grâce à un interrupteur activer par l'un des deux magiciens . Le premier aimant serait dans la table le second serait dans la nappe que le magicien remplit ensuite sur yvan 😊,3
vous étiez à Monaco on pas et quand,1
Pas ouf,1
"Le meilleur crew vraiment, je suis toujours en train de me marrer devant les vidéos y’a rien qui change! Dose de Bonne humeur 💗",5
Le tour de magie il a un aimant sur la paume de la main,4
D’ailleurs pour la petite histoire ce palais florentin a été construit illégalement depuis 2005.,1
Mais prévenez quand vous êtes à Grasse purée j’aurais trop aimée vous rencontrer j’habite pas loin du château Diter.,3
"Bon, je veux pas passer pour un hâter, j'adore la dynamique d'amixem.. CEPENDANT ! 25K€ pour une nuit dans une villa.. ça serait plus utile de refaire des vidéos ""meilleurs entrepreneurs"".. et 5 points pour Griffondor ☝️",3
"La vidéo est exceptionnelle comme d'habitude, mais cette Villa est celle qui comporte la quantité de mauvais goût la plus élevée de toute l'histoire de la décoration intérieure. 😂",2
Merci pour cette vidéo j’ai grave rigolé c’était génial 😂👏,5
