Comment,Number
"Merci à NordVPN ! Seulement 2,62€ par mois et un mois gratuit ici : https://nordvpn.com/cyprien",5
Utilisez le code : CYPRIEN,1
"Regarder Top Chef t’à réussi🎉 ton cours métrage et trop, on croirais que c'est une histoire vraie 😊",5
Go to korea🎉,5
2:10 Astronogeek c'est toi ?,1
4 ans,5
Très Bon vlogue c'est à voir dans sa vie,5
Un jour je visitera le japon un rêve fou 😳🙏,5
Super vidéo l’homme au 12 millions ❤,5
T mieux sans ta barbe :),3
svp pouvez vous me recommendé des chaines youtube en anglais qui ont le même contenu que cyprien ?,1
"Le japonais avec le plus d'abonnés (Hajime Shacho) est a 8 millions, tu m'etonnes qu'il a été surpris.",1
C'est quoi la musique à 09:00 ?,1
bon vlog !,4
En 2022 je regarde encore cette vidéo,5
RÉACTION 4:45,1
( Le reste vaut pas grand chose),3
quelqu'un peut me dire le titre de la musique à 2:38 svp,1
je suis un élève en allemagne et j'apprends de francais et veux dire merci pour faire des videos interresant et drôle qui je veux regarder,5
6:37 J'ai... FAIM !,5
2:37 BT21 et TXT !!,1
salut nassim !,5
Il n  y avait pas le covid à ce moment là 😭🤣,2
Les japonais on l'air tellement sympa :)),5
Inio asanooooooo,3
Moi j'ai bien aimé son look pendent la vidéo,4
T'as pas un peu fait de la pub a Nord VPN,3
Il est beau avec la coupe rose 🌸,5
"2:37 Y'a que moi qui à remarquer Tata,Chimmy et Mang derrière Cyprien ?",2
"J' habite maintenant au Japon, et Takeshita Dori est un de mes lieux préféré. Cela fait très plaisir de voir un de mes Youtubeurs favoris dans la ville où j' habite. Cyprien, tu viens voir tes fans tokyoïtes quand tu veux, on t' attend !!!",5
Un enfant a 20 million d'abonnés et toi tu as que 13 millions d'abonnés,1
Ho ptn cyprien avec le bouc,5
ça me donne tellement envie d'aller au Japon !,5
Wsh on est en 2021,5
Le titre rien a avoir avec la vidéo vraiment,5
"Ils mon terminé ""L'homme aux 12 millions d'abonnés""",1
5:50 sa m’a donné faim tous sa! En plus sa a l’air trop booooooonnn,5
Blond sans la barbe 🤔,3
Brun avec la barbe 🤔,3
Cyprien sort une vidéo 😀,1
Cette race de chien hyper têtu est un chien qui attendait son maître a la gare mais il est mort au travail du coup le chien 10 ans avant de mourir,5
T vrmt pas photogénique mdr,2
"Car Dieu a tant aimé le monde qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle. 17Dieu, en effet, n'a pas envoyé son Fils dans le monde pour qu'il juge le monde, mais pour que le monde soit sauvé par lui.",5
Il a rencontré l’auteur de bonne nuit punpun😓,4
Ich ni San nia! Arigateau,1
