Comment,Number
Je bosse au Guifette reviens nous voir Benjamin,1
Ouille ouille ouille ... Nourriture 100 % Industrielle 🏭et Cancérigène 🦀pour Ben,1
Personne n’a remarqué que c’était la villa des prince de l’amour 4 😂😂,1
les guifettes a lucon!!,5
Janvier 2024 et oui il fait froid,1
"Franchement Pierre tu maîtrises bien en golf, ça t'intéresserait de venir sur Grenoble faire un parcours avec l'une des meilleures joueuses mondiales para-golf (handigolf) ?",4
"Au passage, belle escalope 😁🤣",5
la ref de la villa stp ????,3
J'habite a Luçon 😅,5
Les spoils en miniature c'est chiant,2
"13:50, on dirait une tirade dans une pièce de théâtre 😂",1
Ben a un côté Frank Dubosc je trouve qd il fait son sketch sur la nature...,3
La villa de pierre croce cest pas la villa des princes de lamour ??,3
"La pièce avec Le bidet que découvre pierre est cLairement destinée pour Les porostiputes , iL me sembLe, dans ce type de viLLa . so cute ;-)",4
"Le ""bidet"" dans le placard @pierrecroce c'est un petit lavabo pour nettoyer les seaux/bassines et autres matériels ménagers (on a sa dans les hôpitaux )",4
La miniature qui me fait zappé le jeu avec ben .. on sait déjà qui va où ..,2
"l'endroit ou était Benjamin, j'étais dedans pendant 1 mois à cause d'un déménagement en retard ;-;",4
C'est marrant car vous faites la même chose tout le temps sauf version plus chère et moins bien 🤣😭,3
Ce format manque non ?,3
Mais il me faut se parcourt😫😁😁,3
21:01 je rêve ou c'est Juliette Chappey au milieu?,1
"Pour pierre on peut dire, c'est pas lui qui a choisi Ibiza, c'est Ibiza qui l'a choisi",3
C'est moi ou la baraque de Pierre c'est la maison qui a servi au tournage des princes de l'amour sur w9,5
La musique Don't Stop est la mienne c'est rigolo de la trouver la. si non super vidéo😉😂,1
"14:14 la tristesse de l'anecdote, j'ai éclaté de rire 😂",1
Je préfère la solution la moins chèrs,3
Weekend en camping a75€ sa passe en vrai.,5
En plein été et surtout AVEC DU MONDE Benjamin aurait passé un vrai weekend je pense,5
"3,17÷6=052. Centimes",3
Où es tu aller pour trouver,5
Cette villa?,1
Une nuit sur un lit hyper confort avec possibilité de clean le room vs une nuit par terre sur une couverture vous savez la petite couverture que vous mettez en supplément de la grosse couverture avec un tee shurt en oreiller,4
2022 on et la💪🏻,5
Walalslfgg la villa,3
Je choisis Ibiza direct,5
Qui connait la musique a 23:25 ?,1
C'est pas un camping mdr c'est des pavillons 🤣🤣,1
Next nuit au Burj al Arab Dubaï vs  tente 2m carré,1
Est-ce que les dialogues sont entièrement improvisés ou est-ce qu'il y a un canevas sur lequel on brode ?,2
Au début cette course de bille de l'enfer,2
Je suis un Luçonnais,1
Tellement le meme stress que sur le pmu ahahahah mais le meme résultat,1
Z,5
c moi ou c la villa des princes de l'amour la télé réalité la ?,3
un week end est 2 jour,1
Mdr le camping ou étais benjamin bah il est où bout de ma rue 😂,1
"Bonne chance pour trouver de l’eau premium en Argentine pierre, ce serai plutôt l’inverse",4
J'habite à luçon et le lai même pas vue je suis déçu,1
"PIERRE ... Lorsque l'on VA dans un pays étranger, on ne perd pas son temps a regarder des séries de me*de sur un téléphone,",3
"ou autres écrans qu'ils soient. On en profite pour observer une nouvelle culture, ses habitants et communiquer avec eux. On ne s'enferme pas comme un bolos dans sa routine du quotidien, morose  et stérile. Sinon, on reste chez soit ...",3
❤️😘🥰😍😍🥰😘😜🤪😋😛😝😗😉☺️😆😁🥲🙃🙂🤣😄😃😂😇😊😅😀😌😙😜😎😎😒😒😒😞🥸🥰🥸😚❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥰😘🥰😘🥰😘🥰😘🥰😘🥰😘🥰😘😘😘,5
Croisière 10000€ vs la  croisière à 35€,1
c’est dommage parce qu’avec la miniature on sait déjà qui va avoir quoi :/,3
£-e,3
La villa de pierre c’était une villa pour les prince de l’amour,5
"23:07 ""I'll be back"" avec son regard ténébreux j'en peux plus",5
Le seul problème c'est que je savait déjà que Pierre allait gagner.,3
Si Luçon est en Vendée j'habite pas loin,3
Les seul mots de pierre pardon c est pas bien de ce moquett des pauvres,1
mmoi qui et pauvre et qui vois la maison le pierre,1
16:30 Benjamin n'est pas vacciné mdr s'il savais maintenant,1
la cuisine du camping de ben on dirait la cuisine du foyer ou j'était,3
Qui a remarqué que l’anglais de Pierre est nul?,1
Moi je suis à biarritz pas loin,5
Après une p'tite curiosité je suis allé voir le site des Domaines des Guifettes camping à Luçon ... Vous le faites passer pour un truc dégueu mais en vrai il est pas mal et c'est un camping 3* ...,3
En vrai pierre c’est comme ci la villa de pierre c’est la maison en xxl de,5
Pierre je c pas si tu le savais mes ya u les marseillais dans la villa ou tu est franchement ta u de la chance 💪💪,1
7:00 comme par hasard les 2 regarde la météo.. pas fan que ca soit scénarisé,1
J adore les vidéos comme ça 😂👌🏽,5
vous pouvais fair les tentes,3
Mes envrai sa va le camping quand on est en famille 👪  si on fait des balades a des endroit sa va,3
Ya aucun vendee dans les coms,1
0:00 Intro,1
0:40 Partenariat Nord VPN,1
2:10 Course,5
6:24 Voyage,5
8:17 Arrivée à Ibiza et au camping,5
Un vol d'avion a 500€ vs un avion a 80€ liker pour qu'ils voir,1
"16:30 en 2019 , déjà",1
Il est où le décalage horaire 😂,3
ja bit isi,3
Moi  je vois  des taxis  jaune  car j  habite  à Nex York 💋💋💋💋💋💋💋💋💋💋💋🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤❤❤❤❤❤❤❤😜😜😜😜🙊🙊🙊,3
10:29,1
"Mais...La ou est Pierre, on s'entend que c'etait la villa des princes et princesses de l'amour a une epoque nan ??",3
Les sous titre qui disent tout le contraire  le mec dit 5 le sous titre marque simple ou blanc il marque black,1
C est quoi ces sous titre de merde de YouTube,1
Alors on attend pas Patrick,1
c'est normal que moi je comprends alors que j'ai 10 ans et que lui non 17:24,3
A 14min29 g cru que Ben était en train de pisser j sais pas pourquoi,1
Bonjour 👋👋👋👋👋👋👋👋👋👋👋,4
ET LA VIE PIERRE IL ME TUEEE DE RIRE AVEC SES BLGUES SUR LE LOGEMENT DE BENJAMIN .,5
14 37 j ai crue qui picer,1
j’suis morte la pub c pierre croce en train de faire du basket,5
J ai jamais été autant a fond dans une partie de bille,1
Pierre a fait un plus gros trous dans le terrain de golf que la taille de la chambre à Benjamin,3
Il est chiant celui qui fait les minias il spolie,1
Villa des riche,3
C’est la première fois que je trépide d’envie de regarder des billes.....,1
Arrête de boire de la bière Pierre Croce,1
putain....,3
quand il dis cette vue XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,1
jadore le contraste,5
"Ptdrrrr je vois cette vidéo 2 ans après mais Luçon c'est ma ""ville"" et ma mère travail dans l'entreprise du camping de Ben 👁️👄👁️💧",3
Bon c'est clairement pas leur meilleur camping,3
Mais sinon c'est cool Luçon hein c'est à quelques kilomètres de la côte 👁️👄👁️💧,3
(J'essaie de me convaincre moi-même),5
Ton trucs sur nord vpn à dure 60 seconde,1
10:34 il ignore complètement le coca 😂😂,1
La quand même était dans le camping de ma ville,3
Je vous jure ça me fait trop bizarre de les voir sans masque à l'aéroport ect.,2
