Comment,Number
Décalage de son !!!!!,2
"Pour le round 3, les crêpes t'as pas besoin du T c'est que pour les galettes",3
OMG j'aime teeellement ce genre de concept bluff 🤩🤩🤩,5
7:12 nous quand on étais petit qu'on avais choisi le jeux et ducoup on changeait les règles a tir larigot 😂 sinon continuez comme ça les mec,3
Du coup à quand le volume deux?,2
19:20 Le zoom est violent 😂 J'ai rigolé,2
Un deuxième épisode s’il vous plait 🥺🥹🥺🥹🥹🥹,5
Quand pour un 2 ème épisodes?,2
Meilleur concept à reproduire!!,5
Pourquoi vu avec des micro cravate maintenant et pas avant ?,2
On veut un deuxième épisode ❤,3
A quand la 2ème édition ?? 😢,3
Ben il lui dit MERCI 😂😂😂 excellent,5
La mandale de pierre es juste monumentale 😂😂,5
"La claque est mémorable, je me la suis passée en boucle.",5
Merci pour ce gros fou rire 🤣🤣🤣🤣,5
On attend la deuxième édition 😂😂😂,4
Trop cool,5
REFAITE LE,3
"Bon on est plusieurs mois après, si vous êtes guéris de vos douleurs de patates, on veut bien un volume 2 wallah",3
À quand le volume 2???,2
J'peux faire la flûte traversière pour Ben si besoin à une prochaine XD,3
Commencer la vidéo avec la tatane sur X.X ça n'a pas de prix,2
L'intérêt de se faire mal pour les vidéos... ?,2
Pti faux raccords fred qui sort avec le casque mdr,1
épisode 2 c'est trop bien !!!!! super concept,5
Frr comment ca plagia,1
Ce concept est incroyable,5
Mais j comprend pas comment ils choisissent leur choix de vote ( en mode première manche ça se voit que c Pierre et il vote Lucas 😭😭),3
"Mais dites moi, à 11min15s c'est pas un petit fail de Fred qui sort avec le casque antibruit et le petit cut qui suit pour lui retirer :D",2
Incroyable ce concept,5
"PERSONNE , ne parle du faux raccord à 11:15 ou sont pote l asiat garde son casque",1
j'adore!!!,5
"Il me semble que le mec qui met une tarte à Pierre, c'est le meme qui le met au sol dans une cage de catch dans le premier episodd'Une journée au service de l'autre",3
Par contre pour information le gas  que vous avez recruter ressemble plus à theo lavabo que thor 🤣,3
A quel moment la violence physique c'est drôle ?,2
"Ce concept m'a fait pleurer de rire, waaah c'est vraiment le best",5
"Quelle expression de surprise à 5m30 Pierre! Je ne peux m'empêcher de re regarder à cette séquence  votre visage (hilarant) et encore plus en ressentant la personne ""désolée de son geste"" mais en crise de rires qui se retient. Qu'est ce que j'ai ris moi aussi🤣",5
Trop bien se concept de vidéo😍. Vivement un épisode 2,5
Qui aura l’objet pièges du GOAT squeeze mais avec des portes 😂😂😍😍😍 génial,5
tu sais faire autre chose que plagier ?,1
"Round où Ben piège les 3 autres quand il se fait prend un coup dans les côtes, c'était pourtant cramé ! Il a dit un crêpier avec une ""Poêle"" et le truc en T pour faire les crêpes.. Hors un bon amateur de crêpe sais que ce T n'ai utilisé que sur une crêpiere plate 😉",1
Ep 2 stp,3
Très belle vidéo,5
J'ai adoré le concept par contre fred n'a rien eu le chanceux !🤣,3
Le T pour les crêpes c'est une rozell !!!!,5
Le truc le plus con est bof que jai vue dans ma vie...ont comprend pourquoi avec tout c'est incultes  macron a etait voter 2 fois..,2
"Vidéo exceptionnelle, très marrante, bravo l'équipe !!!!!!",5
Le clip du moment ou Benjamin se prends une patate dans le foie et après il remercie le gars en lui serrant la main est le meilleur contenu que j'ai pu voir dans ma vie et pour ça...merci,5
Le Ben malchanceux mdr mais qui aurait pu faire le triple sur la 1ere manche il a changé au dernier moment et c'est Pierre qui a pris la porte piégé 😂,1
J'ai adoré cette vidéo 👌🤣,5
Épisode 2 💪,4
C est quand que vous ré faite des vidéo dans une maison hantée,5
Est-ce que Pierre est en couple ?,3
1:32 on notera cette magnifique blagues !!! bravoo mdrr,5
Les vidéos de Pierre Croce elles sont grave changées,2
je suis plier comme benjamin après la patate dans les cotes!!!!🤣,5
"met 0,25 vitesse de lecture à 10:00. C'est cadeau",1
Prochain invité Cyril Gane =D,4
"J’adore ! Surtout le fait de montrer qu’après le débat qui a été frappé, on peut aussi essayer de deviner sans avoir été spoilé 🥰",5
concept génial,5
"J'adorais le concept de base mais alors cette version elle est incroyable, j'ai tellement rigolé, avec Pierre, Ben, Lucas et Fred c'était inévitable 🤣🤣 !!! Je veux pleins d'autres éditions ! 🥰😍",2
On veut le #2😂,5
C'est quoi l'arrangement financier qu'ils ont à votre avis ?,3
J'espère un prochain épisode très prochainement. J'ai adoré. Puis pauvre Ben il a jamais de chance. La bouffe piégé il est lésée. Les 1 nuit qqpart il a jamais de confort et la il s'est fait détruire. Il a clairement eu les pires trucs c. Mais que c'était drole😂😂😂😂 je m'en remet toujours pas,3
Ou peut on trouver les airmax de Ben? Quelqu'un peut m'aider? Cordialement,3
Le système de point est mal fonctionnelle puisque tout le monde qui ne s’est pas fais battre dit qu’ils se sont fait battre pour gagner alors que celui qui ne se fait pas battre est le seul à dire qu’il ne s’est pas fait battre. Ma solution serait de donner 2 points à chaques manches pour celui qui souffre si personne ne le trouve et 1 point pour ceux qui trouve qui a souffert! Magnifique idée mais le système de point gâche un peu tout,2
Hé mais Fred est un BBoy !,3
Extrêmement drôle 😂,1
5:59 ils sont devenus longs les cheveux de Pierre 😱,1
15:32 + 20:30 bah alors ??? 👀,1
Salut Lucas tu t'est pris un judoka mais je voudrais bien savoir quel ceinture il étais car moi j'étais ceinture jaune bientôt jaune orangé,3
On est sur la chaîne de Squeezie ?,1
Improbable le boxer taï m’a déjà pris en bla-bla car de Toulouse pour allez a vannes 😂,1
tu perds tu prend un étranglement arrière,2
Trop bon !,5
meilleur cocept meilleur personnes meilleur chaine quoi de plus pour passer un bon moment,5
Concept de Squeezie 😮😅,1
Effectivement,5
Concept incroyable,5
"Pierre a tout dit ""concept de m*rde"" 🤣",1
Simpa le concept 👌,5
Vidéo très bien montée. Avec un concept plutot sympa par contre la gifle je trouve ça super humiliant.,5
Concepte de squeeze 😢,1
"Inédit, incroyable, borderline, frémissement",1
Lourd,2
divertissant ! =D,5
fred toujours aussi chanceux,5
Mdrrr interessant si tu pourrais te défendre je pense ce serait plus drôle de les voir galerer et courrir dans tous les sens 😂 perso moi qui ai fais des sports de combats je pense je pourrai pas me laisser faire a part pour le judo mais sinon j’aurai des réflexes pour les autres car ceux qui pratiquent le sport de combat savent que c’est pratiquement un automatisme les réflexes 😅,3
JAI JAMAIS PLEURER DE RIRE DEVANT UNE VIDÉO C’EST LA PREMIÈRE FOIS J’AIME,5
l'une des meilleurs vidéo de Pierre et je pense de l'année . bravo équipe,5
10:00... les francais y en faut jamais gros pour qu'ils aient mal,1
Des coup de balle par des pro du ping-pong ou tennis,1
11:14 il avais encore son casque,1
bien la video mais bon seulement 1/4 de la video,3
Le montage avec le reveal Après les votes est super bien,5
On a la possibilité de deviner aussi de participer au jeu,4
C cool,5
Hâte de la v2,5
"Le ""judoka"" est vraiment mauvais 😅",1
"La vidéo est géniale, la réaction de Pierre sur la tartasse et celle de Ben sur le coup de poing incroyable 😂😂",5
super concept. Ca aurait été encore plus drôle si le piégé pouvait montrer aux autres le moment il se fait enchaîner,5
"J'adore ce concept, c'était vraiment très drôle 😂",5
Meilleur épisode et de loin 😂,5
Hors sujet mais vrai question est-ce que Pierre croce est toujours avec Kate ? Car on la voyait avec Pierre régulièrement et ça fait un bon moment qu'elle n'est pas apparue dans une vidéo donc je me demande si ils sont encore ensemble,3
Excellent concept. A renouveler,5
La vidéo est juste énorme . Je regarde pas souvent plusieurs fois la même vidéo mais là. C'était bon 😂,2
Y a que moi qui a le son qui ce décale ? A partir de 9:30 ?,2
Lucas le goat ! 😁😇,5
Allez pour se refaire plaisir :,4
- porte piégée 1 : 5:26,1
- porte piégée 2 : 10:00,1
- porte piégée 3 : 14:36 (avec la tête qui se décompose à 14:20),1
-porte piégée 4 : 19:19,1
Ça c'est cadeau 😉🤣,5
Salut Pierre Croce t'es le meilleur ❤️🔥 la vidéo est incroyable 🥰 continue comme tu est ❤️💙🤠,5
Un prochain épisode avec une femme ? Pour l'égalité... (et je suis une femme),3
je suis là seule à avoir les voix après l’action ?,1
Pierre ya un gros soucis technique dur la vidéo,2
Ya que moi qui au la video en décalé,2
Les fous rires !!! Merci à toute l'équipe !! Refaites-en d'autres svp !!!!!!!!,1
J'adorerais voir Ragnar le breton pour une bonne mandale 😂,5
Ça beug à partir de 9:28,5
C’est normal la moitier de la vidéo en décalé ?,2
Prochain épisode un mec qui fait du airsoft ou paintball pour le piégé ça serait énorme,3
Avez vous un décalage son image ?,2
C’est moi où y a un énorme bug a partir du milieu de vidéo où le son a 30s d’avance sur l’image ? Impossible à regarder pourtant ça avait l’air super 😭😭,1
toujour les MEILLEURS ¨¨!!!,5
y’a que moi où le son et l’image sont hyper décalés à partir du round 2 ?,2
Il y a que moi qui ait un décalage entre son et image ?,3
Il y a que moi qui ai un soucis de son avec la vidéo?? Il est décalé jusqu’à la fin à partir de 9:25..??,2
Vous aussi vous avez un décalage de son à 9:30,3
"Concept incroyable ! Episode 2 avec grosse charge d'un joueur de hockey ou de foot US, un cul rouge pour le foot , une bonne prise de krav 🤣🤣",5
Pourquoi ça bug,1
J’adore le concept ! La vidéo la plus drôle que j’ai vu sur YouTube! Franchement bravo c’est le top! Un épisode 2 svp !! 😍,5
Il n’y a que moi qui n’est pas le son en même temps que les images après 5 minutes ?,1
Il n’y a que moi qui ait cet vidéo en décalé ? Il y a un problème avec la vidéo non ?,1
J’ai un sale beug c’est en décalé la vidéo je comprend pas,1
Je sais pas si sa arrive qu'à moi mais il y a un putain de décalage au milieu dla vidéo que je ne peu finir du coup,3
Décalage son image …,3
Chui le seul qui a le décalage de son ?,3
Y a que moi où le son est décalé à partir de la moitié de la vidéo ? 😢,2
Je suis le seul qui a un décalage énorme au niveau du son au milieu de la vidéo ?,2
"6:10, il y a mon tapis littéralement dans la piece avec benjamin...............voila c'est pas une info qui va refaire une journée mais au moin je l'ai vu, je l'ai dit on peut passer a la suite, reaction a chaud superbe video claque de daron epique j'ai hate de voir ce qu'il reste comme sevice physique du coup ^^",5
C’est moi ou le son s’est est en avance à certains moments?,3
"Problème de son dans la vidéo, la vidéo est totalement décalé",2
J’est un gros decalage de son a partir de 9min30 par la,2
Y’a que moi qui a l’épisode qui est décalé par rapport aux voix ?,3
C’est moi ou il y a un décalage de son ?,3
Y’a que moi qui a un décalage de son ??,3
Vous aussi vous avez un décalage de son à partir de la 3eme porte ?,2
Dommage que le son de toute la vidéo soit décalée à partir du moment ou Pierre Croce parle de Thor et nordVPN…,3
Il y a un décalage son/image ?,3
Y a un soucis de montage la non,1
"a partir de 14min de vidéo, le son et l’image étaient décalés 😔 j’ai l’impression d’être la seule, j’ai tout essayé mais je peux rien faire donc je peux pas finir la vidéo jsuis trop deg",2
"Salut à tous, je ne sais pas si cela vient de moi. Mais la vidéo a un certain moment le son est l’image sont complètement décalé!! Dite moi si vous aussi. Et sinon j’adore le concept à refaire 😉",5
Ya un décalage non dans la video ?,2
La vidéo bug 😪,1
Je suis le seul à avoir un décalage son/image de fou ?,2
Pourquoi le son est décalé ??,2
"Je ne sais pas si ça vient de moi mais à partir de la moitié de la vidéo, le son est totalement décalé de la vidéo c’est horrible a finir de regarder. Bien dommage",1
J'aimerais voir un Lastella sur le 2e épisode,3
Dommage que le son de la vidéo soit décaler,3
Vidéo toute décaler pas compris,1
C’est bon moi ou un moment sa bug jusque à la fin cest en décalé,3
J’ai un problème de décalage son image à partir de 9:28,2
Mais c’est décalé le son non ???,2
Décalage du son ??? ou c'est juste moi ?,3
Est ce que je suis le seul que a 9:29  le son commence à être en décaler par rapport au image,2
Décalage son et image. Dommage la vidéo avait l'air cool. Je ne regarderai pas à quoi bon,2
Je suis le seul ou bien il y a vraiment un décalage son à 9min20 de la vidéo ?,2
Il y a que moi qui a un decalage de son,3
Je suis le seul à voir la vidéo en décalage son image?,1
je vois bien Nganou derriére une porte,4
Y a que chez moi où y a un décalage de fou entre le son et l’image? 🤔,2
"Avec ragnar le breton qui pose des claques, ça aurait été incroyable.",3
Très bonne vidéo quand même❤️,5
Wsh y’a que moi qui a la moitié de la vidéo en décalé par rapport au son ?,2
Pourquoi la vidéo est décalée à partir de 9m30??,2
Ss moi est c’est decaler image son,3
omg le coup avec le katana en bois etais tellement faible et pas fort que ca a rendu le jeux d'acting de benjamin vraiment mauvais x),2
La vidéo est bugger le son est décalé à partir de 9min 29 il manque un rush ce qui a décalé toute la bande son liker pour le faire remonter dans les com,2
C’est moi ou y’a un décalage de son ?,3
Décalage son à 9’27’’ … dommage je ne peux pas apprécier la vidéo qui est pourtant géniale jusque là.,3
Comment pierre il a préparé les poings dans la dernière porte 😭😂,5
On remercie squeezie pour le concept de la vidéo,4
Laças ment tellement mal,1
Le son de la vidéo est en big décalé à partir de 9:30 où c’est juste moi ?,2
bug son,1
"Bonne vidéo, cependant il n’y a que moi qui a un décalage entre les paroles et les images arrivée à 10 minutes de là vidéo?",3
Gros bug de sons non ?,1
bug son non ?,1
J’ai le son et image décalée de 10 sec c’est normal ??,2
"Ben il va comprendre un jour qu'il doit pas voter pour le mec qui a le plus de points, quand c'est lui même qui est piégé ? xD",3
"proposition de concept : benjamin, guillaume, pierre, lucas = election de la reine du bal : 2 manches : manche 1 la preparation, manche 2 le bal ( avec maison grise et vote et election ).",3
Décalage du son,2
Gros beug de sons,2
Jsuis le seul à avoir le son en décalé ?,2
Le décalage son…,3
👍👍,5
Y’a un pb de son non ?,1
Moi je sais pas pourquoi mais c’est vachement décalé à partir de 2e round…,2
Je réessaie la vidéo ce soir je pense,1
Jsuis le seul chez qui le son et l'image à partir de 9:27 se sont totalement dissociés ?,2
C’est moi ou il y a un décalage de son image à partir de 9 minutes et quelques?,2
"Ben avec le boxer qui lui sert la main à la fin l'air de dire ""merci pour la patate mon pote "" 🤣",4
Bug de son …,1
Je suis la seule qui a la vidéo et le son en décalage sur le 2emz tour,3
Y’a que pour moi ou le son est décalé ?,2
Je suis le seul à avoir un problème de son ? A 9:26 ??? Sérieux la sponso a été couper mais le son n’a pas été remis correctement ? Ça fait un décalage sur toute la vidéo c’est dommage,1
INCROYABLE ..LE CONCEPT EST GENIAL,5
J'aime bcp le concept 😅😅,4
Ça pourrait être cool de voir aussi les réactions des 3 autres personnes qui regarde la personne qui s’est faite plié en 2,3
14:33 tres fluide et silencieux et la poignée de main 😭,5
un petit plaquage de rugbyman pour la prochaine ! ^^,4
J’aime trooooop ce concept ❤🎉,5
épisode deux plis,3
Nul,1
regardeer a 6min 58 sur les poignet de porte de lucas pierre et fred il y a las casques anti bruit et pas sur celle e benjamin,1
Un épisode 2 !!!,5
C’est trop nul,1
Faites venir des capoeiristes pour la prochaine édition! J'en connais un qui est vraiment un tueur,5
Franck ropers qui appui vite au point sensible sa serai incroyable 🤣,5
Un epidose 2 c oblige,2
Lourd le concept mais vraiment t’es trop fort,2
çà serait bien le meme concept mais avec une des pieces ultra golri et faire pokerface apres,3
"La vidéo est incroyable !!! Le montage, le concept ! Vous êtes vraiment forts MG !!!",5
J'aime tropppp mdrrrrr la giffle elle m'a mis ko,3
Le concept de se prendre des claques 😭,4
Trop bien comme d'habitude 🤙😉,5
Je veux un étranglement sur trente seconde,1
Hâte de voir un nouvel épisode de ce concept !,5
La vidéo commence à 2:43,1
"Un des meilleurs concepts ! J'avais vraiment besoin de me remonter le moral, merci pour tous les fous rires que j'ai eu ! C'était génial !",5
Le même concept mais juste avec des gifles !!!!,3
Le concept est trooooop sympa !!!!!,3
Le concept est trop bien hâte de voir d'autre feat même si sa doit coûter des sous à mettre en place,3
Merci de m'avoir fait pleurer de rire de bon matin avant le taf ça met de bonne humeur. Mais la claque de Pierre restera dans ma mémoire 🤣🤣🤣🤣,5
Ce génie a réussi à inclure son sponsor dans le concept de la vidéo sans a avoir à modifier son concept. (jme suis compris mdr),5
Ben qui remplace Guillaume concernant la poisse ahah,4
Ça🤣,5
Le moment où ben sert la main au gars qui fait la boxe thaï j’étais mort 😂,5
L’avant dernière manche Pierre était à 6 et ben à 4.,1
Ben à vote pour Lucas ce qui lui donne un point mais Frédéric a voté contre lui ducoup il devrait avoir 6 au lieu de 5 comme c écrit.,3
14:50 el patatos,1
Génial 😂,5
Ce concept est super drôle 😂😂😂😂😂😂😭,5
J’ai pas compris le faux raccord à 11:27 😂,1
La claque de cowboy !! Elle m’a choquée je ne m’attendais pas du tout à ça. Le concept est hilarant cela dit 😅,5
J'ai rematté la tartasse de Pierre 15x tellement il ne s'y attendait pas. Jen pleure de rire encore 🤣🤣,2
Concept de ouf je valide !!,5
benjamin et pierre sont à leur prime,4
OMGG mon nouveau concept préféré !! Et voir ben se faire défoncer mdrr,5
Mais personne n'a sortie le ''benjamin violet'',1
Je ne pensais pas rire autant de votre souffrance 🤣,1
Cette vidéo est plus qu’incroyable je suis en fou rire,5
Salut a tous Je vend une ps5 fifa 23 800€ si il y a des intéressé,5
"Le concept est génial, bravo a vous !!!",5
🖖🏾ie,5
Ptdr ben quand il dit au boxer en « langue des signes » me tape pas ici psk tu vas me mettre ko 🤣🤣🤣🤣,1
