Comment,Number
"C’est Fred qui a le moins d’abonnés, et c’est lui qui a la Rolex",5
Le plus important c'est de ne rien jeter,1
Ben le culo a l'état pure quand il dis '' c'est juste respecter son équipe '' alors qu'il a abandonné 2 fois comme a chaque épisode 🤣,2
"Niveau vannes, Ben il est loiiiiiiiiin devant tout le monde",5
La blagues sur les.roux,2
...,3
Mouais ce serait sur un noir ce serait pas.passer comme ça lol,2
En vrai la technique de pierre pour manger les sardine était parfaite   Sophie aurais du faire la même pour les bonbons,5
Pourquoi la meuf est orange ?,2
se gaver est divertissant... quelle époque...,4
Le fond de teint par contre faut doser ma petite tu as le coup tout blanc ma pauvre.,2
Nord vpn taarod,5
J adoree ❤,5
Je viens de remarquer que Sophie et moi on est là même personne mais de sexe différents 😅,3
J’veux être ami avec Pierre et Ben dans la vraie vie 😭😭😭😭😂,5
Louise delalre Benjamin verrecrcchia pierre croce 📳🛬🧳🧳🧳🎤💃🚗💔😡,4
Pierre ruine son équipe,1
Equipe de PIERRE vs 3 abonnés sur le concept proposé dans la vidéo. Likez pour qui est une chance que ça ce fasse LIIIIKEEZZZ,4
Je suis en Espagne mdrrr j'ai même plus l'impression de pas être en France 😂,1
Sophie exceptionnelle dommage qu'elle soit pas la plus souvent !,5
incroyable,5
Sophie... mon idôle ! 😍,5
"3:20 T'es un pélican en fait, j'adore 😂",5
32:00 ahah,1
Faire ca en pleine inflation alors que y a des gens qui peuvent meme plus se nourrir c’est vraiment indécent,1
27:21 wtf,1
Sophie team 1er degré,5
"us avez pas dit : ""ready to Crumbble"" au crumble",1
Sophie sous cotée !!,5
J’adore le maquillage assez foncer au visage et avoir le cou blanc pour une demoiselle 😂,5
J'aurais trop peur de mordre ma langue 😂,1
Leo il prend cher en vanne mdr,3
même en grandissant je trouve toujours Benjamin aussi beau,5
Par contre faites des trucs dégueu c'est plus drôle genre insectes ou quoi parce que là c'est trop facile faut faire en mode koh lanta,3
Alors j'aime pas voir les gens vomir ou autre... Mais mon éducation avec Jackass fait que... J'espère que ça arriveras un jour 🤣,3
A quand l’episode 5 « une journée au service de l’autre »?,3
teaaaaammmmmmmm verrechiiiiiiiaaaaaaaaaaa,1
Franchement déçu de voir la tribune que tu as signé dans le JDD. Vous défendez pas notre modèle de retraites largement attaqué et vous pensez qu’on va défendre vos business ? Quelle audace mdr. Le plus grand mouvement social de ces 40 dernières années est en cours. Il va toucher de plein fouet tous vos abonnés et leurs parents. Pourtant vous vous taisez parce que vous avez peur de prendre position. Vous avez peur que ça fasse fuir des contrats ou quelques petits abonnés. Vous militez sans prendre de risques sur des sujets à l’apparence consensuelle. Vous ne prenez jamais position sur des sujets brûlants et pour certains des signataires vous faites la communication d’un gouvernement qui va à l’encontre de vos « combats ». Il faut protéger à tout prix les adolescents et les jeunes adultes de l’influence toxique du marketing. Donc démerdez-vous. On est pas ensemble. Continuez vos remises en questions.,1
