Comment,Number
"Voilà un f*cking épisode XXL, une saison entière façon ""MSF"" c’était carrément sportif j’vous dit que ça !",1
Vous m'en direz des nouvelles ! N’hésitez pas à puncher le pouce bleu si vous validez en tout cas.,5
"Et bien sûr, si vous voulez choper la récompense de Sir SuperNordVPN, ça se passe ici : Utilise ce lien https://nordvpn.com/math pour obtenir -73% sur un abonnement de 2 ans + 1 mois supplémentaire GRATUIT ! (Satisfait ou remboursé pendant les 30 jours)",5
Tu me tue sérieux 😂,1
"ça fait deux ans, on attend la saison 2 !!!",5
On peut avoir la saison 2 ? 😂,3
Jette un sou au sorceleur 🎸,5
Saison 2,5
Att.. Geralt est le daron... De Ciri,5
Saison 2 ?,3
"Je suis en retard ... j'avoue, la vidéos est cool ... mais franchement, s'attaquer a ""The witcher"" sans avoir lu les livres ou sans jouer aux jeux ... c'est pas du tout public, c'est une série pour les fans ... (du moins la première saison) t'es pas chez disney là ...",2
c'est trop bien pq on en a pas eu plus ?,4
"""Quelle est cette immondice"" mdrrrrrrrr le fou rire  🤣🤣🤣🤣🤣🤣",1
"(Il est mega terrifiant, une paralysie du sommeil vraiment)",5
Se qui me fait rire avec Geralt c'est que le mec a aucun vrai but il se balade juste et voit ce qu'il peut faire 😂,3
😂,5
non mais tu rigole ???? Istred c'est mais alors trrès clairement Jonathan rhys meyer en noir x'D,2
Merci de me faire rire,5
"Comme j'ai ri! C'est royalement résumé, bravo!",5
GG BG,3
« Next gen’ » 😂🤣😋👌🏼,5
"Bonsoir, euuuuh toujours waiting for la saison 2 Math depuis 2 ans !!!!!!!",5
Tu parles de mon héros alors fait gaffe!,1
Je suis d'accord avec lui 👍👍👍👍,4
"La dinguerie la timeline de cette série 😂 j’ai dû la recommencer 3 fois pour arriver à rentrer dedans, je me perdais tout le temps ça soulait😂",5
"tu es un génie (un jean, un gin ?)   !   🤣😅😂",5
J'ai rien pigé,1
LISEZ-LES!!!!!!!!,1
NON MERDE AU CONTRAIRE !,1
C'est quand que tu fais la saison 2,5
A quand la nouvelle récap de série ? :D,3
Est ce qu'on peut avoir la suite Math stp ? ❤,3
Ça m’as tuer 🤭,5
"Bah alors Math, on attend toujours la saison 2 🩵 please, i need ! Tu es un genie au passage !",5
a 0.25  il dit ça il a des livres derière lui,1
Excellent,5
J'aimerais trop la même vidéo pour les saisons 2 et 3😋,3
🤍,5
a quand la saison 2?,3
Fais la saison 2 et la 3 stp,5
Fait Lucifer !!!!!!,5
Hello! Merci pour cette vidéo !,5
"Une question reste en suspend : est-ce que le pacte des sorcieres existait avant le placement des sorcières dans les royaumes, tel que on a pu le voir dans la saison 1 avec Yennefer ?",3
"Si il n'existait pas, que faisaient les sorcières à Aretuza ? Elles étaient formées, puis libérées dans la nature ?",1
"Dans ce cas, je ne vois pas la cohérence avec le fait de transformer en anguille les sorcières potentiellement dangereuses ou inexpérimentées pour œuvrer  auprès des rois dans les châteaux... Surtout qu'il s'agit d'une pratique qui n'était pas nouvelle, alors pourquoi étaient elles transformées avant si elles n'avaient pas vocation de travailler auprès des rois ?",2
Je ne comprends pas très bien...,2
Merci de ta réponse !,5
Analyse tellement révélatrice de la pauvreté intellectuelle de la jeunesse contemporaine. Elevée et nourrie au sein à la pseudo culture abrutissante nord américaine qu'ils en deviennent incapables de suivre une histoire narré par une organisation factuelle plutôt que chronologique. Une telle fainéantise intellectuelle est tellement révélatrice de la médiocrité ambiante.,5
😂😂😂😂😂 j'adore,5
Yaaaaaaaaaaa,1
Yavais sonneper quand c'était un poux ça m'a terminer neeet😂 t trop fort frérot,1
J'adore la série the witcher que la saison 1 pas les 3 dernières saisons avec gerald😊😊😊😊,5
Toujours aussi fort on ne se lasse pas ;). Même tes pub son drôle ;),5
C'est tellement utile de revoir ça après avoir vu la saison 3 ça me rappelle tellement de choses importantes de la S1 ! Il faudrait faire la saison 2 maintenant si possible 😂,5
Hâte de voir ton souillage de saison 2 !,5
Je trouve que Jasquier sans prend plein la geule gratos 😂,2
j'ai hate que tu fasse la saison 2,5
Le cousin de Dieudonné 😂😂,5
❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂❤,5
11:15 c’est une espèce de porc-épic humain 😉,1
Le meilleur msf😂😂,5
je te decouvre avec cette vidéo,5
le contenu est excellent et les blagues bien amenées,5
je m'abonne !,5
Ducoup on a le droit quand a l'épisode pour la saison 2 ?,3
"Tu peux pas savoir comment le fait d'avoir appelé le mec ""Simplet"" est accurate, vu que l'histoire avec Renfri est basée sur le compte de Blanche Neige !",3
Le montage …👏👏👏👏🙌🙌🙌🙌🙌🙌,5
8:04 j'ai faillit recracher mon eau,1
J’ai hâte que tu parodies la 2ème saison 🎉,5
"Rha j'ai le seum, du peu que j'ai vu dans ta vidéo, ciri ne ressemble pas du tout à celle dans le jeux! Ou j'en suis actuellement dans l'histoire, c'est une guerrière surpuissante qui peut se téléporter d'un monde meilleur à un autre à sa guise, et elle est poursuivie par des elfes squelettes d'outre monde qui chevauchent des chevaux de glace et qui sont ultra basass, l'armée niigtgardienne n'est qu'un détail xd",2
Merci !!,5
Jai adoré la série mais c'est vrai qu'au début je comprenais rien 💀,4
"C'est un Booordel ! J'ai pas pigé un broc de cette video, le scénario à l'air bien tarabiscoté !!!",1
Je regarde la vidéo un an plus tard et avec quelques connaissances en plus sur l’univers c’est presque sur que guéralt a utilisé son vœu en disant un truc genre je ne veux pas perdre yennefer un truc du genre ce qui explique qu’elle ait été sauvée et qu’ils se retrouvent h24,4
"En même temps, Ciri a entre 10 et 12 ans au moment de l'attaque sur Cintra (Naissance située en 1251 - Massacre de Cintra situé en 1262, je tire ca d'un wiki pour l'exactitude, mais il est facile de voir dans la série qu'elle est très jeune, les dates sont la pour confirmer le fait !), tandis que Geralt a presque un siècle entier d'existence lors des évènements de Witcher 3, évènement qui sont la continuité de l'histoire de Ciri (Ce qui du coup situe la naissance de Geralt vers environ 1171-1172, la encore donc rapport à la date de naissance de Ciri, facile de comprendre pourquoi la série en raconte autant sur Geralt, un peu moins sur Yennefer, et peu sur Ciri). Mais ce qui joue aussi; en dehors du fait que pour les gens qui connaisse peu ou pas du tout l'univers il faut bien expliquer les choses depuis un point de départ; c'est le fait que l'histoire de Ciri va prendre de plus en plus de place à mesure qu'elle va s'aligner avec celle de Geralt, de Yennefer, et aussi de l'histoire de Nilfhgard (La seconde saison de la série l'a démontré d'ailleurs, mais comme cette vidéo est sortie quand il n'y avait que la saison 1, je commente comme tel !).",4
"Donc en conclusion : Pourquoi autant sur Geralt? Car y'as beaucoup a dire sur notre loup grisonnant de presque 100 ans. Pourquoi si peu sur Ciri pour l'instant? Parce qu'elle a 11 ans environ et que c'est une humaine normale niveau vieillissement, donc le peu qu'on voit, c'est déjà beaucoup pour une gosse xp . En quoi c'est compliqué de suivre ces trois timelines? Perso je n'ai pas galérée, et pas eu besoin d'attendre l'épisode 6, de nombreux éléments pointe les différences de temps ca et la si on a l'oeil et l'oreille affutée (Mention de personnages ou d'éléments historiquement marquant ca et la, différence de tenues ou d'apparences, décalage assez fort en terme d'intensité de scénario et/ou d'action selon la timeline en cours, etc ont peut avec ca facilement saisir que Geralt a plus à dire que Ciri !)",3
Vu.,5
en parlant de la version next-gen... elle est sorti donc tu vas pouvoir jouer à ce magnifique jeu,5
"J’ai…. Rien compris😂 trop compliqué pour moi j’avoue😂😂😂 Mais encore une fois, merci pour la rigolade",5
"MERCI, j'avoue qu'après avoir vu la série, j'étais un peu perdu. Mais ta vidéo est trop utile pour bien comprendre la timeline. Hâte de voir la saison 2",3
C’était un des meilleurs MSF on attend la saison 2 avec impatience,5
Suite s'il te plaît,3
J'ai juste lu les livres mais a chaque fois que je tombe sur un passage parodié j'ai les blagues de math dans la tête j'étais plié de rire tout le long du bouquin et devant la série c'était encore pire,1
Coucou ! Je n'ai absolument rien compris à la série mais je regarde tes vidéos pour toi et ton humour.,1
Merci et gros bisous Loulous 🥰,5
IC 🖖,5
SAISON 2!!!!!!!!!!!!!!!!!!!!!,5
Pour faire fuir le djinn Geralt souhaite que le djinn aille s'enc*ler lui-même,1
Math j'adore le concepte avec des séries au lieux de c*liss de films haha donc en rapport avec les séries  j'te conseille de faie Gotham je crois que tu t'amuserait bien haha (j'adore sque tu fait big lâche pas ),4
J'ai commencé à lire les bouquins mais j'ai lâché au bout du 5eme. Les premiers étaient pas mal avant de tourner façon niaiserie,2
Meilleure chaîne de youtube !! C'est officiel !,5
"Je te connaissais pas et nom de Dieu, ce que tu fais est hilarant !!",5
💕 ❤️ 😍 ❤️ 💕,5
Moi qui attends encore que Geralt et Jaskier finissent par se pecho : 🧍‍♂️🧍‍♂️🧍‍♂️🙂🥲 ... nan mais si si tqt un jour ça arrivera faut juste être patient....,3
masterclass le boss,5
"Sonn père de ulysse, aka personne",5
"Dr.Stravitz avait misé sur le bon cheval.......il a merdé pourquoi en fait, il la garde pas? Il apprécie le thon seulement en boîte?",1
"Siri est en fait la mystérieuse petite..............voix de votre assistante naavi, gateur",5
"Là math tu es le plus fort... je sais même pas comment tu as fais mais merci pour le chocolat !!! Livré à domicile, message personnalisé. Ça me troue le uk !!! Non mais dis nous comment tu as fait...... sérieux le deal a du te coûter un bras....celet",5
"Ben ouais quoi, le porc épic ça doit être le ptit couz de rocket....",3
R.I.P Cavil saison 4,5
Comme j'avais joué au jeux avant la série je pensais que petit porcelet c'était hugma je raconte pas la surprise quand j'ai appris que c'était yenn,3
"Le faite d'avoir fait le jeux ne m'a pas du tout aidé à comprendre l'histoire avec la chronologie des évènements, il n'y à que dans les 3 dernier épisodes que tu commences à comprendre quelque chose.",2
"Ceci étant dit place au plus important, tes vidéos sont des dinguerie je rigole, je remets des passages et même les Placements De Produits sont excellents (PDP que je zappe toujours habituellement) brefs, pas trop de guimauve, j'ai énormément de vidéo à rattraper.",5
Mec lors de mon premier visionnage de la S1 j’avais tout capté. J’ai voulu la revoir pour ensuite enchaîner sur la S2 bah j’arrivais plus à piger la 1 mdr.,5
Et même avec ta vidéo j’ai rien pigé.,5
Bordel j’ai mieux pigé les timelines flinguées des films X Men que les lignes temporelles de cette con de série (sans compter que la madame Dumbledore et la boss de Cintra se ressemblent à l’infini j’suis paumé moi),3
In-croy-able,5
8:03,1
-Tu penses que c'est quoi qui les a tués ?,1
-Le marchand de sable ?,1
ça m'a tué .,1
3:18 : il doit se dire : c’est du harcèlement sexuel à la fin 😂,3
quand sa rime pas je prend pas les quete Lol,2
Tu devrais avoir des dividendes sur certains films ! J'ai souvent envie de le voir grâce à ton interprétation. Merci pour tes vidéos 🤟,3
"C'est à cause de la timeline pourrie que j'ai arrêté la série. C'est dommage, car le reste est excellent! 🤐",2
