Comment,Number
J'espère que cette vidéo vous plaira !,5
"Je remercie les fratés de la sponso : Rendez-vous sur https://NordVPN.org/CyrusNorth pour obtenir un abonnement de 2 ans + 4 mois supplémentaire gratuit, le tout avec une énorme réduction. Satisfait ou remboursé pendant les 30 premiers jours !",5
"C'est super cool comme format, mais je pense que dire que si qq est un peu méchant avec toi, c'est qu'il te kiff, c'est normaliser la violence :)",4
Suis-je une merde pour mettre une publicité toutes les 7 minutes plus un placement de produit pour une vidéo qui coûte assez peu d'investissement j'aime bien ta vidéo mais le nombre de pub est un peu abusé,3
Tromper = tromperie tromperie veut dire mentir donc à partir du moment où tu mens tu trompe,1
J'ai de la peine pour le mec sérieux je souhaite ça à personne,1
Elle dégoûte la meuf avec sa pote 🤮,1
Je peut pas m'empêcher de penser que pour l'histoire de la meuf qui a profité du gars alcoolisé si c'était l'inverse donc un gars qui avait profité d'une meuf alcoolisé ça aurait été reçu complètement différemment et même moi je le ressens différemment ( je suis un gars).,3
"Bob si il est pas trop bête, il a dû faire d'autres recherches de stage. Car un mois d'attente il doit bien se douter qu'il y a anguille sous roche",3
"0:59 oui, faire des dates alors que t’es en couple mdrr ?",1
"6:14 oui, elle a fait l’effort de donner une autre date et t’as préféré voir tes potes plutôt qu’elle. Le mieux aurait été d’inviter ta pote le jour de ta soirée",3
8:20 oui et 1 mois d’attente c’est trop long pour refuser sa candidature !,1
11:10 non t’as juste répondu,3
"13:03 oui, la meuf de ton pote ! elle elle a abusé par contre , on dirait que c’est toi qu’elle voulait depuis le début",1
"16:56 non pas une merde, elle abuse ta pote",5
La femme qui arrête pas de tromper son gars et qui menace sa pote est clairement atteinte de trouble de la personnalité borderline. Les menaces de sui* et ses comportements trompent pas. Tu fais bien de dire qu'il faudrait contacter un professionnel dans ces cas là,2
Histoire 1. Pas d’accord avec toi. Tu romps si tu vas voir ailleurs,5
"On apprécie le rappel sur le consentement sous les effets de l'alcool, même chez les hommes ! Tu as toujours les bons reflex dans tes vidéos, ça fait plaisir. Merci pour ton super contenu et cette série pépite 👌",4
Ptain truc de fou transformice c'est le jeu de mon enfance j'y jouais tout le temps avec habbix sur des pc bas de gamme,5
"Par rapport a la première histoire, ce truc de l'absence de sexe dans le couple ou jsp quoi ça veux strictement rien dire, j'suis dans le même cas et juste je suis asexuel, on a des complexes, et perso je trouve que c'est pas primordial dans un couple",3
transformice j'y jouais ya 10 ans ! j'ai perdu mes codes,5
"Pour la tromperie, moi je balance rien mais je suis plus amie avec la personne qui a eu un adultère.",3
"Mais la meuf de la dernière histoire qui trompe son mec à tout va c'est une IMMEEEENSE MERDE j'ai jamais vu ça, et celle qui rapporte l'histoire n'a rien a se reprocher, ça me parait évident.",2
