Comment,Number
Seb est excellent,5
"Oh wow !!! À 5min45, l'acteur meilleur interprête et adaptateur d'Ollivander, c'est un 💯 %",5
Il faut qu'il revienne jouer avec vous; il est excellent ❤,5
Pauvre choixpeau 😢,1
Il les traite comme des chiens en coulisse mais il le fait pour eux (les techniciens on va dire),3
"Après c'était sûr que ça allait continuer ailleurs, aujourd'hui la médiocrité, la médisance et la malveillance règnent en maître...",5
"Par contre la miniature, tu as choisi exprès qu'il ait une tête de faux-cul? (plus qu'habituellement)",3
C'est pas bien ce que tu fais j'ai failli taper ma TV 😂,2
Le t-shirt Segpa ma tuer 😂😂😂😂,1
Je l'avais pas vu celle là : je ne sais pas ce que je préfère entre les questions/réponses de Papy Grenier avec sa petite fille ou les acteurs qui reproduisent ce qu'il se passe dans le jeu 🤣🤣🤣,3
Si il décidé de faire un mini série comme Hélène et les garçon cela serait une masterclass avec leur vannes ^^,4
protequession !!,5
15:40 j'entends du louis de funes dans cette réplique,1
Le club dorothee la musique,5
"La chanson originale sur laquelle se base le JDG, Seb et la meuf pour chanter, à 1 min 15, c'est quoi le titre ?",2
Hilarant!,5
"Qu'est-ce qu'elle fait Weasley en Défense? Elle est où, Hecat?",3
Quatre ans* de retard,4
La musique des 12 travaux d asterix quand il fait valdinguer le mec dans tous les sens est juste énorme,5
Le Merlin de Seb me fera toujours autant rire 😂,5
Mdr la chanson du début 😂😂😂😂😂,4
Ça fait plus d'un an que y'a pas eu un papy grenier 😭,1
« Personne n’imaginait que le fandom de Harry potter allait devenir une secte religieuse 🤯 »,1
"…. Ah si si, 0% surprise -_-",5
Personne a la ref sur cylindrique le germain ?,1
"Je suis désolé mais la sorcière brune dans la séquence de merlin (avec un Seb magistral comme d'hab), bah elle est extrêmement jolie 😍",3
J'ai une idée : pourriez vous faire un papy grenier sur Fire Emblem Fates la prochaine fois s'il vous plaît ? J'adorerai voir un papy grenier sur ce jeu,3
Un grand cru pour sûr,5
"16'44"" : belle référence à Joe la Mouk ! 😁",4
ollivander ... le seul dans son métier ? NON il y as plein de boutique et d'artisant mais encore les films en parle pas -_-,3
déjà .. des francais à hogwarts .. NON vous avez votre propre école et non c'est pas comme dans le film ou tu vois que des fifilles mais c'est comme durmstrang .. une école mixte .,1
jamais compris les '' fake '' fan d'harry potter de dire ah lala j'irais bien à hogwarts ... même pas foutu de le dire en anglais déjà puis COME ON ! les films était à chier ! tellement de truc qui ont été mis de coté par rapport les livres ...,1
Cette vidéo 🤣 on sent vraiment que tu as saisit toute l'essence de ce jeu.,5
Trop générique comme jeu.,2
T’façon j’ai vu le cadre de Terracid derrière j’ai déjà compris que ça allait être un banger 🤣,2
J'ai bien aimé la chanson de fin 🤷,4
je ris je ris je ris,1
😂❤😂,5
+1,5
"Alors précision qui a déjà été faite je pense mais je vois l'épisode que maintenant: Les chevaux au début, c'est des créatures que tu commences a voir quand tu VOIS quelqu'un mourir.",3
Je verrais bien un papy grenier sur la trilogie jak and daxter pour voir ce que ça va donner 😆😅,4
"J'étais sceptique, je l'ai acheté, j'ai terminé le jeux, ... et j'ai accroché. Il y a des bugs, plantage, quêtes absurde, incompréhensible, .... des personnages très étrange, mais cela rend l'histoire tellement palpitant. Puis il y a le endgame, quand il y en a plus il y en a encore, perso j'ai trop kiffé les quêtes annexes.",5
"Je viens seulement de remarquer qu'au fur et a mesure de la vidéo, les lunettes se barre, a la fin, elles sont complétement décalé vers sa droite et vers le haut x')",2
багет багет багет,1
"я нихуя пока не понимаю, будем посмотреть",3
Jattendais tellement un sorcier bien français qui utilise sa 🥖😂,5
"Le jeu d'acteur est juste parfait, bravo 💎",5
Je crois que Marc est amoureux de Johanna 😊😊😊,5
7:30 je suis le seul à avoir bander ?,1
La réforme sur le travail des enfants ! Quel visionnaire 😂,5
J'avais jamais fait gaffe à la photo de Rambo dans le cadre 😂😂😂😂,4
Honnêtement un papy grenier sur le premier opus de Assassin's Creed ça peut être vraiment très drôle 😂,3
"""L'aveugle qui fait semblant d'être aveugle"" WTF ?",1
Hilarant !,5
Avec ce choipeau tous le monde devrait être chez Giffon d'or !  😂,5
La ref d'Astérix contre l'allemand 😂😂,5
Leviosaaaaaa,2
La ref à asterix pas mal,3
Leviosaaaaaa,2
"Merci le short 😁 J'avais zappé cette vidéo, elle est trop bien !",5
Y'à eu énormément de taff sur cette vidéo ! Et revoir certains gag.. ça m'as bien fait rire.. 😁😅,1
"""D'la cagette !"" ^^",5
Quelle Audace ! Felicitation JDC,5
"Les blagues sont toutes incroyables, et franchement Seb... C'est vraiment le boss, absolument hilarant",5
Comme d'hab meme la pub est parfaite!,5
j'avoue que la blague de sans baguette m'a tué.10:56,1
TEAM BANANE,4
🤣🤣🤣,5
"The actor for Ollivander is so good, I want to see him again.",5
Je viens seulement de voie cette vidéo maintenant x) merci les short youtube,1
J'espère un papy grenier sur Baldur's Gate 3,3
Le revelio à tout instant et le moment ou il dort dans une maison ou il est rentré par effraction pour voler une demi guise de nuit est tellement réel 😭,5
Ça a du bien de s'ennuyer et de remater des vidéos de jdg. Ça permet de se rendre compte à quel point les acteurs sur celles-ci sont teeeeeellement bien ! (tout comme la vidéo d'ailleurs 😁),3
"La sorcière vient de Ouagadougou pas de l'Ouganda, c'est plus au sud et plus à l'est l'Ouganda XD",1
"11:15 ""moment le plus revisionné""",5
1:44,1
"Mon dieu, la capture et élevage des animaux est tellement bien joué et drôle, j'adore!",5
Je me soumet a cette sponso 🙏🏼,5
"Rho bordayl, je ne l'avais pas regardé plus tôt parceque je n'ai jamais joué à ce jeu, et je me suis dit ""Bha non, si je veux y jouer un jour, ça va spoiler. Pi j'aurais pas les refs...""",1
Mais comme je me trompais !,3
Il est énorme cet épisode !,5
Et c'est un papy grenier en plus !,5
"L'olivender, Seb en merlin, ""Debout !"", c'est magistral !",1
Il ne manque qu'un caméo de Bob Lenon avec son sort du pioupiou !,4
"Merci à toute l'équipe, c'était vraiment génial !",5
15:55 c’est pas dégeulasse 😂,1
Harry Potter 😊,5
J'ai mis un j'aime direct rien que pour la pub 😂😂😂,5
J'adore le passage avec la référence à Asterix 😂😂,5
Au point ou o  en est si ya pas une sponso nord vpn c'est pas normal.,3
Excellent comme d'habitude mais petite erreur par rapport a l'histoire: George Orsic (Le gars qui se fait bouffer par le dragon au début) est pas un prof mais un ancien élève de Poufsouffle qui travaille au ministère de la magie ;),4
"Le JDG, le seul où je regarde les sponsos commerciales sans zapper ❤",4
Juste excellent 🤣🤣🤣,5
"Génial plus de services de censure de la bien pensance aussi appelé karim debbache ce qui ironiquement est quand même un concept qui sent les bruit de bottes ainsi que 1984 vous rendez vous compte c'est la le crime pensée quelle horreur les gens qui pensent pas comme nous ,🙃",5
"C'est drôle de voir comment jk Rowling a elle même détruit son univers avec l'Ouganda en suçant les wokes très fort mais bien genre gwak gwak 3000, tout ca, pour se faire full cancel 🤣",2
"Go woke, go broke 😅",1
"""Debout ! Debout !"" T'as osé, putain 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1
J'avais pas fait gaffe  le wankul dans le tableau 👌,3
La musique du placement de produit me fait penser à la musique du mode tranzit dans Black Ops 2,3
"Nord vpn à vraiment validée ""ça"" ?",1
Mais bon sûrement psq c'était toi 😂,3
"les blagues rᥲᥴіs𝗍ᥱs les mieux écrites du game, ya pas à dire.",1
je viens de me rendre compte que javais omis de voir cette masterclasse ☠️,5
"Comme d'habitude, divertissant et au top jusqu'à la dernière ligne d'écriture,  Respect pour tout le travail que vous faites. Le jeu d'acteur de Seb est excellent, même si Fred et les autres sont très bons aussi.",5
je like avant de regarder la video !! :D,1
10:50 😂😂😂😂😂,5
10:50 meilleur passage ever je m en lasse pas je suis mort de rire,5
"Papy grenier, papy papy, coucou papy! T ou papy papy, papy grenier?😭",1
Oh je viens juste de capter la référence au 3e travail des 12 travaux d’astérix à 7:39! C’est génial!,5
Trop drole 😅 moi qui joue au jeu j'ai toutes les refs. REVELIO ❤,2
Mais lol Seb il défonce tout dans n'importe quel rôle. Le portrait de Ron Weasley derrière mdr,2
8:18  Amixem a changé quand même,2
Hâte de voir le jour où papy grenier n'aura plus besoin de ça perruque 😉,5
"🤣 Merci, pouaaah j'ai tellement ri tout du long ! Y'en a pas une à jeter ( quand on a fait le jeu on voit totalement en plus). Excellente vidéo, humour génial,  comme toujours dans ce type du grenier qui crée des histoires sur les jeux. Enocre merci pour ce super moment :)",5
1,5
15 minutes 30 c'est bien greencatfromhell ??😮,1
"Seb en Merlin est phénoménal, j'ai pleuré de rire ! 😂",5
"Top les sketches, mort de rire",5
"J'ai bien aimé "" Johanna et les garçons "" Mdr",4
J'ai adoré la pub NordVPN style Hélène et les garçons. Merci NORD VPN mon VPN préféré même si je n'en ai pas!!! merci de faire vivre Youtube!!,5
"À chaque fois je me dis osef mais en vrai ça me titille trop, on voit pas les sombrals en frôlant la mort mais en la voyant en face ce qui est le cas quand le professeurs se fait tuer voilà voilà oui je sort -->[]",2
"Cette vidéo est tellement géniale que tout le monde oublie de parler de cette nouvelle master-class de Seb ""Nicolas"" et Fred ""Christian"" pour Nord VPN !!",5
"Un peu tard mais mieux vaut tard que jamais ! Je regarde à nouveau cette vidéo juste pour me remémorer les souvenirs de tournage ! Tant d'anecdotes et de dingueries pour finir par lâcher un ""Accio"" et basta xD ! En vrai tant de complicité avec les autres figurants/acteurs !! Fred est un ange, largement parmi les personnes que j'ai rencontrées qui ont une aura étincellantes de bonté  et de bienveillance tout simplement ! Une experience comme on en vit pas deux fois :) ♡",3
SALUT BARBIE! SALUT BARBIE,5
Masterclass comme toujours ❤ Génial les épreuves de merlin 😂😂😂😂,5
l'acteur qui joue olivander est extraordinaire,5
"Jadore comment on te fait croire que la maison est importante a cause du decorum autour, mais a part étiqueté les serpentards comem futur monstres (probablement apres toute une scolarite a entendre qu'ils sont des ordures), ya pas vraiment dimpact sur ta vie.",3
J'adore le jeu de l'acteur à 5:45  hahaha,5
Quand je pense que l’équipe de jdg a recruté une actrice porno qui médiatise les délires trans espèces et experte en drama sur le net pour jouer un personnage avec des dialogues. C’est la preuve qu’ils ne vérifient pas les gens qu’ils embauchent… 😢,2
10:57,5
"quand on se rappelle qu'au début c'était juste une petite série pour nous faire patienté entre chaque épisode de JDG, c'est devenu un truc incroyable. merci à JDG, je me suis marré à mort à tel point que je suis devenu comme le professeur Bins.",5
Merci !,5
"Il aura bien servi le gros jouet pour enfant/puzzle, entre les épreuves de Merlin, la vidéo Lara Croft et tout les autres jeux ou les énigmes sont absurdes",4
15:33 un sac... un grooooooooooos sac!,1
La partie avec debout m’a fait mourir de rire,1
Incroyable je viens de finir le jeu et je trouve les refs super bien placées 😂,5
8:36 mdr avec ce prof c’était vraiment ça 😂,5
"Rohhh que des scènes à 90%. Le jeu n'a pas de place, 5 secondes de jeu et paf on ressort des scènes.... irregardable, à force ça devient bien chiant.",2
Il faudrait modérez un peu...,3
Le licer jorge ponpidou 2:54,1
Notre Avatar est tellement puissant dans le jeu que s'il était apparu dans les films on serait l'équivalent de Mila jovovich dans les resident evil 😂😂😂😂😂😂,5
3 couleurs  🤣,5
Oui cest dure a retenir,5
Ahahahaha,1
Sébastien Salop XD,4
j'en ai marre de ces gens !! lol,5
le Choixpeau qui écoute une cassette pour être une Choixpeau fort c'est génial,5
Bombarda !,1
Le début de chaque Papy est un clin d'œil au Festival Roblès ?!,3
Pourquoi l'un des enfants à une voix bizarre ?,2
j'ai commencer a regarder jdg il devait y avoir 4 videos de sortie? j'etais au lycée a l'époque et je regarde toujours,1
