Comment,Number
Dsl mais aucune fourmi sont capable de tuer un homme.,3
Mais il avait des boutons sur le visage…😮,3
"Petite précision, un VPN ça sert à avoir un contrôle de son pc à distance via des serveur, et non à changer le pays dans le quel vous êtes, juste l'usage a été détourné. Donc les VPN sont à bannir, surtout que ce n'est pas fiable et que pleins d'infos circules dans la nature à cause de cet usage malheureusement...",3
"Hé, tu n'as pas parlé des mygales, grosses comme des crabes...",1
"Munich en 1972, hyper casher en 2015, 7 octobre 2023 … il faudrait peut être foutre la paix aux juifs un jour.",1
"video interessante. j'habite en amazonie depuis un certain temps, il faut savoir qu'il y a d'autres solutions pour s'en sortir si on est perdu. Certains arbres nous offrent la possibilit2 de faire un bruit tres puissant, qui s4entend a plusieurs kilometres a la ronde, par exemple.",4
"on peut aussi pour se nourir, suivre des singes et se nourir des memes choses qu'eux. Il y a aussi une liane, tres repandue, dont la seve, genereuse, est potable. ce sont litteraleñent les preñieres choses que l'on t'qpprend quand tu veux aller dans la jungle.",4
"Par rapport au communauté indigène, beaucoup de communauté sont ouverte, et l'aurai aider sans soucis, mais oui il y a certaine communauté qui ne souhaite pas être en contact avec l'extérieur et donc tue ceux qu'il voit",3
En vrai il abuse de ouf j’y suis allée et en vrai il abuse sur un peu tout genre c’est vrai mais en moins abuser 😂,3
Tiens-donc... le professeur et la fourmie ont le même prénom... ;P,2
Pour ceux qui aiment l'Amazonie foncez voir les vidéos de nico Mathieu ! Il fait des expéditions c'est pépite. Super vidéo sinon 👌,4
Salut,5
J'ai effectué le cefe jaguar,5
Ton gus s'il survie une semaine c'est un exploit et 10km par jour c'est un bon vu la densité de la flore,4
Sur terre dans la végétation dans l'eau tout est dangereux même pour des initiés,1
Les locaux ne sont pas mauvais,3
Les narcotrafiquants ne sont pas au milieu de la jungle vous avez oublié les chercheurs d'or et les criminels en fuite,1
Mais bonne vidéo,3
L guide rged 😂,5
Je supporte plus sa tête ni ces vidéos,1
Je suis un peu déçu je pensais qu'il aurait parler de la Guyane qui se trouve aussi en Amazonie,3
Le thermomètre mouillé: je pense à mes tantes marocaine qui peuvent rester plusieurs heures dans un hammam dans l'endroit le plus chaud. Sans parler des employées..moi je crève au bout de 5 minutes. Je sens mon cœur s'accélèrer...,2
"Les noix de cajou c'est pas ultra dangereux à ouvrir etc, et a ne surtout pas consoler crue ?",2
"Peut on dire que Bal était perdu dans un trou ? Serait ce abusé de dire qu'il était au donc au fond du trou ? De ce fait, après avoir fait le tour de la forêt, pouvons nous dire, qu'il s agissait du trou de Bal ?",1
"Juste comme ça, l’idée du feu géant est presque impossible car avec l’humidité il ne se serais pas propager",3
J'aimerais bien savoir ce qui reste du guide,4
2:25 timecode pour éviter la sponso,1
Lol haguenau  y’a des lapins 🐇 aussi,5
"18:46 Les falaises ""Los Gigantes"" de l'île de Tenerife où j'habite",3
En Amazonie j'y survit 500 ans ans . ( Ma mêre est un elfe et mon père Mac Gyver),5
"C’est 550 millions d’hectares pas 5,5 là forêt française ces plus de 16 millions d’ha",1
À force on a compris nous allons prendre des abonnements vpn ça suffit 😂,4
sa va pour gustave ouf,4
11:16 eu noie de cajou c'est pas vraiment une bonne idée 😂,2
Après si il veut mourir oui,2
Pipi dessus avec l'histoire du mousticus. Ah ouais la j'oublie que Chris mets les nerfs a force de faire des comment survivre a la fois en long et a la fois en short.,4
Mick horn il a remonter  tout  dans l'eau  d'après  lui c'était  le plus safe,5
@Piwan 😮❤,5
Comme a dit Mike Horn; la jungle c'est l'enfer vert,5
faut surtout pas qu'il attrape les  pieds de tranchée ses je pense l'une des chose les plus horrible,1
