Comment,Number
Vidéo sponsorisée par Nord VPN. Profitez de 4 mois offerts sur les abo de 2 ans à NordVPN en utilisant le lien :  https://nordvpn.com/joueur,5
"Coucou JDG, sais-tu que t'as un fan américain ?",1
BATMAN : c'est moi qui paye la tour. 😂😂😂,5
"29:19 faut te mettre en prison pour tentative de meurtre là ,  t as failli me faire faire une crise cardiaque tellement je rigole 😂😂🤣🤣🤣",1
justice league en mode kaamelott c'est du génie 😆,5
je m'en lasse pas,2
"26:07 je sais pas si c'est vraiment une référence à la vidéo de Technodad le jourde l'anniversaire de son fils, mais vous avouerez que ça y ressemble... 🥹",3
Ils en vendent à la pharmacie les suppositoires pour Wonder Woman,3
Faire du nouveau avec de l'ancien JDG est un génie,5
"le "" c'est moi qui paye la tour"" m'a tué 🤣🤣🤣",1
"Pour avoir mater l'intégralité de Kaamelott 7 fois, je valide l'acting de la parodie",4
"toujours excellent, j'adore vos vidéos 🤣",5
Il fait ref a qui? 10:07,1
Mais qu'il est beau ce Krypto.,3
le lex luthor est parfait,5
Je suis pas du tout fan de Kaamelott mais cette parodie de Justice League pourquoi ils en feraient pas une vraie série comme Kaamelott dans la vraie vie pour parodie Justice League,2
qu'elle bonheur d'avoir raté des épisodes :) au moins j'en est plein à mater,5
"à 18:35 j’ai cru reconnaître une OST de Monster Hunter Stories, a quand une vidéo sur le thème de Monster Hunter ??",1
"JDG toujours une valeur sûre, mais alors celui ci, entre Kaamelott version super héros et les blagues, c'est un Banger !!",2
"""C'est moi qui paye la tour"" Je suis en PLS",1
La caméra et sous cok😂😂😂😂😂😂😂😂😂😂😂😂,5
La référence à Kaamelott ♥️♥️♥️,5
Kaamelott JDG! Génial on en veut d'autres!!!!,5
"Même si je déteste cette série, j'adore l'inspiration de ""the boys"" dans certaines scènes haha !",4
"ep sympa mais énorme point noir, jdg fait que gueuler pendant le teste sur superman 64, de facon insupportable et surjoué, dommage ca gache beaucoup",3
36:01 cette imitation de Guenievre est exceptionnelle ! 😂,5
Ça sent la mini série JDG 😁,5
Y'a jamais sortie la kryptonite rose je suis mad 😂,1
Seb tellement toujours sous-côté.,1
Il parle de qui quand il parle de sa version américaine mdr?,1
Celui qui joue le rôle de Batman c'est pas le commissaire magret,2
"J'ai jamais rien compris aux jeux vidéos, je n'y joue pas vraiment bcp (Minecraft, RDR2) mais j'adore JDG, j'adore les blagues et le format des vidéos. Ça fait des années que je te regarde et ne t'arrête pas, a chaque fois je me tape des barres de rire",5
"2:59 “C’est pas jojo” je croyrais entendre mon père parler, excellent !!!",5
"une pub toutes les 3 min, on ne se prive de rien !",1
Quand tu as tourner les scenes de superman tu étais malade non ?,1
Tu reprends du poids mec.,2
