Comment,Number
"🐟Merci à NordVPN pour le soutien à la chaîne, pour bénéficier de 4 mois offerts sur les abonnements de 2 ans c'est par ici : https://nordvpn.com/poissonfecond",5
Des bisous !,1
"8:20 incroyable, la trend du robot avant l’heure",5
Pourquoi pour le championnat de sauna ils préchauffé le sauna 😢😢😢😢😢😢😢🌡️🌡️🏚️🏚️🪨🪨🪨🔥🔥🔥🥵🥵🥵🌋🌋🌋🌋a 110 degrés,2
A 150 bpm son cœur jouait de la musique hardstyle 😅😅😅😅😅 2:57,5
Tu peux me donner le lien de la vidéo du concours de sauna s'il te plaît,3
Pov: je me suis deja assis sur les pierre d un sauna j'avais pas vu ! 8 ans après j ai tjr des marques,1
Arrête de torturer Gustave,1
"Ca me rappelle une expérience de la chaine ""Le Tatou"", où les gars sont restés dans un Hammam à 45 degrès (une température insupportable pour le corps si ça dure trop longtemps) pendant 50 minutes en peignoir avec du saumon et des pommes de terre pour répondre à la question ""Est ce possible de faire cuire à la vapeur des aliments dans un Hammam?"". Evidemment, c'est super dangereux comme expérience, on  ne reste jamais plus de 30 minutes dans un Hammam, ils ont failli y laisser la vie. Ca a été une torture interminable pour eux. J'ai pas compris pourquoi ils devaient absolument être dedans si ce sont les aliments qui devaient cuire! A la fin de l'expérience, la saumon a cuit, mais pas les pommes de terre. Ca valait le coup de risquer sa vie et de souffrir pendant  si longtemps pour savoir ça.",4
1:52 timecode pour éviter la sponso,1
Tu me donne envie de dormir mec,5
"Chris, j'ait déjà essayer Netflix aux usa avec un vpn, ça marche pas, donc c'est archi faux !!! En fait, tu peu te connecter avec tes identifiants européens, mais tu ne pourras acceder à rien. Faut qe mettre à jour, mr poisson fecond. Sinon, Gustave va faire une de ces têtes!!!",1
"Je me rend compte que j’ai eu énormément de chance, avec ma copine on fait des saunas privatif. A cette soirée on boit pas mal ma copine ne reste pas et moi j’y reste mais beaucoup (je précise que c’était ma premier fois donc je ne savais pas pour les 15min max) comme un con je retournais le sablier 3 fois soit 45min à rester sous 70 a 80 degrés en sortant je ne me rappelle plus de rien et apparement j’ai eu beaucoup d’hallucinations selon ma copine, je ne me rendais pas compte du danger.",5
En vrai je suis déjà beaucoup plus longtemps dans un métro à Paris en plein été ….,5
"ça me fait penser aux athlètes qui vont faire des pompes avec un gros pull ou autre dans un sauna juste avant une pesée (assez courant dans certains sports/pays comme la boxe thai,...)",3
❤,5
Gustave encore plus de soucis pour toi ❤️,5
Ça fait que t'es suicidaire,1
C’est quoi la différence entre un sauna et un Hamam ?,3
Mais ça sert à quoi d'aller dans un sauna ? C'est pour les masos ou quoi ? Faut être un peu cinglé aussi pour faire ce genre de concours !,3
excuse moi mon grand est ce que tu fait de l'ipnose ? je regarde tes video je passe en mode hyper someil la nuit mais le matin qand je me reveille lj'ais a forme est 100 % ta un truc specifique honnetement cest sincer jais dormis 7 heurs non stop sans me reveilliez ! truc de dingue ! je jure je suis peut etre un specifique mais la je suis sincere !,1
15 min à 80 degrès au sauna et 22 min à 50 degrès pour le hammam,1
"13 comotions cérébrales (choc àlatêteavec perte de conscience... les plus petites ne sont pas comptes), c'est un petit ou un gros record ?",2
"En tout cas, je n'en veux pas plus. Ça suffit !",3
ça fait feur,5
Pas très efficace le VPN parce que avec toi il est jamais en sécurité 😹💗,2
"Pour les poumons, la chaleur sèche est plus dangereuse que la chaleur humide ; tout comme la pluie aide les personnes qui ont des difficultés respiratoire à respirer, c'est pour cela qu'en été on aime les petits ondées",3
Un épisode sur l'endométriose avec la chérie de Gustave !,4
En Norvège je suis allée dans un sauna A presque 110c,1
Heu non .. On peut vivre à plus de 30°C et 90% d'humidité dans l'air toute l'année sans devoir déménager.,2
"Bonjour de Panamá City/Panamá 🌺 où il fait entre 28 et 35 toute l'année (à l'ombre), là il est 20h, le soleil est couché depuis 2 heures et il fait encore 29°C, ressenti 33. Taux d'humidité (il n'a pas plu depuis 4 jours) 70%",1
"Effectivement, après une averse tropicale, c'est hammam à ciel ouvert 😅",4
"Mais bon, on ne déménage pas. La preuve, moi j'ai emménagé il y a 10 ans.",3
ET SURTOUT PAS BOIRE DE L'EAU COMME UN CHAMEAU QUAND ON EST DÉSHYDRATÉ !!!,1
"Cela ne sert plus à rien. Le corps s'est mis en pls, vous pourrez boire 10 litres, CELA NE FAIT PLUS RIEN",1
"Il faut boire des boissons réhydratantes, electrolytiques. Si vous êtes en vacances dans un pays chaud et que vous commencez  à avoir mal à la tête, buvez moitié Coca (même si je ne suis pas fan) et moitié eau. Ça devrait vous éviter l'hôpital (où ils vont se foutre de votre poire parce qu'on vous avait certainement prévenu), et ensuite pensez à boire 2 à 3 litres d'eau chaque jour, en plus des jus de fruits, cafés, thé, apéros...",3
Déjà fait en Suède mais pas de sang ni rien de tout ça en tout cas,1
les interventions de la meuf ne servent à rien … et sa voix fait mal à la tête,1
Ça fait quoi de manger un Ténia ??,5
Comment expliquer que j'adore le sauna et que je supporte pas la canicule en été ?!,5
Mec j'ai testé le sauna une fois j'ai même pas tenu 5 min alors 30 !😂,1
"Au Maroc on reste au sauna 10 min en moyenne, donc je pense qu'on est des champions! 😆",5
ça fait suer !,1
"Faux, ça dépend de quoi t'es habitué.",1
"Je vis mieux en milieu chaud et humide, en étant en France depuis quelques années je galère avec la chaleur sèche",3
C'est un cuisson là mdrrrr 😂,1
Zyzz est décédé comme ça à Pattaya en aout 2011,1
"Mais bon, il était chargé comme un cheval de course et avait un problème cardiaque non diagnostiqué, ce qui a fortement participé à faire pencher la balance évidemment. Mais c'est justement ça qu'il faut retenir, si vous avez des antécédents, prenez des médicaments, des drogues ou je ne sais quelle autre raison, soyez prudents ...",3
moi qui suis au bord du malaise après 5 min de sauna ...,1
Mon record est 9 minutes. À refaire j'irai de suite,5
8:20 🤣🤣🤣🤣,1
"🤔 Vous avez déjà proposé ""consommer 1 kg sel, ça fait quoi"" ?",1
"Chris c Dieu, et Gustave plus fort que Jésus 🤣. Vu nombre fois où se dernier a été resuscité. Pauvre Gus 😇",5
Franchement sans même voir la vidéo je dirais que tu meurs en 5 min mais bon ... 110 degrés c'est l'ébullition vu que tu atteinds les 100 si tu es enfermé tu tiens pas 2 min...,2
Parce que un sauna peut atteindre 110 ° ?,3
"Ya le temps que ça chauffe au début ou pas ? Parce que 110 je me répète mais tu meurs très très vite , l'air que tu inales est bouillant ça te brûle les poumons.",3
A 110 meme le sol tu brûle voir te colle les pieds,1
Pourquoi les femmes prennent des douchent hyper chaudes alors ? La température est insupportable et brûlante pour les hommes 🤷🏻‍♂️,2
"Essayer de l'eau de javel, de l'arsenic, etc",4
Ça fait quoi?,3
Déjà en été il fait 30° je souffre alors 110°...,2
"En fait la mort apres le coma survient principalement car au dela d´une température de 40º C dans le corps, la majorité des enzymes perdent leurs capacités catalytiques empêchant ainsi au corps de fonctionner normalement. C’est pour la meme raison qu’avoir une fievre dépassant les 40º C est un cas d’ urgence absolue",2
"Il y a la version froid du sauna. Je suis allée dans un spa où il y avait vraiment la totale. Sauna, hammam, chambre froide (j'ai jongler entre les trois pendant 1h), une douche qui imite plusieurs types de pluie relaxante, un jacuzzi et bien sûr un balnéo géant",3
14:00 pk il met une image de personne entrain de danser et il dit des trucs négatifs 😂,1
"Pourquoi pas un « Transfuser le mauvais groupe sanguin, ça fait quoi » histoire de voir vraiment ce qu’il se passe.",1
Dans l'histoire d'horreur de Squeezie il raconte que 2 meuf mineur on survécu après être enfermé dans un sauna pendant 45 min mais elles étaient bien cuites avec la chaleur du sauna,3
"je pense qu'on dire ""rester 30 minutes dans un four"" XD",3
Venir voir cette vidéo juste après celle de squeezie,1
"14 minutes dans un sauna à 80°, mon record lol",5
Après un coup j'ai tenu 31min à 110 degrés mais bon c'est pas une compétition,2
et pour les filles dans l'histoire de squeezie qui ont survécu 45min en sauna alors ?,3
Je déteste les saunas et hammam ...,1
"La sensation d'avoir trop chaud est la pire de toute, alors pourquoi s'infliger ça volontairement ? C'est réservé aux tarés sado-maso ...",1
"Et oui, je suis Team Hiver ! Vive le froid !",5
Quand j'entends dire que NordVPN permet de payer moins cher un produit en l'achetant à l'étranger.,1
"J'entends en même temps ""faire sauter la TVA, qui ne serait pas (intégralement) récupéré par les frais de douane"".",1
"Si tel était le cas, c'est pas pousser les viewers à la fraude ?",1
Donc une raison pour Youtube de striker la vidéo ?,1
J’ai le record du monde d’idées de mer## 😂😂😂😂,5
Juste après le thread horreur de squeezie WTF,1
Force à Gustave,5
"Travailler de nuit pendant 40 ans, ça fait quoi ?",5
cette vidéo et celle de squezie qui sortent à quelques jours d'écart quel timing ! XD,5
les interventions d’ariane sont agaçantes,2
j'ai cette vidéo vidéo recommandée juste après avoir vu la vidéo de squeezie mdrrr,5
"ces pub nordvpn qui nous donnerait accès à ceci cela, ce n'est pas un peu borderline niveau légalité? pourquoi n'aurait on pas droit à tout ça dans le service d'amazon directement par exemple? 🤔",3
"J'ai une idée ! Pourquoi vous ne feriez pas une vidéo sur ""se prendre 270 décibels, ça fait quoi ?""",5
"Être batteur de metal pendant 40 ans, ça fait quoi ?",5
Un Gustave rôti a point,4
Entre 800 et 900° pour qu'un corps brûle,3
4:41 la même chose au Québec! em été bien sûre :),4
Mangez que des fruits  Pendant 1 ans sa fait qoi,2
Manger des sushis pendant un an ça fait quoi,4
😱,5
Mdr moi qui regarde dans un sauna je tombe sur cette vidéo 😂,1
400000 vues en 1 jour,5
500000 vues en plusieurs mois,5
"Moi j’reste souvent 20 min dans des saunas a 90 degrés voir même 100 degrés, je vois pas le mal",2
La voix d'Ariane fr 💀,5
J'ai déjà testé le sauna à 110°C au Japon.. j'ai du tenir 2min max.. quel enfer 😮🔥,1
la premiere fois j'y suis rester 25 min avec une douche glacée apres mais c'est vrai que je commencais a avoir mal au coeur,3
