Comment,Number
Est-ce qu'on est d'accord pour dire que le monde avait besoin de nouvelles de Stifler ?,3
Envie d'avoir des nouvelles d'une star en particulier ? Allez j'pose ça là hein !,3
"Et comme d'hab, si vous n'avez pas encore essayer NordVPN : https://nordvpn.com/math (satisfait ou remboursé pendant les 30 premiers jours).",5
Jamie Dornan alias M.Grey,4
Que devient :,5
"Richard Dean Anderson  (Mac Gyver, Jack O'Neill...) ?",3
"Alyssa Milano (Madame est servie, Charmed...) ?",3
"James Van Der Beek (Dawson, Don't Trust the B-...) ?",3
Mel Gibson ?,1
Eddie Murphy ?,1
Tom Welling (Smallville...) ?,3
Paris Hilton ?,1
Hugh Laurie (Dr House...) ?,3
Lindsay Lohan ?,3
Pierce Brosnan (James Bond...) ?,3
Ça manque un n dans Sean pour l'acteur,3
Math est belge ?,1
J'ai bien aimé ta vidéo comme pour la première toujours aussi bien .  👍👍👍👍,4
Bon par contre ca fait maintenant 3 ans que je suis abonné et j ai toujours pas eu mon chocolat..,3
Math sa fait longtemps que tu as pas fait un fait réel j'aurais un film que tu pourrais faire le nom est CORALINE 😮 STP JE T'ADORE,5
C est pas des stars mais des celebrites,3
Cc Math je suis abonnée depuis peu et j'ai adoré le concept des faits réels. A quand le prochain ?🙏,5
Merci pour ces histoires passionnantes tout en nous faisant rire 😊,5
"J'ai mis mon like à ""on voit vos yeux luisants de perv dans l'obscurité"" XD XD XD",5
Cameron Diaz si elle pouvait ne pas revenir sa serait bien,2
Taylor Lautner a pas aussi joué le frère abruti d’Adam Sandler dans Ridiculous 6? Bien différent du mec sexy dans Twilight🤣,3
"bienvenue dans la jungle , le gardien du manuscrit sacré ....stifler a assuré dans ces deux films",5
❤❤❤,5
"Il a un sacré talent le dudley jai vu 2 films ou il apparait, il est vraiment talentueux, une révélation ( meilleur performance the pale blue eyes ) vraiment incroyable <3",5
Yo ta geule !!!!!!!!!!!,5
Hayden était parfait en Anakin ! Et Jumper était vraiment bien...,5
"Si quelqu'un cherche un film avec Sean William Scott aller vous matte ""évolution"" sortie en 2001 C'EST UNE PÉPITE MAIS JE?AI PAS TERMINÉ LA VIDEO SI CA SE TROUVE IL VAS EN PARLER !!!!! RAHHHH J'ADORE CE MEC !!!!",3
2 humours bien tétris!,4
T'as oublie de parler des 6ridiculous pour Taylor Lautner 🤣🤣,5
Hâte le crossover en mode Multivers ou justice league de Captain Nord VPN de JDG et Super Nord VPN,5
episode 3 avec Tobey Maguire?,3
Pour Taylor Lautner il a quand même jouer dans copain pour toujours 2 avec Adam Sandler Salma Hayek et tout donc bon faut mieux se renseigner,3
Steffler 😂,5
"Super idées de vidéos !! Pourquoi pas reprendre ce concept mais avec plusieurs acteurs d'un même film ou saga , twilight étant un très bon exemple je trouve",5
Tarzan ! NON ! ÉRIC NORTHLAN ! 😂😂😂😂 respect Alexander 😂,5
"jumpers il est catégorie ""défonce tout ce film"" lol , la serie c'est globalement pareil .... mdr",2
"Merci c'était intéressant, j'ai failli pas le regarder ça avait l'air bof mais finalement c'était bien. Merci.",3
Tu dis tellement de la merde......😂😂😂,1
Dommage j'ai trop kiffé jumper,2
"C'est dommage j'avais bien aimé Jumper, malgré ses défauts c'était rafraichissant comme film!",3
Tellement dommage pour Jumper... perso j'avais apprécié le film... peut-être parce que il y avait Hayden😅,2
Taylor après ridicules et copain d'avant 2 il a tuer sa carrière 😂😂,5
"Harry Melling, je le connais bien. Son oncle est espagnol. C’est mon voisin de maison. On se voit quasi chaque été. Quand j’étais petit je savais pas que c’était une star. Ça me fait bizarre de le voir dans des films ou des vidéos",4
Que devient Jodelle Ferland ?,3
"Moi qui ait kiffé Jumper, déçu d'apprendre qu'on est passé à coté d'une suite",2
JATT TOUJOURS LE CHOCOLAT ENFAITEUH,5
"Alors super vidéo encore, merci à toi ! Mais en parlant de star, on t""a déjà dit que tu est le sosie de Michael Poulsen (chanteur du groupe Volbeat) ?????",5
"Ce serait trop bien qu'un jour il fasse Le Chant du Loup, le film est incroyable",5
"C’est dommage pour les scènes avec la famille Dursley dans le Harry potter 7, les scènes sont très belle et aurait du être intégrée dans le film",3
putain tout le monde fait ce genre de videos en ce moment.... go avoir une personnalité en faite,5
J'avais pas fait gaffe mais Dudley s'appelle Harry ! Ca a dû être marrant dans les tournages :),5
sean william scott a fait une apparition dans le film jackpot avec john cena  au debut du film il ce fait flinguer lol,3
Il est hyper lourd ce youtubeur ! Faut arrêter les blagues des fois 😅surtout quand tes pas drole mec !,1
J'aurais adoré voir Leonardo DiCaprio en Anakin ! 😮,5
Pour le référencement.,4
