Comment,Number
N'oubliez pas d'utiliser mon lien pour la réduction sur l'abonnement de 2 ans à NordVPN http://www.nordvpn.com/cyprien et merci pour vos messages ✌,5
MAXIME 💙💙💙💙💙,5
Les gars ses pas logique il dissent 14h00 a 17h30 et a côtés ses  de 20h00 a 22h30 se pas logique ses sur la fiche de docteur stenge  2,1
jadore ses tournage il sont cali est tout masterclass quoi,5
Qui a vu que le barmans ressemble à tom holland,3
"3:10😂😂 et voilà, la magie de Disney",5
Ça existe vraiment le film 'l'oeil noir' ?',1
"Le ""The Batman"" qui balance un batarang au Disney me tue, c'est tellement relatable c'est hilarant.",5
Franchement Cyprien cette vidéo elle est géniale ! A bientôt !,5
3:26 😂😂😂😂😂,3
Mon miment preferer c'eet a 1:20,3
"Cool, il reste encore un peu de vidéo au milieu des pub !",4
"Moi je te conseille si tu ne la toujours pas vu Le Conte de Monte Cristo, Pierre Niney est au top du top dans celui là",5
J'adore à 2:18,5
4:46 c'est jurassic world dominion?*,4
et jurassic park il est ou???,3
Le gars qui vend au cinéma c'est l'autre de Maxime,5
3:09 quand Batman tue la Disney ça m'a dead 😂,5
OMG il y avait Maxime,3
2:09😮😮,3
Bien mais les durée de chaque films sont abuser,3
0:01 retour au debut,1
Cyprien c'est le seul gars qui inviter qui il veut 😂😂,3
C surtout le seul qui l’Évelyne pu en partant d’un bon niveau,4
Commentarise59k,3
5:45 Comme le film Zack Snyder's Justice League (Snyder's Cut).,5
4:38 Jurassic World Dominion ce n'est pas ça.,1
2:15,2
Disney 😅😅avatar et ca penywyse 😊😊,1
:),5
Merci cyprin 👍👍👍👍,5
Il en n'avais mare de voir des des trucs des séries des jeux des trucs parler,3
The batman et salé le pop corn bien sûr,4
ce qui sont la en 2024,5
Génial ❤❤,5
😂😂,5
gg🤪,5
Ohlalal maxime a le trop bon rôle ❤❤,5
C est incroyable ❤,5
Vidéo super 😊Comme toujours et écoute pas les haters 👎,5
2024?😊,1
Salut en ce moment je suis en 2024,5
Sucrée ses les meilleurs,5
Moi j'aurais pris directement IT (Ça) comme film,3
"T'es un monstre mec , et c'est un compliment",5
7:12,5
Vous êtes tim quoi pop-corn salé ou sucré moi en revanche je suis tim salé😂❤😊,3
😂en vrai cheh..celle qui chante elle casse la tête 😂😂😂,1
Avatar avec son 10 ans et Beetlejuice avec son 36 and 😂😂😢😢,5
La tête de Mirabelle 😂😂,5
Le clach des series.,5
Sacré Damien.,5
arnault a jouer la dedans y'a soi du buget soi il a juste bien voulu en tou cas ces tres bien fait,5
heu quell cinema  enchaine les scences sans nettoyer et on spoil pas juste a la sortie merci,2
t as envie que j ecrive des spoile sur les cartons de pop corn ?,3
et pourquoi on dirai que les persos de au bon dieu sont des refractaires de droitez ?,2
ils veulent nous envahie c est ca,5
t as fait combien de prises pour les bout en pendorien ?,3
ah et cameron  a toujours du relever des defis technique et inover en faisant ses films pour titanic ils ont du inventer une nouvelle camera et il l ont quasi reconstruit a taille reele en persuadant les types qui abvait fait la moquette d origine de contribuer,5
pour avatar 1 je sais plus c est quoi mais c etait un defi technique,3
batman a pas une regle de pas buter les gens nan parce que si je jette un batarang dans le coup deeee on va dire kesha   sans l aider je pense que tu meure tu t evanoiue pas,1
tik tok de kesha est bien d accord c etait pas des menaces de mort,4
Mais tu as la voix de DONALD REIGNOUX?????,2
❤,5
8:20,1
8:20,1
mon passage préferé 8:20,3
"00:03 en vrai, qui vas au cinéma le jour...",5
2:24,2
8:20,1
Pq tout l monde parle de Maxime Biaggi ??,1
cyprien doit realiser des films,3
2:24,2
WoW il y a max ❤🎉,5
Le concept des films qui parlent avec les vraies affiches au cinéma j ai adoré 🌈,5
C drole 😂,4
"T d'accord avec moi, les films Disney sont chiants à cause de leur musiques",3
On oublie trop souvent qu'il y a Maxime Biaggi 😂,3
Maxime biagi,4
j'avais jamais remarqué que c'était Maxime boaggi à 2:15,1
Trop bien❤,2
"Bah écoute, le scénario ; balek... l'écriture on s'en fout...Toutes les façons c'est Cyprien, il fait toujours de la Master-class.",2
"Mais ce qui m'a le plus marqué c'est Batman (pardon ""The Batman"")...Il est venère de ouf ce mec. Faut se méfier hein 😅",1
C’est dingue la richesse des émotions que l’on peut procuré lorsque l on à du génie 🤩,5
2:14,3
"Moi mes films préférés c'est Batman, Transformer et Bad Boys",5
J’ai adoré a 8:20,5
🤡😱😭,5
2:45  qui a reconnu Maxime Biagi😂,5
Juste la durée des  films 🎥  sont pas  au heure  par exemple  le film dure 1h 30 et le truc dit 16h30 17h,3
Batman nous a tous sauver 2 fois mais si un enfant vois sa sa vie est foutu 😂😂😂,3
Je me demande si refera des vidéos comme ça sur sa chaîne en tout cas ce serait vraiment génial,5
D ailleurs en parlent salé ou sucrée,3
Qui a la ref du gars qui vend le popcorn 😂,1
MDRR je viens de regardez tes vidéos je te connaissais que par le nom mais tes vidéos sont incroyables !! je kiff regardez tes vidéos maintenant !,5
Maxime biaggi ❤❤❤😂😂😂😂,4
Toujours un plaisir de voir Maxime,5
Ça chapitre 8,5
Maxim biaggi 2:37,5
Le Cameo de Maxime Biaggi 🤩🤩,4
"C'est marrant, à chaque fois la première séance (sur les films du haut) dure 3h30 et la deuxième 2h30",2
Maxime Biaggi en casier 😂,5
19:20,1
2:14,3
Alors la voir maxime biaggi en tant que vendeur de popcorn c’est fou,5
Il a prevenue le futur hyn,4
Wsh maxime,5
On en parle du capybara a la fin derriere encanto 😅😅😅,5
On dirait que le serveur au cinéma c'est Maxime😂,3
Fast&furious ! C’est trop cool,5
On en parle des horaires des films ? LOL,3
MAXIME BIAGGI,4
6:50 non c'est une excellente idée seul les mecs de gout font le mélange sucré salé,3
2:40 moi je fais un melange des deux :),5
"Pour éviter les pubs et les pop up gênants vous pouvez utiliser brave, tt simplement c'est un navigateur qui bloque tt tier indésirable",1
tu es un genie comme tu fais les pub,5
Il y a un film qui va sortir dans cent ans.,5
8:09,1
2:16 waaa Maxime Biagi,2
maxime biaggi je l'avais pas remarque ya un an mdr,3
J'viens de capter que c'est Maxime de zen qui vend le pop corn 😅,5
Super la vidéo cyprien J’espère que tu en feras plein d’autre,5
rip magnum,1
Mes parents ont beaucoup aimé ce  court métrage !,5
Étonnant mais pas tellement venant de Cyprien 😂,3
"Très bonne video 📸 , mais c'ets pas maxime biaggi  2:21 😅, sinon tres bonne video effets spéciaux parcaits comme toujours 🎉❤",4
5:44,5
Super Video,5
"7 heure, s’est un film ou une ligne d’attente pour refaire les passeports?😂😂😂",1
4:44 il me semble ps que avatar dur 2h35...,2
Trop cool la vidéo,5
Meilleure partie à 5:34,5
Le mec a la caisse c Maxime biaggi?,1
Jurassic world >>>>,3
Aaaaah la sage femme !!! Trop bien j’en étais sure 😍🙏🏻,5
s'etais la meilleur partie à 8:20,5
Mdrrr j'avais jamais remarqué qu'il y avait Maxime biaggi 😂,1
Tout juste excellent !!!,5
"En plus, je m'appelle Damien 😂",5
J'adore sept serie de clash de cyprien,5
"Coluche, Les Inconnus, Dieudonne... de l'inspiration partout!!! Faut tennir le pas, mon pote!!! Tu t'ecartes!!!",5
Les enfoirés qui spoil,3
2:21 jvient de capté c'est le lutin,1
"Pour ma par j'ai vu avatar 2, the batman, fast x et enconto",4
3:51 ouais sauf que avatar il durt 3H PUTIN D'HEURES😂😭,3
Le clown ça me faisais rire de fou,5
MAXIME,5
Le pire c'est qu'ils font des mélanges de popcorn sucré/salé maintenant... et c'est plus cher !,1
Maxime qui apparaît slay,3
jsp quoi dire.,5
Tout t'est parfait 🎉,5
trop fort 😍,5
FFFFF,3
J'en était sûr qu'il allez prendre les 2,2
super continue comme ca mec tout la monde t aime,5
si ca vire les trucs genants ca degages tes videos c ets bien ca,3
La Fin🤣🤣🤣,5
"Un an plus tard, The Batman et Avatar 2 sont deux immenses déceptions.",2
je me disais que je l'avais deja vu qq part maxime avant,3
trop cool,5
il n'y a aucun faux raccord a 2:24 (pour comprendre il faut regarder la vidéo POURQUOI JE NE LIS PLUS LES COMMENTAIRES a 1:50),1
Ça sa fait peurrrrr😮,5
Ça sa fait peurrrrr😮,5
Votez popcorn salé,5
4:06 le plus gros budget c’est Fast X pas Avatar 2 mdrrr,4
Jurassic World dominion est le meilleur pour moi,5
3:10 4:01 5:43,3
Eavemariapues,3
mdr le vendeur il a un de ces pif le pauvre j'espère qu'il animera jamais une émission sur twitch nommé Zen avec un arabe,1
Wech s'est ouf,1
7:47 les gars je crois qu'on a trouvé la meilleur sponsorisation pour nord vpn,5
Batman tu as tué Encanto?,5
Team sucre cliquez ici 👇,5
Le cosplay de ÇA est une dinguerie 😱,4
"Every people who support hardly this guy will understand in 10/20 years, thats really sadness for you guys",1
pov tu reregardes le court metrage pour maxime biaggi,3
C'est bien parcontre je n'ai pas aimer le moment quand il y a  PENIWAISE ça,3
lecon importee pour l'apprentissage des langues,4
C'est passé inaperçu mais quand ça il a pop dans le film français il a dit ils veulent nous envahirent XDD comprendra qui pourra,1
Jusqu'au bout on sent que batman n'a pas perdu en dextérité 😂,4
WAAAHHH Maxime en vendeur mdrrrr,5
The batman et ça sont trop drôle 😂😂😂.,2
trop bien,5
Le visiteur du futur ces trop trop trop bien,5
Magnifique j’ai trouvé le concept sympa puis un petit peu long pour les premiers films mais arrivé à Avatar j’ai trouvé ça magique 😂,5
Bravo et merci,5
Merci beaucoup pour m'aide apprendre français d'une manière trop amusante 😊,5
