Comment,Number
Merci à NordVPN qui sponsorise cette vidéo,5
Le lien 👉 https://nordvpn.com/vilebrequin,5
"2 ans à 2,85€/mois + 1 mois offert avec le code VILEBREQUIN",1
"Et si vous vous posiez la question : ""mais ils ont accepté ce placement de produit ??"", la réponse est Oui.",1
Rapport du contrôle technique: défaillance mineur pour état de la cabine de carrosserie 🤣,3
la boomeuse qui dépasse sur la ligne blanche et qui se case dans le convois ....,5
13:25,3
Magnifique 😂😂😂,5
POV : ma voiture fait 800kg avec la carrosserie,3
Le multipla qui bat une Américaine au drag race 🗿🗿🗿,4
"""On se croirait sur TopGear France"", alors celle-là a très très mal vieillie ! 😩",1
3:58 Oui on s'y croirait 🤣,3
En vrai vous êtes chaud les gars jsuis de Nevers  et magny cour - Nevers y’a bien 20 borne par l’autoroute 😭,5
J'aurai rêvé voir Levy chanter,5
Je pe'se au mec qui va rentrer chez lui et va raconter à sa femme qu'il a croisé une voiture sans carrosserie 😂,3
incroyable,5
Au moins le moteur respire bien 😂😂😂😂,4
La blague qui  s'est retourner ...,1
Incroyable de se dire sur c'était a Magny-Cours j'y habite 😭,5
"La 206 qui double en ligne continue , bon bof quand tes filmé ...",3
"Comme le dit si bien Sylvain, les pubs sont vraiment abominables 😂",1
1:21 cette pub restera à jamais la meilleure pub NordVPN.,2
Revoir tout ça après le mts change la perspective ❤,3
J'suis choqué c'est chez moi Nevers j'suis dégoûté de ne pas vous avoir vu j'aurais adoré vous voir vous êtes des youtubeurs génial !!,1
8:28 C'est ce que j'ai demandé hier a ma meuf,5
rouler avec deux chassis avec un seule moteur ( jenre une d'un multipla et l'autre le meme ),4
apres dans le ram ils sont 37 dedans mdr,1
Quand on regarde cette vidéo après le passage du multipla au 24h du Mans,1
Vous aurez réussi à casser internet,1
Grand bravo les gars 🫡,5
L'itasha avec miku au début je suis en euphorie,3
"3:59 ""on se croirait sur Top Gear France""",3
En 2023 : ils présentent top Gears France,5
Vous faites les meilleur passement de produits !!!,5
"3:59 ""on se croirait sur Top Gear France""",3
si seulement ils savaient,3
3:55 petit clin d'oeil à Topgear France 😂😂,5
Je me demande si Jean-Jacques Goldman n'est pas le compositeur de ce chef-d'œuvre.,2
"""on se croirait dans TopGear France"" et maintenant ils le présentent...",5
"3:58 ""On se croirait sur Top Gear France.""",3
…,5
Ironique…,3
3:58 le petit CSC de la part du joueur français,3
Trop hâte de vous voir présenter TopGear France,5
Allo vilebrequin😮😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅,5
Ah putain la gueule de Sylvain sur le départ arrêté a la fin ça m'a refait ma journée! 😂😂😂😂,2
Vous auriez du vous présenter à un garage FIAT !,5
"12:55 ""C'est moins moche comme ça"". Ca a refait ma journée mdr",2
J'ai une profonde admiration pour cette personne chez NordVPN qui a validé cette sponso.,5
on en parle du niveau de créativité  de la pub,4
Et maintenant le multipla est parti pour estourbir des grands morts,5
Vraiment bien placé le produit... sous la bagnole.,5
"D'ailleurs, ai-je manqué d'attention ou l'utilité présumé du produit n'a pas été expliqué ?",3
"Pour un pied de nez à ceux qui voudraient abuser, c'est excellent !!!😂",5
La pub est mieux construite que l'épisode en lui-même 🤣🤣,3
"Après 2 ans, je crois que c'est leur meilleur placement de produit 😅 parce que c'est tjr une masterclass",5
Les intro sont trop long,2
Mixed in Dolby Atmos 😂👌🔥,3
Premiere fois que je prends du plaisir devant une publicite...,5
une porte : 70 000 kg,5
une porte : 70 000 kg,5
🤣🤣🤣🤣👌👌👌,5
1:17 Jean Jaques Tauleman,1
Fake taxi ? 😂,1
13:40 chaque cm est une aventure,5
7:37 la solufion,1
2:45 je ne possède plus d'oreilles,1
Sachez que ya certainement des personnes hauts placé chez nord vpn qui ont validé cette sponso 😆,1
Je pèse le poid de la porte,2
"Les fans de Mad Max et de post-apo véhiculaires ont dû être rincés avec cette vidéo ! Presque autant que Sylvain qui conduisait, je suppose.",1
Des cascadeurs,4
Sous la bâche c’est une dodge non?,1
Vous avez pas pris le lave-auto ??,1
Faudrais essayé,3
"Genial, il y a pas d'ang'e mort. Visibilite incroyable",5
Vous avez eu de la chance de pas vous faire contrôler 😂 parce que la maréchaussée aurais pas rigoler je pense 😂😂,2
Je vous aime bien mais pour mon bien être mental et spirituel j'ai du sauter la partie ou Pierre chante 😂😂😂,3
c une Dodge challenger SRT8 demon qu'il y avait sous la bache,1
"Merci les gars, vous venez de creer le meilleur anti depress de l'histoire.  Maintenant quand ça va pas j'écoute Pierre chanter, et ça va beaucoup mieux!!!",5
beamNG dans la vrai vie,5
😂😂😂👍,5
j'ai beaucoup trop rigolé sur cet épisode ! MErci ! :D,2
Mise à la masse marche comment?,1
"Ça aurait été drôle de l'amener dans un garage Fiat... ""Bonjour, on a un défaut d'ABS""... La tête des mécanos...",1
MAIS REVENEZ A NEVERS BON SANG JE VOUS FAIT UN 4H QUAND VOUS VOULAIS,3
pk ils nont pas mit le chassis avec le moteur sur les balances et y deduire du poid total qu'on peut trouver directement sur internet? la question ne s'est pas posée visiblement .... ils ont les 4 balnces en dessous donc voila,2
Le meilleur placement de produits de tou yt 🤣,5
"Je ne regarde pas la télé à cause des pubs, mais je regarde Vilebrequin en grande partie à cause des pubs",3
ananas,3
"tain, la gueule de votre assureur !!! j aimerai tellement le croiser...",5
ou qu elle est l etiquette du controle tech !?!,5
13:01 ils sont chrétiens ?,1
Impossible de regarder une vidéo de chez vilebrequin sans rigoler,1
"Ah mais les gars, vous êtes tellement enormes ! 😄 Une pépite cette video du début à la fin !",2
Nor-vai-pai-è-neuuuuh 🎶🎤,3
Le chauffage était il fonctionnel ?,2
J'aime.,4
meilleur pub,5
"Et là, tu les croises dans une journée lambda....",5
Dommage que la vidéo soit finie sans savoir si la clim fonctionnait 🤷🏻‍♀️😂,3
Pff😂😂 vous êtes des fou,5
Attend mais je suis de Nevers et je viens de capté qu’ils étaient là-bas 🥲,3
10:00,1
10:00,1
En fait pierre dans ma pub de nord vpn il ressemble à sylvain Durif,5
"NORD VPNNNNNNNNNN (j'ai envie de péter), NORD VPNNNNNNNN (Arhhhhhghhhh)",3
Meilleur sponso du monde,5
C’est la seule chaîne YouTube ou la sponso et agréable a regarde et la seul que tu ne zappe pas,4
Qui peut m’expliquer le yu gi yo qui apparait de temps en temps,5
J'adore le type à la station :,5
- c'est une base de quoi ?,3
- multiplat !,5
- c'est moins moche comme ça !,3
🤣,5
"Meilleur chaîne de voitures ever. Ils sont tellement con, Amazon vous avez vos remplaçant pour le Grand Tour !",5
5:45 wtf la voiture hatsune Miku 'o',1
Je viens d'écouter la pub au réveil je me suis senti violé merci vilbrequin pour ces expériences toujours plus authentique,5
"Vous auriez-pu tout mettre sur le multiplat, le peser chargé , tout vider et le peser à vide 😮",1
Beaucoup d’amour du québec les gars,5
Imagine tu va au contrôle technique avec ca,5
"Weshhhh je suis de Nevers, le seum de pas vous avoir croisé mdrrrr",1
10 sur 10 pour la chanson,5
On dirait un véhicule fait avec des props de gmod 😂,3
On en parle des jdm incroyable 🤙🤙,5
Et NordVPN a validé cette sponso ?,1
"Il est passé chez dans Nevers, yeeesss",3
2 tonnes cinq,5
Utilité 0/20,1
"16:14 Oui, ils avaient un frein à main eux, contrairement au 1000tipla!",2
700 kg pour le moteur les roue et le chassis ????? heuuu tu peut faire bcp moins...,2
