Comment,Number
Bah à Brest on serait habitué 😂😂😂,3
Nul la video car en gros tt serais a l arret en 2 semaines de pluie non stop  facile donc 360 fallait pousser plus loin la video,1
😂😂😂la messe Noed VPN,5
ça serait le déluge,2
Jai deja fais l'expérience... disponibles qu'en Belgique....,3
POV : La Belgique,3
"J’ai travaillé dans un festival extérieur l’été dernier, ils ont eu 100mm de pluie avant le montage 😳",1
"C’était le carnage sur le terrain, les trucks restait pris et il y a fallu acheter des plywoods pour faire des corridors pour voyager en backstage. Le publique était bien, mais derrière la scène c’était ambiance bidonville haha.",2
Mais attend vous avez des canicules en France? C’est quoi 28 avec ressenti de 30 avec l’humidité 🤔,3
Merci Chris et le reste de l’équipe pour ce magnifique 360 secondes ❤,5
Il a preshot le COVID avec le télétravail,3
Toujours top 👍,5
jai ate au secondaire 2,3
Fais-moi une pub ultra fort,5
Subir un vague scélérate en 360 secondes,1
Pour que la pluie continue 1 an il faut une sécheresse extreme partout avant. Donc c'est double dégât.,3
Pour les moustiques c'est faux ils ne volent pas pendant qu'il pleut.,1
Je veux bien que ta théorie fonctionne mais pour qu'il pleuve pendant un an sur toute la terre il aurait fallu qu'il y ait une évaporation des eaux absolument gigantesque qui en soi serait catastrophique ça voudrait dire par exemple (j'invente) que les océans auraient baissé de 100 m. Combien de temps aurait duré cette évaporation avant qu'elle ne retombe sous forme de pluie pendant un an comme tu l'as déjà dit.,3
Petite correction pour toi,3
les pluies sont concernés surtout par le printemps et beaucoup moins l'automne,3
Tu pourrais faire 1 video de si la moitie des gens de la planête mourraient d1 virus quest ce qui se  passerait et quelle seront les consequences sur notre planette bon je sais pas trop si tu fera 1video  mais bon il faut jamais dire jamais💪,3
"Aïe les fréquents pataquès (tros-humide...) ! ;-) Mais c'est vraiment peu de chose à côté du plaisir de vous écouter. Hardi, persévérez ! Hardi !",2
PK au début il nous montre des vidéos de Bretagne🤣,3
Mais ducoup y'aurai plus de pénurie d'eau potable nn 🤔,2
"J'ai enchaîné plusieurs 360, c'est déprimant toutes ces catastrophes.",1
Cc Chris je regarde auj votre vidéo car cette année on manque d'eau snif certaines rivières sont déjà à sec et je rêve de pluie,3
Culture dans les serres? Mais s'il n'y a pas de soleil?...,2
Ça on sait puisque l'on vient de  tester. 😂,3
Toujours intéressantes tes vidéos!,5
Tu obli la mutation....,5
la Belgique et l'allemagne en 2021 🤣 bon je vais pas rigoler longtemps je vis en Belgique,4
La tête de Chris sur la miniature,4
Pk ya des pixel quand je regarde tes vidéo,3
2021... Ca commence,5
5:01 c'est vers chez moi et ~ chaque année cette lave torrentielle à lieu.,1
En l'ans 2000 il y a eu un fleuves qui a débordé (le Rhône en Suisse) et il y à même l'armée suisse qui est venue sauver 36 000 poules que mon grand-père s'occupait.,5
#sponsor le truc il est illégal,1
Intéressant vus la situation actuelle dans certains pays,3
Ben ça pourrait fermé la gueule de certain et au autres ça ferait un bien fou de ne plus les débiles profond de cette terre c'est a dire le 3/4 de l'humanité,3
Il pleut en quasi permanence en IDf et on est assez loin de ce constat,3
En Chine ou au Japon il a pleu l'équivalent d1ans de pluie  sur 1 journer,1
"""face à la puissance de la nature, les conquêtes de l'homme parraissent bien dérisoires""",5
"Ça me rappelle que hier il y a. Eu. Un. Orage. et un éclair a éclaté, mon frère était au parc moi j’étais chez moi, quand l’éclair a éclaté ça a éclaté l’oreille mon frère a falli mourir l’éclair etais juste à côté de lui j’ai eu tellement peur!",5
Je suis poissonnier et ça me fait mal de voir écrit « pli » sans « E »^^,2
