Comment,Number
merci infiniment à NordVPN de nous suivre sur cet épisode 2 génial !! 4 mois d’abonnements supplémentaires sur les abonnements NordVPN de 2 ans. Offre uniquement dispo via le lien https://nordvpn.com/djilsi ou en utilisant mon code DJILSI,5
Collaboration commerciale,4
"ne pas reproduire chez soi évidemment, le tournage était encadré par des équipes professionnelles",1
Une 3eme édition 😂😂😂🤞🤞🤞,5
Ils sont vraiment a agency 🤣,5
Billy ou Bully ?,1
"Que faisons-nous ici, et où l'on va aller? C'est comme si on vient de se réveiller un matin et puis c'est bienvenue à l'émission. Ne pas poser de questions juste aller avec le courant. Faire autant d'argent que vous le pouvez, et faites de votre mieux de ne pas se casser. Copiez tout ce que vous voyez à la télévision. Des coiffures aux vêtements. Et ne pensez pas trop souvent, il suffit de faire exactement ce qu'on vous dit Si jamais vous êtes perdu alors se tourner vers l'alcool. Vous entendez encore vos pensées? alors il suffit de tourner la radio. Comme vous apprendre à vivre une vie de drogue, le sexe et rock-and-roll. Mais, en toute honnêteté. J'ai juste besoin de savoir. Est-ce qu il y a plus que le cycle de croissance et de vieillir? Vivre et mourir juste pour laisser un foyer heureux. Et beaucoup de biens que quelqu'un d'autre va posséder. J'ai vraiment besoin de savoir avant le cercueil est fermé. Parce que je ne suis pas prêt à jouer avec mon âme, je ne suis prêt à prendre le moindre risque. Ce sont des questions de vie simples et je suis juste a la recherche des réponses. Comme ce que nous faisons ici et quel est notre but? Comment sommes-nous arrivés là, et qui nous fait si parfait? Et ce qui se passe une fois que nous allons ou est ce monde tous vraiment vaut la peine? Les questions que nous ne répondez pas parce que, apparemment, nous ne devons pas vraiment. Il n'y a pas but à cette vie et notre existence est simplement naturel Alors dans ce cas s'il vous plaît laissez-moi vous poser. Avez-vous créez vous-même ou est-ce quelqu'un d'autre qui vous a façonné? Parce que vous êtes un être qui est impeccable, sans faille et sans précédent. Vous êtes un produit de l'intelligence suprême et je suis simplement être rationnel. Car il n'y a pas de caméra sur cette terre qui peut se rapprocher de l'œil humain. Ni un ordinateur qui peut rivaliser aux côtés du cerveau humain. Et si le monde entier était à venir, ensemble, nous ne serions pas en mesure de créer une mouche. Encore tant de signes nous nient encore. Comme la science tente de justifier que tout cela pourrait provenir de maintenant aucun. Quand il s'agit d'une simple somme 0 plus 0 plus 0 ne peut jamais vous donner un. Alors d'où tout cet ordre est venu? Pour tout a ses origines, un fabricant, un créateur de son propre. Je veux dire la seule raison pour laquelle vous regardez cette vidéo, c'est parce que quelqu'un l a téléchargé. Donc, nous pouvons croire en la Big Bang mais je préfère croire en Il causés à exploser. Allah, le Créateur de tout avec chaque âme. Le toujours vivant, Le Maître, le seul qui est en contrôle. Contrairement à sa création, au-delà de notre imagination, et non .. Il n'est pas un homme, ni Il a des partenaires en association, il est sur son propre. Et non, il nous a jamais laissé seul Comme chaque fabricant Il nous a laissé avec un manuel d'instruction. Le Coran et l'islam, et je suis désolé de sauter aux conclusions, mais c'est la seule possible. La seule définition de Dieu est le seul et unique, l'Être suprême, sa logique. Un livre avec zéro contradictions avec les miracles qui sont à la fois scientifique et historique. Tous révélé il ya plus de 1400 ans. Comme la description détaillée de l'embryon humain. ""The descriptions of the human embryo in the Qur'an cannot be based on scientific knowledge in the seventh century."" Pour la montagne comme chevilles tenant fermement la terre ci-dessous .Et les deux mers qui ne se mélangent pas dans un flux complètement séparé. Pour les planètes dans la nuit orbite alternatif et jours qu'ils restent en circulation. L'expansion de l'univers et de la création de tout, de H2O. Pour les histoires du passé et de la préservation de Pharaon. Pour identifier le point le plus bas dans la terre où la Perse a vaincu Rome . Le fluide de jaillissement qui a créé l'homme dans les glandes entre les côtes et la colonne vertébrale. Et pas un mot est changé, il est toujours le même. Alors s'il vous plaît expliquer comment tout cela était connu il ya plus de 1400 ans? Pour un homme qui ne savait pas lire ni écrire et il récitait ce que l'ange a parlé. Et si vous ne croyez toujours pas s'il vous plaît essayez de trouver quelque chose qui est encore proche. Mais vous ne pouvez pas. Nous avons donc pris DIEU comme une moquerie et en Ses messagers comme une plaisanterie. ""Mohammed could not read or write. How can somebody who can't read or write be a leader."" Rejeter ces écritures que les légendes et les contes de l'ancienne folk. Comme nous vivons la vie selon nos caprices, nos désirs et nos espoirs. Dire que cette vie est la seule maison que nous ne saurons jamais. We will live and die and simply turn to bones. YOLO [ You Only Live Once ] Correction, après la mort de l'herbe la pluie arrive et il repousse. Et Allah promet de faire la même chose à votre âme. Et vous ramener de vos doigts à vos orteils. Comme l'être suprême voir tous nous regarde de si près, et nous sommes certainement en cours de test. Dans notre richesse, notre santé, à notre estime et tout ce que nous avons été bénis avec. Croyez donc pour nous serons sûrement ressuscités. Et être ramené à notre Seigneur dans le compte pour chaque acte unique. Comme il nous remet nos livres et nous ordonne de lire. De la mauvaise à la bonne et tout le reste. Vous, vous êtes suffisamment pour votre propre responsabilité. Donc, ne soyez pas en colère contre moi. Vous êtes celui qui pensait qu'il ne reviendrait pas pour moi. Je vous ai donné toute une vie longue de chercher après moi. Mais vous étiez occupé à tout ce qui était temporaire. Alors, lisez, et la bonne nouvelle à tous ceux qui ont cru. Et si vous ne croyez pas, - LISEZ Et ne laissez pas ce jour-là soit le premier jour, vous trouverez ce que votre vie signifie vraiment. LISEZ",5
Gota qui se vautre à 45:00 c’est une pépite que je regarde en boucle 🤣😂😭,5
pleuré de rire toute la vidéo la chute de gota est légendaire,5
Super concept. En attente d'un autre épisode.,5
