Comment,Number
Mc Fly une pleureuse sur la vidéo à chaque plat,1
"Elle parle trop blanche, la vidéo est certes sortie il y’a longtemps maintenant mais j’en peux plus de l’entendre, ainsi que la production qui parle un peu trop aussi. Merci.",2
Les regards sincro à 15:53 😂😂,1
"23:30 j’ai une bouteille chez mes parents qui vient du Vietnam c’est de l’alcool de serpent aussi, j’ai jamais pu la goûter",1
"Mon grand-père mange: le pied, les oreil, le groin, la langue du cochon",5
Pour les infusions de vin de serpent il me semble que le serpent ce noie dans l’alcool et du coup crache son venin,2
Le cœur de canard c vénéré chez moi 😂,5
J’en mange souvent et c ma viande préféré ( avec les couilles de veau et le bœuf ) ❤️,5
Je suis contente que vous le mettiez en avant 😊,5
"Les pieds de porc j'en avais déjà goûté dans un Baeckeoffe traditionnel ! Au début, j'étais pas très confiante mais je goûte un peu a tout, franchement, c'était succulent ! Je ne regrette pas de vivre en Alsace !",5
mais Ducoup cette quoi l'aliments danger pour la santé on a jamais su mdr,1
Coeur de canards au vin rouge hmmmm,5
Se ronger les ongles n'a rien a voir avec l'habitude du sang 🤣,2
"mais, les pieds de cochon avec une bonne sauce de vin rouge.... hmmmmmmmmm    en espagne on bouffe tout du cochon quoi....",2
"Vous étiez très drôles, mais un peu déçue de ne pas avoir fait un petit aparté sur le bien être animal... après bien sûr ce n'est pas le but de la chaîne mais ça aurait été l'occasion ;)",3
Étant habitué à manger du cœur j'aurais tapé dedans sans problème c'est ma deuxième partie du corps préféré à graille après le foie.,4
Agago 😂😂😂😂 10:02,1
je suis entrai de manger...quelle erreur !!,1
Excellente vidéo Merci ! Par contre du coup j'ai pas saisi lequel des aliments pouvais être dangereux ?,5
Je tracachez du breton (un usine de porc) et franchement je serait prêts a tout dégommer dans ce que voys avez manger,1
On peut pas arrêter ce concept 😢,5
Vidéo super sympa votre complicité votre humour nous fait passer un agréable moment… merci,5
on veut plus de Eloi dans la chaine il est génial,5
Faites les spécialités portugaise c'est quelque chose !,5
Pk Éloi ressemble à Tom Hollande?,3
Pour un episode 4: Sperme de poisson (plat japonais),4
Le Nato (Japonais),5
Le Sürstroming ( Suedois),4
L'oeuf de 100ans (Japonais),1
La Cervelle de Cochon (Francais),4
🇷🇪,5
Carlito un grand bonhomme McFly un vrai parigot,5
J'ai l'impression que 3/4 de la médecine chinoise c'est juste des trucs pour faire bander,2
"Blanche, vraiment, arrête d'intervenir pendant la vidéo c'est insupportable. Si tu as besoin de lumière, ouvre ta chaîne, mais on vient pour voir McFly et Carlito.",1
Vous avez pas goûté le nato ni le hareng fermenté,1
vous etes devenus bons :D,5
