Comment,Number
Quel instrument vous préférez ? 😊,3
"Je paye un abonnement pour ne plus subir les pubs. Donc pousse vers le bas+ désabonnement. De plus hors contexte, Trop long et franchement ennuient.👎👎👎🏾👎🏿",1
Comment peut-on savoir que se sont des galaxies éteinte si ont peut pas le voir sa reste que des suppositions,3
Regarde les projets de jean pierre petit !,4
5:03 c'est pas 300km/h c'est 300k km/h 😂 c'est complètement dingue ^^ (299267) je crois,1
Et si la l'antimatière est juste la masse négative qu'on peut pas mesurer peut etre que l'autre moitié forme la fin de l'univers puisque pendant que la matière normal ses freinent avec la gravité l'antimatière accélère. Et si la vitesse de la lumière créer des variables comme l'antimatière,3
"Tous les rayonnements stellaires sont des ondes électromagnétiques, tous ont leur longueur d'onde propre, onde radio, micron onde, gamma, beta, uva, uvb, lumière visible.. tout ça c'est la même chose, même nature, mêmes origines, les étoiles.",5
Y aurait pas comme un petit souci dz raccord par hasard???? Lol,2
"la  communication sans  fil,  n'est pas  issue de l’aérospatial, les allemands en avait deja équiper leur char en  1939. ça leur permettait de  bien communiquer et  mieux se coordonner,  les  français par contre,  passaient encore des message avec des  drapeaux.",3
NIF expression vendéenne ! Nif party c'est nif,1
Des montagnes d argent pour laisser l illusion a l être humain qu un jour on échappera à la mort par l avancé technologique 😂le feu attend les orgueilleux,5
Mais du coup si on va la bas et qu'on observe la terre avec le telescope on verrais les dinosaure ?,3
toujours autant de betises dites autour des vpn... et la pesudo securité. ca me fatigue...,5
"Le NIF ou le SNIF ? Okay, je sors.",2
roser pelllo et felix khey...ils se seraient pas foutu de ta gueule ?,1
Question : Comment Persévérance capte-t-il du son dans le vide ?,1
Tu peut rajouter le prix du fonctionnement et de la maintenance qui doit être astronomique.,3
j'ai pas compris il mais du temps.❓️,3
"Ça veut dire que si imaginons une partie de l'humanité vie sur mars, je sais pas combien d'heures ou autre nous sépare de mars mais on pourrait voir les acte illégal surveiller via la terre en étant informé du méfaits grâce a ""internet"" qui sera techniquement plus rapide, fin j'espère même si la fibre c'est justement de la lumière 😭😂. T'en pense quoi ??",3
"N'est-ce pas un peu névrotique de dépenser des sommes aussi considérables pour chercher, un vain, une preuve à des théories fumeuses? that's the question.",2
a 11.10 le truc analyse la dureté a partir de l'enregistrement audio du laser,3
mdr chercher l'erreur,1
indice ont est pas sur terre,1
Dr pub pour NordVPN ... Berk.,4
Salut  j'ai une théorie un peut  farfelu  mais j'aimerais vôtre avis  si on vois  l'univers  comme   une éponge  qui ne pourrait  pas absorber  ou se mélange  comme l'eau et l'huile   avec  Lanti matière et la matière noire    est  serai finalement  repousser  sur les Confins de l'univers   comme  une pellicule  qui  englobe tous..? Voilà allor  rien de sérieux  mais une idée  qui mais passé  par la tête  en écoutant la vidéo merci  pour  les retours  est désolé pour les fautes.,3
Impossible detre le laboratoire le plus cher sur terre 3:25 Il est dans l'espace,1
"Subventionné des armes toujours plus puissante pour ""défendre la planète"" continuons de vivre comme des idiots communs...",5
6:53 nif = nez en dialecte algérien,1
J'aime bien aussi me dire que la planète est notre vaisseau d exploration d on nous avons besoin il suffit de la déplacer sans risque 😅,4
Salut j aime bien me dire que sur la balance terrestre il y a le pas de la lune comme on dit bye,5
Ultra abondant : le tritium genre y'en à moins d'une tone sur terre tu voudrais pas arrêter de faire des recourcis ?,2
"Une sponso pour lire une liste wikipedia, franchement.",5
"The higgs mechanism does not give mass to all particles, but only to bosons.",3
"So not to Fermions, which includes electrons, protons and neutrons.",2
Une photo d'une Galaxy à 500 millions d'années-lumière de la terre ?,1
J'y crois pas,1
Arrete de nifler,1
Bah du coup non il y a beaucoup d'autres (Transfer de crypto) gérés dans d'autre pays.,1
"Je pense que la théorie de regarder le passé à travers des images si lointaine reçues par se telescope est fausse, car si on suppose une operation inverse, c'est à dire que le telescope est situé sur cette meme etoile qui prend des photos de la terre, les images obtenues serons les meme que de notre terre actuellement.",2
"Ma théorie sur le temps lui meme, est, qu'il n'existe pas, c'est juste de la régénération de la matière qui n'en fini pas jusqu'au dernier jour de la vie, le mot temp, l'etre humain la inventer, car il est plus facile a interpreter par notre cerveau et pour définir le debut et la fin, d'une action ou un processus, rien ne se perd rien ne se crée , tous se transforme.",5
Tu as oublié le truc à 19 milliards d'euros et qui en plus ne marche pas:l'EPR de Flamanville,1
10 millions c rien tu sort des 4 milliards c rien 10 millions,1
Quel gaspillage c'est une honte,1
Donc on dépense des milliards pour confirmer une théorie sur des faits qui ne sont plus et tout cela devant servir pour notre compréhension actuelle.,3
Circuit imprimé? développé pour Apollo?  sorry mais c'est n'est pas exacte !,2
7:52 😅en Ariège plan😅😊,5
La guerre et la monter en arme sera toujours présente jusqu'au jour où un mec fera une arme difficile à surpasser et prendra le contrôle :),4
Pourquoi le logo du cern représente 666?,1
"500 millions d’années lumières ? Rien que ça , vous avez penser à la résolution angulaire ? 8 heures lumières suffisent à transformer la résolution angulaire du soleil en étoile selon les héliocentriste . Donc 500 millions d’années lumière c’est juste de la pure fabulation, comme tout le reste d’ailleurs.",1
