Comment,Number
"Dans ma boîte, le jour où on a eu besoin d'un VPN (pour avoir une IP fixe identique pour tous), Nord VPN était effectivement top of mind pour tous les membres de l'équipe. Deux jours plus tard on démarrait avec leur produit NordLayer.",5
"J'aurais aimé savoir si c'est rentable de faire autant de partenariats, et si oui, comment ? Le prix de l'abonnement est faible, d'autant plus avec autant de réductions ; de plus, il faut payer les créateurs de contenu. Vente de donnée maybe",3
LINEAGE 2 <3<3<3<3,3
Dommage que la vidéo a seulement 73k vues,2
"cyrus le seul gars a dire a la main qui le nourrit : ""mais pk tu continues a me nourrir ? t'as rien a gagner"" non mais sans rire merci d'avoir poser cette question que je me pose depuis longtemps aha",3
Super podcast Métamorphose ❤,5
La terre est plate,2
"ce que je trouve le plus aberrant cest que a force il ont fait croire quon a besoin de ce produit, quand que pour 90% des gens, cest aussi utilise que d'avoir un petit caillou pour se proteger d'un ours, l'utilisation veritable est extremement restreinte et je trouve cela un peu ""immorale"" de vendre un produit qui nest pas utile tant que ca et de marteler sans cesse avec cest revendication tres limite, comme te proteger, ce qui est oui pas faux, mais ca protege autant que rien du tout, reduire les potentiel attaque quand deja se faire attaque est extrêmement rare cest comme vouloir toujours porter un parapluie juste au cas",2
CyrusNorthVPN,5
"Très déçu par cette vidéo, on attendait des vrais questions même si de toute façon étant donné la position du MR il n'aurait probablement pas répondu sincèrement.",1
Je pense notamment à ce que fais NordVPN de nos données et au niveau de coopération avec les états brefs de bien belles questions dont tout le monde devrait légitimement se poser et qui auraient rendus cette vidéo tellement plus utile et intéressante.,5
Cyrus le panneau publicitaire,5
"La vraie raison, c'est que les entreprises VPN font louer des abonnements 100 fois trop cher alors  qu'un VPN ne coutent presque rien à mettre en place. Donc ils dégagent une marge monstrueuse qui laisse de la place pour toujours plus de marketing.",1
