Comment,Number
A QUAND l'épisode rouler sans permis ca fait quoi?,1
"Je me suis toujours demandé, quelle est la structure en métal sur le côté de la piste?",3
Vous auriez pu garder le cache calandre de la Zafira pour la vendre à 30-40 euros,1
C'est moi ou il y a une partie de la tour Eiffel ?,2
11:32 ont sent le stéphanois (peuneu),1
2:24 2:32 😂,1
En une vidéo ils ont :,3
-déclanché un airbag,4
-embourbé deux voitures,1
- retourné une voiture,1
Petit bonus: Sylvain a faillit mourir à cause d’une corde 😂😂,3
GG les gars,3
Sa fait quoi si vous roulez à 130km/h est d'un coup retirer tout les fusible ou roulez avec des rou de tracteur avec une voiture ???,3
Le cœur a ses raisons wow,5
"es ce que une voiture peut flotter ??????????????????????????????????????????????,,,",3
17:15 j’ai fait une crise d’asthme tellement j’ai ri,1
tes relou avec cette musique 🤣,5
Pov: ken block qui drift sans pneus 😂,3
vous nous manquez les gars revenez stp,1
Rouler sans voiture ça fait quoi,4
"J'ai adoré le moteur Opel ecotech 😅 car oui , si il ne démarre pas potentiellement il est économique 😂",4
Bosch kalitate 😅,5
J'ai adoré le moteur Opel ecotech 😅,5
"Car oui , si il ne démarre pas , potentiellement c'est économique 😂",2
Bosch kalitate 😅,5
trop drole j'adore🤣🤣🤣🤣,1
*RAAAAAAAAAAAAAAHHHHHHHHHHHH*,1
"Rire en regardant l'episode, puis se rappeler, et avoir une larme...",2
tibo grace a toi je me sans mieux dans mon corps,3
Rien que pour la science = pouce bleu,5
"Pour avoir eu un pneu crevé, titine ne voulait plus avancer mdr. Merci encore pour ces vidéos",2
Meilleur moment 20:36. Il m’a niqué le pied.😂😂😂😂😂😊,5
La référence du Coeur a ses raisons!!! Ça fait chaud au coeur ❤️,5
"C'est marrant, mais j'ai découvert Vilebrequin parce qu'ils ont arrêté...😢😢❤",3
"On est jeudi, juste une semaine après l'annonce de la fin de la chaîne, je sais pas ce que je vais regarder à 18h15 ce soir 😢",1
Nostalgie 😢,5
Je participe,5
Un mec sans cerveau qui regarde des mecs sans cerveau qui font des trucs débiles ! j'approuve !!!! je dirais même plus je veux le faire !!!! =D,1
"Alors la BM coincée sur les jantes fissurées en marche arrière, je sais pas si je serais resté autour. Si la jante explosait à ce moment la quelqu'un se prenait un fragment quelque part...",2
Sur beanng ils feraient des dingueries incroyable 🤣🤣🤣,5
Il se passe quoi si vous faites un tir à la corde avec des voitures ? Avec et sans pneus.,3
Essayer ceci svp,3
Je suis le seul à entendre l’intro de vilebrequin dans la pub vendez votre voiture,1
J’ai hate qu’il pete des tesla😂😂,5
Je vais finir par croire qu’il ont acheter la piste 😂,5
Roul s'en caroseri à vitesse max 💥,5
"26:53 Je pense pas que vous atteignez 160 du coup, vu que le diamètre des roues est bien réduit??",2
Encore une bmw,5
Je fais du vtt en descente et j'ai jamais salit autant une go pro qu'eux alors que de la terre j'en dégage,1
une fois dans need for speed CARBON j'ai éclater les  pneu avec la herse des flics et j'ai réussi a les semer quand même ;),4
vous me faites rire continuer ;),5
Quand on est crevé on est fini sur les diabolos😂,3
tres bonne vidéo,5
Incroyable la fin avec Pierre qui tank les caisses 😂😂,5
Encore une superbe vidéo de Vilebrequin ! Franchement ce sont les boss sans oublier leur équipe qui est formidable.,5
Le seul mec qui met son clignotant en bm et la voiture tourne pas,1
Bmw revient souvent dans ces videos 😂,5
On peux dire que c’est déjanté,1
Et pourquoi vous billet de rouler sur les disque de frein,1
vous ètes vraiment trop cons!!!,1
Pour les GO Fast. RUNFLAT😂😂😂😂😂,4
On va appeler Chabrier Jardinier si on a besoin de refaire notre jardin 😂,3
6:52 Le « Nul » de sylvain me fume 🤣,1
sur les disque de frein ça serais encore mieux,3
🤣🤣🤣🤣🤣,5
Les herses à vis c'est pas écologique car non recyclable 🤪🤪🤪🤣🤣🤣🤣,2
Pour faire des tests pareils sans avoir peur que la voiture explose...,3
Soit ils sont courageux soit ils sont complètement inconscients...,1
J'opte pour la seconde option 😂😂😂,3
Ptn je suis fière de dire que j’ai roulé sans pneu avant vilebrequin mdr😭😭,5
Le monteur qui a fais un travail de ouf !,5
"Whatttt. De où vous connaissez ""Le coeur a ses raisons""?",1
le coeur as c'est raison un clasique quebecquoi,3
Bonjour essayer de rouler avec une Peugeot 305  a 180,1
avec des jantes tôle ça aurait fait des étincelles !!!!!,2
Prochaine vidéo rouler sur les rails avec les jantes en voiture vous en pensez quoi les loulous.,1
Pierre c'est vraiment le boulet du duo tu lui donne une voiture il te l'a bloqué en 5min jpp je suis pas trop voiture mais j adore regardez vos videos,5
Et finalement ça fait pas d'étincelles,3
petite précision : la vitesse que donne le compteur est largement surestimée parce qu'elle est calculée avec un compte-tours sauf que le rayon de la roue est beaucoup plus petit comme il manque le pneu donc les calculs sont faux voilà voilà juste pour préciser qu'ils n'allaient pas réellement à 160,3
11:42 La voiture devient un train 😂,1
Vous êtes des gros malade pour vos idées de génie virbrequin..,2
😛😛😛😛🥺🥺🥺,5
Soyez témoin !!!!!!,5
Vous êtes les plus drôle et les meilleurs,5
Non,1
Pourquoi pas essayé de rouler avec des sabau,1
11:28 c’est quoi cet éternuement pierre 😂,1
"J'ai eu une pub Hancook avant cette vidéo, meh",2
"Deutsche qualitad... C'est marrant.  Mais ça fait quand même chier parce que j'ai une caisse de de cette génération que j'essaie de garder en vie, ça me coûte un peu cher ! Vous êtes de grands malades avec du budg! Quand je serai grande je veux faire comme vous !",5
