Comment,Number
Pour obtenir un téléporteur de connexion internet : https://nordvpn.com/amixem,4
"Oubliez pas mon code promo ce serait con : ""amixem"" 🙏",1
je viens de 2024 et je peut vous dire que le sous marin Ocean gate a explosé,1
"5:15 Comme quoi t'avais raison sans le savoir 🤣 Effectivement, fallait pas. 😝",1
Urais crus que 3 plus tard océan gate eu cette accident tragique c'est fou non 😮,1
Voui,3
"Alors. Je dis pas qu ca m’intéresse pas. Mais pour le prix, ils auraient au moins pu faire un effort sur l’orthographe!",2
Bruce Springsteen : aprèm mmidi,3
Les échecs: 30 atrisans,5
Le faux jet pack : voirE même Superman,1
Les manchots : vole au pôle sud,3
Là ça ressemble + à des arnaques classiques ou des faux sites de banque et autres,1
"le coup du sous marin civile au Titanic... Quand on pense qu'il y a peu ce même sous main a implosé et tué plusieurs personnes dont le spécialiste français du Titanic, un millionaire et son jeune fils... Bref...",1
"Non mais parceque pour toi , payer 30000 pour aller au pôle nord , c'est pas un loisir de riche ?! Redescend un peux mec....",1
j'aime des vidéo mes respecte les pays fondateur des activité la table dans le ciel nés PAS FRANCAIS !,5
"En vrai l'histoire de Amixem qui ""devine"" ce qui va arriver au fameux sous-marin c'est un très bon exemple du fait que lorsque la vie est en jeu, il faut savoir être modeste et écouter son intuition.",4
"Tous les proches des victimes de cet accident ont raconté que ces derniers avaient tous un mauvais pressentiment en montant dans le sous-marin. Plein de petits détails les faisaient tiquer, plus ou moins consciemment et ils ""ne le sentaient pas"". Mais comme ils n'avaient pas d'arguments objectifs, ils y sont allés. Et en sont morts.",1
"Inversement, dans de nombreuses catastrophes une grande proportion des survivants rapportent qu'ils ont eu ""une intuition"" et ça leur a sauvé la vie.",4
Et c'est logique : la sélection naturelle nous a muni d'une intuition extrêmement sensible aux dangers mortels (pour des raisons évidentes). Bien plus sensible que le cerveau rationnel.,5
"Donc, si vous vous savez pourquoi vous avez peur, mais que par ailleurs vous avez calculé les risques, c'est votre choix et allez-y",5
"En revanche , si vous ne savez pas pourquoi vous avez peur et que votre intuition vous dit que vous êtes en danger de mort : *écoutez votre intuition et faites ce qu'elle vous dit de faire* !",3
"Plus tard, au calme, vous aurez tout le loisir de faire l'autocritique de cette intuition. Et il est possible, un jour, que ça vous sauve la vie. 🙆🏻‍♂️",5
Rip le sous marin au final,1
"avec le recul le sous marin pas pour moi, sachant le la boite ocangate dans cette vidéo, c'est eu qui on eu l'accident avec leur sous marin titan en juin 2023",2
Heureusement qu’il n’aie pas fait le tour en sous-marin 😂😂😂😂,3
Finalement le cours de guitare me parait + sûr 🤔,4
"Je viens de revoir la vidéo après l'implosion du sous marin de océangate😅 et bah heureusement que Maxime n'e sais pas dit ""tien je ferai bien sa en vidéo""",2
sans commentaires....meme si t'en réclame 😎,3
Les morts récemment chez oceangate bonjouuur,1
Je regarde cette vidéo en août 2023 ocean gate ça pas trop trop fonctionner,2
mdrrrrr le sous marin,3
Super cool 😂,5
LOL les premières personnes de cette société de visite sous marine  sont mort .,1
"Bonjours je regarde la vidéo 3ans après la sortie et  dans la vidéo il y a un passage qui parle de oceangate, c'est le sous marin qui a exploser au fond de la mer pour aller voir le Titanic pour ceux qui verront ce commentaire merci liker le bisous à vous.",1
J’aimerais voir une v2 de cette video,5
Avec le titan qui a pété sous l'eau a mon avis il est pas prêt de rentrer dans un petit sous marin pour aller voir le Titanic,2
"Bon bah on est en 2023 et des gens sont mort dans le sous marins, heureusement qu’il avait pas l’argent 😂",3
Quand j'ai vu le sous marin du titanic j'ai vite compris pourquoi cette vidéo d'il y a 3 ans est revenu en suggestion,3
5:04 voir ca en 2023 quand ils sont morts dedans ..,1
"3:21 ""je soussigné moi-même ,m'autorise moi-même a aller bosser dans mon propre bureau"".. bien sombre période pour l'intelligence 🤣",3
"""moi j'adore les trucs de sous-marins""",5
Est ce qu'aujourd'hui c'est toujours autant le cas ? 💀,5
C est le sous-marin du titanic qu on a jamais retrouvé là ??,1
T'as eu du nez sur ta review d'Oceangate,3
7:59 c tibo,1
5:11 vas-y pad,1
Voir la vidéo en 2023 et voir la séquence du sous-marin 😳😳,4
il a prévu la catastrophe de océan gate il est devain,1
Eh eh océan gate 👁️👄👁️ 👉🏻 il a fait paf 💥,3
Bah tu pourra pas y aller hein il a implosé,1
Ocean gate mdrrrrrrr,3
Pour le coup la visite du titanique c bien un truque de riche mais plus très vivant,3
3ans après ils sont toi tous morts pour voir le Titanic 😂,1
Qui est revenu voir la video pour savoir si c'etait Ocean gate a 5:00 XD juin 2023 be like.,1
Le sous  marin la c'est pas celui qui a imploser il ya quelque temp,2
5:06 c'est pas justement le sous marin qui as exploser il y a pas longtemps? MDR,1
Conclusion y as pas que la pub qui était éclater pour onceangate,1
Il avait raison à propos du sous-marin,2
Pov: tu regarde la vidéo en 2023 après l’accident du sous marin qui devait aller voir le Titanic 💀,3
Heureusement que ta pas pris océan gate,3
5:05 quand tu te souviens de cette vidéo en 2023 avec ce qu'il c'est passé,5
le tour en sous marin isl sont tous mort,1
Regarder cette vidéo en 2023 et se dire qu'effectivement se sous marin avait l'air tout peté..,1
He regarde cette video apres l'incendie d'ocean gate... On aurais j'amais devinée 5:05,5
OceanGate maintenant c'est...,5
le trailer ocean gate ça fait bizarre de le voir après l’implosion du titan,3
Le sous-marin il vaut mieux éviter je pense,2
Maxime avait préshot le flop d'ocean Gate,1
Quand amixem avait déjà senti la merde du sous-marins du Oceangate 3 ans avant 🤣,1
Finalement tu as bien fais de pas embarqué dans le ocean gate😂,4
