Comment,Number
"J'ai vouli chercher dautres infos sur cette histoire et suis tombée sur l'histoire actuelle dun autre Joseph Martin, candidat RN aux législatives, qui compare l'immigration à l'invasion nazi ... En fait il y a donc bien un Joseph Martin malfaisant mais ce n'était clairement pas celui de ce thread.",2
"Je suis traumatisée de cette histoire. Pauvre homme, il est mort sans comprendre pourquoi il recevait tant de haine et de violence.",1
"*Désolé, mais pas de ""meurtre"" ici, plutôt un homicide involontaire ou au pire volontaire.*",1
"*Un village en 1926 sans veillée, et où l'on s'ennuie le soir… j'ai beaucoup de mal à y croire...*",1
"Si l'inconscient est capable de penser à une chose, celle si peut être vraie.",3
"S'il est capable d'y penser, ça existe... le reste est une scénarisation du mental pour avoir de la cohérence.",3
Derren Brown nice ref !!!,4
Malheureusement aujourd'hui encore les fausses rumeurs sur les gens ça existe toujours.😢,3
Et le pire c'est que la justice s'en mêle et elle est complice.,1
4:40 la lois de murphy,4
Le nom du village en Mayenne ?,3
Tu pourrais mettre tes sources en description pour ceux qui aimeraient pousser l'analyse ?,3
Mdr ca va en France aussi on a le droit de violer et tabasser des gens et pas finir en prison ;) en 2024,1
Les gens sont CONS,3
Conclusion: 90% des gens sont des imbéciles,1
Morale de l'histoire : NE VOUS PLAIGNEZ PAS,3
"Il y a une légende qui dit que si on demande si la vidéo a plu, alors elle plait...",2
"Je me souviens de cette vidéo là, mon arrière grand mère m'en avait parlée !!  ... Si !",5
"Sincèrement je suis trop contente d'avoir pu trouver tes vidéos de "" old thread "" , j'adore et tu les racontes divinement bien 😊",5
Les chrétiens sont fous..,1
😢Vraiment triste le sort du pauvre Mr. Martin.,1
bon sang de bouseux incultes !,4
"J'ai rien contre les mayennais.... Mais j'y ai habité quelques temps... Dans un petit village, et forcé d'avouer que l'état d'esprit est quand même très spécial là-bas, pourtant je suis natif du Berry, mais la Mayenne c'est VRAIMENT particulier. Pas étonné quand dans ces années là une pareille histoire ait pu arriver.",2
Dans l’entrée de l’hôtel de Paris place devant le Casino (pas le supermarché) le café est à 60 € il y a un sanglier en bronze car « ça porte bonheur de lui caresser les roubignolles » elles sont luisantes un mec aussi toujours au casino baladait sa bosse tel Quasimodo et faisait payer pour pouvoir caresser sa bosse qui portait ´chance ´et au cimetière du pere la chaise en face du bistrot qui a pour nom « ici la bière est meneur qu’en face » il y a un gisant qui pourrait marcher à la voile et sa braguette est aussi luisante que les bijoux du sanglier …,1
Les vieilles croyances courent toujours. Et les gwigwi (grigris et amulettes) et pourtant il y a bien les gens qui ont le secret du feu et c’est bien réel je l’ai vécu avec un bébé ….,5
"J’ai vécu à Lyon et on avait une bicoque à Château Vieux, à 29 km de Lyon et les paysans dans les années 60 ben zoraient ben fait ça il y avait un des leurs qui n’avait que des chèvres ( non de non que ses fromages blanc étaient bon)  du quel j’ai entendu de telles sornettes par exemple que lorsqu’il passait près de la grange ça énervait tellement les vaches quelles se balisaient à leur chaînes que l’eau de leur source était mauvaise à cause de lui certains jours, faut dire que la nappe phréatique passait sous le poulailler etc… il faut dire que un des paysans m’a dit un jour « fo pa nou p’rendre pour des bouzeu je suis allé une fois jusqu’à Lyon pour le mariage de ma fille mais j’étais trop bourré je m’souven pu",2
Je savais que les noisettes sont nocives pour la santé,2
"Ma foi y a bien la majorité des humains qui croient tout ce qu' il y a marqué dans les ""livres saints"". Donc ça ne choque pas plus que ça...",4
Le pauvre papi ! Ça m’a fait trop de peine😭,1
"Comme quoi, il vaut mieux être quelqu'un avec les pieds sur Terre qui cherche à comprendre au lieu de croire, plutôt que de croire des choses de sources x ou y, et en cherchant à trouver qui fait partie du ""bien"" et qui fait partie du ""mal"", ceux qui se disent du ""bien"" sont souvent les âmes les plus noires et les plus tordues. A bon entendeur.",3
J’adore cette série Old Thread à la Pierre Bellemare! Bravo!,5
En fait c’est l’histoire du devin dans Astérix 😂,4
L'ignorance est mère de l'obscurantisme un vrai danger. Vive l'école !! 🎉,1
"17:46 le manque d'éducation peu faire beauocup de chose. Le jugement sa a pas tellement changer aujourd'hui c'est pareil, quand on regarde les infos.",2
"On dirait un conte pour mettre en garde les enfants sur la nature humaine, mais c'est la réalité... Incroyable. Je me demande si on peut qualifier ce qui s'est passé dans ce village de dérive sectaire car pour en arriver à une telle acceptation de la violence justifiée par des croyances aussi folles, il faut être dans une communauté tout à fait détachée de la réalité.",5
"Après ont arrive bien à faire vacciné des millions de personnes pour aller aux restaurants, alors à cette époque croire aux sorcières......",2
"Ca me fait penser au roman de Jean Teule, basé sur une histoire vraie ""mangez-le si vous voulez"" . C'est terrible je n'ai même pas su le terminer.",5
"J'ai connu cet enfer à l'école, j'ai été harcelé 8 ans et en grande partie à cause de rumeurs infondé. C'est vraiment horrible car il n'y a aucune défense possible. Pauvre monsieur il a vraiment pas eu de chance.",2
