Comment,Number
Bonne vidéo à tous ! Deal exclu NORDVPN ici : https://nordvpn.com/amixem ça soutient la chaîne directement merci !,5
Je viens de regarder maxime je suis conducteur de bus a Nantes j'aurais tellement kiffé vous voir obligé je vous aurais klaxonner 🤣😂🤣😂,1
Rocket leag 🤣🤣 10:32,1
trop bien ;),5
Le mauniteur de l’auto école ta regarder dans c’ette situation😅😂😂 à 3:16 😅😂,1
Une table pour 2 voiture svp 😂,4
Suivez moii 😂,5
On dirait un peu du top gear 😅,3
On en parle ou pas du clignotant droite d'Étienne est resté allumé toute la vidéo,1
p50,5
Je fais la pub ma mère😅,3
J'aimerais voir Ragnar et GMK dans une p50,5
Enfaîtée la p50 c un  Pokémon et son évolution s est l ami,5
À quand un match de rocket league avec des p50 au stade de France avec d'autres youtubers ?,1
Ducoup elles ont des marche arrière,3
Ça sent les fans de Top Gear UK (présenté par Clarkson),5
La  parti 3 la parti 3 begeur😂,3
Vivement un prochain épisode 🤩,5
Un gp explorer en p50 ? 😂,3
Es ce que tu vas les renendre,5
C’est une tante 2 toit 😂,5
Un épisode P50 tuning pourrait être très cool :D,3
Jamais 2 sans 3 !,1
Est-il possible de connaître la référence de la ventouse pour caméra?😊,3
Vidéo top 😂,5
Merci la prod je pense qui a rendu ça possible parce que y a beaucoup de trucs comme la bibliothèque ou le resto qui n'aurait ptet pas pu être possible 😅,3
Le bac c a coueron,4
J’habite à Nantes 😊 et la vous étais à bolieux 😊,5
Pas mal l'épisode des Daleks à la bilbio !,4
On,4
LalsAle,3
"La,s,a,dlalzozkdoakkz’dkk’",3
"Y a 15 ans quand Top Gear avait testé la P50, en rentrant dans les locaux de la BBC, c'était énorme. La ils sont allés encore plus loin !",2
pourquoi personne parle du faite que etienne a garder son clignotant pendant toute la video,1
C'est la nouvelle mise à jour de rocket league?,3
Je voudrais tellement de vidéos avec cette voiture les concepts avec cette voiture sont INSANE,1
Je vois même pas ta tête,1
Merci beaucoup pour cette vidéo !!!🙏🏻🕊️❤️❤️😍🤩🥰👍👍👍👍👌👌👌👌💪💪💪💪💪,5
Vidéo incroyable je peux rien dire là-dessus mais par contre vous avez pas passer 24 heures vous avez passé 15h dans la voiture mais autrement c'est une très bonne vidéo je peux rien dire là-dessus,4
Un Francetour en P50 sa serait hilarant surtout la montagne XD,4
Sur la photo de la vidéo derrière Étienne il y a personne dans la voiture 😂😂,1
40:12,5
18:30 mdrr la romance,3
😂,5
/I),5
[ ],4
J’en pouvais plus continuer à fair se genre de vidéos de kiff 🤣❤️,3
Imaginer ils font le G P50 explorer,5
Monsieur le président ne serait-ce pas merveilleux de mettre ses véhicules dans notre pays le boukistan,3
Pour se qui veut écouter la musique quand amixem et dans une boîte de nuit elle s'appelle how 2 love,5
coucou dite c'est quoi la musique a 41:10 s'il vous plait ?,1
Moi aussi je vous aime 😢❤,5
Et pourquoi pas un retour de MAXIIIMME CARBOOON !!! sur les p50 ça pourrait être sympa,1
