Comment,Number
"j’espère que cette saison 6 vous plaira, quel bonheur de pouvoir enfin vous montrer tout ça ❤️ merci infiniment à Nord VPN de nous avoir accompagnés sur cette aventure : https://nordvpn.com/Djilsi",5
Toujours un classique,5
Putin le groupe me manque,1
"une bande de barbus qui passe son temos à faire le bordel, à casser des trucs, à faire semblan de se battre et à faire chier le monde... tout ce qu je déteste. j'ai pas tenu 5 mn.",5
"les males alpha des bacs à sables, ça me cringe tellement.",5
Merci pour ce divertissement de qualité marrant bien monté rythmé je vais me faire toutes les vidéos dans la foulé en plus que des bonnes personnes donc voila j ai aucun mal a donner du soutien des créateur qui se foute pas de la gueule  des viewers,5
je ment pas j'ai tout regardé 8 fois ... je pense que ca décrit la folie e la série et mon état mental aussi je pense,1
TROP BIEN LES VIDEO COMME SAAAAA,5
👌,5
C’est dingue comme Manas était timide avant. Je vous jure voir l’évolution de son caractère et de son amitié avec Djilsi c’est juste trop touchant,3
Ont attends  la sais 7 🥲,1
Qui est encore la en 2027 ✋️🗿,5
Est pour Barney allez allez,3
2024,1
j'ai raté ça ptn,1
Cette séries🤩,5
4 ème fois que je regarde jamais lassé,1
0:32 0:33 0:34 0:34 0:35 0:35 0:35 0:35 0:35 0:36 0:36 0:36 0:36 0:37 0:38 0:39 0:40 0:40 0:40 0:41 0:41 0:41 0:41 0:41 0:42 0:42 0:42 0:42 0:42 0:43,1
Apres 2 ans a le regarder j'ai realise qu'a 6:47 il a cale un joe Biden 😭,1
Bien venue chez moi au Brésil’ c’est vraiment comme ça,4
les on va ou nous manque...,3
"Les mecs je suis désolé mais ça fait au moins 6 fois que je vous regarde vous êtes les meilleurs, vous avez la meilleure Time du monde, vraiment vous êtes incroyable.. j’espère que tout le monde va bien et mon seule rêve c’est de vous rencontrez.. bisous à tous le monde vous êtes les meilleurs",5
26 août 2024 depuis sa sortie je regarde la série 1 fois par mois,5
On veux un On vas Où 7 !!!!,1
Ce groupe nous manque….,3
