Comment,Number
"Merci NordVPN de soutenir cette vidéo, utilisez mon lien si vous voulez profitez de la meilleure offre et supporter la chaîne : https://nordvpn.com/cyprien !",5
"À  6:10 on voit des titres de vidéos et dedans il y a ""les jeux de société"" les gars c'est un teasing, je pense qu'il y aura donc les autres vidéos de la liste 🎉🎉🎉🎉🎉🎉",2
Le easter egg des jeux de société,4
MRRRRRR BEEEEEEEAST,1
Incroyable ta vidéo tu a tellement raison ça te fait plus du bien quand tu a des commentaires positif sur une vidéo que tu faite avec tt l'effort que t'y fourni avec ❤,5
"Cyprien est une icône,ces vidéos sont toujours propres et avoir une standard et qualité de cinéma",5
A la fin quand il demande des idées de vidéo à l'i.a il y a les jeux de société qu'on a retrouver cette semaine,3
Est ce que c'est tes vrais potes(collègues) présents dans la vidéo ?,3
À 6:00 on voit le nom des vidéos qui vont être réellement publié sur sa chaîne. C’est vraiment un génie 😂,1
Je pense que c'est une IA qui a fait la vidéo....,1
Je suis un message fait par une IA,1
Merci Cyprien pour cette vidéo. C’était incroyable j’ai beaucoup aimé ce format. Tu es l’un des premiers youtubeurs que j’ai découvert et je suis contente de continuer à te suivre. ☺️,5
Dinguerie la vidéo,5
Si on regarde bien dans la liste des vidéos à générer y’avait écrit les jeux de société et elle est vraiment sorti 2 jours avant mon commentaire,2
incroyable !! Merci pour cette vidéo ça montre vraiment à quel points les IA sont pas forcément bonnes pour le monde !!,5
attendez mais atout moment c une ia qui a fait cette video,3
6:00 le foreshadowing des jeux de société!!,5
le teaser de malade sur les jeu de societe tes vraiment trop fort,2
Ce gars vraiment ses vidéos sont quelques choses,4
il a tellement de talent !!,5
hâte de voir les prochaines vidéos !!,5
Wes la technologie 👏,5
Wow…. une des meilleures vidéos que j’ai vue depuis longtemps !,5
A 6:01 on a un foreshadowing de ses futur vidéo 😂,3
j'aime trop wsh c'est incroyable,5
Tes pas le Goat de Youtube pour rien,1
"Ouah, à 6:00 il leak ses futurs vidéo en fait 😂😂",1
"L’IA proposait le Mashup des Séries, ça serrais trop cool si tu le fais. Qui es d’accord avec moi ?",3
"À 11:50, ça m’a donné des frissons, cette positivité jusqu’à la fin de cette vidéo m’a donné une énergie tout aussi positive! Merci!",5
"Incroyable, vraiment...",5
5:59 hopopop la vidéo jeux de société viens de la???,1
❤,5
"On sait bien que ce n'est pas toi, reconnaît vite que c'est des arnaques, on t'aime bien. Je suis ta grande fan depuis 10 ans. 🥰",2
jte crois pas,1
J'ai vu une pub du même genre avec Mbappé,3
11:20 mdr les manette en train de se connecter XD,1
"ok en connaissant cyprien, je peux confirmer que cette vidéo est fausse",3
Cyprien j'ai un prof qui te ressemble comme deux gouttes d'eau et la première fois que je l'ai Vu j'ai dit Cyprien devant le prof 😅,1
"J'ai peur, moi !",5
L'intelligence artificielle nous mettent en danger !,1
Incroyable la vidéo ❤ merci Cyprien pour ces vidéos depuis mon enfance,5
Ah 0:06,1
sa fait flipper en vrai,3
"Remplacer par l'ia, perdre son identité, c'est triste 😢",1
"J'espère que vous et votre équipe allez bientôt faire des long métrage, vous avez un talent fou, merci pour ces contenu de grande qualité :)",5
Scénario digne d’un film,4
Hahaha😂😂😂,5
"Le pire c'est que meme en sachant que c'est fait par IA certains réagissent, ils alimentent le debat qui en créé d'autres deepfakes qui créé de la désinformation qui crée des debats, et on recommence.",1
"Faite attention à ce que vous lisez et voyez, verifier les sources, soyez tres select sur les media que vous regardez. Même les médias traditionnels ( a la TV) se font avoir par des fakes news donc désinforment sans le vouloir.",4
"Il y a deja des années que les fausses infos font vendre avec de simples fausse annonces de décès ou autre infos sensationnalistes (Johnny etait déjà mort 3fois ou plus avant sa mort réelle 😅). Alors imaginez maintenant avec ces technologies, ca fait peur je trouve",1
Mais quelle masterclass,3
Le réchauffement climatique est une arnaque,1
"Comme quoi que évolution et le progrès ne découle pas forcément de choses positif,si il en est plus du négatif que du positif,la faut ce remettre en question,la vie parfaite et le monde parfait n'existe pas.",5
La vie et durs injuste et c'est comme ca.,5
"c'est vraiment toi Cyp qui fait la vidéo "" ne croyez pas cette vidéo """,1
courage mec je te souete de la force je trouve tes video cool !! courage🤪😎,5
J'ai eu une pub d'une IA en plein milieu de la vidéo x),1
une masterclass,5
"comment j’ai pu louper cette pépite 😳 l’IA me fait clairement flipper pour la jeune génération, celle un peu naïve qui croit toute les vidéos qu’ils passent des heure a scroller. Tu es et tu restera le meilleur youtubeur, toujours créatif et surtout authentique, ça on te l’enlèvera pas ❤",3
Mouais pas ouf quoi...,1
Cette video est generée par intelligence artifficielle.,1
"J'avais jamais vu ce court metrage et je regarde apres la mort de Paul Varry, gros ouch.",2
Le message derriere cette video est fou,1
Honnêtement je deteste les écologistes,1
7:01 il manque la mention publicité qui est obligatoire,3
non mais si tu aime bien faire des vidéo toi meme fait les il n'y a personne qui peut ten empêché et sache que moi meme tes ancienne vidéo comment les réunion je les regarde encore en boucle et,3
aussi les clache des consol les clache des app et les clache des app de streaming c'est la meme chose j'aime toujours se que tu fait avec ou sans IA. je t'adore Cyprien et je ne savais pas que ta sponso  c'était une vrai moi je pensé que c'étais une fausse,5
"Magnifique Cyprien, merci pour la video ! ( tin j'espere que le court metrage n'est pas fait par une IA, je crois encore en l'humanité )",5
"Elle est trop bien faite la vidéo, continu comme ça 👍",5
Merci me,5
Y a Enoraaaaa!!!,1
J'en était sur que tu faisait ça ton contenu par IA  le contenue s'était beaucoup trop améliorer,2
"Parler de « cyprien prime » ou de Cyprien démodé ça n’a plus vraiment de sens. Parce qu’on dirait qu’il a juste choisi un autre chemin que le reste de YouTube. Et c’est peut être une impression, mais sa manière d’écrire, de tourner et même de publier à l’air tellement plus saine. On a tellement de contenu bête, et qui crie dans tous les sens en ce moment, qu’un petit moment du calme fait du bien. Alors merci Cyprien pour ce checkpoint dans un océan d’absurdité ;)",1
la qualité du travail merci ça seul les meilleurs y prennent du temps pour le faire . 👌,4
"J'ai adoré la vidéo, hâte de voir les prochaines",5
"J’ai beaucoup regardé ta chaîne lorsque j’étais plus jeune, puis j’ai perdu YouTube de vue et je suis vraiment choqué de voir l’investissement qui se ressent dans tes vidéos d’aujourd’hui. C’était déjà le cas à l’époque, mais aujourd’hui j’ai l’impression que les sujets me parlent beaucoup plus. L’IA impacté aussi mon domaine. Et pas forcément positivement.  Merci pour cette vidéo de qualité et pour toutes les autres.",1
"Il n'y avaut que Cyprien pour sortir une video de cette qualité  (narrative, émotionnelle, technique,  intelligente, drôle). C'est le maitre en la matière,  toujours présent, là où on ne l'attend pas. Bon courage pour la plainte, je connais assez bien le pb vu que je suis associé dans un très gros cabinet de Propriété Industrielle qui ""pourchasse"" à longueur de journée des contrefacteurs dans le monde entier.",5
Je suis la seule à avoir été perdue dans cette vidéo 😂 ?? 😅,1
"Il faut stopper les deepfakes, les arnaques de l'IA.",1
"C'est dangereux, toxique et j'en passe !",1
sans le coté moral qu on voit déjà dans tous les films français  c eut été chaud,2
👍,5
"Sachez que les idées de vidéos générées par l'IA vont soit sortir, soit en cours de réalisation, la vidéo ""les documentaires sur Netflix"" est sortie",3
6:03 il avait annoncé la vidéo les documentaires 5 mois avant il est trop chaud😂,1
On t’aime cyprien😭❤️,5
L' IA le début des problèmes,3
La jeunesse trouve ça trop cool 🙄,5
Et cela vient de vos pays préférés ... que vous mettez souvent en lumière vous les youtubeurs dans vos vidéos.,5
Un jour l' ia vous dépassera,1
