Comment,Number
"Merci à NordVPN le sang pour leur soutien, même dans les moments difficiles",5
Le lien 👉 https://nordvpn.com/vilebrequin,5
73% de réduction +1 mois gratuit avec le code VILEBREQUIN,1
Merci à Benzin.fr pour le prêt de cette superbe chichinette qui va connaître un grand destin (enfin plus ou moins),5
"Benzin.fr le site de vente aux enchères de véhicules d'intérêts, pour acheter ou vendre rdv ici 👉https://benzin.fr",3
Instagram : https://www.instagram.com/benzinworld/,5
Tu as envie de crever mais tu as un véhicule.,3
Va passer à 1h45 aller 1h45 retour en transports en commun....arrivé en retards 4 fois au taf et le perdre.....,1
J'aurais tué pour avoir un pot de yaourt. En plus c'est cool à garer 😁,2
En meme temps passer d'une ferrari a une châtelet évidemment on peut pas avoir la meme chose,1
Septembre 2024,1
Kerbi,3
15:37 😂😂😂😂,1
Perusse,3
12:30 c'est le bruit d'un tacata,1
Qui est encore ici en mai 2024 ?,1
"Ligier ça dépanne juste, merci.",5
Aixam c'est de la merde. Point.,5
le grill du barbare à vaujours :D,5
"aixam, je les emm💩rdes, on est des LOULOU nous et on est fier de l'être. Alors il se débrouille pour trouver une clientèle digne de ce nom !!!🤬",5
On dirait un jouet 🤣,1
Quel bordel ce Sylvain 😅,5
"Alors les loulous sont peut-être des cons pour aixam, mais faudrat leur rappeler que ceux qui roule toute leur vie dans leur auto , ne sont certainement pas les couteaux les plus aiguisé du tiroir hein.",3
13:16 j'ai mis tellement de temps à retrouver cet extrait,5
"137 retenu 130 ? Il se serait pas fait avoir ? Il me semble qu'au dessus de 100 km/h on doit retirer 10% de la vitesse affichée par les jumelles soit 13,7 km/h dans ce cas, vitesse retenue à 124 normalement, donc pas de retrait de permis.",1
Grâce à son jeu de mots je me rappelle MTN du nom 😂,5
Mois le 28 juin 2019 je fêter moi aniver,1
J'ai visionné votre vidéo et pas terrible le volant surtout pour prendre des virages c'est choquant 😱,2
2:04 mdrrr la réf à Xavier,1
Slt je vient de me posé une question tu a perdu le permis de conduire voiture mais pas moto pourquoi tu a pas pris la moto pendant ces 4 mois ?,1
"Rien à voir avec les préfets, 50 km/h obligatoire, au dessus de 40 c'est possible mais pas obligatoire.",4
c'est limmitre du racket de balancé les marques,2
en vrai sa aurai était mieux si vous aurez eu une Chatnet ch 26 car elle est plus grande et a une roue de secoursau moins,3
Ses quoi le nom de la voiture ?,3
On est actuellement le 28 juin,5
Aixam complètement à l'Ouest 😅,1
Je suis pas sûre mais je crois que Sylvain avait envie de creuver,3
14:13,4
"L'ambiance de ""Faites entrer..."" est parfaite !",5
Perso moi j'en envie de CREVER quand sur mes Nationales dans les Yvelines j'en ai devant moi. Ces merdes peuvent rapidement créer des trains de 10-15 voitures sur trop de kilomètres.,5
11:11 493 ... 49.3 ... comme par hasard. Nous sachons.,5
Le sans permis au diesel je me suis étouffée,1
Mes grands parents ont eu une ligier sans permis il y a... longtemps. Une boite de métal avec marche avant mzrche arrière qui fonctionnait au 2 temps BP Zoom...,5
Mdr ...,1
Originale la  vidéo détourner du conteste habituel c'est déjanté 😁😆😂 mais le duo toujours aussi dans une symbiose super marrante il fallait effectivement penser à la voiture sans permis ..,4
🤗😁😂,5
13 MIN 17 ; J'AI ENVIE DE CREVER,5
j'ai un velo electrique qui avance a 50 kmh sans assistance. j'ai un velo qui avance plus vite que cette merde,1
mdr 20.000euro cette étron c'est vraiment du vole,1
Franchement faut avoué que la citroen ami et parfaite après il manque un bon 40 km d'autonomie pour être bien,3
« J’ai envie de CREVEEEEER »,5
13:15,3
"J'ai acheté des rollers électriques, débridés, ils vont à 40km/h ... Une pensée pour tes 4 mois d'enfer passés",5
Il aurait tellement dû prendre une Citroën ami,1
"J’aime regarder de vieilles vidéos,",5
Pour moin cher que ça j’ai acheté une A3 🫣,5
"Aixam sont dans la merde , on n'insulte pas une communauté entière sans sauter dans un shitstorm",5
"2sec de vidéos je mets déjà pause. Nan mais ""faites entrer l'encul...""",1
🤣🤣🤣 j'en peux plus de vous 2 !!! 🤣🤣🤣,5
"Si Benzin c'est bien à Roissy, comment ça se fait que vous arrivez en ville par ce côté ?",3
"Ce jeu d'acteur quoi ! Pour une chaîne de bagnoles... Incroyable. Quel boulot les gars, bravo 😁",5
Je viens de me faire schtroumpfer mon permis :(,1
