Comment,Number
"Cliquez là ➡️ https://NordVPN.com/Cyprien pour obtenir un abonnement de 2 ans + un cadeau bonus, le tout avec une énorme réduction. C'est satisfait ou remboursé pendant les 30 premiers jours 🤓",5
C’est la même personne ??? 2:34,1
Faut juste être moins con 😂😂😂,3
Excellent 😅😅,5
Cool de voir Julien Pestel !,5
Un acteur qui meriterai largement d'être plus présent sur nos écrans !,5
C’est un accident 😂😂😂😂,1
Ok😐😐 1:53,5
Oh le raccourci que ta pris pour le chasse 💀t’aime mieux manger de la viande d’un abattoir,5
😂😅😂,5
"""Non non, faut juste être moins con 😂""",1
C moi ou au début de la vidéo c.etait norme ?,1
La dernière trop drôle 😂😂😂,2
Très bon merci MDR,5
💯,5
😂😂😂🤣👏👏👏,5
qui est la en 2024,5
Qui regarde en l'an 100870,5
Moi qui regarde en 2024,5
Tu est vraiment à poil avec Natou,5
"2:36  la ressemblance. C’est waouh, c’est la même personne.😂",3
J’ai vraiment crue que il y avait une pub .,1
Le clash des parent🤣🤣🤣🤣🤣 commence a 4:48 finis a 5:00,1
kkkkkkk,3
C’est tellement misogyne ces pubs jpp 😂😂😂,1
Par contre pour la colle ça marche vraiment hein,3
4:59 oh bah tiens,1
2:19 la fille dans la pub on dirait la même que dans le sketch,2
Le meilleur c avec les bouteilles en plastique il l’ont trop bien tourné 😂😅,5
le ''non il faut juste être moin con'' est parfait,5
Tu peut filer les 130 million ?,1
"""Pas besoin de Swiffer, plus du tout en fait.""",2
"""Non faut juste être moins con.""",3
😆,5
Utiliser un chiffon la galère  🤣🤣🤣🤣🤣🤣🤣🤣,5
Une masterclass tout simplement,5
2:26 la resemblence de la fille,5
Like a bosh 😂😂😂,5
3:28 pas mal la vidéo cachée,3
Le coup du plastique dans la vie ma tué (les poupées et les baskets),5
😂😂😂,5
4:11 Harry kane!!!!,5
"""Je veux que tu m'étale ta confiture "" Oh les parents ingérables",1
"""Mais qui fait des exposés sur des chaussures de chantier nom de dieu!"" 🤣",3
Les chaussures 😂😂😂 pour l'exposé,4
Quand il a dit qu'à contact j'ai cru qu'elle allais dire Kakou kakou,2
Je narrive pas expliquer pk natoo mexcite autant,2
Le moment du covid la masqué ressemble vraiment a la pub 😂,5
mdr le plastic pollue les oceans bah vas y donne tes poupees🤣🤣🤣,1
Ces incroyable,5
La cracotte ca m a tué 😂,1
Coucouille,2
Comprendras qui pourra mdrrr,3
Trop cool,5
Pas mal le format,3
😂😂😂😂😂😂,5
Salut Cyprien je voulais savoir si avec Squeezie vous étiez toujours amis parce que en fait on aimerait tous sur Internet que vous soyez animés je sais pas,3
J'adore toujours aussi bien fait,5
comme les gosses étaient choqués quand il a dit U Power,5
gg mec jadore t'est video continue,1
J'ai crue j'avais une pub mais non 😭,1
J'aime trop t'est vidéo ces les meilleurs,5
😂😂😂😂😂😂,5
"Il y aurait ça comme pub, j'arrêterais de mettre un bloqueur de pub.",1
🤣🤣🤣🤣,5
Natoo quelle belle femme,5
on en parle comment l'actrice qui fait la meuf de la pub du covid lui ressemble trop bien ??,3
😂😂😂😂,5
La pub du Covid c pas la même fille ?,1
On a le droit de chasser,3
Pour la colle c'est vraiment drôle 😂,3
Les vidéo de cyprien c’est les best🎉,5
Mdr les parents:😏 crack crack la petite:🤢,1
Du saaale,1
Le dèrnier c tèèèèèlement ça 😂,3
Gg cyprien lache pas 🎉,1
Je regarde cette vidéo 2 ans après sa sortie et je vien seulement de voir qu il y avait une vidéo cachée 😅,3
4:46 sa me tueeeee,1
J'adore 🤣🤣🤣🤣 c'est trop drôle vous êtes au top 👌👌,5
"Super format, je ne m'énerve pus quand je tombe sur une pub durant la vidéo",5
ouais... bon,3
4:19 j’ai sursauté 😂,1
S'il te plaît peux tu m'acheter une ps 4,3
Haa,3
Hey les gars c pas un petit bandeau secret la?,1
LE DRENIER 🤣🤣🤣🤣,5
Les Knacki d'Alsace sont les meilleures,5
wow nice,5
2:32,2
La légende raconte que la caméra man est immortelle,5
"C'est trop bien, j'adore! 😁",5
0:07 pour votre santé mangez uniquement des knackis PTDR 😂😂😂,1
slt mon gars,5
😂😂😂,5
C'EST kiffant et drole  la partie du plastic je like et je m'abonne continue mec 😂,5
THANK U,5
"""Le gâteau aussi est en knakis ""😂",1
😂😂😂😂,5
j'adore cette video hahha cyprien le meilleure,5
"""Je voulais pas d'enfant"", ""c'était un accident ""😂",1
The caption are good! I'm happy there's such a good translation,4
Omg la gosse et son plastique xd!,5
J'aime trop vidéo❤ tu pourrais refaire encore une vidéo pub vs réalité stp😭😭😭,5
ils font vraiment de la pub pour la chasse ? mais lol T_T,3
La gamine qui débarque en disant à son père sur le truc du plastique en bouteille . Elle est dans mon collège 😢😅,4
Oh y’a natoo,5
0:21😂😂😂,1
"""Pas besoin de swiffer en fait . Bah non il faut juste être moins con"" ça ma tué 😂😂😂😂😂😂😂😂😂😂😂",2
On rigole toujours autant avec tes vidéo,3
4:45 meilleur moment 😂😂,5
2:34 mais c la mer personne entre ma pub et le réel 😂,2
Un problème avec la chasse ?,3
2:18 c'est la même actrice dans la vraie pub.,2
1:36 La facture est en stress like bosch,1
Pas besoin de Swiffer en faite ah ouais en faite il faut juste être moins con 😂😂😂😂 il m’a tué,1
😂😂😂❤❤ j'a dor 😅,3
3:31 Mais elle en a pas,3
