Comment,Number
Ça ma perturbé c'est mon anniversaire 😅,5
Video de 6mins avec pub de 3mins 😢,3
Je serai mort depuis février sans femme sans enfants au moins personne ne souffre,1
Une idée si à l’école on retirait tout ce qui inutile et ne laisser que ce qui est utile pour le métier que les jeuné veulent faire ex. Un pompier n’a pas besoin de savoir l’histoire du passé du temps des dinosaures en passant par l’Égypte ancienne maths économie pour gérer un budget domestique des cours de cuisine pour s’alimenter vous voyez où je veux en venir,2
"Faudrait reprendre le concept mais en changeant quelques trucs. Et si uniquement ceux ayant déjà plus d'un certain age (ici 30 ans mais ça peut être plus ou moins) mourraient d'un coup, mais ceux en dessous de cet age n'auraient aucun problème à vivre normalement au delà de cet age ?",3
J'avais déjà pensé une fois au pif à ce thème et il existe étonnement déjà plusieurs oeuvres bien foutus exploitant plus ou moins ce thème.,2
"The Girl Who Owned a City, Empty World, Jeremiah, The Sparticle Mystery, The Society et Between par exemple, pour les premiers que j'ai pu trouver facilement, mais il y en a d'autres.",3
"Et si seuls les moins de 30 ans survivaient à la disparition soudaine des plus de 30 ans sans pour autant mourir à 30 ans, ça serait quand même moins dramatique que la dystopie que tu nous présente là xD",3
Une intro à la Amixem,5
"Faisons, si la météorite qui a tué tous les dinosaures auraient pas touché la terre.",2
"C'est impossible, le monde va régresser.",1
après plusieurs génération on aurait une radical régression technologique,2
"Après la malédiction des 27ans pour les zicos, chris invente la malédiction des 30 ans 🤣",4
L’intro 🤣,5
Merci pour les nouvelles vidéos,4
Si on avais pas de tub en 360,3
"En réalité les dictatures ne serai pas moins nombreuses car les dictateurs (bienveillants ou non) utiliseraient le concept de dynastie comme ça se fait dans les monarchies, le Gabon🇬🇦, le Tchad🇹🇩, la Syrie🇸🇾, la Corée du Nord🇰🇵 et le Togo🇹🇬.",3
"Et bien en fait il faudrait tout revoir tout décaler la majorité faire des enfants, pour se marier raccourcir les études et aller à l'essentiel au lieu de faire des X fois y qui prend la tête😅",3
merci de me tuer  après moins de 3min ... :),1
Pourquoi pas 40 ce serait déjà la moitié de mon espérance de vie 30 ans c'est trop jeune pour mourir!,1
Comment il s'appelait ce film d'ailleurs où les gens ont une pastille sur la main qui à partir de 30 ans elle clignote et vous mourrez si quelqu'un peut m'aider ?,1
bon j'ai eu 30 ans décembre  2021 je serais morte mince,3
"Ça fait penser au film ""Time Out"" même si ça n'a rien à voir à part qu'on ne peut pas vieillir",3
Si on mourait* c'est du conditionnel,3
Si ont mourrez tous a 30 ans j'aurais plus de parent de tonton de oncle etc,1
c'est l'enfer ton truc,5
C'est triste du coup il y aurait comme aujourd'hui un changement de mentalité et des mamans de 13 à 15 ans pas 18. C'est toujours 3 à 6 ans de plus avec les gamins.,2
Il me reste 9 ans à vivre 😭😭,5
A 2 min de la vidéo Poisson Fécondamus prédit la pandémie,1
"Si on mourrait tous à 30 ans, on attendrait pas 18 ans pour faire des enfants.",3
"Le savoir ne pourrait pas se transmettre comme maintenant, cela entraînerait une chute des connaissances intellectuelles donc un mode de vie plus simple, moins sophistiqué.",2
