Comment,Number
C'est quand même cocasse. Engager une relation avec une personne qui trompe son copain/copine c'est se tiré une balle dans le pied pour sa futur relation mdrrr,2
"Pour l’histoire de l’asthmatique, Je trouve que diffuser une image des handicapées qui profitent du système est pas très bonne sachant qu’on nous fait déjà chier au quotidien (handicap invisible force).",3
"Pour l’histoire de l’asthme, Très honnêtement j’avoue que je vois pas comment on peut simuler sa maladie pour avoir des « privilèges », sachant que personnellement, tout en ayant une maladie grave, j’ai toujours du mal à demander une place assise ou à doubler une queue à cause d’un gros syndrome de l’imposteur. C’est un level que je pourrais Jamais atteindre je pense 😂",4
Histoire 2 : Je vois pas ce que ca vient faire ici.,2
"Bientot : je fais des maraudes, je sauve des vies mais une fois, j'ai éternué devant un sdf.",2
Suis je une merde ?,1
"Pour l'anecdote de l'asthmatique, ça me fait beaucoup rire. Je suis asthmatique aussi (d'angoisse, d'allergies et quand je suis dans une foule genre un concert où l'air est pompé par tous ceux qui sont plus grands que moi 😂, mais c'est un asthme contrôlé car j'ai un traitement) et j'avoue avoir simulé des crises pour ne pas faire sport au collège/lycée. Mais je ne vois pas comment PROVOQUER une crise x). Parce que moi je simulais mais je savais très bien que c'était faux et je respirais très bien en réalité x).",3
Sinon merci Cyrus pour cette vidéo et ton travail !,5
"Je n'ai jamais cliqué sur cette vidéo, parce qu'il n'y a pas EVDM dans le titre…",1
Non c est pas une meree d avoir prévenu la Russe. Au contraire.,1
Le coup de la contamination c'est Masterclass,5
4:37 gros fou rire,1
Trop bien cette chaine youtube de frank Gastambide,5
"par contre non on ne se lassera jamais du sponso en fin de vidéo avec la même vanne à chaque fois, limite quand c'est pas nord vpn je suis un peu upset. et t'es le seul à dire la signification de vpn voila",3
aussi juste merci pour ce format et ces approches philosophique que tu abordes parfois pour juger une histoire <3,5
"25:55 biensur que c’est ok de « profiter » très rarement de « mini privilèges » (attention terme à prendre avec des gros guillemets hein) lorsque l’on est une personne oppressée dans un système discriminant les personnes handicapées, ou assignées comme femme, racisées, etc",1
Bien suuur que c’est ok !,4
Faut bien compenser ! :),3
Merci Cyrius pour cette video,5
"Pour la caca, ce n'est pas de ca faute si la concierge a accusé quelqu'un sans preuve. Son erreur est plutôt de ne pas s'être débarrassé de la poubelle",2
Je t'adore.,5
"Désolée mais un gars qui se comporte comme ça avec les femmes c'est une grosse merde et sa femme mérite de savoir. Mieux vaut ça qu'être coincée pendant 10 ans avec un mari abusif ou qui ne l'a respecte pas, même si ils ont un enfant. Ya un danger potential pour la femme russe.",3
"j'adore tes vidéos mais j'ai eu 3 milliards de pubs aujourd'hui, force à toi tout de même, j'aime beaucoup ce concept!!",5
"Le malaise la 1ere meuf, pseudo justiciere je crains ces gens ya rien de pire sur terre",1
Je me permets de donner mon opinion sur l'histoire du covid.,4
Déjà je suis pro vaccin et je ne comprend pas les anti vaxx / complotistes.,2
"Mais je ne suis pas d'accord avec le ""tout le monde attrape le covid"". Déjà le fait qu'elle lui ai refilé ne l'empêchera pas de l'avoir plus tard donc dire ""je lui refile au moins il l'aura plus plus tard est faux""",2
"Ensuite, certaines personnes en très bonne santé ont eu le covid long, avec des effets plus ou moins graves.",2
A mon sens elle a fait courir le risque à son mec de chopper un covid long qui lui aurait pourri la vie sur plusieurs mois/années.,3
"En ne se vaccinant pas il acceptait le risque + important d'un covid long, mais ce n'est pas une raison pour augmenter les ""chances"" en le lui refilant.",2
"La conclusion ""ton mode est une Master class, et tu n'es pas une merde"" m'étonne fortement,  les consequences auraient pu être bcp + graves",4
L'histoire de l'asthme est terriblement drôle 😂,1
4:45 très bon bv 👌👌,5
L'anecdote COVID : grosse merde. Pas de débat.,3
"Je ne te regarde pas en couple mais avec mon café, ça te touche un peu aussi ?",3
3:11 non mais t’avais pas aucun lien vu que c’était le mec de ta pote,1
9:29 non tant que tu lui mens pas,1
13:12 oui mais à 9 ans..,3
17:28 jsp mdrr c’est pas cool pour sa meuf mais c’est lui qui doit rendre des comptes,2
23:32 oui pcq tu profites de ton asthme,5
28:28 oui car ça aurait pu être dangereux,3
"Je vois pas en quoi la responsabilité de la nana qui couche avec le copain d'une autre n'entre en jeu que lorsqu'il s'agit des MST/IST, est ce que c'est plus grave de porter potentiellement atteinte à la santé physique de quelqu'un qu'à sa santé mentale? Pour moi c'est la même chose, dans les 2 cas ta présence va faire du mal a quelqu'un, il n'y a pas besoin de connaître les gens pour leur montrer du respect et ne pas avoir envie de les faire souffrir. Certes le mec est clairement mauvais mais la nana qui sait qu'il est en couple a également mauvais fond. Personnellement je pourrais pas dormir sur mes 2 oreilles en sachant que potentiellement mes actions peuvent impacter négativement la vie de quelqu'un d'autre, même si je ne la connais pas. J'ai le choix de m'intéresser à quelqu'un d'autre qu'à un mec déjà engager avec une autre. Peut-être que je suis trop sensible pour ce monde mdr",2
Donc dans la vidéo il y a une tentative de meurtre oklm ? 😂,1
