Comment,Number
Pour soutenir NordVPN et le futur prix Nobel de la Paix : 4 mois offerts sur l'abonnement NordVPN de 2 ans 👉 https://nordvpn.com/sylvainlyve,4
nouvelle passion les voitures a moins de 500€ sur le bon coin et si qlq donne une voiture à casser je ferais de mon mieux,5
J’ai tellement ri 😂😂😂,5
Vous être tous ensemble ancroyable,5
a,4
"S'il y a besoin d'un autre pilote, je suis dispo !!! A 30 minutes du Circuit de l'Ouest Parisien. Gros bisous 🥰",1
Joseph et ses arnaques Moldave 😂😂😂,1
"""Nouvelle Règle ☝️""",5
J'ai pas encore vu la fin mais j'espère qu'un pro fasse une démonstration à 5cm des 2 voitures !,4
Une ligne de chaque côté pour dire que la voiture est bien garée .....,4
En fait le tour de circuit ca devrait être un gage quand on touche,3
J adore le pull john deere,5
Bientôt l'essai de la Prius + ?! 🤔😂,3
"Ce n'est pas dur, ce n'est pas dedans 😹 8:14",1
Trop cool le concept 😂,5
"Le montage, l’ambiance, l’humour, tout est parfait 😂 content que cette ambiance soit restée sur YouTube, j’étais trop triste que ce soit fini. 🎉",5
La compagnie a mieux gérer 😅,3
22:21 il lui a fait la bise jpp🤣🤣🤣,5
Vivement l'épisode 2.,5
envoi dautre video c incrr,1
Ces gars ont trop joué a GTA 😂,2
"Pour répondre à la question ""dites moi si je refais des choses et avec qui?"" et bien avec Arthur et Joseph, ils sont parfaits!",3
"""je vous la remets comme avant?""",1
"Quelle classe, quelle maitrise du véhicule!",5
"Quand on pense que des gens achètent des SUV alors que le style, c'est 100% le conducteur qui le détient.",5
Ca aurait été trop cool de faire une bonne grosse bordure de trottoir...,3
🤣🤣👍👍👍👍,5
"Ah mais attendez, du coup c’est cette Lagouna qui a servi pour tenir au rupteurs pendant six heures ?",2
Normalement je passe le moment commercial mais la avec Thierry ca ma fini 🤣,3
Ce que j'ai retenu de la vidéo (nouvelle règle)😂,5
Y t'il un ou une individu(e) qui sait écouter les vidéo à l'envers passage à écouter :   1.16 min c'est très chelou sylvain ou le monteur à mis un truc a l'envers.,1
Très chic Arturéjoseph ! Tout le monde est assorti à la Mustang !,1
Tu peux faire le métier de mecanicien automobile,5
les sponso de sylvain il a pas changé de vilebrequin vraiment tu la skip pas tu l'écoute juste pour te terminé mdr,2
"Sylvain à chaque seconde: Attention, nouvelle règle !",5
Et le projet voiture téléguidé??,2
Vous en êtes où ??,1
Le projet était prometteur 🎉😂,4
Go faire un épisode 2,5
"C’est débile, ça sert à rien….mais c’est hilarant 😂",3
"J’aime pas trop ce genre de vidéo d’habitude mais là je dois reconnaître qu’Arthur et Joseph sont EXCELLENTS ! 😂 J’ai bien rigolé, merci.",3
"26:00 (ceux qui ont la réf, ne me remercier pas) 😎",1
"Vilebrequin, avec moins de pets (ce comme a dû etre fait 5000 fois)",3
"Le monteur, c'est un génie lol",5
Trace les lignes de chaque côté et tu compte 1 point par roue dedans,5
Sylvain on veux un retour de projets débilecomme celui-ci!!!,1
Merci pierre,5
À 4:20 vous trouvez ça marrant les gens ?,1
