Comment,Number
"🌎 Merci à NordVPN ! Rendez-vous sur https://nordvpn.com/pierrecroce, vous avez droit à une grosse réduction avec 1 mois supplémentaire gratuit",5
✌🏼Satisfait ou remboursé pendant les 30 premiers jours !,1
ce concept me fait penser aux animaux qu'on met en cage toute leur vie....bref sinon la production elle a confondu bonus et malus avec le polystyrène loool pauvre Ben,2
Pourquoi nous les belges on se fait agresser à chaque fois 😢😅,1
Ben je trouve ce gars vraiment archi drôle 😅😅,5
8:34 « spodge bombe » au lieu de sponge bob on t’a cramé benjamin,1
14:04 AAAAAAAAAAAAAAAAHHHHHH 😂😂,1
si vous aviez mangé l’apéro ça aurait été des apericube?,1
"Orianne quand elle faisait les malus pour pierre, elle prenait tellement de plaisir, il y a sûrement un message a faire passé 😂",5
"Bien joué pour la blague un cube de 1m3 ""cube"" hahaha",4
30 minute 🤔,5
Enfin il commence déjà dans la boîte ailleu des faire la moitié de le vidéos dans la maison,3
"Bravo les garçons , j'ai kiffé",5
mon fils le fait les doigts dans le nez il est tellement souple qu'il arrive a s'endormir sur un fauteuil de bureau (il fait 1m85),5
"a peine mis sur lecture que je commence a kiffer , je regarde et ...",2
J’aurais donné un ou deux coussins à benjamin 🥺🥺,1
bah nan ! on voit pas du tout la nuit ! et les lumières reste allumer t la nuit ? commet on sait que c vrai mm? vous avez pas l'air très fatiguer !,1
Eh Pierre devine quoi un mec ma niquer mon epic game jpeut plus jouer a fortnite frr c'est aberrant,1
"Pour les malus, j'appelle ça purement et simplement du gaspillage ordinaire.",5
"Donc évidemment je n'irai pas au bout de la vidéo et évidemment encore, un petit pouce rouge flamboyant, non pas contre toi ni Benjamin, car je vous apprécie dans la limite du raisonnable, mais envers le gaspillage flagrant.",2
Pierre: bon on fait quoi pour la prochaine video,3
Benjamin: on passe une nuit dans 1m03,5
Pierre: c’est carré,3
Benjamin: nan c’est 1m03carre,1
C’est le miroir de Guillaume : Santin,5
je fais partie des 5% qui laisse absolument le son sur 10-15-20  etc . .. 😂😂,2
Mais comment ils respirait 😂😂😂😂😂😂,3
trop cool la video🥰🥰🥰,5
Je suis claustrophobe,1
Est-ce que Pierre a lâché une caisse. Et Ben en fait des caisses,1
On peut dire qu’on est en boîte de nuit…,5
a 19:07 le num de pierre a fuité nan?,1
Cube bor,4
Benjamin est trop drôle 😗🤣,2
❤hj,5
Maaaais pourquoi Benjos n’avait ni bonus ni malus,1
"Je me suis fait toute la série ""une nuit"", je suis plié, je n'en peux plus, continuez s'il vous plait, souffrez pour nous !",5
la prochaine étape c'est 24 heure sur place avec des abonner pour voir qui sort en dernier ^^,4
Pierre :tu sais moi j'adore le minimalisme,5
Moi:c'est se qu'elles disent toutes 😏,5
Un vrai film de stanley Cubique,5
胃かなぁ,1
Deux hamsters,2
🗿,5
est-ce que ta une femme,5
Volume 2: Dans 2 mettre cube et tu est dans la même boîte avec Ben,5
moi je fais le cube en trente cinq sec,5
21.46 moi si cela m'est arrivé trois fois y a 3-4 ans à peu près,3
Je l'ai eu dans l'œil mdr,2
Pierre c'est quoi sur ton t-shirt là c'est c'est quelque chose qui t'ont lancé ou,3
Je suis le seul à qui sa fait pensé au début de Madagascar dans le bateau 😂,3
22:31 ben est devenu fou😂,5
Même quand je le réécoute je suis plier en deux😂,1
Ce que t'es stupide Pierre. C'est affolant...,1
Ça me fait penser au début de Madagascar 📦,4
Ça serait énorme qu’ils soient dans fort boyard,3
23:25 ptdrrr il est trop fort,2
"Moi je n'aime pas m'être un chiffre impaire, c pas logique de ne pas mettre un chiffre pair",2
Benjamin qui imite les reportages ARTE c’est une PÉPITE 😂,5
La vidéo était génial le seul point négatif c’est l’organisation du malus et bonus qui a fait que Ben n’a pas eu beaucoup de choses et que tout revenais à Pierre,4
"9:51 Ben a loupé un ""c'est ce qu'elles disent toutes"", dommage",2
""" Bonne journée "" c'est pas dutout la nuit mdr",3
Jsuis sur la piste de dance je slime,3
C'est des machines les mecs ! Ils enchaînent les jeux de mots comme Deuxveaux ! Bon y'a la montage mais qd mm ...,5
Ses carée je bois de l'eau au miel et Citron parce que j'ai Mal a la gorge,3
vous auriez du prendre des talkie walkie 🤣🤣,3
Ça m'a fait penser à la scène du bateaux dans Madagascar,4
Comme de par hasard je regarde la vidéo à 22:43,5
"A Paris, ça doit se louer au moins 400€",1
moi en vrai je pourrais car je dort h24 en boule,5
Pour te raflechir. Seul les vrais on capte,3
Non par contre c'est vraiment problématique et dommage que peu importe les réponses c'est Pierre qui avait tout et Benjamin rien donc à modifier,2
Je vous adore les gars 😘,5
Je kiffe ce mec,5
Mon frère bande merde,1
"Je croyais que ma conjointe était toc toc à m’engueuler quand je met le volume de la télé sur un chiffre impair car « ça l’a stresse », je suis surpris de voir que 95% des gens font attention à ce que leur télévision soit réglé sur un volume impair ! Je croyais que c’était la seule 😂😂",2
LE DERNIER KG DE POUSSIERES EN SCORE EXACT INCROYABLE,5
"Benjamin, tu aurai du remplir les sacs plastiques avec tout le polystyrène en guise de coussins 👍",5
Pov : un appart a paris,3
réaction épique de ben 26:33,5
"Pour la pub de NordVPN, il est pas très sécurisé et il conserve les logs des traces sur le Web. x)",3
Mon prof d'histoire te regarde 💀,5
Vous imaginez les animaux qui sont enfermé très longtemps ainsi avant d'être tué?,3
Vous adorer les apéricub,5
De l’extérieur on dirait juste Madagascar ca me fume de rire,1
Il a eu “Spogebomb” Squarepants!,1
Vous avez pas froid ou chaud 🥶🥶🥵🥵🧠🧠🧠🧠🧠🙆‍♀️🙆‍♂️🙆‍♂️,5
❤️,5
🧡,5
💛,5
💚,5
💙,5
💜,5
superbe 🤩 et continuer je vous adore 🥰,5
❤️,5
🧡,5
💛,5
💚,5
Résumé de la vidéo par Ben --> 0:47,4
"Sinon ta des idées, un projet concret  ou tu répète bêtement ce que tous les mecs sans projet comme toi on fait ??",3
"""Tu ressembles de plus en plus à une télé"".",5
TVerecchia.,4
28 min choquer de la calvitie de verrechia j'étais pas pret,1
Ils ont passés 7h dans 1m cube avec des coussins et tout moi je passe 7h a la place du milieu d’une voiture quand je par en vacances 😂,1
Wowowowowowo,5
23:10 : Pierre s’est chié dessus !!😅😂😂😂,1
😂😂😂,5
7h dans la vie de Carlos Gaune 😂,5
Pour divertir les gens il seront prêt à tout,4
"Un peu de Cubanisto et vous aurez pu prendre une cub""uite",3
Cubelinairement vous n'avez pas eu assez à manger,2
²,1
Mais au fait… comment vous pissez ? 😭,3
La tache sur s,3
"a manche gauche est là pas longtemps après le début, puis disparait, et réapparait quand le slime rentre en jeu, vu l'état dans lequel il se met, il est clair qu'il n'est pas resté dans la boite et c'est changé, ou nettoyé. Dommage une fois vu ça retire le petit truc qui rend le concept cool. La vidéo n'en est pas moins bien, mais le concept perd en intérêt selon moi.",2
Je suis impressionné par le fait qu’ils aient à chaque fois réussi à s’envoyer les objets à l’aveugle mdr,5
C'est un exercice super dur en vrai GG,5
"J'ai jamais vu autant de paniers réussis, sans même voir",1
Pour moi le problème c'est que je suis claustro alors pour moi ça aurait été compliqué bref je suis claustrophe vous avez compris,1
On dirait le début du dessin animé Madagascar,3
"je sais pas quoi penser de cette video tellement absurde🤣 juste un truc : Pierre a reçu plein de bonus (dont un coussin qu'il n'a pas utilisé et qu'il aurait pu donner à Ben) et ne partageait pas bcp, Ben a reçu son premier bonus direct il a partagé",1
Benjamin ta voix ressemble à celle de loeklire,5
"Pierre est pas cool de ne pas avoir balancé au moins un coussin à Benjamin. Le karma a fonctionné, Benjamin a dormi et pas lui.",2
Ouais…je suis claustrophobe 💀,1
a,4
Il y a vraiment des gens qui vivent dans 1m2 mes gars... sinon bonne video,3
Nouveau film de Stanley Kubrick,5
Et apres se sera 24h dans une bulles sur l eau,1
tout se que je retien de la video c que ta perdue un tee shirt,1
faite la meme choses mai a deux dans le meme cub,1
J'ai regardé jusqu'au bout mais ma claustrophobie a pris cher 😅,2
La meuf qui donne les objets a lâché un <bonne journée> a 23h,1
1m3 la taille d'elodie Costa 😂,5
C’est cool de montrer les conditions des étudiants à Paris,4
BG les blagues vrm !!,1
Cette vidéo était carré !,1
vous avez des idées  de con😆😂,5
Malheureusement Netflix et Prime Vidéo bloque NordVPN,1
pierre tu t'est chiet dessus ou quoi?🤣🤣🤣,1
Ce qui est dommage c'est qu'ils se disent entre eux leur réponse et le 2e s'aligne stratégiquement c'est pas ouf,3
Une nuit dans un cercueil,5
pour une prochaine vous feriez pas une nuit en apesanteur? y'a moyen de voir ça avez des salle d'entrainement astronautes...,3
"Je suis sûre que la vidéo est incroyable mais j'ai pas pu regarder, je me suis sentie hyper étouffée dès le début mddr vraiment horrible",2
Vous aussi vous avez pensé à Madagascar quand ils sont dans les boite enfermer sur le bateau ?,1
Moi qui lève le volume sur un nombre pair 🤣🤣🤣,3
19min 😂😂😂 quand j'ai vu le malus de Benjamin j'ai exploser de rire déjà qu'il gagner rien mdr,1
Hh,5
"pour les photocopieuse, travaillant dans le support, je peux vous dire que la cause de pb par photocopie de fesse est bien de 0.01% donc benjamin aurait gagné",3
"Arf, j'ai vue le titre, j'ai vue les boîtes, je me suis senti mal avec ma closetophobie 😂",2
"Moi je peux pas faire ça, même pour 100 euros 😂",1
Pendant la vidéo je vais à l'accueil et j'ai la première vidéo de youtube dans mes recommandations 😂,5
"c'est dingue , qu'une seule question me vient a l'esprit ""Pour quoi faire ?""",3
Ça m'a fait trop penser à Madagascar 😂,3
Arte>>>,5
"Avec un pote on a dormi dans 0,20m3 c'est juste horrible. Ça donne la gerbe et ça te foudroie les muscles. Bonne vidéo sinon, continuez comme ça.",1
À quel moment ils ouvrent les trap dix fois 😂,1
Étant claustrophobe je me mettrais jamais dans cette boîte 😭😭,1
Titre alternatif :,3
"""Une nuit dans un appart parisien""",4
trop bien la vod,5
lol,3
Comment ça ce fais que Pierre gagne des trucs quand il répond juste et Benjamin quand il répond juste il a que des maluse franchement c’est pas fairplay c’est nul sérieux,1
20:30 je lui aurai demander s’il avait des apericubes ( en fromage ),1
pov : les appartements étudiants à Paris,4
La fin m'a tuée 🤣,3
Leurs jeux c’est un game cube,5
Cette vidéo est un véritable film de cube,5
Ar,3
Si j'avais participé je me serais retrouvé avec :,3
"""matelas"" a alphabet",5
Bob l'éponge,5
Du chocolat,5
Du Slim dégueu,2
Un Coussin rond,3
Du Papier bulle,5
Deux coussins et un sac de couchage,4
Des Poches d'air et des morceaux de cartons,3
Youpi 😂😭,5
J'ai la tete dans le cube,1
pour ceux qui se demanndent c'est 67 cal par pet,3
Pierre du pourrais passer un coussin,1
Apericube,3
Wow ça fait un moment où j'ai pas vue tes vidéos je vais activer la cloch,1
ça fait quand même 5.5Millions de personnes,2
J'ai la tête dans le cube,1
Ont aurait du se mettre dan le même cube,1
Les fan art de vous vont exploser 😇 je crois,1
