Comment,Number
"22:13 C'est bon, ils QUOI ?",3
Casimir mon enfance ❤️,5
Comment j'ai pu ne pas regarder celle-ci jusqu'à maintenant? Comment je suis passé à côté ?,1
"J'avais besoin de faire quelques cauchemars dernièrement, et je pense que les marionettes qui jouent les voisins, ou cette pilote (dont je n'arrive pas à déterminer si c'est un pokémon, vu qu'elle semble s'appeler Pilote) seront parfait pour ça",4
"Bref, un grand merci comme d'hab",5
"""Ils ont de l électricité à cte heure""😂",1
Il manque P.diddy sur l’iles aux enfants,3
Mais pourquoi!?,3
Mais pourquoi calice d'ostie que je regarde cette vidéo que maintenant !,3
"Un malaise total, jpp, c'était énorme !",1
"Et toujours le magnifique mix entre ""je montre les trucs chelous"" et ""j'explique le lore possible avec la version JDG"".",5
Encore merci !,5
"Bon, où ai-je mis le numéro de mon psy...",3
Pdiddy a rejoin l'île au enfants,5
JDG... les belges possedaient les chaînes françaises et donc tf1 et le Club Do...,1
14:16 Ça m’a littéralement achevé 😂😂😂,1
bibi cest quebecquoi ou quoi,3
Qui a fait le redoublage de Nicolas et pimprenelle ?,1
La voix de Sébastien en mode maléfique une valeur sûre qui me donne le fou rire à chaque fois 😂😂,5
OH MON DIEU LES SAMPLE DES YOUTUBE POOP,1
Pas du tout louche les québécois 😅,1
30:33 c'est toute mon enfance de mes 4 ans a mes 7 ans,5
Ils prennent vraiment tous les youtubeurs,5
C'est l'heueueure ! 😏,5
90% de chance de se faire traumatisé par Passe-Partout quand on est jeune en passant,2
De 16:54 a 17:05 😂😂😂😂😂😂,5
21:21 c'est qui ça? Je suis pas capable de me rappeler où elle est apparue.,1
"31:28 c’est une émission jeunesse ou ""saw"" ?",1
11:24 qui a reconnue la musique au debut💀,5
11:24 euh l'intro à la batterie xD,5
🟧⬛,5
MBC3 la base,5
Je suis cuit il y a vraiment un lien pour la vidéo de 10h de dans la description,3
"14:16 Elle dit ""vieille bique"" mais il est vrai que l'on peut entendre un autre mot.",3
La maison de toutou dans mon coeur ❤❤❤,5
28:03 bonjour je m'appelle Josiane pichet,1
c'est très glauque comme épisode,5
Les Marionnettes dans la version plus récentes les Marionnettes sont mieux.,3
"Anecdotes l'actrice qui faisait le personnage de personnage kangourou,Kounga avait dit dans une interview qu'après le tournage d'un épisode de la série Cornemuse, elle avait oubliée d'enlever son maquillage dans une station service et elle était un peu gênée.",3
"Blabla en plus d'être moche et de chanter des chansons sur le caca, il t'apprends RIEN! Pas à compter ou à dessiner, pas à colorier et utiliser ton imagination. Ça m'aurait pas dérangée si Raton avait mis du poison dans son verre 😈",1
