Comment,Number
"Gloire au dieu NORDVPN, qui apporte sur nous argent, bif et moula",5
Le lien 👉 https://nordvpn.com/vilebrequin,5
4 mois gratuits avec le code VILEBREQUIN,1
C'est normal pour les plaques d'immatriculation,3
4:38,4
12:20,1
19:32 20:13,1
23:50 en Suisse on en trouve des bien a 25000€...,1
Good job les caïman,4
les fideles a la fin ptdr,5
Bah vraiment rip Vilbrequin tcaho,1
Première vidéo après avoir vu la vidéo de fin,3
La Vantage à pas le même moteur,2
Tu peux aussi enlever le fusible 19 et les clapets restes ouvert ✌🏼,1
"Joli ! Mais, tu dis quand même pas mal de bêtise ^^",5
XKR-S elles ont 4 places,4
Et pas mal d'erreur de puissance,4
Référencement,4
GÉNIAL LES GARS.,5
JE SUIS MORT DE RIRE PAR RAPPORT AUX SPONSORS....CONTINUEZ...,1
JE VOUS EMBRASSENT..🥰🥰🥰🥰🥰,5
Les pub sont excellentes,5
"Le cabriolet est l'un des plus beau des 20 dernieres annees! Serieux, Pierre tu es injuste.",5
ce volant de fiat,5
Je reprends ma FOX pour faire un chrono,3
"yeah, Fan Biz",5
21:59 meilleure impression de Sylvain du macaque heureux,5
Je reviens pour voir le placement de produit🤣🤣😫😭 Vous êtes trop chaud sur les placement wallah,2
Essai la i20 n stp😊😊,4
Suis devenu épileptique après avoir vu ce reportage. Le monteur doit être sous lsd.,1
C est tellement pété 😂😂,5
Je me suis pisser dessus 😂😂,1
1000 fois mieux le XK que le z4,5
Référencement,4
Merci pour cet essai qui m'a aidé à choisir une........XFR qui a le même moteur et 5 vraies places.,5
Juste injuste pour le modèle  que vous n'ayez pas refait un essai avec la suspension pas en défaut et l'esp déconnecté (maintien bouton pdt 10s) car vous êtes les seuls  à critiquer le comportement de cette jaguar qui est une gt certes pas super sportive mais louée pour son super compromis confort/efficacité/equilibre.,2
"Du coup, curieux de savoir si Pierre a révisé son jugement une fois les défauts réglés.",3
"En fait, jaguar nous propose de se déplacer en crabe, sur le coupe de la 4, un peu de la 5 et on roule droit en 6",3
C'est les seuls placements de produits que je regarde entièrement 😂😂😊,5
Si tous les Youtubeurs présentaient leurs OP comme ça je ne passerais pas mon temps à les passer… franchement j’adore ce que vous faites !,5
Mais faut venir a la campagne comme la boiserie... Regarde moi 85000e 5000m² de terrain allez levy garde les belles bagnole et viens faire des essais en Bourgogne,3
Mais Pierre est tatoué du mollet ! C'est trop chou! XD,2
2,5
C'est quoi le délire avec les Passat ?,3
Moi j’ai une Jaguar Daimler X300 en V12 6 litres et c’est un vrai pullman ! Si vous voulez je vous la prête !,5
20.40 JE SUIS AU SOL,1
"Ce qui est génial, c'est que pendant toute la présentation du véhicule, ça m'a presque donné envie d'en avoir une, puis pendant l'essai j'ai totalement abandonné l'idée !",5
Salut les gars !!,5
Le problème vient plus de de homologation pour ces 4 places !!!,2
Rcz.. 206 cc et rcz,5
N importe quoi.,1
En cas de carton...,3
A tte,5
"Hey,... à quand un Vultech sur les anglaises?",1
Sérieusement on sauraient tellement prêts d’investir dans la cagnotte pour une C1500 First ! Pas moins de 1500CV !!!,2
😁😁,5
Vous êtes des baisés mdr,3
Ce placement produit est merveilleux.,5
nice,4
"Les ""2"" places arrière m'ont tué !  Encore plus déçu de ce Jag.",1
"résumé de la vidéo : Pierre, reste derrière la caméra :)",3
"À 5:33, comme je ris avec les histoires de valises 😂 juste merci pour les fous rires !",5
"Sans parler de la portière au coup de pied "" TAC ! comme ça dans un Kadjar""",1
"Je vous rassure, même sur l'autoroute à 260km on ne se sent pas en grande sécurité avec cette voiture. Faut savoir maintenant que ça va te coûter des sous. Même si tu répares toi-même. Et des surprises aussi. Et ne vas pas chez le concessionnaire pour change des disques de frein...sinon tu peux revendre le Miltipla.",2
Pierre faut mettre les gambette au soleil un peu hein! 😂,3
"La suspension est mauvaise, mais au début, il avait l'erreur ""suspension dynamique HS"" 😅😅😅",2
