Comment,Number
Bénéficiez de 4 mois offerts sur tout abonnement de 2 ans à NordVPN en passant par mon lien : https://nordvpn.com/pierrecroce,1
C pizza elle sont trop bonne à l’officina,5
Le premier c la pizzeria d’à côté de chez moi : Montélimar (l’officina),5
Ben aurait du garder le masque jusqu'à la fin,3
Il a changer la fouine 😂😂😂😂 ( le troisième ),3
La coupe de Pierre est absolument affreuse 😢,1
Tom La Ruffa le goat ! <3,5
"""ooh merci un micro"" il m'a tué 😂",1
"Pour le catcheur dès que je l’ai vu j’ai dit « lui je le connais,je sais qu’il est catcheur » et aussi il se fait toujours inviter par des youtubeurs exemple Michou il l’a déjà invité",5
J’ai cru que c’était la fouine tatoué 😂,1
"Wahh ils sont tous incroyable mais gros coup de coeur pour le hacker et le cake designer, en plus d'etre talentueux ils sont très charmant ! :p On veut d'autre vidéo comme ça !! :D",5
« C’est dans les 6 arts ? » Pierre Croce. Le cinéma en PLS 😅,2
La tête de Ben avec le masque c’est pépite,5
Fred c'est cyberghost vpn  😅,5
Eric Mendes il est incroyable. Il a réveillé le public. C'est un vrai talent!,5
Le gâteau est magnifique ET il a l'air bon (contrairement à plein d'autres gâteau stylés). Bravo,5
Je suis le seul à trouver que le premier candidat ressemble à Rayan raynolds🤣,3
"Eric c'est pas possible, c'est mon frero 😮❤",1
On a bossé ensemble sur VTEP 💯,5
Pierre a vachement fondu non??,1
Comment être dans le public ?,3
Le gateau magnifique et petit air de neymar de l'artiste cake,5
Il pourrait hacker mon compte Discord et me retirer la double authentification ? 😂😂😂 j'ai perdu mes mots de passe,1
Ça aurait cool un peu de parité de genre 🙄,3
le tatoueur du catcheur faut le tuer mdr,1
04:30 le fils de macron mdr,5
J'avais reconnu tom,3
Le catcheur s'entraîne dans ma salle fitness park 😂 c'est dingue de le retrouver ici !!!,5
"Incroyable cet épisode, plein d’invités géniaux, et je suis content de revoir Thomas La Ruffa ! 🙏",5
"J'adore le fait de voir des métiers peu connus, j'espère que vous referez une vidéo comme ça !!! :)",5
Il m'a même chauffé derrière mon téléphone,2
Super intéressant,5
👍,5
Excellent! J'ai halluciné de voir @epicsweetcakes débarquer. Je le suis sur Insta et javais vu le buste de Pierre il y a plus d'une semaine déjà mais je ne m'attendais pas à le voir dans cette vidéo. Bravo à Daniel pour cette œuvre d'art et bravo à l'équipe pour l'émission. Je suis fan!,5
C’est seulement à 20 ans que j’apprends que chauffeur de salle n’est pas la personne qui mets la chaleur mais l’ambiance………,3
"TeeeEEeeeellement passionnant le catcheur !! Il a fait ça : sérieux, pro, pas trop de blabla, il vous a inclue, il a tout assumé, 'fin vraiment parfait, parfait. Super expérience, il m'a donné envie de faire du catch, clairement.",5
Trop trop sympas et good vibes le chauffeur de salle,2
"Mes données ont fuitées et sont sur le Dark Web, merci Adecco/Solfex, pas merci Nord VPN…",1
j'suis mort de rire !!!!! la tête de Pierre avec le masque 😂😂😂😂 15:44,1
les clap en arrière plan sont insuportable,1
Eric il est trop bien et gentil j avais bien trip avec lui a TPMP il y a 10 ans,5
Ca lui va trop bien le carré plongeant à Pierre,3
j'avais reconnu le chauffeur de salle de ranouna,3
ca aurait été drole que le catcheur soit danseur étoile :),4
+1 pour le catcheur,4
"Maxime le premier participant, il a une ressemblance de dingue avec l'acteur Ryan Reynolds je trouve ! Super vidéo !",4
Le hacker flex alors que mon prof de techno faisait deja ca pour regarder quon bosse en 2010-11 au college,2
D'ailleurs josé garcia a commencé comme chauffeur de salle.,5
"On vit dans un monde fou où il y a que moi que ça donne pas envie de manger, la tête de quelqu'un ?",2
"Le cake designer impressionnant, le chauffeur de salle malaisant en vrai ça fait anim de camping",3
Les gars une vidéo entière avec Tom La Ruffa !!!,5
"Non mais Tom La Ruffa les gars vous mesurez pas qui c'est, c'est pas juste un catcheur c'est LE catcheur français !!! Un des rares qui a bossé dans la plus grande Fed du monde la WWE , il a catché contre les Hardy boys etc ! Fun de le voir",1
"Remarque constructive : ce qu'on aime bien dans Youtube, c'est que c'est naturel, spontané, les réactions, si on commence à applaudir un peu pour tout et n'importe quoi, comme à la télé, je trouve que ça devient malaisant comme la télé.",3
EDIT : j'ai écrit ce message avant qu'il y ait le chauffeur de salle qui passe !,1
Top,5
Le catcheur et incroyable la gentillesse tu mec franchement sa fait plaisir gros like pour lui et grosse force à lui si il regarde les commentaires sa doit pas être facile la vie de catcheur 😇,5
Le premier c'est grave un sosie de deadpool,3
"Eric s'est surtout fait connaître grâce à un moment où il passait dans TPMP et qu'il y a eu une chronique d'un des intervenants à l'époque où il est apparus, et suite à ça il a fait quelques autres apparitions dans l'émission; Cyril hanouna le désignait comme un chauffeur de salle extraordinaire etc :)",4
Ta coupe pierre pas oufff 😅😅😅😅,1
Le catcheur il m'a régalé mdr,5
"Ahah Éric je l’avais reconnu, j’étais en tournage pour le juste prix, Éric est génial !",5
Le premier gars a les yeux de ryan reynolds :),5
bah catcheur ! On l'as déjà vu sur YouTube d'ailleurs...,5
"Tom La Ruffa incroyable sur la chaîne de Pierre Croce , le multiverse😂",5
Tatouage,3
"Merci Pierre Croce , grâce à ta coupe de cheveux c'est la 1ère fois que je ne regrette pas d'avoir une calvitie.😉",5
Oh mon dieu Tom laruffa j'étais pas prêt 😂😂😂😂😂,1
"Il est important de mentionner nos activités dans le domaine de la cybersécurité, connues sous le nom de ""BlueTeam"" qui travaille avec la ""RedTeam"" 😀, et en revanche, NordVPN n'est pas fiable en tant que VPN. il y a eu une fuite de donnée en 2017 et en 2018 🤐Il est important de mentionner nos activités dans le domaine de la cybersécurité, connues sous le nom de ""BlueTeam"" 😀, et en revanche, NordVPN n'est pas fiable en tant que VPN. il y a eu une fuite de donnée en 2017 et en 2018 🤐",2
Le pâtissier il as fait la tn d’inox en gâteau,4
Le gars d'orange est super intéressant. Merci pour la vidéo en plus on apprend des choses,5
Le gâteau c'est vraiment impressionnant !! 😲,5
Le catcheur c’est pas celui de la vidéo de Sora ?,1
"Oh les dégaines de catcheurs chez notre ""jury"" XD",5
