Comment,Number
"Hello tout le monde ! les dernières vidéos ont été plus calmes car on travaillait sur du LOUURD, j’espère que vous allez kiffer, cette vidéo est sponsorisée par le sang NordVPN ! C’est un énorme soutient à cette chaîne si vous vous abonnez : Retrouvez le deal exclusif NordVPN sur mon lien : https://nordvpn.com/amixem Merci à ceux qui prendront le temps 🙏",5
Pas top de mettre des meuf a poile ptdr,2
"Saluuuut, c'est Varobaz !",1
VAROBAZZ ! 17:47,5
La bonne vie Vincent ❤❤❤,5
31:58 c'est khalamite 😭,1
Le drapeau de la Tunisie quand tu dis le serveur turc dans la pub du sponsor au début,1
Mais ça peut pas etre la mère de amixem on l’a vue dans la vidéos de Mcfly et carlito et c’est pas du tout la même personne,2
"bonjour khala, bonjour redah 😱",5
C’est mal si on a reconnu la voix de l’avant dernière manche? 😂,2
Super concepte ! 🤌👍 Merci,5
On veut l’épisode 2,5
C grave si j'ai reconnu la meuf a la fin,2
Un épisode 2 s'il vous plaît 😘,4
A quand l’épisode 2 🙏🏻😂,3
"Le couple dans la boite, j'ai cru apercevoir des cheveux bleus. Serait-ce Khalamite ?😏",3
je revois la video en vrai elle est archi cool et tous mais on a passer la video a voir du flou xDD a par ca vraiment genial,5
les acteur c'etait pas meido moon?,1
Pour quand la partie 2 ?,3
refait des concepts comme ça j'adore ce concept,5
59:59:59,1
Stripteaseuse😢,5
C'est étonnant mais je crois reconnaître les cheveux bleus 😅,3
"Et la suite alors ? on veut le #2,3,4,5,6,7,8 !!!!!!!!!",3
A quand une nouvelle édition de ce format ?,3
"31:36 ""on est des fans"" ils ont dit 😭😭",1
"Le couple, la femme c'est khalamite mdrr",2
Qui a reconnu khalamite la avec la voix,5
Caca,4
Mdr les gens qu’ido d cracra c k l’amitié,5
"Dans le sponsor le drapeau c’était pas la Turquie, c’était la Tunisie, je sais car je suis turc 😅 et je vous souhaite bon visionnage",3
Je viens de capter que la voix de l'actrice c'étais Khalamité 🤐,1
31:30 c'est kalamite,1
"Je viens de découvrir son magasin mais je suis outrée ! Tout est HORS de PRIX ! Un manteau à 900€, des bracelets à 200€ ...... C'est une blague ! Je pensais qu'il se sentait proche de ses abonnés mais là il se fou du monde ! Ça m'écoeure la façon dont il abuse des gens et pas la peine de dire que c'est de la qualité...... Je suis sous le choque où alors c'est une blague ces tarifs mais je n'y crois pas trop ! Je pense que je vais arrêter de le suivre et pourtant je le suis depuis, je suis tombée sur ses vidéos par hasard et j'essayais de rattraper mon retard mais là c'est une claque ! Tant pis pour lui ou eux je préfère passer mon chemin ! Il faut savoir redescendre sur terre au lieu d'en vouloir toujours plus ! 🤐🤐🙈🙈",2
C’était sûrement Khalamite,1
On est plus a l'époque médiévale j'allais expliquer mais au final ca servira a rien je viens de comprendre la tournure de la chaîne mais perso je trouve aussi que les trans sont une anomalie mais de la a les voires partout les pinceaux ils sont deja mélanger avant de lancer la réaction bon je m'entends a peut de com sympa ou ouvert ici alors expliqué moi plutôt comment cacher un contenu,3
Wesh alors XDDDD je me suis étouffé mais alors waaaAAAh,1
9:28 Personne n'a cramé que le rideaux d'amixem n'est pas totalement collé et que Yvan qui est a sa droite peut voir si il y'a quelque chose dans la boîte quand il se retourne ?,1
On peut avoir le lien du couple qui fait l'amour pixelisé ? C'est pour un ami,3
Je pense que à 31:30 c’est kalamith nan,1
"Ça peut être amusant par moment, mais franchement stop avec de la nudité partout.. C'est aberrant",2
J'ai peur d'avoir reconnu ceux qui faisait crac-crac,2
"Le concept aurai pu être bien si tu ne donnais pas la réponse avant . Car tu montre déjà à nous c'est qui qui avait un contenu dans la boîte avant vous donc on ne peut pas vraiment participer. Se n'est pas aussi amusant que dans les vidéo de Squeezie par exemple lui si il fait un concept comme sa, il ne nous dira pas c'est qui à le contenu car sinon. C'est un peu plate pour nous. Je sais pas si c'est clair se que j'essai de dire mais bon",3
Je t'ai même pas reconnu avec ta barbe,2
Tom et Guerric ont 24.1k désormais.,5
Ah mais ces kalamité l'actrice a la fin 😂,3
On est d'accord le couple qui fake l'amour cetais kalamite,3
Wsh y a kalamiter,5
Est ce qu'on peux avoir le 06 du joli mec ? ^^,3
"je retombe sur la vidéo, je la revois, et le couple qui fait crac crac, je vient de tilté que c'est Khalamite mdr (oui je connais, je n'en dirais pas plus mdr)",1
29:48 Khalamite ?,1
c'est tres drole de voir le nombre de gens qui connaissent @khalamite,4
et dommage qu'elle soit pas mentionnée en description 😒,3
Shoulderboy,4
trop marrant !!!,1
Le quebec en force avec gurky,5
On la tous reconnu,5
Partie 2 ❤❤❤❤❤,5
29:47 les gars je crois que je sais qui c'est 😅😂,1
Un épisode 2 ❤❤,4
On est tous d'accord qu'on a vu que le drapeau turque était pas le bon et que c'était celui de la Tunisie,2
Vincent coche 😮 j’écoutais ses vidéos à l’époque ! Super de le revoir,5
TURQUE IL A MIS LE DRAPEAU TUNISIE,1
a 31.40 c khalamite pour le connaisseur,4
J'adore l'idée mais trop basé sur le c*l.... 😂,3
J'ai adoré cette vidéo vraiment sympa 😁,5
JE VOUS ADORE 😘,5
ON VEUT UN EPISODE DEUX !!!! SVP,2
Ce moment où tu reconnais qui est dans la boîte à 31:30… je crois je vais aller réfléchir à ma vie,5
Excellent !!! J'ai adoré !! Vraiment !!! Mille merci 😊,5
« Celui qui a fermé sur ma mère il est viré » Ptdrrrr ça fait 10 minutes je rigole,1
