Comment,Number
Vidéo sponsorisée par Nord VPN ! Profitez d'une offre exceptionnelle sur les abonnements de 2 ans à NordVPN et obtenez 4 mois gratuits! https://nordvpn.com/joueur,5
"ps : sachez que cette vidéo n'est absolument pas une sponso coca haha, (si ca avais été j'aurais assumé sans probleme) c'est juste l'endroit ou on a tourné avais des logos coca partout",1
Vidéo géniale,5
Comment ça la 360 est rétro? Mon cœur est fermé à cette info.,3
Extraordinaire,5
20:00 HAHAHAHAHAHA🤣🤣🤣🤣🤣,1
10:00 ah mais je reconais ça c'est pau,3
2:48 attend… c’est vous monsieur pichon ?,1
"C'est marrant Fred, on lit le dépit dans tes yeux.",5
Bel hommage à Shaun of the Dead dans le dinner,4
Je ne sais pas pourquoi j'avais oublié cet épisode mais quel plaisir! La fiction est à mourir de rire et pleine de réf! Toujours les meilleurs de YouTube!,5
"Donc la mecanicienne veut qu'on l'aide à trouver sa bague de fiançailles,  puis on la mougou... attends quoi",2
"18:20 « Et (là)hop, Tu l’encules! »😂😂",1
Je me demande si vous avez expliqué le contexte de la vanne à la vieille dame qui voulait récupérer son chat?,2
3:40 Un peu dérangée par le fait que le serveur serve deux verres de Coca à Fred et Seb alors qu'ils n'ont rien commandé du tout...,3
"Je croyais au début que la pancarte ""à cinq minutes d'ici"" a été rajoutée en post production pour la blague... mais en fait, le restaurant s'appelle vraiment ""à cinq minutes d'ici""! Même la réalité peut être drôle!",2
Jdg4ever,5
"""Paris intra-mouros"" dans ma tête c'était ""l'apocalypse hidalgo""😂",2
svp c'est quoi la musique a 27.08 ?,1
A 20francs ca passe😅,5
Cest le meilleur jeu du monde au fait 😂😂😂,5
Attends attends..20 ans ?!?!? Elle a 20 ans la Xbox 360 ?!?!?,1
2:48 mais c'est mr Pichon de retro découverte,3
Top de chez top,5
C’est des pelleteuse sur la route pas tractopelle,1
"3:45 ah ouais, la tuque Wankil qui passe pas inaperçu du tout 😂",1
vous pourriez faire un film easy je pense,3
"L'une des meilleurs intro jdg ever, pas la pub hin.. Vous jouez tout les deux tellement bien dedans wtf",5
"Criff mon homme, on n'a même pas le temps de rire AU jeu, il y a tellement de séquences et de blagues qu'on n'a pas le temps pour faire ça.  Surtout que les blagues font pas mal de flats.",1
20 ans la xbox 360 ? mon coup de vieux ne vous remercie pas !,3
"MDR pour les bigoudens, vous avez pété un sacré boulon... XD",5
Top,5
La fondue 😂,5
Mdrr j'adore comment le placement se fout limite de la gueule de nord vpn 😂,3
Houx Ail... Vous êtes des génies,5
Ça fait quasiment six mois que je suis bloqué sur cette page à chercher comment on met plusieurs pouces en l'air... Quelqu'un peut-il m'aider?,1
eh mais c'est monsieur pichon !!!! il a combien de metier ?,3
28:11 ET 👌🏽,3
“Une serveuse noire” mais… pourquoi il précise? Mdrrr,3
15:22 ça fait très Stagiaire de Merde ça XD,1
Merci beaucoup pour cette visite de la boutique.,5
"one day, i will know what everyone's saying and i'm gonna be so happy",5
"Putain mais le jumpscare Renaud et son ""connard"" je me fais avoir et me marre à chaque fois",3
Le bonnet @wankil qui passe inaperçu,1
8:02,1
Raille de tout elle?,1
Ce jeu c’est un peu comme the Witcher 3 niveau fille 😅,3
Exceeeeelent :D :D :D,3
"50e visionnage, beh... ce jdg est l'un de mes préférés, j'viens même de le montrer à ma Mémé... tout y est ! CeUpeNdANT !... 1.9M vues...",5
"VOUS ÊTES OÙ LES GENS (vieille ref, ouais, je sais, va te faire embeurrer) !!!!!!!!",1
29:24 !!!CE PUTAIN DE BUS!!!,1
26:52,3
Moore Anthony Perez Michael Davis Timothy,3
ola do brasil,1
"Ce type est un parasite menteur, raciste, et mysogine",1
Le cameo de Monsieur Pichon,4
excellent épisode.  vous vous surpassez à chaque fois et je ris toujours autant😅,5
video incroyable ! un bon court metrage en fait !,5
"16:34 Pourquoi preciser ""une serveuse noire""? Comme beaucoup d'éléments reprochés ce jeu, ce détail n'apporte rien.",1
"Le fait de préciser qu'une serveuse est noire sans raison valable est non seulement inutile mais aussi problématique. Cela contribue à une représentation stéréotypée et renforce les préjugés. Si on ne précise pas la race des autres personnages, pourquoi le faire pour elle ?",1
vu la qualité vous avez été tourner a Hollywood ?,2
Road Rash sur PS1 c'était mieux.,3
29:47,1
"Bon apres chacun son avis hein, mais le mien est mieux ! 🤣🤣🤣🤣",3
Imagine être dans une époque où l'hétérosexualité est vue comme un comportement compensatoire d'une homosexualité latente,2
la masterclass,5
Rodriguez William Jones Sandra Walker Eric,4
15:18,3
Rodriguez Mary Jackson Kimberly Wilson Charles,3
Wow cette ref musicale obscure mais je l'ai 4:28,4
Vraiment hilarant je me le rematte souvent,5
Moore Donald Young Brenda Lewis Susan,4
"Dommage, j'ai deviné tout les gags avant toutes les chutes pendant l'intro. Mais j'ai quand même ri! x)",2
Moi qui a du mal avec les jdg recent et bah punaise ... Celui ci était génial !!!!,5
une masterclass😮,5
17:00 POV : Quand tu réponds aux msg dans Cyberpunk 2077 (Certains auront la ref),1
Garcia Susan Lewis Joseph Jones Joseph,3
"Rah j'avoue le café routier à 5 minutes d'ici qui s'appelle LITTÉRALEMENT ""Café routier à 5 minutes d'ici"" c'est absolument hilarant, et j'en suis qu'à 3 minutes de vidéo !",5
"Je me souviens d'une époque où JDG disait ""Nous ne ferons pas les consoles recentes comme la Xbox360 ou la ps2/ps3"" et que maintenant la Xbox360 est devenue une console ""retro"" ahah.. La veillesse 🥲",3
Rivals sons en musique de fond. Excellent choix,4
Le meilleur de youtube de loin,5
Les blagues de l'intro je suis au sol,3
"Dés fois je regarde les vidéos par nostalgie et ça me rappelle que JDG vient quand même d'une époque où dans le monde entier, t'avais le nostalgia critic, le AVGN et d'autres plathora de mecs qui se plaignent de média qui aujourd'hui sur youtube, ont quasiment tous disparu ou ont été remplacé par une machine à contenu dans lequel il participe à peine ... et y'a jdg, qui fait encore exactement le même contenu, avec un meilleur budget.",2
Toujours aussi marrant et sympa ! Merci !!,5
Pour ceux qu'on a référence de Édouard Marcel le dépanneur celui qui joue monsieur Pichon,3
incroyable,5
la réalisation de fou,4
Se jeux de détraqué jpp 😂😂,3
[19:24],3
On dirait jar jar binks ^^,1
"Y'a une maitrisr technique, c'est vraiment dingue!!",5
"Et les vannes de l' épisode, j'ai pleuré de rire tout le long.",5
Vraiment une super production ! Merci les gars.,5
"MEILLEUR SCENARIO DE JEU EVER ! J'EXIGE UNE ADAPTATION FILMIQUE ! Bordel, j'ai mal à force de rire XD",5
20:10 Je vous présente John-Mary Bygard la version états-unienne(et flic) de Jean-Marie Bigard,1
En tout cas c'est décidé j'arrête définitivement de regarder les vidéos du Joueur du Grenier !,1
digne du prime !!!,5
Je soupçonne Karim d’etre a l’origine de la blague : pourquoi / « Houx Ail » 😂,1
Leopold Vista,5
11:38 c'est quoi le nom du thème ?,3
"Ah oui au fait, je sais pas comment vous auriez pu la caser mais vous êtes passé à côté de la possibilité de faire la blague ""le beurre et l'argent d'Uber""",3
En visite au mont Saint Michel je suis tombé sur le restaurant où a été tourné cet épisode... on a failli faire demi-tour en se disant que ça valait presque autant que visiter le Mont🤔,3
"COMMENT VOUS FAITES PLAISIR!!! Désolé pour le Caps lock mais celui-ci d'épisodes m'a vraiment plu XD réalisation , temps , effets , la ptite fille du début ,... tant de belles chose !",5
Les gars c'est moi ou celui-ci il sonne plus juste ...,2
Une seule frustration :,4
POURQUOI il explose pas le scooter  29:09 !!!???,1
29:29 Monsieur Pichon,1
"""Et là... il l'enc***"" 🤣",1
Les effets spéciaux était incroyable.,5
14:15,1
Et c'est de là que viens mon pseudo. ( Que j'ai depuis genre 15 ans ... ),5
Vieillir avec cette chaîne c'est vraiment génial. Continuez les gars. ^^,5
« La Xbox 360 est une console rétro »💀💀💀,5
J'ai commencé a regarder vos vidéos récemment et vous me faites rigolé 😂😂 tout le temps surtout le publicité,5
Continuer ainsi ne changer rien ❤❤,5
Ça te vas trop bien les cheveux longs Fred,3
Fondu au noir jpp,1
"J'pense que c'est juste un jeu pour attardés type ""moto/Bagnole, sex, bagarre, muscle""",3
"La petite incrustation wankil au début, on dira rien mdrrr",2
Salut ! Quelqu'un connais le nom de la musique  à 13:44 SVP ?,5
J'ai beau chercher je trouve pas,2
Ce restaurant je passe devant à chaque fois que je vais en Bretagne en prenant la N12 😂,5
"La musique d'ET avec juste trois notes inversées, c'est si perturbant. Mais sinon super épisode, vous êtes toujours aussi bons !",2
