Comment,Number
Bien drôle,4
Ou peut-on trouver la chanson de fin?,3
La Chine qui dirigera le monde dans un futur proche,5
Les montages inattendus 😂😂😂 JPP,1
Entre l'apparition de Kaaris et des faux Lopez je suis ko 😂,3
"En fait, les producteurs de ce truc ont juste enlevé la magie et la bonne musique. Y a plus de fun, que du drame. Le père de Jerika meurt, sa tante est méchante. Le film est long et ennuyant 😐Si c'est un hommage au dessin animé, tout est raté! Les fans méritent mieux!",5
"Hola qui voilà, inspecteur gadget 😂 j ai pas capté tout de suite. J ai le generique en tête mnt merci...",1
"Le mec vient aussi de pondre Wicked… comme quoi, faut jamais abandonner! 😅",5
24:37 Oh mon dieu qu’est-ce que j’ai rigolé foooort ! Kim.. 😂😂,5
Le gros caca mais pas assez gros pour tomber avec la simple gravité alors tu te mets à sautilller sur la cuvette pour essayer de le faire tomber!,3
looool  la fin !  <3 :)),5
Intro de qualité,5
Masterclass,5
"On en parle du fait que la journaliste à la toute fin, qui demande le nom du groupe, c'est une sosie vieille et blonde de Laura Felpin ?!?",2
J'avoue que je m'y attendait pas aux 243 M vues pour une vidéo de bruit blanc ça ma fait crevé de rire😂😂.,2
Excellent 🤣,5
« Comme on dit en coréen...Xiaomi » je n'en peux plus 😂,5
« Mécréante! Chantez pour Zort car c’est notre seigneur »😭😂,5
putain comment t'as pu t'infliger un navet pareil,1
Comme ont dit en coréen Xiaomi 😂,5
Meilleur vanne,5
"Mais ducoup, c'est quoi la traduction de ce qu'il a dit en coréen ? (si il y en a une)",3
J'adore le mot de passe du coffre en lettres avec caractère spécial sur un pavé numérique façon anciens téléphones ^^ Et en même temps tellement cohérent avec la série qui fessait pareil avec un clavier de piano. :),5
"Moi ce qui me gène le plus dans le film Jem et les Hollogrammes, c'est que l'héroine parle de son père, mais jamais de sa mère. C'est vrai quoi, qu'et ce qu'elles ont fait, les mères, à part nous donner la vie? C'est forcément la mère qui a filmé les images de l'enfance de Jem, et à  aucun moment elle n'est mentionnée. Aberrant.",5
"Aussi incroyable que cela puisse paraitre, toutes les vidéos évoquées dans cet épisode (comme le mec qui pète sur des chiens et la vidéo du fond rouge) existent vraiment. Décidément, y a vraiment de tout sur Youtube.",5
"Après l'hologramme du testament du père de Jem, tu réécoute la lettre de Mary pour James de Silent Hill 2, et tu regardes a nouveau Clannad After Story (parce que tu aimes souffrir) juste pour la comparaison...",4
"11:40 JPP il m à dead ,Masterclass",1
"L'actrice qui joue Aja est une chanteuse plutôt connue dans la communauté LGBT qui en a bavé pour reussir, et celle qui joue Kim est une des filles qui a joué dans ces clips. Ça fait mal de voir ça. Les réalisateurs n'ont respecté personne, que se soit l'histoire du dessin animé ou même les personnes qui jouent dans ce film. (Oui je ne suis pas très objectif, mais mon ego en a pris un coup)",3
La vérité je regarderai un épisode de Seb qui joue à minecraft. Je pense que ce serait ultra relaxant,5
Perusse 🥰🥰🥰,3
jtrouve l'animé plus logique que le film,5
Force & honneur d'avoir regardé ce film pour nous hein .. la purge que ça a du être 🤯,5
"j'ai beaucoup apprécié l'anime mais la niveau chant, c'est pas un357 magnum que j'utilise c'est une bombe à neutron,désolé pour ceux qui sont fan, merci fred et Seb,y avais longtemps que je vous avais pas vu",2
Le kaaris a la fin ma achevé 😂😂😂😂,4
"J’ai tellement rigolé, un des meilleurs jdg depuis des années",5
20:27 et comme par hazrad Captain America arrive… non c’est pas la bonne video.,1
je suis désolé mais le film a l'air tellement pourri que j'ai dû mettre en pause un nombre incalculable de fois ce jdg pour reprendre mon souffle tellement le cringe des passages diffusés du film était grand,2
Programmer le tout de suite 😂,5
21:19 gt mort de rire pendant tt le truc mais celle la ououuaaaaa mon ventre smr,1
C'est la deuxième fois que je regarde l'épisode et j'ai bien plus ri/apprécier la vidéo avec ce second visionnage 👌,5
"Je ne peux pas m'empêcher de penser que Fred et Seb on contacter Kaaris pour demander l'autorisation des ses passages dans la vidéo, et je trouve ça génial !",5
JDG Feat Kaaris 😂,5
J'avais oublié l'intro avec Caroline et le cadavre de Triceratops 😂,3
"Perso, je suis déçu qu'il n'y ait pas de suite au film ! J'aurai adoré voir la scène en live des Misfits qui balancent une fille dans un volcan ou posent une bombe dans un orphelinat  !!😁😁😁😁",2
Les moments avec kaaris c'est pour me tuer 😂,5
"prod impeccable, mais mon kiff c'est les contrechant/blague de Seb. C'est tellement bien timé à chaque fois. GG",3
"Slt, je te met un pouce haut pour la vidéo, mais faudra apprendre à mettre tes doigts sur le manche de ta belle guitare 😂❤",3
"Moi, ce qui me fait rire, c'est que personne dans le film parle normalement. C'est clairement des voix de doublage.",3
"À une époque mon repère pour savoir si on est sur une vidéo qui date c'était de regarder la corpulence de jdg, le problème c'est que sur une vidéo de y a 9 ans le changement d'acteur avait déjà été fait donc je fais comment ? C'est toute mon échelle temporelle et ma conception de ancien qui est bouleversée",2
Moi qui adorait la série animée… je meurs lol au secours…,5
"Eh ben, je ne connaissais pas cette merde (je parle du film) avant que tu n'en parles, et maintenant je regrette de l'avoir connu !!! 👍👍👍😎",1
La voix Off du début sonne vraiment bien. Video au top comme d'habitude 🤟,4
trop bien,5
JDG :,3
"Youtube m'ennuie, les montages accélérés c'est la norme et ça m'ennuie.",2
12:33,3
🙃,5
Septième concert : un hologramme de Mélenchon,5
"C'est clair ce film est pourri, merci de cette alerte🤮",5
Kim Jongun 😭😭,5
C'était tellement bien,5
"Vraiment toujours un régal les vidéos de JDG, merci d'apporter autant de rire c'est si bien réalisé !",5
Vous avez changé de monteur vidéo ? Ces derniers temps j'ai trouvé que le montage est différent et que des scènes pourraient être coupé ou mieux utilisées peut-être ?,1
28:53 j'adore !,5
Pour le ref,3
"3:25 Malheureusement, les dinosaures ne se sont pas transformé en pétrole. Si dessous, une citation de l'IFPEN ( l'Institut français du pétrole et Énergie Nouvelle) : ""Le pétrole résulte de la dégradation thermique de matières organiques contenues dans certaines roches : les roches-mères.",2
"Ce sont des restes fossilisés de végétaux aquatiques ou terrestres, de bactéries et d'animaux microscopiques s’accumulant au fond des océans, des lacs ou dans les deltas. """,4
Jem pas ce film.,1
36 000 vues!!!!!! Mais c’est 33fois moins que cette vidéo du jdg😮,1
JOUEUR DU GAUCHO,5
joue a des jeux de gauchos,4
On n'a pas eu la réponse à l'énigme au final,2
"Moi j'ai bien aimé ce film :,D",4
j'aime bien dans le générique de fin le fait qui ait 36k vues pile.,4
Trop top cette vidéo de qualité ! j'aime.,5
Hilarant tout simplement,5
Des nouvelles d'Uzul pustules? Le gaucho pas beau? El Diablo des ophtalmo?,2
Je suis le seul à rêver d'un Cosplay de JDG en mamy de la pub Ibazar?,1
Hhahahaha l'écureuil !! 😂,5
Le montage est vraiment incroyable,5
Tu feras moins le malin quand ton enfant se fera peter le cul par un pedo sataniste dont tu t'astreint a streamer avec leur sombre sbire woke,1
mécréantes! chantez pour zörth!car c'est notre seigneur!,5
houuuuuuuuu houuuuu hOuUuUuU,3
"Le hasard fait que je regarde cette vidéo au moment où elle fait 1,3 millions de vues, soit le même nombre que celle du mec qui pète sur un chien.",3
"Tout le monde s’en fout, mais moi ça me fait rire!",5
Le passage avec kaaris il m'a tué XD,3
Le passage de Kaaris… j’ai pleuré 👏👏👏😂😂😂,5
C'était incroyable. Je me suis marrer a en chialer surtout au moment ou il parle a Kim en hologramme.,5
Je valide la reprise de François Perusse !,5
25:22 mon pti Bouboune 🤣 C'est là que j'ai craqué perso j'en peux plus,1
Tu pourrais faire un hors sujet sur les dessins animés ou le héros t'énerve.,2
"En tout cas merci pour l'info sur l'Albanie, fini les pubs yt.",5
Jdg... tu tapelle Frédéric molas 🧐 moi je savais que on tepelle Fred sur les live twitch mais je savais pas et tu as 41ans et tu est youtubeur... et le meilleur c'est que a 41ans tu est plus vieux que ma mère mais tu est beaucoup plus drôle (j'ai 15ans) j'adore t'es vidéo je te suis depuis mes 11ans ❤ bref  je te kiff allor continue t'es vidéo stp 🎉,5
"JDG est vraiment la seule chaine sur lequel les placements de produits sont fun et ne donne pas envie de skip, j'en veux presque encore plus 😭😂",2
Tout l'episode est hilarant bravo vraiment,5
Sale raciste,1
Il a fallut qu'ils en fasse un film bordel,3
"Salut, merci à vous de nous faire toujours autant rire après toutes ces années. Une de mes chaînes favorite, même si j'admet volontiers être plus proche des jeux anciens comme les premiers : Fallout, Baldur's Gate, PST Torment, HoMM, Thief TDP, ETC... Merci à vous 😀👍",5
"Meri pour votre sacrifice, je pense que je n'aurai pas pu. :(",5
"Vraiment sympa l'intro :O Vraiment bien fait, presque un peu flippant.",4
J'ai pas reçu mon sniper tchetchen,1
"1,3 millions de vue au moment où je regarde la video, soit autant de vue que la video du mec qui pet sur des chiens.",1
"Excellent, comme à l'accoutumé.",5
"J'adore tellement cette intro, le big bang, le plastique tout ça tout ça.",5
outch,1
Le peuple réclame un nouvel épisode de papy grenier,5
"Donc tu aimes la vidéo du mec qui pète sur des chiens, tu aimes la vidéo du bruit blanc mais tu n'aimes pas l'écran rouge ?? Je suis déçu je trouve que c'est une excellente vidéo",3
j'etait en train de manger en regardant la video et je n'ai jamais eu,1
autant envie de me planter une fourchette dans les yeux.,5
J'ai une question depuis le début le groupe n'as pas de nom?,2
"""que le Ku-Klux Klan appelait l'or blanc""",1
Les crédits avec Fred qui ne jouait pas vraiment m'a frustré xD,2
"Je dois avoir regarder cette vidéo 10 fois , ça me fait toujours marrer xD",1
Je sais pas de quoi ça parle mais j'ai bien rigolé merci beaucoup 😞,3
Cette vidéo à autant de vue que la vidéo du mec qui pète sur des chiens Waaaaw,5
Mon dieu le fou rire. Sa manque des vidéos comme ca JDG. Master class 🎉,1
"Alors, vous avez l'air jaloux parce que malgré les presque 4 millions d'abonnés, vous n'avez pas été invités pour chanter devant tout le monde, et ensuite, le film parle de stars oubliées 3 minutes après avoir eu leur heure de gloire, c'est réaliste comme truc de merde.",1
A 9:13 c'est littéralement le bruit de mes volets. Je dépose un droit de copyright xD,1
"Salut Fréd et ton équipe, ajd8 23 octobre 2024 sur m6 13h45 un documentaire sur la k- pop tout sur la Corée  va voir JDG mdr",5
