Comment,Number
Bénéficiez de 4 mois offerts sur tout abonnement de 2 ans à NordVPN en passant par mon lien : https://nordvpn.com/pierrecroce,1
"ATTENTIOOOOOOOOON C PAS ""ELECTROCUTION"" CAR CA C QUAND LA PERSONNE EST M0RTE, SI UN COURANT ELECTRIQUE NOUS TRAVERSE SANS NOUS TU4R ON DIT ""ELECTRISATION"" voila vous vous coucherez moins bete",2
"Alors je serais peut-être la seule à être ""choquée"" mais tant pis lol : Fred qui garde les épingles sur les oreilles toute la vidéo ça m'impressionne ça fait tellement mal !! 🤯",2
Vous êtes loin des jackass… pour moi c’est nul.,1
Je vous laisse aller chercher Proctalgie Fugace pendant les règles messieurs 😊 Vous n'êtes pas prêts 😂,1
Depuis quand vous êtes autant bien veillant les an vers les autre 😂😂😂,5
non mais les ortilles💀💀💀 j'aurai pas continuer la vidéo,1
Gaspillage à répétition vidéo nulle bonne soirée,1
On dirait un mec bourré qui a pas l'habitué d'être bourrée 😂😂,1
3euros par mois mais il faut s'abonner genre pour 3 ans minimum haha,3
le max a la fin qui dance🤣🤣🤣🤣,4
Vous devriez faire vidéos ou chacun doit avoir le testeur des menstruations,5
Et durer le plus longtemps à le garder et faire les différentes level de puissance ce serait marrant 😂😂😂,5
Max est une vraie chocotte sérieux. Nous on supporte l'épilation et les règles en permanence.... 😑,5
La pub surfshark pendant une video sponso par nordvpn. Merci youtube… 🫠,5
Des gamins mdrrr,3
omg trop bien que maison grise soit autant ouvert sur les menstruations!!!,5
Pierre je t’adore toi et ton équipe mais les concept la c’est vraiment vraiment moins bien qu’avant..,3
Mais Ben il est giga musclé 😮😮😮,3
A ne pas reproduire chez vous. Ceci a été réalisé par des ...,1
Non.,1
On veux un episode ou ya une gazeuz et un tazer 🤣,3
"la fin mais pardon, si vraiment on pouvais fuir les règles comme vous se serait génial mdr",3
Est-ce que je suis venu juste pour voir si vous testez les douleurs de règles ? Oui absolument.,3
J'aimerais essayer ce simulateur pour voir si la douleur se rapproche de la vraie.,3
Par contre maintenant on veut voir ces 3 chers monsieurs essayer ce simulateur!,3
xDDDDDDDDDDDDDDDDDDDDDDDD,1
Bientôt la douleur de l'accouchement ? 🤔,2
"Pour les règles, y a pas de règles. Certaines femmes ont des douleurs, d'autres non. Et à chaque mois ses surprises. Défois j'ai mal, d'autres fois non; défois elles durent 3 jours, défois 8 jours; la texture du sang change plusieurs fois au cours d'une seule période (au début c'est texture blanc d'oeuf pas cuit très très danse, difficile à ""discipliner"",  aux différentes variations de rouges, 1 jours après c'est du sang très sombre épais mais fluide, l'autre d'après c'est rouge plutôt clair et moins épais mais plus en quantité... Et ça je considère que c'est que pour moi! Les autres femmes seront différentes. Et aussi, c'est pas parce que les règles sont abondantes qu'on a des douleurs et inversement, 'fin vraiment y a pas de règles. C'est chacune les nôtres.",3
Heureusement qu'on a connu les Jackass avant de voir ça....,3
on teste 21 douleurs..... 14:47 .. on non là tu vas faire mal...,1
Y’a pas de douleur de manière générale,3
Il y a que Ben qui joue le jeux... il ferme la bouche... pas les autre... punition pour les tricheur !!!!!!!!!!!,1
La bienveillance de Ben ❤,5
Mais où est la douleur ??? 😮,3
"Au debut j'ai cru à une vidéo ratée, mais finalement j'ai tellement rigolé que je valide totalement ! Bravo",5
Pourquoi pas un volume 2 avec d'autres douleurs,2
"Comme prochaine video, ca serait bien qu'il n y ait que des objets a lancer (oeuf de cent ans, chaise pliable etc) que le gage arrive plus rapidement et qu' il y ait une plus grosse surprise",3
joue pas vraiment le jeu ! il a la bouche ouverte fred mdrr😅,2
10:00 L'épilateur sur le mollettttttt !!!!! OMG !!!! 😱😱 Et ils en rajoutent en plus 🤣🤣,1
Non là c’est mauvais y’a pas de douleur,1
Le concept et super mes jsp comment pas dire vous le faite pas sérieusement c’est fait n’importe comment surtout que vous avais  les moyens des douleur bon un peux réfléchît sûrement en vas vite ne faite pas des concept que aux titre on se dit yes une bonne vidéo mes qui fait comme de la merde vraiment dommage,2
C'est pas ouf dommage,2
excellente cette vidéo pierre,5
En vrais bof c’est très soft,2
On en parle que fred à garder ses pinces à linge toute la vidéo ☠️,5
Vous appelez sa des douleurs mdr 😂😂 grande dinde,1
« Les douleurs les plus mimis (Ouille Ouille) 😂,5
Ça me rappelle un anime nn,5
Le rire de Pierre est tellement communicatif,5
Je m'arrete a mi vidéo pour faire ce commentaire,1
"Le concept est sympa, mais vraiment les régles mauvaises. Il aurait été plus rigolo de faire en sorte que celui qui tire la fléche soit la personne qui inflige la ""douleur"". Au final la, le jeu est surtout un jeu de hasard plutot qu'un jeu de fléchette a gage.",2
C’est quoi ça ? Je m’attendais à une fléchette dans le dos ce genre de douleur… pas une pizza dans la gueule ou un œuf sur le front 😅,3
"Malheureusement les règles c’est comme ça voir pire , pour ma part c’est tous les mois pendant une semaine des douleurs comme celles ci, alors oui on gigote pas dans tous les sens, mais je vous jure qu’on aimerais bien … parce que pour certaines même avec les médocs on a des douleurs comme ça …",2
🔥🔥,5
Pas de risque pas de fun. Ça fait mal le Flamby ?,3
ses quoi ses douleur 😂 fallait faire se repasser le t-shirt sur sois même,3
"10:53 fred il fait que tricher , il a garder la bouche ouverte…",1
7:53 fred il a sifflé 😂 personne à remarqué?,1
ben refait des vidéos sa me manque,2
Fred ce gros tricheur il ferme jamais la bouche 😂,1
Max qui a pas compris que c'était une raquette électrique 😂,1
"Yo Pierre, j’espère que ça va. Est-ce que tu pourrais refaire avec Benjamin dormir dans une maison hantée",5
Les gars de Jackass vont se chier dessus,2
Il faut trop essayer le simulateur de règles en mode garçons vs filles de la maison 😂😂🎉❤,3
Non mais brn arrête de sur jouer c'est aberrant 😅,1
Laa  scene du téton de pierre est master class🤣🤣🤣🤣🤣🤣,5
"La pente, elle est salasse (oui) la putain de ta mère, tu vas khalass (oui)",1
"Y a pas que les condés qu'on caillasse, et crois-moi",5
Y a pas qu'à Marseille qu'y a des Kalash,1
"Grand garçon, tu nous parles pas d'âge",5
Ça tire de toutes parts comme Call Of,5
"Collatéraux s'ront les dommages, on vesqui la taule à ramener les dollars",2
J'ai dégainé l'shorts et les claquettes,2
"2 Vovo raclis, j'arrive comme Clark Kent",2
"Bébé, ce soir, j'ai claqué avec du papier, j'ai n'importe laquelle",1
BM (?) jaloux sont verts comme Heineken,3
"Haiti Gang, j'suis le captain, toi tu mets des caleçons sales demande à Wejdene",1
"On a des bécarres en I, midi-midi, lundi-lundi",5
Ça charbonne pour faire des llets-bi,4
"Des coups de classiques, des gros hits, t'as peur",5
"Dos, toujours authentiques, moteurs (allemand) bonda (manmanw) koké (manmanw)",5
"Si t'es pas content, produits salade, moi, j'me balade sur l'instru'",2
Comme dans la chatte de Sarah,5
"Pour répondre à ""je ne pense pas que ce soit ça les régles"" Personnellement atteinte d'endométriose profonde, quand j'ai mes régles, je ne peux pas me lever du lit, je hurle de douleurs, jusqu'à. ce que la morphine soit dans mon sang et je m'évanouie souvent tellement la douleurs est insupportable...",2
Encore une fois l’idée est la mais vous ne le faite pas jusqu’au bout. Vous avez toute une prod pour vous entourer mais non vous n’y arrivez pas. Vous avez les moyens de faire mieux. On dirait des YouTubers novices.. on dirait que vous avez trouvé l’idée 10 minutes avant c’est fou,2
C'est Cyrille Hanouna qui a produit la vidéo?,1
Déçu,1
Fred? Les règles c'est 40 jours? 😂😂😂...elle vient de quelle planète ta meuf...,3
Excellent 😂! Ça m’a fait un bien fou de rire autant! 😝,5
C’est death parade,5
"Imaginez un mec avec des règles douloureuses comme les ont certaines nanas ou entrain de crier : ""Non ! Je veux pas accoucher !"" alors qu'il vient même pas de supporter la 1ère contraction !Plus on avance dans le temps, plus les mecs sont douillets ! Pour montrer les biscotos, là, y'a du monde mais pour montrer sa résistance à la douleur, y'a plus personne... 😂😅😂",1
A quand une vidéo sur le Tortilla Challenge ? :D,3
La vidéo était trop bien j’ai adoré,5
Bon bin 3:05 max a été viré 😂😂😂😂,3
Incroyable vidéo 🤣🤣🤣,5
Petit Max,3
Si les menstruations c'était ça... Ca ce saurait !,3
"Les filles qui dansent la gigolette une fois par Lune, ça passerait pas inaperçu !",5
19:05  Mais vous utilisé un extincteur à POUDRE ! 🤯 C'est pire qu'un à CO2 à distance égale !,3
"Respirer de la poudre ! 🤷‍♂ Asthme et pire...  Le CO2 à 1 ou 2m minimum d'un être vivant, plus près il y a risque de brulure par le froid !",5
15:04 purée j ai repasser au moinsb15 fois jpp 😂😂😂😂😂,1
Nan mais le passage de la bouée gonflable le pauvre mdrrrr,2
Dommage on a pas vu de douleur 🤷,3
On veut tous voir les 3 autres tester la douleur des règles !! 😂,5
"Je dois avouer que la dernière partie, je ne m'y attendais pas😂😂🤣",3
max qui se déhanche à la fin mon dieu crampes de règle de rire,1
« On dirait un mec bourré mais qui a pas l’habitude d’être bourré » 0 vanne je pleure,1
Max est un sadique 🤣,1
"La séquence a 13min est fabuleuse, merci Pierre je chiale",5
Alors j adore vos vidéos mais la on vois que vous n avez plus vraiment de video à sortir ...😅,3
"2 minutes de placement de produit, pouce rouge.",1
"Prenez exemple à Amixem qui est TOUJOURS a 1 minute malgré l'argent conséquent investit dans ses vidéos, contrairement à ici....",2
Je dois être sadique parce que j’ai jamais autant ri qu’en les voyant hurler de douleur 😂😂😂😂 en même temps l’ambiance bdsm,1
"Ça m’a beaucoup amusé à la fin Max qui dit que ça peut pas être ça les règles. Sachant que plusieurs femmes ont déjà testé et ont confirmé que c’était assez réaliste comme instrument. C’est vrai que c’est pas censé être posé comme ça, c’est peut-être pour ça que la jambe prenait beaucoup également. Mais le principe des règles, c’est justement des muscles qui se contracte, sans que tu puisses décider.",3
Il aurait fallu mettre les patchs sur le ventre. La vidéo était tellement marrante😂😂,3
Ça serait cool que ben arrête de parler de son cul c'est un peu gênant à la fin de l'associer à ça 😅,3
"la balle de pétanque qui tombe a coté du pied...C'est rageant.... belle performance d'acting pierre Crotte..tu as réussi à décevoir et devenir en même temps la risée de toute la communauté des sadiques anonyme, malheur à toi Pierre CROTTE ! Un fiasco qui ne méritent finalement pas l'Oscar du meilleur simulateur ... La vidéo est cool sinon",1
ont n’en parle qu’il ne se font même plus chier a mettre la chaîne de ben description 😂😂😂,1
Les électrodes mais ko🤣. Vous auriez tous du y passer juste pour le fun 😳🤣,3
"ah ouais ils ont mal finit après toutes ces années de vidéos, le néant",2
Des « douleurs » par moment plus qu’inutiles; jouer avec de la nourriture est un concept pas fou pour le coup; on s’attend à mieux avec le titre de la vidéo. Dommage.,2
J’ai eu un fou rire sur le dernier 🤣,1
J'ai pleuré de rire à la fin🤣 !,5
Salut les gars Fred à triche qu'en il y a eu les épinglez à linge j'ai entendu un coup de siffle écouter bien on l'anten,1
mais la boule de pétanque elle n'a pas touché Pierre nan ? mdrr,2
"""j'pense pas que les règles ce soit ça"", ""j'ai vu aucune femme se tordre comme ça""",1
"Ah ben non, on agit pas publiquement comme ça parce que la douleur survient à tout moment et que malheureusement on ne peut pas suspendre toutes nos activites malgré cette pénibilité et on essaie de garder une dignité, malgré tout",1
"Mais combien de 1ers jours je me demande si je vais etre capable d'assumer la journée de facon ""classique"". Et pourtant je ne suis pas, moi, atteinte d'endométriose, alors imaginez celles qui le subissent...",3
La phase du crabe je suis MDR !,5
"😸🤍 sinon, les  J Truk, c finis!!!!😹",1
"On s'attend à un énorme concept... au final,  c'est des fake douleur avec des jouets...",2
"Ils ont toujours pas interdit cette arnaque : ""élu meilleur produit de l'année par les consommateurs"". Bah oui, c'est pas difficile, on se met à 10 potes et on élit un produit de l'année et hop, on peut dire cette phrase magique, c'est comme il y a 20 ans avec les pubs qui disait ""C'est prouvé !!"" ah, ok ? par qui ? :D",1
Ca ne surprend pas les gens qu'il y ait des dizaines de produit de l'année chaque année ? :o),2
C’est quoi ces titres sérieux…,5
Pauvre max il manque un seul gars sur la minia c'est lui 😂,2
Max Les gens d’adore 🎉,5
"La vidéo aurait du s’appeler « On humilie nos potes, en essayant presque de se faire mal (au moins autant que des enfants) »",2
"Trop delire🎉😂,un plaisir de voir des vidéo fuck off qui sont moins crispè! Que la chaîne continue ma soeur va s.abonner 🎉",5
Je veux tester le truc des règles car pour moi c'est pas si douloureux que ça,3
Excellent ! J'étais pliée de rire tout le long de la vidéo 😂.,5
Bravo à Max d'avoir testé la douleur des règles. Pour la prochaine édition faut que tout le monde test 😂,5
la baffe napolitaine tellement drole mdrrr,1
😅🤣🤣🤣,5
Le  concept de la video est ultra bizarre haha,2
Masterclass la video 😂😂😂,5
Le téton c'est juste sexy en fait,5
Perso j'ai fait arrachement osseux à chaque mains et fractures aux poignets niveaux douleurs   on est pas mal 😂,3
Elle est où la douleur ?,2
Max arrive pas a se mettre debout avec ses électrodes mais c’est exactement ces douleurs là! Quand on va du lit aux toilettes pliées en deux !! Bref on est vraiment des guerrières 💪❤ force à vous toutes les personnes menstruées!!,5
"mais c'est d'une nullité sans nom cette video!!! on teste 21 douleurs ; oh non je me suis pris du flambi sur les cheveux, et les pinces a linge, comme a l'école primaire ca fait trop trop mal!!!",1
Vous avez pas inviter de filles elles vous auraient mis la pâtée! 😂,1
"Actuellement en periode de supplice 😂 merci les gars pour votre soutien indefectible mes FRERES 😂😂😂😂😂 ( et merci le combo antadis, doplirane, spafson, ( parfois anti vomitif et anti diarrhée 😅😊) et surtout du repos car meme avec ce combo explosif ( et éprouvant oour l'estomac) je sens toujours un fond de douleur qui ereinte )",5
"Allez la bise zt courage a toutes celles qui subissent, prenons du temps pour nous, vivons a notre rythme 🙏🏼",5
Dommage que ce ne soit pas de vraies douleurs un peu plus costauds,3
Ya 0 douleur la...🙄🙄,1
C'est Jackass de wish🤣🤣🤣,5
Le duo Max et fred j’adore !!!,5
J’ai pas vraiment adoré au concept pour une fois,2
Mais il en faut pour tout le monde,3
Merci pour la bonne humeur,5
Seul les vrai connaissent Death Parade 😁,4
Vous tapez derrière la nuque normal genre y’en a aucun qui c’est dit tiens c’est dangereux,1
j'ai bien ris !!! Merci beaucoup :D,4
"La derniere sequence, plus gros fou rire de l'annee!!!",5
Fred est trop mignon avec ses épingles à linge. On dirait un axolotl 😂,2
Dommage que tout le monde n’a pas essayé le simulateur de règle,2
😸//on est bon la...,4
Le fou rire à la fin sur la dernière douleur pour Max j'en pleure de rire encore 🤣,3
Je vais etre désobligeant mais : max est assez demeuré paiur avoir taper avec une raquette électrique au lieu d'utiliser la raquette électrique...,3
C'est affligeant.,1
Le titre est fou 😂,1
"Ben a pris des bras je trouve,  sinon super vidéo",3
-Max il a pris tellement cher !! Il s'est fait victime avec le Homard le pauvre ! x),1
-Une pensé pour le martinet et l'arc qui ont dut vraiment faire mal ainsi que le pince téton et toutes les autres douleurs !,2
"-Au final, superbe vidéo, pourquoi pas un épisode 2?",5
Concept pas ouf..,2
faut souffrir pour être beau..il y en  a qui ont pas du souffrir beaucoup 🤣🤣,3
voir des humains souffrir si ça c'est pas une idée de concept de Pierre Croce mdr,2
En vérité c'est vraiment dommage comme la plupart de vos vidéos vous n'allez pas a fond de vos idées il y a rien d'exceptionnel ! C'est mou dommage surtout avec une collaboration commerciale vous pourrez vous lâchez je suis déçu deja la dernière vidéo sur une nuit dans la cabane il y avais rien ! La chaîne deviens vraiment moyenne dommage,2
"Trop cool de cassé le rythme de la vidéo pour faire le placement de produit,au lieu de le faire au début,bref de plus en plus décevant tous ces youtubeurs qui pensent que a l'argent plutôt que au bien des abonnés qui pour rappel permet a ce même youtubeur de vivre et faire des sous.comme quoi ils prennent vraiment tous leurs abonnés pour des idiots et ça dégoûte... vraiment youtube c'est devenu n'importe quoi les mecs gagne plus de sous que un médecins et prennent de plus en plus leurs communautés pour des ignorants...bref vraiment déçu,ça fait le mec sincère et proche en vidéo alors que il vendrai sa mère pour des abonnés ou un placement nord vpn",1
Ça devient un peu putaclick ici,3
😂😂😂,5
Avec les pinces a linge Fred ressemble a un poissons genre Aquaman j'aime bien,4
nul à chier.,1
