Comment,Number
"Retrouvez la grosse réduction Nord VPN ici  : https://nordvpn.com/mcflyetcarlito afin de protéger 6 appareils simultanément avec un seul compte,  et c’est toujours satisfait ou remboursé pendant 30 jours.",5
Bravo aux gagnants !,5
35:34 que fait barnasse ici ?,1
La partie 2 ??,3
big up ouroux sur saone,4
On veut une suiiiiiiiiiiiite 🔪🔪,1
On veux un épisode 2😊🎉🎉,3
"En fait, McFly, il devient Etienne Moustache :O (Ouai je regardes seulement la vidéo xD)",3
Épisode 2 svp,4
les pires expers  XD,1
Mcfly et Carlito le MEILLEUR duo de youtube! continuez comme ça les gars c'est incroyable !!!,5
Le cadeau est dingue les gars j'espère qu'ils vont  réussir leur chaîne ❤🫶🫶,3
Mon père vient de me dire qu'il a repéré un grand chauve et un petit avec des cheveux 😂😂😂😂,5
Le chateau du Rozel est a 5 min de chez moi😂,3
À quand l'épisode 2 ? 😢,3
"Bonjour je regarde la vidéo 1 an après, avez-vous des nouvelles des gagnants ? 😅",1
"Et dire que les ""pire enquêteurs finissent par niquer tout le monde.",1
Super de faire faire des centaines de km en voiture pour rien à pleins de gens...,5
a quand l'episode 2 ?,3
Il faut l'episode 2,3
On s’en souvient tous,5
Vous avez fait un black face,1
Un des meilleurs concepts de youtube,5
Ça en est où de l'épisode 2? Je sais que la DA actuelle est plus calme mais ça pourrait être énorme !,3
A quand la V2 ????,2
"9:05, j’ai adoré la musique de Mario party 🥰",5
Ou es ce que vous avez vu qu’il y allais avoir ce concept ?,1
Cette grosse cassos qui dit Jacques Brel au lieu de Renaud..,1
J ai un peu de retard sur la video mais elle etait dans mes a voir 😊,3
"Cest fou cette vidéo, parce que pour les personnes qui ont un certain recul et/ou un certain age comme moi, ca evoque forcement la 2eme guerre mondiale et les gros delires pour faire passer les juifs ou les resistants.",5
"Des gens ont fait ca, ce genre de swap, de contournements, de leurre, ont eu ce stress de se voir suivi depuis les berges ou davoir un petit escadron au cul, ou de se mouiller pour aider des fugitifs a sechapper. (Cathie la mega goat, quoi. Quelle fierté purée)",5
Ca me rappelle tellement de truc du morvan et du maquis camille.,5
"Et en meme temps tu te dis : maintenant, c juste pour le gros lol d'echapper a des abonnés pétés de rire.",2
"Et cest fantastique en vrai, de voir le chemin parcouru, et de refaire ca dans ce cadre la.",5
"Cest completement ouf en vrai,. magnifique video 😂😂❤❤❤",1
39:20 il m'a tellement fait rire celui la ❤❤😂😂,1
Rah vous etes tellement beau la commu ❤❤❤,5
On veut la chaîne de Grégoire et Antoine,5
"je suis content que se soit eux qui les ai attraper , ils le méritent",5
Incroyable vidéo une partie 2 ??,5
"En plus 10.000 c'est exactement la somme que le père de McFly leur a donner pour qu'il commence sur youtube, c'est beau",5
35:00 ooohhhhhh  !!! Chalon sur saone ! Ca faiit plaisir de vous voir dans la meilleure ville de france ! 😁,1
Kattie the GOAT,4
Légendaire,5
Men la gaz que sa du coûter 😅,1
"Le Carl il avait l’air pas dans son assiette vous trouvez pas? Et Mcfly aussi en fait.  Je suis content qu’ils aient changé de DA pour un truc qui leur fait plus de bien, qui les rendes plus heureux.",1
On attend toujours l’épisode 2 🙃🙃🙃🙃🙃🙃 !!!!,5
incroyable,5
et dire que les vainqueur cetais les pire enqueteure au debut lol,1
Quand vous êtes dans le chant j ai eu peur eu peur quand le mec il est arriver,1
wsh,4
Les deux pires enquêteurs ont une tête à claque.,1
Un épisode 2 svp !!!,5
Quelle vidéo incroyable et je la découvre qu’en 2024 ??? 🥵 gg au gagnant ! ( ont ils ouvert leur chaîne YouTube ???? ),5
Les mec avec les masque sont grave chaud a chaque fois ils sont a quelques kilomètres,2
33:46 je viens de capter que c'est à cause du siège passager qu'ils ont su que c'était une jeep,3
C'est quand l'épisode 2,2
Comment j’étais passé à côté de ça c’est énorme je veux un 2 !!!!,5
"avoir le point de vue des abonnés, c'est MASTERCLASSE vraiment incroyable.",5
Je regardes la vidéo encore une fois un an après.. on est tous d’accord qu’on attends le fameux épisode deux??🎉,3
"Un an après, Antoine et Grégoire ont arrêté de poster du « contenu » depuis 6 mois. Dommage ils avaient l’air motivé mais j’espère qu’ils ont bien profité",1
J'ai trop le seum de pas vous avoir vu a Metz même si je faisait pas la chasse jvous adorer déjà a cette époque 😭,3
Et wapi t',5
Yavais la piscine ct incrrrr 😊,1
J'habite à seebach  c'est à côté de hagenau 😂,5
C'est marqué sur les siege😊,5
j'habite a chalon sur soane !!!!,5
❤❤,5
"On en parle des yeux de Mcfly ? franchement, je les trouves trop beau dans les premiers plans en face dans la voiture, vous trouvez pas ?",1
Ils ont fait leur chaîne du coup ? 😮,1
Ho putain c Grégoire de la cash house,5
Bravo ! Plus de gens doivent comprendre les problèmes de sous utilisation,5
omg mais cette vidéo je suis passé par pleins d'émotions je suis encore sur le cul. J'ai trop kiffé l'ambiance générale des abo qui vous cherchaient avec rigueur c'était insane waw et bravo à eux la vie ils méritent de fou !!!! Continuez on vous love <3,2
18:56 oula l'allemagne sur le tel ????,1
Incroyable,5
"Pour les gens, la chaîne des gagnants c’est L’Heritage",5
C'est quoi ce manque de respect de filmer dans un cours !...,3
Est ce que quelqu'un sait si les gagnants on lancé leur chaîne youtube ?,1
21/03/2024 j'attend l'épisode deux,1
Qui est entrain de regarder,3
On veux un épisode 2 🫶🏼,3
Vous le faites quand l'épisode 2 s'il vous plaît,3
"Choqué je suis en train de chialer quand ils se font enfin attraper, je suis émue",2
Mc fly et Carlito c’est les seuls mecs ils font une promo et t’as envie de la regarder mdr,5
Le remix de Thunderstuck à la fin hahaha excellent,5
putaiiiiiinnnnn je chiale !!!! LOVE is the ANSWER,1
Faudrait tellement un épisode 2,2
Trop contente pour les gagnants,5
L'investissement de la prod dans cette vidéo est juste énorme je hurle 😂😂😂😂,1
"genial concept , mais trop d'infos données des 24h , il aurait fallu attendre 12h de plus",3
Caty et Christophe les bestioles,4
mcfly avec son masque c'est Etienne moustache (j'arrive un peu tard),4
Les 2 abonnés vainqueurs de cette épreuves sont extra. La réaction de celui qui a la casquette est énorme. Ses yeux se sont remplis d'émotion a l'ouverture du Monopoly. Je vois la vidéo 1 an après sa sortie mais j'espère vraiment pour vous que vous avez réussi à vous lancer. Big UP a vous 😁,5
c'est les pires enquêteurs ( les mots naz*s sur leur carte)  qui ont gagnééééééss!!!!!!!!!!!!!!!!!!!!!!!!,1
très fun!!!!,5
Beaucoup trop d'indices trop faciles trop vite. C'est dommage.,2
On n'est quand même d'accord pour dire que c'est incroyablement dangereux non ?🤣🤣🤣,1
Il son passé dans mon village mais j'étais pas au courant de sa j'ai le seum,3
Un épisode 2 de ce concept je vous en supplie,5
C'est quoi leur chaîne YouTube dcp 😂😅?,1
On en parle de carlito qui a probablement fait un commentaire trip advisor sur lhotel🤣🤣,3
C'est qu' en le prochain la prochaine épisode,3
