Comment,Number
"Vidéo sponsrisée par Nord VPN ! Rendez-vous sur https://nordvpn.com/joueur pour obtenir un abonnement de 2 ans + un cadeau bonus, le tout avec une grosse réduction. Satisfait ou remboursé pendant les 30 premiers jours",5
La casa de papon 🤣🤣🤣,5
Tu peux faire une partie de s'il te plaît,3
10:50 moi aussi j'ai compris la blague. Signé papi Loudkill,1
s'il te plait,2
fait une vidéo sur arcane,4
La camisole de Parkway Drive du gars au début 🫡🤘,4
"A 7:45, mais que fesait le Nexus 6 nommé Léon sur une moto dans Galactica ?",3
22:37 Fred à manqué l’opportunité de faire un Naruto run 😮,1
1:21 qui a le rire auto tune?. 😮,1
😂,5
Fred et Seb sont vraiment géniaux,5
Mdr la buse xD,5
16:22,4
Sarko avec une kalash ! 😂,5
"Vindieux, de ces 3 là je ne me souvenais que de Manimal, et c'est vrai que je penais que ça  avait ouat'mille épisodes  ce truc.",2
"Bon je vous rassure, même à 14 ans, je trouvais le scenario mal fichu,  le personnage  central imbuvable ET nul ET vicieux, sans la moindre subtilité psychologique ( mais ça c'était  malheureusement un standard  des années 80 , qui a très mal vieilli). Bon je dirais  que je le regardais comme une série comique, je l'ai toujours vu comme un délire, une sorte de parodie de serie fantastique,  parce que je pensais que les effets spéciaux craignos étaient volontairement foireux pour souligner le côté  "" super héros nase"". Mais bon, c'est visiblement plutôt une question  de pognon. On a économisé  sur le salaire du scénariste et les SFX pour mettre le paquet dans le budget brushing.",3
Ca me donne presque envie de la revoir juste pour me rendre compte à quel point c'était nanardesque.,3
"Automan, punaise, zéro  souvenir, mais punaise c'est beau la technique, tu as de quoi faire un personnage holographique, et tout ce que tu réussis à programmer c'est  un beauf' qui pense plus à draguer les gonzesses et à faire la teuf qu'à suivre son programme. Tu parles d'une IA, faudrait déjà qu'elle ait cuvé sa cuite aux mojitos avant de vouloir prendre le pouvoir.",3
C’est trump la transformation du héros dans manimal,4
"Toujours un plaisir de voir une intervention de sad panda, en plus là ça va il parle pas trop !",5
Capitaine nord vpn,5
"6:39 ""la Bible c'est Adam et Eve qui se battent contre des dinosaures"" Mondo World à jamais dans nos coeurs",5
Quand je regarde certin film des anné 80 et je regarde l.intro des youtubeur... je me dit qu on n a prit un putin gros recul. Desoler sa reste des faits les wokes,2
ah le niveau... pas étonnant que les frouzes soient gouvernés par de incapables... on a se qu'on mérite,3
Le compagnon d'automan😅😅😅un pervers pixeliser qui n'a qu'une idée en tête choper de la bonne meuf 😂😂😂,4
"Ahlàlà, les séres TV, c'était (PRESQUE) mieux avant ... Merci encore à toute l'équipe pour ce moment de rire ^^^",4
"P.S. : À 22:03, en fait le kung-fu est basé sur certains écrits anciens, notamment ceux du médecin chinois Hwa Tuo (IIème siècle avant notre ère), qui étudiaient le mouvement des animaux dans le cadre de la défense physique. Donc bon, il y a quand même un lien (même si ça n'enlève pas grand-chose au ridicule de la série, on est d'accord xD).",1
Perso g 13 ans je connais toute les séries et j ai au moin vu un episode,5
"18:13 : Sérieusement, en secourisme, quand on doit faire un massage cardiaque à une femme, il faut lui enlever son soutien-gorge pour ne pas la blesser. Je sais que c'est une question de vie ou de mort, mais je me suis toujours dit que je serais gêné.",2
YouTube premium ?,1
Ça me rappelle qu'il faut que j'envoie mon RIB à Adobe...,3
21:16 Le piège à la Scoubidou 😂😂,1
"Salut joueur du grenier ! j'aime qe que tu fais , mais là tu abuses !! c'était the série de ma jeunesse, elle etait trop clasee !",5
reste sur les jeux vidéos sérieux.,3
"Je suis seul à me dire quand je regarde?  : "" putain ils sont cons😂😂😂"". J'adore leurs conneries",3
automan : ils ont créé alex hitchens,5
Mdr les oppressor de gta la a 7:56 😅,1
C'est nul putain... c'est malaisant bordel!,1
"Alors une plateforme où on verrait toutes les séries, films et dessins animés des années 80-90 je trouverais ça trop cool. Ça me rappelle plein de trucs. En même temps je suis née en 1976 😮 ça pique, j'irais pas jusqu'à me faire chapeau melon et bottes de cuir (ça, ça fait SM), Derrick ou Amicalement vôtre.",3
Sinon J' adore les montages de cette émission un vrai bonheur 😂😂,5
Putain la blague sur Harambe elle est degueulasse,1
"Vous êtes très drôle monsieur Grenier, je regarde vos épisodes plusieurs fois par an et c'est toujours aussi amusant ! C'est vraiment rafraîchissant de toujours avoir votre chaîne sur youtube",5
Le placement avec la meuf fait vraiment pitié 🥹,1
J espères pour elle qu elle a bien touché parce que ça doit être compliqué de ce revoir.,3
Quoi que.,3
Allez je me la refait m'en lasse pas .,2
18:56 ils se sont trompé dans le casting... ils auraient dû donner le rôle féminin à Bodil Joensen 😅,2
"12:26 Si une arme crée en hologramme, par un hologramme, me dire dessus, seront-ce des balles holographiques ou du plomb bien léthal 😅??",1
Le faux compte Netflix à 5:20 est une excellente parodie!,5
"Catégories ""séries sexistes"", ""Films primés au festival international ornithologoique de Mérigoule""  ""suites de remakes de reboot""  ""films sur le cyclisme"" ""Glen Larson"" ""Cornichon"" et les noms de parodies de séries, c'est vraiment très drole!",5
"La fin ""OK on arrête""🤣🤣🤣",1
Sliders et ses 2 dernieres saison de mer** 😢,4
Un des meilleurs épisodes !,5
Là de l'art 14:21,5
SUPERCOPTER ! LE Q PAR TERRE LA BITE EN L'AIR !,5
1:36 c'est pas elle la joueuse du grenier ?,1
Rwandavision 🤣🤣,5
stargate serie sortie en 1997 et pas dans les années 80 . juste ca et vous avez faux . je stop la,3
L’un de mes épisodes préférés !,5
J aibm regardé cet épisode des dizaines de fois et à chaque fois je suis mort de rire avec le passage avec la tête de cheval !,5
Exceptionnel épisode au global bravo ❤,5
"Ah, y a pas à dire, c'était mieux avant. 😅😊",2
"sérieux j'adore vos pubs, ça doit être les seuls pubs que j'aime regarder",5
les pubs à la télé devraient toutes etre comme ça,3
oh p***n que j'ai ri 🤣,1
"Agence tous risques, une merveille, mon enfance alors que je suis une 2003",5
Reposer en paix messieurs Larson,5
22:50. J'ai cru que j'allais crever à force de rire.,1
"Un ""Violeur digital"" c'est vraiment immonde👆. S'il avait été simplement ""numérique"" ça aurait été à-propos au moins.",1
"Gros regret, le gag ""Mais personne ne fait cette tête en pétant"" aurait été 1000x meilleur si à la fin de la phrase de Rassiat, la caméra s'était tournée sur Molas arborant déjà cette expression, sans mot dire. Plutôt que d'alourdir avec une réplique intermédiaire complètement superflue de Molas qui nous laisse tout le temps de nous dire que OK, ça va, on sait quelle va être la chute, dépêche. Gâchis.",1
Cette phase avec fred qui apprend le combat animal 🤣,4
"Ca me tue, surtout la conclusion 🤣🤣",1
"Purée Manimal, le virage à 1080 degrés après le malaise",2
"Manimal, 8 episodes? Pas possible. Je n'y croyais pas, mais le net dit bien un pilote et 7 episodes. Incroyable",1
"4:50, faux raccord prends le dessus sur moi et dans le reflet de la télévision on voit Sébastien s’installer sur le divan, Michel & Michel, elle est pour vous celle-ci 😂",4
Cest quelqu’un qui a ete tres mechant ! Ahahah xD,1
"Je viens de m'apercevoir qu'en arrière plan., on a la boite d'Ultima VIII Pangan. 😊",3
Les meilleures patates du Wyoming sont donc produites en Alabama.,5
Meilleure vanne !!!,5
CEPENDAAAAAAAAAAAANT !,1
No fake + de 2ans plus tard je viens de recevoir la notification de la vidéo 💀💀👍,1
"Il aurait fallu une dizaine d'épisodes et montrer toutes les séries marquantes. Famille Adams qui passait encore en 90, les monstres, Cosby show madame est servie, Colombo qui est mythique. C'est dommage de montrer que deux séries",3
10:53 le caméo de Papy Grenier !,5
La scène de JDG avec le masque de cheval incroyable 😂😂😂😂,5
"je peux regarder mille fois chaque vidéo de Grenier, je me pisse dessus. Ici, c'est l'allergie aux cacahouètes",1
amish is the future!,5
Qu'est-ce que vous me faites exploser de rire 😂 votre humour c'est vraiment ma cam,5
J'espère un jour vous rencontrer 😊,5
Excellent quand tu fais l'oiseau 😂😂,5
Je viens de me bidonner 😂😂 excellent quand la meuf est attachée au radiateur 😂😂🎉,5
"13:49 numérique, pas digital sinon sa voudrai dire qu'il se fait pousser des doigts pour commettre son méfait.",3
Seb c'est le meilleur,5
Point Biz,4
"Ah Lala vous 2 avez tués mon enfance mais j'ai bien pleuré de rire, merci pour la poilade 😛👍🏼",5
JDG est le seul humain à fermer une parenthèse sans l'avoir ouverte.,1
"Omg maminal, c’était tellement gênant avec sa tête arrogante 😂",1
"Vous êtes des génies les mecs, j'ai vraiment éclaté de rire en regardant votre vidéo",5
Dude jai 18 ans Buffy la petite maison dans la prairie docteur Queen x files ces séries et pleins d’autres passaient à la télé et ça a influencé les générations les plus jeunes ♥️♥️♥️♥️♥️🔥🔥🔥🔥,5
c'etait vraiment un bon episode,4
Hello ! Z'avez jamais pensé à faire une vidéo spécial série Chair de poule ???,5
"12:51 Oui ben son vrai point faible, il est pas moins pété :",3
"""-Dites-donc, votre pendentif, là, c'est une émeraude, hein ?""",1
"Attention ,,,, il cite / mariés deux enfants, avec les autres bouses ... Cette série était parfaite et en a inspiré plus d'un.",5
"Merci les gars, j'en ai pleuré de rire ! ça fait du bien !!!",5
Alors j'ai 20 ans mais j'ai vu toute ces séries (principalement a cause de mon père )....,3
Je sais pas si je dois être fière ou inquiète 😅,3
"Attack on titouan 😂, c'est une ville marocaine",1
16:23  c'est Nicolas Sarkozy avec la moulinette la ? 🤣,1
la blague sur les gens qui investissent en crypto,1
"Salut jdg je suis des années 91 et j'avoue revoir des fx effet spéciaux sa me plairait bien avec le robot bleuet""""^^",3
"""Les terriens paraissent d'un infantilisme désolant""",1
"Dans ce cas là, corrigez d'abord vos foirages et après on en reparle 😂",4
