Comment,Number
"Alors j'ai pas eu le temps de regarder la vidéo je passais juste déposer quelques trucs ici, c'était cool ?",2
Premier feat avec Batzair,5
youtube restera au dessus de tout !,1
Et mtn sur tiktok y'a des sons qu'on peut plus utiliser,3
tiktok c eclater voilà youtube vraiment mieux,1
Cest la premiere fois que je vois autant de youtubeurs certifier en une video,1
haha,1
Ep 3 stp,5
Tellement vrai,5
Moi mon rapprochement familial et mes souvenirs se font grâce à Youtube,5
Bien joué !,4
YouTube a changer beaucoup … je desteste plus les pub que avant … merci YouTube … en tout cas ça me pousse à acheter moin chose quand je vois une pub et tu est entrain de regarder un vidéo interesante,5
Je hais TikTok,1
2025😂😂😂,5
Tiktok est un danger pour le mental des gens.,1
"Cyprien on t'aime pour tous ce que tu a apporte et apportera a tes abonnés, aucun autre youtubeur a le même talent que toi pour tes court ou long metrage a chaque fois juste magnifique. Merci ❤",5
NON pas les short,3
Oh et c est sa 👧 qui a repondu,5
Tiktok  ce n'est pas bien,1
07:08,1
Vive youtube,5
Tiktok c’est de la m*rde je m’en fou si vous m’insulté 🤬🤬🤬,1
😢😢😢😢😢😢😢😢😢😢,5
On dirait Perceval 😂😂,5
Je resterai fidèle à YouTube,5
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,5
Ba si y’a les pouces rouges,3
Team ce qui sont émus à la fin de la vidéo 😢 mais qui de tape une barre 😂,3
Incroyable le feat avec ''Le Monde à l'Envers'' 😂,5
L’asmr ça a changé,3
Oui ça c’est sûrement passé comme ça chez YouTube mdr !😅,1
❤  Pour youtube,5
Timeo,5
tiktok le resau ou les gens en des accident a caus de s challenge  team you ses icci,4
YouTube c’est mieux que tiktok,5
❤,5
"You tube,c est TOI,le patron!",5
😂,5
😂,5
"Les feels pendant quatres minutes entières, et ensuite LES SHORTS!!!!!!!!!!!!!!!! 🤣🤣🤣🤣",1
TEAM YOUTUBE,5
faudrai vraiment que YouTube et TikTok voit cette vidéo et qu'ils commentent sa aurait été une pur dinguerie,1
7:31 et c la fin 🤩,5
Génial xD Manon Bril :D,5
Refais une suite c'est incroyable,5
Fait une vidéo le patron de tiktok,5
3:30 le meilleur,5
On est d'accord le patron il ressemble a mobius dans loki ?,3
Je vous jure j'ai pleuré bien joué⭐,5
C’est fou de ce dire qu’au début les premiers youtubeur était sur daily motion et maintenant sur YouTube puis sur Tiktok😮,5
La visite des loco de tik tok ma ému,5
"C’est ce qui se passe, vraiment, il raconte toute l’histoire de YouTube",5
J' ai chialer 😂,1
C'ETAIT UNE AUTRE HISTOIRE AU DEBUT DE LA VIDEO  OUAIIIIS,3
Es que tu créer une vidéo avec les short,3
J'adore ✨,5
A,4
C plutôt jawed non qui a créé youtube,1
Youtube>>>>>>>>>>>>Tiktok,1
Avril 2024😂😂,3
Personnellement j'ai desinstaller Tiktok car le contenu me resemble plus alors que YouTube a toujours ete présent pour moi le sera encore dans 20ans,5
mais arvi il est connue en fait il a jouer dans les vidéo de ciprién,3
🤝😞😁😋😘😉🔥🙏🤨🙄😍😠🗣️🫔🍖🤚🏿🚍🦾🫀🚕🥘🍖😠😍🌠💄🤝😋😘😞,5
6:46 au début YouTube c’était un site de rencontre…,1
Youtube c'est mieux !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2
La réponse est... Blanc.,3
C'est quoi la musique de fin ?,3
Batzair,5
On pourrait en faire un films en vrai  si ces un bone idées,3
👇,5
comment ça se fait que youtube a toujours pas commenté,1
Comment il a fait c'est cheveux de Joe biden,5
Allas la fin quand il a dis SABINE ça m'a fait pansser a c'est pas sorcier,2
3:45 bon maintenant la plupart sont supprimés sur Tik tok aussi,3
Tim YouTube 🎉🫶🏻👍🏻🥺,5
L'ASMR mdr😅,5
Mais mdrr Theo Babac à 2:51,2
c'êtait très touchant a la fin,3
👏❤✨️,5
Mon moment préféré c’est a partire de 1  a 7m31,5
Je meurs la fin trop mignon 😍😍😍🤩🤩,2
lol jadore tais vidèo et ta vois,5
"Y'a même ""le monde à l'envers"" trop bien.",3
Vive YouTube !,5
😀😃😃😄😁😄J'adore,5
"Tiktok et les Shorts, la calamité de notre génération.",5
Trop bien ta vidéo 😂😂🎉🎉,5
4:32 et non plus maintenant CHEH,1
J'ai jamais été intéressé par tiktok,1
Theobabac,3
bonjour,3
YouTube ❤❤❤❤❤❤❤,5
Le tek quo tve mdr,3
"""Des shorts en jean ? 😟"" 😂😂😂😂😂",2
"Trop de pubs sur YouTube maintenant surtout quand on est entrain de regarder une vidéo, une pub qui la coupe !!!!",1
YouTube fume tictok depuis short,1
Tu change pas de l’époque toujour aussi génial marent hummoriste incroyable vraiment merci bcp cyprien,5
De toute façon Youtube c'est mieux que tiktok 😂,5
Il reste le meilleur,5
c trop drole continue comme sa,5
Cyprien trop drôle,2
YouTube c'est mieux,2
YouTube est le début de la chaîne donc YouTube est LE meilleur site de vidéos au monde,5
Team youtube,5
Le seul youtubeur qui arrive a mettre bcp de youtubeur incroyable dans une video,1
Fais un video de be real!,5
2:57 A c’est cool de voir Batzair ici,5
