Comment,Number
Merci à Nord VPN d'avoir sponsorisé la vidéo !,1
"En ce moment et jusqu'au 12 Septembre, l’offre exclusive vous permet de bénéficier de 4 mois offerts sur l'abonnement de 2 ans.",4
C'est par ici : https://nordvpn.com/contefecond,5
Fallait aller à Gijon au lieu d’Oviedo 😂🤣😂,1
Puxa Sporting !!!!!!,5
L’ami de Myriam c’est Yanis le prénom lol,5
Il est trop fort le grand-père,2
"Alors la pire expérience que l'on puisse vivre en Espagne, c'est être coincé dans un petit village de Cantabrie avec des villageois ayant succombé a un parasite les ayant rendus totalement fous.",1
Ça fait vraiment bizarre d'entendre son prénom dans une vidéo de compte fécond 😅,1
Détective Conan alias shinichi kudo,4
"Le fameux ""Victor"" 😮",5
Je me disais aussi que son visage me disait quelque chose 😢,2
Heureusement qu'il s'est trahi !,3
La dernière histoire est dingue,3
La morale à chaque fin d'histoire ça me fume.,5
La prochaine fois ce sera : faites attention parce que chaque inspiration nous fait vieillir et nous rapproche un peu plus de la mort. 😂,5
En Afrique? L'Afrique est un continent. Où en Afrique? Quel pays ? Pffff c'est chiant la Persistance de cette mauvaise habitude ! L'Afrique n'est pas un pays.,1
"C'est fou la dernière histoire c'est un mec de ma commune, petit village de campagne, tout le monde ne parlait que ça et tout le monde le cherchait ! Je pensais pas entendre cette histoire ici.",5
Le papy faut clairement pas le faire chier 🤣🤣 gros big up a lui,2
2500 euros le salaire moyen 😂😂,3
Le raccourci Franco=copain des nazis est malhonnête et complètement débile...,1
La 1ère personne qui faut se méfier c'est.... Gustave,5
"L’histoire numéro 2 est banger, incroyable ! J’ai adoré 🔥",5
Welkenraedt c’est à côté de chez merde 😂,5
"Pas juste se méfier des gens qu’on ne connaît pas.. aussi se méfier des gens qu’on connaît… Adrien a joué la victime, gentil pompier, pauvre veuf éploré après le meurtre de sa femme et pleuré avec ses beaux parents devant les médias… avant qu’on ne découvre qu’il avait froidement prémédité l’assassinat de sa pauvre femme pour pouvoir vivre « tranquillement » avec sa maîtresse..",3
J'habite à Malaga Espagne depuis 4 mois maintenant,5
"Pardon mais la 2eme , elle est franchement aux petits oignons 😂😅",2
Merci belle histoire à l étranger,5
"Je connaissais l'histoire,et Myriam et détective était passé sur le journal. Le prénom de détective est dans le journal 😉",4
"J'adore le grand père un vrai guerrier a l'ancienne. Je suis belge et j'ai vraiment l'impression de l'avoir déjà vu Adrien ... mais c'était il y a des années 🤨 par contre vu la justice belge, il risque de sortir un jour",5
"La 3 ieme histoire c'est ouf , le détective avait tout bien ressentit",3
"De touuuus les contes feconds, celui la est deloiiiiin celle que je préfère le plus",5
Une nouvelle histoire de papy grenier :,4
Le paranormal ahhh la drogue quelle belle invention,5
"C bien, on apprend à connaitre la culture du pays et les mentalités à travers tes histoires. Plus le côté mystique 💪🔥❤️🐱😱😉",4
La dernière histoire est complètement folle 🤯🤯🤯,1
Bon dans la dernière histoire quand tu rencontre un type louche tu ne vas pas passer une soirée dans un monastère 😅,3
Sinon la 2eme histoire m’a fait frissonner,3
"Faudrait que tu fasse une playlist ""Les 3 Pires Expériences"" sinon c'est super je kiffe visionner tes vidéos 😉",3
je me dit que le grand père était sûrement un ancien militaire ce qui peut expliquer le fait qu'il sait se battre et qu'il n'ait pas d'émotions,3
La dernière histoire il en ont parlez au journal belge vue suis résidente belge oui la mère étais dans tous c’est état quand il étais en cavale elle avais peur qu’il vienne sens prendre a elle et sont mari,1
L’Afrique n’est pas un pays,1
"Ne plaisante jamais avec un mec qui a lutter contre le vrai facisme, celui de franco. Ces anciens soldat sont habituées aux pires tortures.",1
Papi le goat,3
Omg la 3e histoire 😱😱😱😱😱,5
Franchement detective conan portait bien son surnom 😂 il a découvert la seule et unique vérité,5
"Pour la dernière histoire j'ajouterais d'éviter de sortir des sentiers battu sans un loco du coin en qui vous pouvez avoir confiance. Je vis en foyer et j'ai rencontré beaucoup de gens ayant voyager avant d'arriver ici et à trois reprises on m'a parler des trafics humain. Ce n'est pas un mythe et ça n'arrive pas qu'aux autres, je confirme que l'experience du voyage n'est pas négligeable mais il ne faut pas oublier les risques que ça apporte.",3
"Après vous avoir envoyé en Afrique, en Corée...etc. Non, non, non. Ce n'est pas la même échelle ! Les autres sont des pays, l'Afrique est un continent. Nous avons entre 52 et 54 pays en Afrique. Ces petites choses contribuent à ce que les gens continuent à être ignorants. Vous faites déjà les choses hyper bien, merci de continuer ainsi. Merci",1
"Ah ouais, mais la dernière ça doit être chaud a vivre, copiner avec un type en cavale après un meurtre, ça doit faire bizarre, mais bon, après tout ça tu as le droit d être fier pour avoir rendu justice aux victimes de la meilleure des manières, c est plutôt une belle histoire en fin de compte.",3
Il y a des fous partout même à côté de chez soi alors bon 🤷🏻‍♀️,3
Mdr la 2 c'est denzel dans equalizer vraiment,5
"Ah oui le gp qui a fait la guerre il en a vu des horreur, c'est pas le guignol avec son couteau qui allait lui faire peur 🥲",1
Attendez mais la dernière histoire y’a quelqu’un d’autre qui l’a raconté nan ?,3
« Après vous avoir emmener en Coree en Afrique et même au Brésil je vous emmène aujourd’hui dans un autre pays … » OKK,5
Merci pour cette vidéo ! 😀🌺,5
"Très bonne vidéo comme toujours 😊 jaimerais beaucoup voir ""les 3 pires experiences en Belgique "" 😊",5
Pour le ref,3
Mais la troisième histoire n’a pas déjà été raconter ? Elle me dit clairement qqu chose,3
Gro carton rouge-1. 3 minutes de pub. Bientôt 5 minutes pour meetic ou Macdonald.....,5
"Avec les articles de presse ça rend l’histoire encore plus concrète et flippante, ça serait top s’il y avait d’autres histoires comme ça !",5
Trop bien tes vidéo Chris continue comme ça,5
je dirai trop d'oxygène vs plus d'oxygène ^^,2
Le mec de la dernière histoire habite à 15/20 min de chez moi et je n’avais jamais entendu cette histoire 🫠,1
le placement de produit tellement pas subtil. blasé direct,2
Ont ma informer que tu serais a la MIA ( Made In Asia ) en Belgique le 24/09/23 c'est vrai? Car si c'est le cas j'ai trop hâte haha,1
