Comment,Number
Décalage son et image sur ce Thread ?  La promotion de tes spectacles en début de vidéo décale l'ensemble...,2
Merci pour l'histoire.,5
"Cependant, je ne trouve pas ta vidéo sur le système de Law, quel est le lien stp ?",3
"Dans le meme genre on peut trouver les macarons laduree et l’armee de terre cuite (sur le 2em, faudrait avoir l’autorisation de faire des fouilles pour valider ou invalider le point, mais cela ressemble qd même a un bon story telling qui marche encore aujourd’hui)",4
"Un (petit) guéridon Mailfert vendu 250 euros sur le bon coin, ça laisse songeur 😅",1
"Moi je pense que ce Mr était simplement en avance sur son temps car de nos jours on nous fait des story telling green washing super pousser, on te fait croire à des bilans carbone neutre, etc",5
le gars qui a fait des originaux de contrefacons,1
J’ai commercialisé des copies d’ancien avec patine antiquaire à des magasins de meuble. J’ai retrouvé un de mes meubles chez un antiquaire !,5
Et la part de responsabilité des antiquaires? Ceux-même qui ont prouvé mainte fois qu'ils étaient incapable de décerné la vraie signature de Dubois.,2
C’est dingue qu’on parle d’un François Hardy dans une vidéo qui sort juste après le décès de Françoise Hardy quand même nan?,1
Ce placement de produit de qualité 😂 une des rares fois où je skip pas 👏,5
Mdrr la lampe en premier plan je voit pas autre chose que le haut d'une bouteille de gaz 🤣🤣,2
Très bonne vidéo cependant 😊👍,4
Très intéressant... Bien argumenté... De plus en plus séduit ! :),5
"""Mifare"" c'est aussi le nom du circuit imprimé qui permet le paiement sans contact. Cohen cidence ? Je ne crois pas ....",4
Ton tchirt zelda 😂😂,5
Ouais ouais ouais Orléans représente,3
Sa St ds artistes faut être très bon,3
« Il eu 3 enfants : Pétrus et Bernard. »,5
Un ébéniste qui s'appelle Dubois c'est beau quand-même 😂,3
Quelle différence entre ce Mailfert et les publicitaires d’aujourd’hui ? Comme par exemple ceux qui peignent des steaks dans le but de les rendre plus appétissants sur les images promotionnelles…,3
"Un ébéniste qui s'appelle Dubois, c'est un gage de qualité non ?",1
J'aime beaucoup ce format. Merci !,4
"En fait, il a juste inventé une jolie histoire derrière ses meubles...est il coupable ? Juste malhonnête 😊",2
Bonjour. Après plusieurs visionnage vos reportages sont très très bon et intéressant. Continuez c'est passionnant. Merci,4
Cool le t-shirt Zelda 👌,5
"Voilà encore une spécialité d'une certaine communauté, c'est à ces signes qu'on les reconnaît. Le faux est son identité.",5
"Tu a raison, le story telling c'est super important.",5
Et tu est un Maitre en la matiere. ^^,5
Merci pour t vidéos,5
Les vidéos de Pierre Belmard je les regardés mais pas comme les tiennes je c que c un travail à temps plein pour faire des vidéos comme ça n'arrête surtout pas !!! Et encore merci pour t vidéos,3
"L'ébéniste qui s'appelle Dubois 😂 ça me fait penser à mon demi-frère, qui est menuisier de métier et dont le nom de famille est également Dubois 😅",4
😮 Excellent Fabien ! Continuez,5
"Sa femme était anglaise. Même qu'on appelait Mme Mailfer  ""Lady""",3
Un ébéniste qui s'appelle Dubois 😆,4
"Bonjour, merci pour ce partage, j'ai adoré cette incroyable histoire...🥰 Il était fort cet homme...😂 Et même si c'était pas très politiquement correct, bravo à lui pour cette arnaque tellement bien ficelée...😂👍😘",5
"Cette histoire me rappelle un peu un passage d'Au nom de tous les miens de Martin Gray... Après la guerre il vend des porcelaines vintage aux États-Unis et quand il n'y a plus de produits originaux, il va voir des usines pour en fabriquer.",3
"Super histoire !! Ça fait penser au restaurant The Shed à Londres qui est devenu le resto numéro 1 sur TripAdvisor alors qu’il n’avait jamais existé !! Et certaines personnes mettaient des commentaires comme quoi ils y avaient été, ce qui est faux car quand les gens appelaient il disait que c’était complet à chaque fois et ça a pris de l’ampleur.",5
"Merci Fabien pour ces threads, j’adore on en veut plus des comme ça ! 👏",5
"J'adore vos threads ❤ bravo. Par contre attention, le petit fil du tee-shirt qui dépasse de votre manche à attiré mon attention tout le long de la vidéo 😂",5
Quel lien avec Françoise Hardy? 😅,3
Je viens de voir pour les 2 millions d'abonnés. Félicitations. C'est vraiment mérite car votre chaîne est à la fois amusante et instructive.,3
Trop bien ce format ♥,5
Jean François Hardy et Jean Baptiste Botul : deux piliers méconnus de notre civilisation !,1
"Salut Fabien,",5
Tu pourrais raconter l’histoire de LA MANUFACTURE DIHL ET GUERHARD stp? 😊,3
Super vidéo encore merci,5
"C'est aussi parce qu'il y a une histoire parallèle à raconter sur l'histoire des meubles que ca leur confère une valeur particulière... c'est la meme chose avec la peinture, la haute couture ou en tous cas ce qu'ils essayent de faire avec etc... je me rappelle des volutes poétiques d'une journaliste qui en faisait des tonnes en commentant les défilés de couture, c'en était ridicule.",5
Je suis fan du placement de produit ! 😜Pourtant on sait tous que ce n'est vraiment pas une chose facile...😶‍🌫,5
"Je ne croirai plus jamais un livre d'histoire. Je prends tout, absolument tout, avec des pincettes désormais.",5
J’ai l’impression d’être dans death note,5
"Magnifique le ""nord des vérités presque niquel"" 😂👍🏽",5
WoW 😮,5
Question bête quelqu'un a la musique à partir de 18:00 ?,1
"Quand les arnaqueurs te vendent des copies comme si c'était des originaux, je trouve incroyable d'avoir un gars qui se dit qu'il va vendre des originaux comme si c'était des copies, et que ce soit un business encore plus rentable !",1
Quel plaisir de t’écouter. Merci beaucoup Fabien.,5
Slt fabien ton t-shirt est bizarre 🤔🤔🤔,3
"Super vidéo, merci !!",5
Mais ce génie ! Et ces histoires que tu nous raconte c'est génial,4
humans....,1
"C'est lourd la pub , 10 pub pour une histoire de 20mn",2
Je viens de Fournes-en-weppes et il y a bien un château de l'autre côté de la route nationale !,4
Incroyable !,5
"Et de nos jours, cela donna naissance au drop shipping",5
"Super cool encore une fois, un peu plus d'infos sur la suite de cette histoire auraient été les bienvenus, à t'il été accusé ou condamné ?",5
"Pour le VPN je tiens qd mm à informer que le contenu du catalogue étranger ne sera pas en Français (même pour les sous titres, ils seront en Anglais si vous avez de la hance)",2
Je suis INCROYABLEMENT FAN de ce genre de vidéos 😌,5
Je découvre cette série de vidéos,5
Incroyable !,5
Ça fait un bout pas écouté.,1
Fait plaisir.,4
On continue,4
super video par contre on dit AN-CE-NI,4
Je te voie bien faussaire 😂😊,4
Encore !,5
ont continue le rythme ? 4 POUR JOURS,3
"Ya un peu le même problème avec l'automobile avec les ""replica""",3
TRES TRES sympa ce format et les sujets traités . Belmarre nous manquait justement !,4
c'est donc de la que vient le catcheur jeff hardy ???🤣🤣,3
"Germain landrin 😭 … malandrin (nm): voleur, ou vagabond dangereux.",1
Je sais pas si c’était un jeux de mot exprès ou non mais c’était un peux gros 😅,3
Charité bien ordonner commence déjà par sois même. Et puis bien fais pour les gens qui suive la mode 🤣,5
la tete des experts qui se sont fait troller 🤣,5
Je suis tombé sur votre vidéo par hasard et c'est très intéressant! Merci ! Cela me rappelle l'histoire de Picasso et sa manière de s'être imposé dans les galeries d'arts parisiennes à ses débuts. 😀,5
J'adore 💙,5
Oui on continue.,3
Et le plus drôle c'est que maintenant les meubles estampillés Mailfert sont recherchés par les collectionneurs et coûtent cher !,1
merci,5
Assenisse??? 🤣🤣🤣,1
Mensuellement c'est une très bonne idée,5
"On continue, on continue!",5
Oui plus de vidéo,3
Comme disais mon grand père: y'en a certains tu sais pas si tu dois les fiche au bagne ou leur décerner la légion d'honneur ...,3
Je suis le 16k eme like!😂,5
Continue stp !!!,5
"Bravo pour la publicité ! Très drôle, très bonne présentation !",5
"Et bien sûr, bravo pour cette vidéo !",5
Bonne continuation,4
"c est très bien conté, toujours interressant ❤️👌",5
"Alors, oui, clairement, on en veut encore, des histoires comme ça, c'est vraiment fun (une par mois, ou tous les deux mois, c'est un bon rythme ?)",5
"Sinon, sur cet ""escroc"", je dis que c'est un génie, parce qu'on peut difficilement parler d'escroquerie, tout juste de tromperie sur la qualité d'une marchandise puisqu'il présente ses meubles comme des copies d'un style précis qui n'a jamais existé. Mais après, en fait, il a créé un style de meubles, mais s'il les avait présenté comme tel (des créations originales), ça n'aurait pas eu l'engouement que ça a eu, le génie est là. En fait, il s'est servi du côté ""je veux des objets stylés que j'ai pas les moyens de m'acheter alors j'achète une version low cost"" qu'on beaucoup de consommateur, même encore aujourd'hui.",2
"Et le fait de s'auto-dénoncer, c'est encore plus génial, car il a coupé l'herbe sous le pied de tous ceux qui, moins crédules, auraient pu avoir des soupçons, et en plus il se paie le luxe de se moquer de ceux qui avaient critiquer la qualité de ses ""copies"" (et franchement, il y avait vraiment de quoi se payer leur tête).",5
"Bon, c'est pas bien, mais techniquement, il n'a fait de mal à personne, à part peut-être quelques blessures d'orgueil.",3
Cette histoire me fait penser à certaines marques de bieres auxquelles on invente une histoires et/ou des abbayes (certaines abbayes existent mais sont des ruines depuis longtemps) pour donner l'illusion d'un savoir-faire séculaire.,4
vraiment super les histoires. Merci beaucoup.,5
"Je ne dirai qu'une chose : génial, ce type👍👍👍!",5
c'est super cool ce format!,5
Le comble pour un ébéniste (menuisier) c'est quand même de s'appeler Dubois.,3
Oh la la... 🥸👍,1
J'aime bien ce genre d'histoire aussi.,4
Que représente ce bel aigle sur ton t. Shirt? Il est chouette,3
C’est génial Fabien! Je réitère!,5
Cela aurait sympa de savoir comment la nouvelle fut reçue à l'époque,3
Trop drôle l’OP en mode scam,1
"""Assenisse"" ?^^",1
Merci.,5
Cété bienne continou com sa🎉,5
J'adore ce format ! J'espère vraiment que tu en feras encore plein. On est tous des grands enfants et on aime les histoires.,5
J'adore toujours 😍,5
L'histoire est absolument incroyable !,5
"Le format est génial, est-ce qu'à titre personnel, j'aimerais en avoir plus ? Avec joie !",5
Le lien du système de Law renvoie vers une page wiki vide...,1
Histoire incroyable et passionnante ! Bravo!,5
Au top tes histoires!!!,5
