Comment,Number
"merci énormément à NordVPN de m'avoir permis de littéralement réaliser mon rêve, retrouvez-les ici : https://nordvpn.com/djilsi et profitez des meilleures offres d’abonnement en cours, c’est toujours satisfait ou remboursé pendant 30 jours",5
on repart sur d'autres vidéos dans ce style ?,3
35:32 on en parle du trou que manas a fait dans son truque pour la pluie 😂,3
3:42 je connais je connais j'ai regardé la série 2 fois 😂 plus les spin off de Daryl et Rick dinguerie,5
Je remercie les vlog d’août de m’avoir permis de te découvrir t’es un personnage de fou t’as une vibe tellement enfantine j’aime trop ton énergie j’ai l’impression que tu profite vraiment et que t’es concept sont satisfaisant pour l’enfant que tu était merci et continue comme ça ❤,5
Pendant la promo j’ai fait que regarder la fenêtre 😂😂😂😂😂😂,3
I speak english ENORMLY,1
19:28 c'est charle de la chaine charle et melanie ?,1
JE SUIS EN FOU RIRE C’EST TOMBÉ D’UN COUP 26:14,1
Oh oui djisli redonne moi encore 40minutes de pur bonheur dans un épisode 2 :p,5
15:55 Oh oui même 50 voir 100 mètres !! 😂😂,1
C'est impressionant mec !,5
"Je trouve ça génial que maintenant sur YouTube on montre des  métiers comme ça . À mon époque on nous montrait pas tout ça on rester dans le classique des métiers on osait pas voir ailleurs et maintenant voir tout ça je trouve ça incroyable que ce soit sidjil ou d’autres youtubeur montrer certains métiers, bah ça donne envie aux jeunes de maintenant de faire tout ça et je trouve ça magnifique👏👏",5
Par conter quand on te dit de fermer la visière ferme la  la laisse pas entrouverte,2
Hate d'être demain le teaser ma donner envie de regarder cette video,5
j'en redemande une ;p,5
J’en redemande une 🫣,5
La vidéo mérite plus de like,3
Djilsi on veut plein d'autre vidéo stp c'est trop bien sa nous remonte le morale,3
mais pourquoi je te découvre que maintenant c'est trop grave,2
"Voir la joie, comme un enfant le matin de Noël c'est trop chouette. On passe toujours d'agréable moment. Bravo",3
Le mec qui a travaillé chez Warner qui raconte il est passionné c’est incroyable et en plus il est trop drôle incroyable,5
Incroyable,5
Djilsi il est sec enft,2
A 40:02 il a deraper comme la voiture,1
T as des biceps de bûcheron 😂😂,5
J'ai grave kiffé bon t'as pas fait ton meilleur score de vues sur cette vidéo mais refais en Djilsi stoplé,2
Le gars a fait plein de film emblématique mais le seul truc que j'ai retenu c'est qu'il a fait le clip de PLK 🫣,3
Tu est trop forttt❤❤❤,1
un mec fait un back flip,1
moi: Tourne toi Sid tourne toiiii 🤣,1
J’ai adoré,5
Ce tournage est insane il en faudrait encore🤩🤩,1
"Mais bien sûr que ça nous a plu, c'est trop d'la frappe, on veut une série !",3
Une entrée véritablement fracassante,1
Salut Djilsi t'es le meilleur vraiment la vidéo est incroyable 😍,5
le goat en action ;),4
Parcours parcours 😭😭,4
Super vidéo,5
"""Oui parce que quand tu sais ce que tu veux faire t'es forcément un cancre"" tellement d'accord avec cette phrase !",5
Incroyable le type des effets spéciaux !,5
-yo sid pour info le cascadeur cest mon couz lucas (martinelli),3
Jean François Lemaire c'est une légende !!!!,5
"L’endroit de l’orphelinat je sais où ça ce trouve ptdr, c’était un site d’airsoft et un lieu d’urbex 🫡",1
SIDJIL 😈😈😈,5
banger !,1
par pitié devient cascadeur ça te va tellement bien,5
Le vieux il a grillé son âge en 3 minute,3
Incroyable le t-shirt pink floyd,5
"C'est insane, j'aime tellement la cascade, encore !",5
Le mec a tizé le film F**** ****,1
C’est quoi la musique de la scène avec la voiture svp ?,3
3,5
Non,1
T’es un putain de génie mec ! Sache le,5
"Vis cette passion qui te plaît, parce que c'est passionnant à regarder !",5
encore !,5
une pensée a Clito qui elle aussi est passée à la casse 😢,1
Quelle vidéo ! Merci de mettre en lumière ce métier que j’admire tant ! Et bravo à vous les gars !,5
Ahhh c'est lui qui a fait le clip de plk !!!,3
C'était génial et j'espère en revoir une deuxième 💕,5
Ouais gooo des prochaines cascades 😮 39:28,3
Cool je valide 🎉🎉🎉🎉🎉,5
Qui a vu intro de la deuxième cascade et ben y a écrit casacde?,1
C’est quoi la musique du début d vidéo ?,3
"continue comme sa bg, toujours fou j'adore le début cassage de vitre",5
Est ce qu'on peut dire que la personne qui tient la cam est casse-cadreuse ?,1
20:20 vraiment en 10sec il a contredit Djilsi     3 fois 🤣🤣,1
« James Bond » et « des tas de conneries » dans la même phrases ça en dis long sur la carrière de l’homme,5
ça se voit que tu kiffes de fou ça fait plaisir,5
Ces équipes incroyables ! ^^ OUI Djilsi on veux te voire te faire malmener par des câbles et des voitures qui roulent à l'envers ;-),5
Comment peut on faire pour rentrer dans une école de cascadeur ?,5
top.,5
incroyable merci pour 40 min efficace et en plus que ce soit un de tes kiffe ca regale bravo,5
Le monsieur qui explique son métier a je trouve la même voix que Johnny Hallyday quand il parlait 😂,5
Comme promis cette vidéo était incroyable avec toujours la touche d’humour qui fais plaisir,5
j'adore la façon dont les cascades on était mises en scènes c'était inattendu donc encore plus impressionnant!,5
Une vidéo folle 😍,5
Incroyable vidéo !,5
c'est pas cool les tonneau j'en ai vécu !!!!!!!!!!!!,2
Le mec du début il a une vibe trop marrante et la première séquence avec la grenade c’est une turiiiiii trop kiffant !!!!!,2
21:40 le meilleur moment j'suis encore entrain de chialer de rire,5
Trop malin de parler du sponsor au moment ou les cascadeurs saute derrière ^^,1
"Grave content pour toi en tout cas, ça avait l'air lourd de faire toute ces cascades",5
Bravo ! C'était chaud :),5
Top cette vidéo ! Un Djilsi nature et cool dans un truc qu’il kiff y’a rien de mieux !,5
6:28 le coupage de parole est légendaire,5
Grave kiffante la vidéo et je pense c’est un travail dans lequel tu t’ennuyes ps 😁,2
Vidéo insane mec ❤,1
meilleure vidéo,5
"Rien à voir avec la vidéo de Tristan, bien joué, super témoignage du gars",5
orrrh la ref à PLK j'adore en plus je me demandais premier dégré comment il faisait avec les bouts de verres et tt dans le clip🤣,5
"On veut que tu continues ta passion, on en veux plus cest genial, merci ❤",5
La vidéo est ouf ❤,1
Terrible. Bon la dernière c est la même que Squeezie poto,1
J’ai adoré regarder cette vidéo elle est super 👍,5
Essaie de refaire des scènes de films!,4
"mon métier que je réalisera après avoir le bac est Cascadeur professionnel au Campus Univers Cascade et ensuite, cascadeur pro au Puy du Fou au spectacle des vikings",5
Trop bien faut un episode 2 pitie,5
j'adore la relation entre dijlsi et le caméraman ils sont trop cools !!!!!!,5
"J'ai voulu like mais j'avais déjà like, gogogo 135465 vidéos comme ça svp",3
"""tonneau""",3
"Vidéo mortelle, mais c’est quoi là doudoune noir de djilsi svp",1
