Comment,Number
Incroyable cette vidéo !,5
A quand le 3,3
J'ai adoré déjà le premier volume étais pas mal mais celui-ci étais génial 😂😂😂 et a quand un volume 3 extrême 🤔😂😂😂😂 continuer comme sa j'adore vos vidéos elle sont excellente du très beau contenue 😊 je vous adors les mecs,5
Le roast de Gaëlle Garcia Diaz étais magique merci créateur de sont roast est son interprétation,5
❤ très drôle. C'est la vidéo qui m'a fait m'abonner ;) j'ai l'impression d'avoir loupé des trucs... la.nuit va être longue mdrrr,2
Les êtres humain comme macfly & carlito me dégoute de plus en plus,2
GG flobert,1
Ou est remy susceptible 😂,3
Si l'auto roast se passe vers Marseille c'est l'auto roast A7,3
Ramenez squeezie Léna baguerra maghla seb MAXIIIME!! Djilsi pitié,1
50:23 je veux rien savoir 😂😂,5
"Se serai bien un troisième avec le squeeze,mastu ou joyca",3
j'suis toujours amoureux d'elle.,5
"Le prochain avec Nozman, Lena situation, Mastu, Gladieux, inox, et Squeezie",5
Presque adulte un énorme banger 32:00,1
Le morceau de fin: the last hit.,4
COMMENT ÇA ?????,1
44:41 il aurait du dire bouscavida,1
La pub est nord vpn wow une super idées,5
A quand 100 couche de plutonium,2
Pour une fois que je n'est pas passé un placement de produit 😭😂,1
A quand le roast 3 ?,3
Vivement le 3,5
Carlito a le rire le plus sous côté,5
Mais en vrai je pense on aimerait une vidéo où y’a le procédé d’écriture,3
Merciiii,5
"on veut un épisode 3 avec squeezie, lena, michou, joyca, et mastu !",5
Refaites un secret roast svp merci bisous,1
N'empêche natoo c'est la Galère Gado de France,5
Ce serait pas grandingo dans le fond à gauche ?,2
À quand le joueur du grenier ?,3
Mister V ?,1
Squeezie ? :),1
Faudrait roaster Flobert maintenant,2
"Big up à Thomas Deseur (Ou ""Bog up pour Thomas Deseur"" ? Je ne sais plus comment on dit...) : si ça peut te rassurer moi non plus je n'ai pas de voiture, mais ici il n'y a pas de RER ! Chapeau l'artiste ! 👍",2
J’ai rigoler mais je suis triste pour Thomas 🤣,3
Thomas❤,5
J’adore Thomas ❤,5
Ca me manque trop je la regarde à l'infini mon plaisir du mois,3
1:35 en Suisse Natel ça veut dire un téléphone,1
Ce concept est incroyable !! Il faut le continuer !,5
Les best,5
On en parle pas assez mais le placement de produit est juste incroyable,3
Avec Michou svp,4
Pas troque 😂,3
Thomas Deseur il va devenir le Joker,5
A quand le volume 3 ?,3
Le moment où il parle de curt cobain 😂😂,5
Secret roast 3 avec wankil serait incroyable,5
On attend le 3 😏,3
"Le mec qui écrit les clash est vraiment méchant avec Thomas , d’ailleurs sa manière d’écrire est drôle au début .. puis après sa deviens redondant",2
attention vih et sida sont bien différents,2
"M'en fou vais l'dire, le gars de NordVPN il est trop beau y'a pas de débat",5
😂,5
"Le plus trop drôle dans tout ça , c'est les rires d'Amixem",1
"Slt, faite avec Jérémy Ferrari si vous prenez un humouriste svp",3
Ça serait incroyable avec joyaca et Mastu,5
amixemn et kevin tran ce sont vraiment les mecs qui s'habillent le moins bien sur youtube,5
43:51 🛵,3
"j'avoue le flobert ( je sais pas si ca s'écrit comme ca ) il gère de ouf, superbe vidéo jme suis bien marré, + pouce bleu",5
En 5:26 Amixem fait le salut nazis italien qui était différent de celui des allemands,5
Thomas doseur cest le meilleur il a eu le pire il ont été méchant avec lui certe sa nous fait rire mais il mérite pas ça j'espère qu'il la pas pris mal,3
Je savais vrmt pas qui c'était et après j'ai entendu 34:16 et je me suis dis ahhhhhhh oui!!!!!!!,1
c'est beau qu'une marque autorise ca et je trouve que c un tres bon coup de marketing puisqu'on reste pour regarder la collaboration,4
Ils ont refait la vanne du bandage dans la minia 😂,3
Amixem 7 mois plus tard : ''I have hum... Suitcase.'',1
19:05 titre !,1
La fin 7 mois plus tard il a fini finaliste sur une des vidéos de mr beast 🤣🤣🤣🤣🤣🤣🤣,4
44:20 il l'a pris premier degré mcfly regardez sa gueule,1
