Comment,Number
"Je sais c’est complètement fou vous n’arrivez même pas à y croire tellement c’est dingue mais cette vidéo est sponso par NordVPN, checkez leur offre ici https://nordvpn.com/amixem et n’oubliez pas le code amixem sinon c’est moche",1
9:51 Oui je te confirme 😂,3
"Salut🙋🏻 je m'appelle Alexandre,",5
J'ai 25 ans et je suis chrétien.,5
"J'étais athée, obèse, en dépression et sans but dans ma vie. 😢",1
"Je te propose aujourd'hui d'étudier la Bible, ça va changer ta vie, tout comme ça à changer la mienne.",5
"Si tu es dispo voyons nous sur Paris, étudions la Bible ensemble et changeons le monde ensemble.👊🏻🔥",5
"le mec de ""super samily il ressemble a zelensky non ?",1
Pourtant ❤️ la Crète,3
Ah putin ! Le genre plus belle la vie sevie sur la chaîne grec et même sans savoir ce qu’ils disent ils le disent mal c’est mauvais mais mauvais de chez atroce,5
"Coucou,",2
"Quand on fait le tour du monde, est-ce qu'on arrive à prendre le réflexe d'aller en Afrique et en Amérique latine au minimum, voire sur des îles ou des pays dont on entend peu parler? J'aurais trouvé sympa, dans presque tous les ""tours du monde"" il y l'Europe et un ou deux autres lieux...",2
regarde Daniil le russe tu va kiffer,1
"7:00 Amixem veut dire ""mélange"" en finlandais, selon Google!",1
3:00 début de vid,5
c'est pas plutôt Taïwan ??,2
J'ai connu little big grâce à Just Dance,5
3 min d'intro plus de sponso,5
Ma sœur adore little big elle adore la dernière chanson😂🎉,5
Je deteste les mecs qui se croient droles et qui pour gonfler leur égo s'entourent de fayots qui vont rire pour lui faire plaisir,2
en Finlande y'avait les dudesons 😂,3
Video de parasite,1
Little Big! Ah oui! C'est du très très grand art ça. 🤣,5
Mais SKIBIDI de Little Big ya carrément eu une danse sur le Just Dance 2020😂,3
"Le YouTuber hollandais a l'air d'être une coquerelle géante dans un costume d'humain tellement ses mouvements ne sont pas naturels, c'est incroyable. Bravo Thomas!",1
3:45 malheureusement Nord VPN ne marche pas en Chine 🥲,1
"Dommage qu'il ne reste plus qu'Ilya et sonya dans le groupe little big et que le danseur qu'on voit soit décédé, on dirais que le group est en train de fondre.",3
Little Big ils étaient les représentants russes à l’Eurovision en 2020,5
Incroyable video mais je trouve pas le code promo,3
"Le mec sur la miniature, le danseur en combinaison bleue est décédé récemment.",3
Je rerererereregarde la vidéo juste pour la réaction du prank,1
Le rire d’Etienne me termine à chaque vidéos 😂😂😂,5
"13:44 Désolé mais moi, ça me stresse comme quand c'est un humain qui fait de l'asmr...je zappe...oops, c'est déjà fini. Bon bah bye !",2
"12:13 little Big, super groupe russe ! Je les ai dans ma playlist. C'est Antoine Daniel de WTC qui me les a fait découvrir. 😂",5
"6:43 un Putous, tous pour un !",5
Thomas a l'Oscar du meilleur prankeur 🤣🤣🤣🤣,5
enfaite le premier cest amixem et mr beast en japonais,5
Pov tt les belge qui sont SENSÉE parler néerlandais mais qui ce rende compte que NON 8:23,3
3:50 JOYCAAA,3
😂😂🤣🤣🤣toma,5
"Vidéo parfait, fait en une autre",5
attend ça fais déjà plus de trois ans que le crew est la le coup de vieux je me sentais déjà vieux,2
Le comble c'est que je sens que la prod a choisi le premier parce que l'équivalent français c'est Amixem (concepts fous et un peu de tout).,3
little big est fantastique,5
"Je me suis demandé si mon néerlandais était rouillé car je trouvais l'accent difficile à comprendre. Au final, je ne comprenais pas car ça ne voulait juste rien dire",2
Cette vidéo mériterait d’être doublée en anglais maintenant que tu l’as déjà fait une fois 😂,3
"le clip de Little Big, quelqu'un connait le titre ? J'essaie de le retrouver, mais je n'ai que la suite, le titre ""Tacos"", où le danseur tout à gauche dans la vidéo qu'on voit ici commence le clip en se faisant un pain au micro-onde, j'ai l'impression d'avoir checké tous les clips du groupe, je trouve pas celui-ci 😥",3
ATTENTION BLAGUE DE MERDE : MAIS PK IL A PAS ETE SUR LE YTB CHINOIS 😂😂😂😂😂😂,2
Moi je les rencontre litte big,3
"Pendant toute la vidéo ils forcent avec nordVPN. Déjà que ce produit inutile est surreprésenté sur youtube dans la majorité des partenariats, il a fallut qu'ils répètent a chaque fois qu'ils vont sur un nouveau pays "" J'UTILISE NORD VPN !! "" Perso je trouve ça insupportable et en même temps je comprends car il y a énormément d'argent a se faire avec ce "" produit "" donc tout le monde se tait et ne remet pas en question l'utilité réel de celui ci. Micode a fait une vidéo incroyable sur le sujet d'ailleurs je vous invite à la regarder pour mieux comprendre de quoi je veux parler..",2
* le prank,3
cette vidéo m'a tué lolllllll!!!!!!!!! surtout le Frank de Thomas j'étais mort putainn !!!🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭,1
C la longue intro 😂,5
Et on putous (pue tous),1
"ptdr au début quand il parle en ""anglais"" mettez les sous-titres vous verrez c'est incroyable 🤣🤣😂",1
Moi chuis hollandaise et quand il a parler je me suis dit ils ont pas faits une erreur c pas allemamd ou un truc du genre??,1
"c'est pas taïwanie, c'est Taïwan, comme juste on dit Monaco 🤣",1
Jsuis libanais mais j’ignorais que super family existais 😂😂,3
le Grec est l'Espagnol pour toma buenos avocates😊,3
3:20 - Gu Amo Life (Taiwan),5
5:10 - Mikeius Official (Grèce),5
6:15 - Putous (Finlande),5
8:00 - Lodjewik cooking (Hollande)==> MAIS C EST LE LOL !,2
10:30 - Super family (Liban),5
11:50 - Little big (Russie),3
13:10 - Mayapolarbear (Japon),1
14:05 - Conclusion,4
"Magnifique prank de Thomas, ce génie !",5
"Je suis toujours choqué qu'aucun d'entre eux n'ai What the cut en référence :O c'est pas la première fois qu'ils parlent de quelque chose qu'Antoine Daniel a déjà montré il y a 10 ans (cf la vidéo sur les artistes chelous), là pour le coup ça fait depuis le WTC spécial Russie que beaucoup de français connaissent Little Big avec Everyday I'm drinking x)",2
"8:15 , bonjour et bienvenue sur internet, vous allez voir c'est facile",5
"Mais, pas besoin de NordVPN pour aller su un navigateur étranger, il suffit de changer se déconnecter de son compte ou nav privée et taper au lieu de .fr .ch par exemple et le tour est joué. Par contre en Chine non il n'ont pas accès à nord, c'est pas aussi simple que ça, pour dire ils n'ont même pas Whatsapp. Pour ça suffit de se rendre sur le deepweb, c'est pas sis compliqué et gratuit",3
je crois qu'Yvan est pas au courant que la Tchecoslovaquie existe plus depuis 1992🤣🤣,2
putain les mecs vous avez choisis LA PIIIIIIIIIIIIIIIIIRE chanie libanaise a voir mais wtf,3
il y as des biens meilleures comme raphael sark,3
Merci d’exister Thomas,5
En plus Guten Morgen ça veut dire bonjour en allemand 😂😂😂😂😂😂,5
Little Big Antoine Daniel en avais parlé 😁,5
Arrêt de sponsoriser tes vidéos avec Nord vpn c'est chiant,1
Mais Ivan on est pas tous comme ça 😅,3
Merci amixem le liban est passé sur ta chaine j’y habite,5
Cool,5
pauvre putous !😂😂,1
c'est de l'Almand 🤣🤣🤣🤣,5
ON PUTOUSSE,3
"Little Big est trés connu et même en France, Antoine Daniel dans son wath the cut avait sorti "" Every Day I Drinking "" qui est juste a voir ! C'est un peu l'équivalant de Die Antwoord version Russe pour moi ^^ et si vous connaissez pas Die Antwoord a découvrir aussi même si ils sont trés connus grace au film Chapy par exemple, ou leur trio avec Marilyn Manson.",5
"Je reviens régulièrement voir le prank de Thomas, c'est mon petit prozac à moi 😘",5
whoa on peut même allez en Tchécoslovaquie avec nordVPN ! trop bien j'adore voyager dans le temps !,1
Les chinois ne vont utiliser NordVPN pour youtube car ils ont leurs youtube qui est bilibili 😉,1
"(Au passage pas besoin de VPN pour regarder des YouTubeur d'autre pays, vive la pub lol)",5
Deuxième fois je look la vidéo pour la vidéo du prank irlandais,5
8:18,1
Thomas est un génie indétrônable 😂😂😂,5
Superbe vidéo se concept c'est trop dar en sah et ya toujours une dose d'humour  fin voilà comme depuis surtout les vidéos à l'ancienne 🔥.,5
L'un des seul mec qui même au sponsor il te fume et reste original 🤣.,5
C'est vraiment sympa les sons d'Étienne 👍,5
Thomas partout 😮😮😮 je ne dort plus.😞🛏,1
Le fou rire que je viens d'avoir avec le prank de thomas est incroyable 😂😂😂,5
5:36 le grec il plagie Antoine Daniel avec What the fact (cut),1
"A moins que les hollandais parle allemand 🤣🤣🤣 en plus c'est bizarre de dire ""Gutten morgen"" alors que tu sais pas quand les gens regardent ta vidéo 🤔 merci infiniment pour le prank Thomas c'était insane 😇",1
Dat is zooooooo grapig !!   Dank u wel Thomas voor de grap 😂,1
Est-ce-que quand on fait du sport on putous?,3
Le youtube listenbourgeois😳,5
Je veux vivre avec ces gars bordel 😂😂,5
8:53,4
"anecdote j'ai de très bon avocat en grec se dirait ""logiquement"" Echo poly kalous dikhigorous",1
ne me remerciez pas,1
mais little big c’est super connu,4
La blague de Thomas a refait ma journée,3
pour information ne donnez jamais de banane à votre chien.  c'est dangereux pour eux,1
Le premier c’est l’équivalant de amixem 😂,3
amixem ça veut dire par ami en tchèque,5
Little big : everyday i’m drinking,5
J'ai replay la vidéo plus de 5 fois tellement que j'ai rigoler 😂😂😂,1
8:00 TROP LOLZ,1
moi qi comprend ce que les libanais disent mdr,5
Le rire m'a tué wallah 8:50,1
Tomas qui masse de la viande et qui  faait de l'asmr XD,1
remet le clap bonjoure!,1
encore,5
Ter,5
Ah Thomas il m'a tué 😂,1
"12:00 Little big ils sont trop fort il chante une chanson en FR qui s appel ""mon ami"" mais dites à personne que l info viens de moi",2
Jai beaucoup rigolez mais toi Yvan non t’es pas drôle,3
3:00 c’est le temps de l’intro 😑 sinon super video 😀,3
12:10 il a eu exactement la même voix qu'orelsan j'ai buggé,1
Livan,5
",, C'EST THOMAS !!!! ,, ICONIQUE",5
"J'ai vu Little Big 2 fois en concert, merci Antoine Daniel !",5
PARTIII 2 !!!,3
"Little big tous les jours, tu as clairement retrouvé ton chemin sur internet !",5
je parle nerlandais et ses vrais qui disai n'importe quoi,1
"Oh, Little Big",5
Honnêtement c pas Hollandais 😂😂,1
J'en étais sûr que c'était pas un vrai hollandais,2
Aah enfin seul j'allais dire mais non...dommage.,3
Par contre le décors c'était le meilleur.,3
8m40 a 9m40,5
Je veux un ÉPISODE 2!!!,5
Qu est ce qu 9n s en fout,1
Mais ça m’a choqué que y est que Étienne qui connaît litlle big moi tout mes proche écoute « skibidi »😅,3
"Dommage que ya pas Temnaya FAZA, c'est vraiment un Youtubeur Russe dingue!",2
Trop bien pour Thomas ♡,5
littel big je connais depuis environ 2/3 ans et c'est INCROYABLE,5
Mdr 8:01,1
"La Russie ""La Russie""",5
"l'Ukraine ""non""",1
Je suis la seule qui a remarqué que la dame de 7:30 a découpé la nappe pour en faire une robe ? 😂,2
8.12,4
11:59 Qu'elle plaisir de voir littel big!!! HA sa régale 😄,5
ARRETE PAS LE CLAP BOUJOUR .\ n /.,1
Thomas 🤣❤ Master classe !,5
"3:51 il dit ""JOYCA"" on est d'accord ?😂",3
Temps avant première vidéo 3:49 MINUTES la c’est trop 😂😭,1
intro de 3 min !!!🤣,5
mon dieu faut arreter avec l'arnaque nordvpn,1
"Pour tout ceux qui suivait What the cut à l’époque, sachez que Little Big est passé dans un de ses épisodes avec leur chanson « Everyday I’m drinking »! C’est un groupe extraordinaire, souvent comparé a AQUA mais qui je trouve est bien meilleur (pour ma part bien sûr)",5
Putous en finnois sa veut dire cascade,3
Un putous et tous pour un ! 😂😂 (laissez moi être fière de ma blague svp),5
"nous on aime bien le ""clap bonjour""",4
Comment faire de la pub pour SUD VPM,5
Est ce que je rererereregarde cette vidéo juste pour la blague de Thomas ?  Bien sûr,1
Skibidi wapapaaaa,3
"heu...sans nordvpn on tape ces chaines sur youtube et on les as quand meme, c'est normal ? XD",2
"Mayapolarbear , Little Big ...tu tape et ben t'as leurs videos quoi mdr, youtube est mondial pas la peine nordvpn pour ca 😂",1
c'est meme pas des videos de propagande de coré du nord en plus.,2
"mais bon, vous etes géniaux quand même dans la mise en scène pas de souccis , j'adore :D",3
ffffffffffffffffeeeeeeeeehhhhhhhh,1
Liban moi je suis en liban,5
11:17 bonjour à tous ceux qui regarde cette vidéo en 2022 juste il y a une chaîne Youtube et de télé qui qui fait ça touyiur jana,1
📌,5
8:12,5
Little BIG dans la thumbnail ça c bon putain,5
9:00 C'était hilarant !!! XD,5
Le gars il parlait un mix d'allemand et de ch'ais pas quoi. J'ai quasi rien compris mais j'ai pigé 2/3 truc,2
Gg Thomas et Jonathan,5
J'ai des bons avocats =écho kaloús dikigórous,5
littele big,3
le holandais faix expres de parler avec un accent fraincais,4
"J'adore leurs innocences et d'un coup, C'EST THOMAS!",5
Ceux qui connaissent déjà Little Big ✋,5
Pour le taiwanais c'est super connerie à 100%,5
Moi je vous conseille miyagi £ Andy Panda 🐼,5
Little big connu grâce à antoine daniel,5
Att genre je découvre 1 an après qu'Étienne connais little big ??? Frr c'est pas possible il est parfait cet homme 😭🤌,3
Je suis libanais 😘,1
MON PAPA EST NÉE AUX LIBAN,5
D'où tu connais pas Little Big alors qu'ils étaient à l'Eurovision ?,2
Je connais Jonathan grâce à lui j'ai acheté un grille pain sur Twitch c'est une personne de très bon conseil électro ménager,5
Καλαημέρα τι κάνετε ?,5
le jour où vous allez vous perdre sur la chaîne de discosean21 vous allez comprendre la signification du mot SE PERDRE,1
La taïwanie !?! 😂,5
n,1
u,5
l,5
Qui parle le hollandais,1
Le rire à 7:10 😂😭 on dirait quelqu’un qui gratte un mur,1
Putous,1
Je suis libanais .et personne de les regarde ces cons🤣,1
J'adore little big,5
Little Big ca tue vraiment en concert :D (Russian Holligan best pogo ever ),5
nooooon le clap bonjour mais pourquoiiiiiiii ?!,1
les pro chinois lorsqu'ils ont entendu Taiwan,1
Moi je parle aussi nelandais je me suis dit mes  sa c est un hollandais bourre,1
Qui est devenue fan de little big apres la video,4
Excellent Thomas 😂,5
10:56 Quand il s'aperçoit que Super Family possède le même sweat😅,2
8:46🤣 plié,5
Mr et Mme putous ont un enfant comment l appellent il? Ils car il putous,1
Mais cest le magnum opus ce prank,3
Rien ne sera meilleur Omg,1
Super family y c Zelensky le daron waesh,5
je pense ressemblé au dernier youtubeur 🤣,3
J'ai le même chien que celui de la fin,3
Bien joué Thomas enceinte pututh 🤣🤣👍,4
Toi qui a plein d employé 🤣🤣 bravo YVAN super prank,5
Betoveren en français ça veus dire enchanter,5
Thomas magique ta phrase 🤣🤣toi qu'a plein d employés c'est énorme xd,5
Alors Maxime 🤣🤣 on a pris des couleurs ! ?xd comment il va,5
Merci les gars 👌👍😂 la barre de rire jpp,5
Je préfère le clap bonjour...,3
Allo,3
"MEEEC, ils ont choppé MORGENSTERN a 12min 45 excellent ;)",5
J'ai montrer le passage de Little Big à mon père parce que on est des ÉNORMESSSSSSSS fan de Little Big il à éclaté de rire 😭😭😂😂😂,3
c'est pas un pieds de bœuf mais un jarret de porc,3
7:00 Putous c mon pote chui finlandais aussi,1
supeer video j ai adoré a 6:14,5
t es trop MAXIME !!!!!!!!!,5
Ça se prononce Poutous !!,1
DOFUS !!! MON JEU PREF.,1
