Comment,Number
Obtenez 4 mois gratuits sur l’abonnement 2 ans ici ➼ https://nordvpn.com/pierrecroce,1
C’est sans risque avec la garantie satisfait ou remboursé pendant 30 jours !,5
Lac de giche,4
Le mec il rigole de lui même 😂😂,5
a droite au debut c louis boyard,3
C’est où je veux trop y aller,5
Incroyable ces le lac de guiche 😻,5
Tellement marrante la vidéo 😂,1
Évidemment,3
Le dernier rouge il s'est cru a la WWE ? Incroyable ce qu'il fait,1
Anecdote : j'étais la le lendemain du tournage et j'ai pu rencontrer fred du coup Big up à lui ☺️,4
"JE SUIS CHOQUÉE je commence la vidéo et là j'me dit ""mais je connais cet endroit?!"" BAH OUI j'y suis allé pleins de fois et moi je me cassais la gueule tout le temps 💀",1
c'est le meilleur concept que j'ai pu voir,5
Ct trop drôle 😂😂,1
Pierre je voulais te dire t vraiment le meilleur YouTubeur du monde ❤continue comme sa,5
Pourquoi ya le sosie de Yvan ?,1
"Je me suis tapée 9 putain de pub avant de commencer la vidéo, youtube commence de plus en plus à nous casser les cxuilles",1
"Pierre qui s’est trompé de jeu, il a joué au chat et à la souris 🤣",1
Pauvre Gwen et Morgan qui tombe  malheureusement 😟,2
"Très marrant à regarder,  vivement les prochaines../.. (un retour en Alsace/Lorraine ?😁)",5
l'endroit où ya les gonflable c'est où ?,2
cest la base de papou pays basque j'y suis aller,1
9:44 Pierre qui profite de l'acharnement des bleus envers le vert pour fuir lâchement ça m'a tué 😭😭,1
C au lacs de giches ( a côté de peyrorade ),4
lac de guiche rpz,4
Des barres j'aimerais tellement faire des trucs comme sa mdrr,5
« S’entre tue entre eux » pierre 2022,1
Trop drôle je sais où est-ce que tu es j’y suis déjà allé en plus c’est le lac de guiche,1
La taille de Gwenn par rapport a son équipe 😂,4
Le rouge a la fin il nous à sortie des prises de catch 😭,3
Trop bien,5
Mais vous avez êtes à guiche,3
"Bravo, j'adore ce type de vidéo",5
Je suis le 700eme commentaire 🥳,5
La meilleure vidéo de ta chaîne 😍😍,5
Wsh chui dja aller la bas c la base de pop,3
C ou l'endroit ?,2
Je reconnais j'habite à côté c le lac de guiche vers Bayonne,5
2:25 qui a remarqué la main 😅🤣🤣,2
Benjamin aurait dû commenter avec Pierre!,3
"Tain, c'était à 5 min de chez moi. J'aurais bien voulu voir ça en live! XD",1
La pire vidéo je crois,1
Lac de guiche incroyable !,5
"Pierre croce qui commente ses propres actions c'est très drôle mdrr ""un saut de 4m de hauteur""",1
CEST LE LAC DE GUICHES,5
Le vert qui sauve pierre Croce à 9:55 on en parle !?  Gg a lui,5
Moi qui pensais voir benjamin 😢,5
