Comment,Number
Merci à Nord VPN d'avoir sponsorisé la vidéo !,1
"💥 En ce moment, l’offre exclusive vous permet de bénéficier de 4 mois offerts sur tout abonnement de 2 ans.",5
C'est par ici : https://nordvpn.com/poissonfecond,1
L HISTOIRE DE LA POLICIERE ME TUE,5
🤣🤣🤣🤣🤣,5
"Je suis en Russie. J'ai un appart qui paise 1m7 euro +ou - à Moscou. Ce que les gens qui geraient le bâtiment ne savaient pas c'est que je suis constament sous surveillance du FSB (pote d'enfance est devenu un haut placé et m'a directement mis sous surveillance sachant que l'ex de ma femme est un taré prêt à tout). Et le paradoxe c'est que l'ex de ma femme n'a absolument rien fait à part me dire salut et de venir se plaindre de son ex expérience avec ma femme avec laquel j'ai un fils. Mais c'est les gérants de l'immeuble sous la motivation de mon ex ukrainienne ou j'ai l'appart qui sont en prison à vie (pour le peu qu'il leur reste a vivre) pour une tentative d'enlèvement, une tentative de meurtre et une 2eme tentative de meurtre, tout ca au moins d'un an 😂. Ils ont engagé vraiment des bouffons 😂. Les gars sont tellements cons, ca aurait été plus facile de juste signer les papiers à ma place et de passer devant le tribunal pour voler mon appart sachant que je n'y suis jamais et je m'en serai rendu compte seulement dans quelques années plutot que d'engager des tueurs a gages. Par contre je suis pas trop d'accord avec ta vidéo, tu racontes des banalités tirés des films.",5
Le personnel assure la sécurité ?? T’as cru qu’on allait dans des palaces ? Y’a des codes pour entrer et y’a personne dans les hôtels la nuit. On est en France pas aux states 🤷‍♀️,3
🤣,5
Il y a une  solution c'est de passer de victime à tueur.,3
y'a une solution pour bien lui mettre le seum au tueur. tu te pointes devant lui et tu te fous une balle dans la tronche. Mission failed :),3
9:05  comme l’assassin de JFK. Malgré que ce n’était probablement pas un tueur à gages,5
Conclusion pour augmenter les chances de survie rester célibataire 🗿,4
10:32 quand il a levé sa main et a dit « vous déviez le canon et…» j’ai cru qu’il allait dire de faire un doigt à l’agresseur 😂,1
Comment on fait pour suvivre à une chute libre depuis un avion ?,1
En fait il finit partie de fnaf dans la vraie vie,5
baltasar peut  habiller  en veille  sais  plus  sinble,3
"""Je suis infirmière, donc je m'y connais en self défense"". LA logique implacable.",5
Je suis le tueur brûle la maison pour qu’il sorte et là il va traverser la rue😂,1
"Il y a de cela peut être 4/5 ans, j’ai découvert dans la presse que lorsque j’étais au collège, je me suis retrouvée dans la classe d’un garçon dont les parents étaient Franc-maçons et chefs d’entreprise. La police française a réussi à déjouer une tentative d’assassinat par le biais d’un tueur à gage. La cible était un syndicaliste. Il s’avère que quelques années auparavant un autre syndicaliste de cette même entreprise (mais dans une autre région cette fois ci) a été tué et que les pistes n’avaient mené à rien à l’époque. Voilà voilà, bien contente de ne pas être l’ex de ce garçon du coup 😂",3
Serai-ce par hasard D'Argent le commanditaire,3
Tu es trop drôle... Si un chasseur te chassse tu as 10% de chance de survivre 😂,2
Mes c’est qui le mec ou la dam qui à voulu tuer ball tu la Paz dis,1
En soit le top c'est d'avoir une arme à la maison,5
on a le droit d'avoir un gillet par balle en france?,1
Donc pour survivre tu installe Nord VPN😂,3
Option supplémentaire : faites des réserves de bouffe . Et transformer vottre maison en bunker😂(comme moi )😂,3
