Comment,Number
C'est un métier là soudure moi même je suis dans le bâtiment en serrurie metallerie je connais,5
je trouve que le 1000tipla avance drolement vite !!!!!!!!!!!!!!! tres belle conduite pierre,3
moi je dit pierre sans probleme pour le plus barjo bizarrement,5
La pub c une vidéo de vilebrequin 😂😂,5
J’aime bien,4
Faketaxi🤣🤣🤣,5
Y'a combien de gtr chez w-auto 😂,5
Bravo les gars ! Si vous voulez faire vos premiers pas en soudure passez à la maison ce sera avec grand plaisir 😉 par contre vous ne souderez pas les bras à l'air ! 😝,5
J'ai bien rigolé en tout cas merci,5
"J'adore votre chaîne, je suis soudeur, et j'avais jamais vu cette vidéo!!!",5
Évidemment comme vous avez tt mon respect je fermerais biiien ma gueule au sujet des soudures mais vous m'avez éclaté comme d'hab!,5
Ne changez rien 😘,1
pierre chabrier: nouveau pilote de rallye sans carrosserie,1
Fallait aller chez fiat avec le multi plat désossé pour la vanne d’aller au garage,3
"Grâce à vous ce n’est plus un multipla!!😂😂, quelle daube ce truc! et même sans le reste de la carrosserie, et juste cet arceau, il en jette tellement, ça a l’air fun de conduire ce truc sur une piste! Vous êtes des grands malades, ça fait plaisir…👍😎",5
Les gars je suis soudeur de métier je rêverai de vous prendre en stage pendant une journée pour vous apprendre à souder au tig et migmag,5
on en parle de toutes les beautés qu’il y a en arrière plan?,5
Vous avez lu sur le bandeau qui défile en bas pendant le placement de produit ? 🤣🤣,1
"huhu, avec le casque,  l'air mauvais, les lunettes, les moustaches frémissantes...",1
mais c'est ... bien sur... Zantafio,3
"le cousin maléfique de Fantasio, le pote à Spirou, époque Franquin",5
haha Cousin Zantafio en vrai,5
😄😄😄,5
"Je sais pas si c'était un troll ou non, mais nous sommes des ""wallons"", pas des ""walloniens"" :-D",2
"vous êtes au courant que si vous dites ""multipla"" à des gens dans la rue, 9 personnes sur 10 penseront que c'est une recette de cuisine. même les passionnés d'auto, parce qu'on est d'accord que ce modèle de voiture ne peut être définit comme une ""auto"", mais plutôt un ""ovni"".",2
"Je suis soudeuse pro, je suis morte de rire quand je les vois 🤣🤣🤣 c'est juste génial 😁",5
Le sticker fake taxi 😭😭😭,1
Je vous aime beaucoup les frero mais à tout les moment où vous avez souder je me suis énormément foutu de votre gueule j'ai envie de venir vous apprendre carrément 🤣,3
0:36 bonjour je suis intéressé comment je peux faire pour avoir internet,1
Les sponsos sont incroyables 😂😂😂😂,5
"A la fin, apres la phase 1000tipla, il faudrait faire une compilation avec toutes les blagues de Pierre",3
Yo Sylvain si Pierre se tue en fessant n'importe quoi en conduisant je veux bien reprendre sa place a tes coter pour présenter vilebrequin,3
yeah,5
La GTR-35 derrière eux,3
un like rien que pour la pub :),5
"nan nan, vous êtes aussi cons l'un que l'autre (avec amour et roudoudous hein) 😆",5
Vous êtes complètement niqués.,1
"Vous êtes géniaux, ça fait vraiment du bien ! 😊👍",5
4:27,4
Le lexique de vocabulaire.,4
Le multibuggy 🤩🤣,5
mdr ses surtout que ses chiant de filmer en bossant,2
Il arrive quand le multipla ?,3
TROP COOL,5
0:50 lissé la banderole qui défile 😉,1
"Nempèche en y repensant bien , bosch a carrément louper la meilleure façon de mettre en avant sa marque en virant sylvain , la chaine envoie du lourd et a chaque emissions je me demande quand est ce que les vieux de turbo vont passer en retraite avec leurs merguez et laisser la place aux jeunes. Le 1000tipla fini, vous serez pas prets a recevoir tant de public ;) vous êtes l avenir des emissions automobiles , il est temps de redonner du peps aux émissions qui font dormir.",2
mais faites un essai d'une des gtr qu il y a derriere,3
"Yo les gars je vous adore continué comme ça si ça peux vous aider je suis chaudronnier je peux conseiller ""la soudure à l arc n est pas hasbeen """,5
Un samaritain aurait-il le nom de la musique a 12:16? Merci d'avance.,1
La GT-R 35 et magnifique,5
J'en ai rien à foutre,5
Rien a foutre,5
Les nouveaux arceaux du dakar !! Nasser al-Attiyah en sueur !!! 👍,5
vous me tué ptndrrrrrrrr,1
Sublime la gtr r34 rouge en arrière plan,5
Étant soudeurs perso je suis intéressé,3
7:28 heuuu ces faux,1
Sans carrosserie et souder à l’arrache le multipla a plus de geule que de série,1
Les wallons va 😂😂🇧🇪🇧🇪🇧🇪,1
"J'ai bien peur qu'un jour, vous finissiez en bifteck !",1
Le multiplat c'est de la merde....,1
Depuis le temps que j'attendais ça..... :D,5
Pourquoi ils à pas  de multipla,2
"Vous êtes vraiment les meilleurs que ce soit pour vendre du NordVPN ou du Rhinoshield ! Bon par contre pour ce qui est des bagnoles, vous êtes vraiment des branques !! Continuez, on adore !! Et Joyeux Noël !!",5
Un vrai plaisir de voir Arthur du cnva avec vous !! 😃,5
Vous allez faire comme CD Projeckt pour le Multiplat ?,3
Font t'ils partie de QJDT jacki Tuning?,3
Jeunéafoute,3
rien na foutre,1
Rien a foutre,5
"J'ai jamais autant ris devant une sponso, même le jdg m'a pas fait cet effet 😂😂",1
Dernière c'est une r35 ?et r34,1
jee suis sodeur,3
"C'est la première fois que j'écoute ce qu'est NordVPN, d'habitude je skip.  Vous êtes des malades :')",1
J'ai lu la phrase qui passe à balle ...prout prout...,1
Et sinon elle arrive quand la.voiture ?,3
C’est que a vilebrequin que je regarde la pub sponsorisé,1
"En temps que diplômé en soudure, c'était un peu cringe ^^'",3
"Mais bon, j'étais pas meilleur la 1ere fois avec un TIG...",3
Hey question comme ça... ça fait quoi si on monte la boite de vitesse d'origine du multiplat sur le moteur du Milltiplat,3
Walonien mdr,3
Merci du message pour les belges et on va vous envoyer des gaufres de Liège 👍🤣,5
Mais c est quoi ces placements tout pété !!!??? ...  on pourrait avoir de véritables pub ! la vie n'est pas un gag ! soyez sérieux un peu ! qu'on puisse zapper !!!,3
"Moi j'ai regardé cette vidéo, seulement jusqu'à la fin de la pub nordVPN",2
je sais commen ca marche monpere est chaudronnir=er et je suode depuis mes 10ans,5
meilleur placement de produit ever,5
Ou est le V8?,1
on attend toujours la vidéo de la rentrée...,5
"je vous ecoute juste mdr vous faites trop delirer , m en bas les couilles de vos voiture mdr",1
Sympa le Projet Multiplouc...,4
c quand la prochaine vidéo qui devais etre a la rentrée déjà,1
Godzilla était là j'avais pas fait gaffe mdr,1
Du coup....IL EST LE 1000TIPLA???,1
Et depuis 3 mois rien ne se passe ??????,1
"R34, r35, Nissan's 350z, incroyable tout ça",5
10:29 Sylvain me tue 😂,1
j'en ai rien a foutre,5
