Comment,Number
Bonne vidéo ! Elle est sponso par NORDVPN ! Retrouvez le deal exclusif,5
NordVPN sur mon lien : https://nordvpn.com/amixem,5
"Thomas Bombur, ou tout plaquer et transformer une couille en profiterole, plutôt unique comme choix de carrière 😂",5
Simon c’est Etienne qui est passé chez le coiffeur / barbier 😂,4
mais c a coter de chez moi 🤣,3
"L'idée,  pourquoi pas : l'animation, à peine digne de ""MAT SUP"", dommage ! 😭",2
La miniature utilise de l'IA non ?,1
A quand un repas étoilé VS un repas surgelé avec Phillipe Etchebest ?,1
pourquoi le vin de maxime a une couleur de piise comparé a celui des autres,2
mettez les chefs en concu sa serrait intéessant,2
"Mdr, j'adore comment ils ont affiché encore la grosse rageuse soit disant chef",5
"La Vendée c'est génial !! Y'a pas que le puits du fou !! J'y allais tout le temps en vacances chez mes grands parents parce que ils habitaient l'as bas!! Un jour j'aurais une maison en Vendée ! Un jourrrrrrr, sinon la vidéo est top ❤",5
C est un flex de dire que amixem est venu manger dans ton village?,2
J'habite la-bas en vendée !,5
Je veux goûter le vol au vent de ce restaurant!!!,1
T es venu dans ma ville,5
"Profiterole avec de la glace ? Ca en dit long sur les connaissances gastro du ""chef""... C'est limite inquiétant !!!",2
18:38 malheuresement maxime commence a rejoindre l’equipe de thomas,3
C’est Pierre Sage quand il était jeune enfait Simon,5
Le profiterole est fait avec de le crème vanille ou chantilly et pas avec de la glace,2
"Coucou, ce serait sympa comme concept de tester des rations militaires de différents pays :)",3
"Alors désoler mais quand y'a de la glace c'est ""un délice des rois"" et les profiteroles c'est de la crème Yvan avait raison (j'ai cette infos du livre ""cuisine de référence"" que j'ai ue pendant mes études  en cuisine ^^)",3
On veut un épisode avec Philippe Etchebest !,5
"Pour la PROD: Prochain épisode, faites une manche sans AUCUNE indication. Que nous public, on soit dans la même ambiance. Car la on se dit, ça va c'est facile mais sans aucune infos, je pense que ça rendrait ça fun! Et si ça a déjà été fait bah nickel sinon, je cherche un taff, mes gamins me rendent fou et madame me crie dessus en me demandant où j'ai foutu les sacs poubelles de réserve  ce dont je n'en sais absolument rien, c'est elle qui fait les courses. Allez bise.",3
"Par contre pour le coup des profiterole, Yvan a raison. Les profiteroles sont à la base avec de la crème pâtissière et non de la glace !",3
Vous devriez inviter mcfly pour un épisode 6,4
Le « merde 😐 » ma fumée 🤣,1
27:24 Pas compris 🤔,1
20:22: Aïe 🫠😂,1
Première fois de ma vie j'vois un croque-sperme,5
Je t'adore continue comme ça ❤❤🎉🎉,5
Amixem la calvitie te guette 🤣🤣,3
Top,5
Ça serait marrant que vous fassiez ce concept avec Philip Etchebest,3
On vote droite ya pas de debat 😂😂😂😂,1
C’est quoi ce concept de merde,1
Il a touché le fond là,2
mais exellent juste,4
Amixem t’es nul sur cette vidéo,1
ENFIN,5
Serait-il possible d’avoir une version sans le montage qui nous permet de savoir quel plat est étoilé et quel plat ne l’est pas afin de pouvoir nous aussi essayer de deviner (même si nous pourrions nous référencer qu’au visuel cela reste amusant) merci !,1
Écouter des hommes rigoler de leurs propres blagues pendant 1h,2
Repas de la maman vs repas étoilé,5
Le mec a la chemise bleu son rire je peux pas me l’entendre,1
Maxime t'es mova globe tu ne dois pas les mettre côte à côte car leurs champ magnétique vont interférer entre eux et la boule ne tourne pas correctement de plus ça dérègle la boule,2
Je valide le bon goût du sauterne amixem 🙈,5
Slt,4
J'aurais pu te croiser je vis à Mareuil-sur-lay dissais,1
J'adorerai une manche ou le cuistot prank le crew en faisant venir un autre chef et faire un étoile vs étoile et voir les gars ne jamais se mettre d'accord et les commentaires,1
J’adore ce concept !!!!!!!,5
Yvan la non complicité,1
sa serais bien une video ou ils sont chacun de leurs bord,3
"Juste, apprenez a manger proprement s'il vous plaît. Je vous ai hais toute la video pour cette raison. Malgrè que j'adore la Chaine d'Amixem. Premiere fois oû vraiment ça m'enerve, parmis toute les videos de la chaine.",5
